trade_number,strategy,entry_date,entry_price,position_size_units,risk_amount_usd,tp_price,sl_price,capital_before_trade,is_be,pred_momentum,pred_reversion,pred_pa,exit_date,exit_price,pnl_usd,exit_reason
1,long,2025-05-01 00:00:00+00:00,1794.93,0.41227234488253023,2.4299833334122267,1806.7182432017341,1789.035878399133,3700.0,False,1,1,1,2025-05-01 01:50:00+00:00,1806.7182432017341,4.859966666824453,Take Profit
2,short,2025-05-01 02:00:00+00:00,1808.2,0.4096626442502848,2.978180866743514,1793.6603249354414,1815.4698375322794,3703.7599666668248,False,0,0,0,2025-05-01 02:10:00+00:00,1815.4698375322794,-2.978180866743514,Stop Loss
3,short,2025-05-01 02:15:00+00:00,1814.07,0.40788743386970533,3.4727829041139655,1797.0418563714159,1822.584071814292,3699.6817858000813,False,0,0,0,2025-05-01 04:15:00+00:00,1804.28,3.9932179775844,Model Exit Signal
4,long,2025-05-01 04:15:00+00:00,1804.28,0.410421331919399,3.005907384700982,1818.9279100910442,1796.9560449544779,3702.5750037776656,False,1,1,1,2025-05-01 06:00:00+00:00,1812.3,3.2915790819935724,Model Exit Signal
5,short,2025-05-01 06:00:00+00:00,1812.3,0.40884694397833243,2.6092405070661955,1799.5361012085516,1818.6819493957241,3704.766582859659,False,0,0,0,2025-05-01 07:00:00+00:00,1804.29,3.2748640212664393,Model Exit Signal
6,long,2025-05-01 07:00:00+00:00,1804.29,0.4109030640175278,2.326542450972732,1815.6140452783457,1798.6279773608271,3706.9414468809255,False,1,1,1,2025-05-01 08:15:00+00:00,1815.6140452783457,4.653084901945464,Take Profit
7,short,2025-05-01 09:35:00+00:00,1821.13,0.40749364754661893,2.5313876571410585,1808.7058178200732,1827.3420910899636,3710.494531782871,False,0,0,0,2025-05-01 10:00:00+00:00,1819.19,0.790537676240463,Model Exit Signal
8,long,2025-05-01 10:00:00+00:00,1819.19,0.4078941803175162,2.7296408001327763,1832.5740634745412,1812.4979682627295,3710.1850694591117,False,1,1,1,2025-05-01 10:20:00+00:00,1832.5740634745412,5.459281600265553,Take Profit
9,long,2025-05-01 10:45:00+00:00,1834.23,0.4050249261062546,4.21652312129425,1855.051054950026,1823.819472524987,3714.5443510593773,False,1,1,0,2025-05-01 11:00:00+00:00,1855.051054950026,8.4330462425885,Take Profit
10,short,2025-05-01 13:00:00+00:00,1846.96,0.4030273960780922,3.776973787332452,1828.216987370652,1856.331506314674,3721.877397301966,False,0,0,1,2025-05-01 13:35:00+00:00,1828.216987370652,7.553947574664904,Take Profit
11,short,2025-05-01 15:10:00+00:00,1870.28,0.3986923182493136,5.678850712825702,1841.7926153533033,1884.5236923233483,3728.331344876631,False,0,0,0,2025-05-01 17:35:00+00:00,1850.75,7.786460975409084,Model Exit Signal
12,long,2025-05-01 17:35:00+00:00,1850.75,0.4036220781685307,4.323561698383934,1872.1738116903934,1840.0380941548033,3735.0178058520405,False,1,1,1,2025-05-01 19:55:00+00:00,1840.0380941548033,-4.323561698383934,Stop Loss
13,long,2025-05-01 21:30:00+00:00,1842.13,0.4049219375563784,3.037239786738768,1857.1316065075057,1834.6291967462473,3729.5942441536567,False,1,1,1,2025-05-01 23:05:00+00:00,1834.6291967462473,-3.037239786738768,Stop Loss
14,long,2025-05-01 23:05:00+00:00,1835.2,0.40600010945585424,2.6290898268890284,1848.1511779216646,1828.7244110391678,3725.457004366918,False,1,1,1,2025-05-02 00:30:00+00:00,1848.1511779216646,5.258179653778057,Take Profit
15,long,2025-05-02 00:35:00+00:00,1840.84,0.4052079685383516,3.2070460658294078,1856.6691362205818,1832.925431889709,3729.6151840206962,False,1,1,0,2025-05-02 04:00:00+00:00,1849.09,3.342965740441401,Model Exit Signal
16,short,2025-05-02 04:00:00+00:00,1849.09,0.4036426728565011,2.5006619344490533,1836.699526432117,1855.2852367839414,3731.8581497611376,False,0,0,0,2025-05-02 05:15:00+00:00,1836.699526432117,5.0013238688981065,Take Profit
17,short,2025-05-02 05:45:00+00:00,1837.96,0.4065115098946697,2.3905481261348838,1826.1987186195329,1843.8406406902336,3735.7594736300357,False,0,0,0,2025-05-02 06:00:00+00:00,1829.82,3.309003690542652,Model Exit Signal
18,long,2025-05-02 06:00:00+00:00,1829.82,0.40856133142282614,2.779963206159676,1843.4285478108188,1823.0157260945905,3737.9684773205786,False,1,1,1,2025-05-02 07:00:00+00:00,1827.15,-1.0908587548988826,Model Exit Signal
19,short,2025-05-02 07:00:00+00:00,1827.15,0.4089185473076299,2.816556802792762,1813.374362669107,1834.0378186654466,3735.77761856568,False,0,0,1,2025-05-02 08:00:00+00:00,1814.0,5.37727889709537,Model Exit Signal
20,long,2025-05-02 08:00:00+00:00,1814.0,0.41235445396502485,3.279912615767284,1829.908219660193,1806.0458901699035,3740.0548974627754,False,1,1,1,2025-05-02 10:35:00+00:00,1829.908219660193,6.559825231534568,Take Profit
21,short,2025-05-02 10:45:00+00:00,1833.06,0.4086625339808091,2.906748304148016,1818.8343342614103,1840.1728328692948,3745.51472269431,False,0,0,0,2025-05-02 12:00:00+00:00,1833.77,-0.29015039912638935,Model Exit Signal
22,long,2025-05-02 12:00:00+00:00,1833.77,0.408352691154854,2.347882708690776,1845.2692885294855,1828.0203557352572,3744.1245722951835,False,1,1,1,2025-05-02 12:15:00+00:00,1828.0203557352572,-2.347882708690776,Stop Loss
23,long,2025-05-02 12:15:00+00:00,1829.8,0.4088618088956709,2.4395384186877687,1841.7333151965302,1823.8333424017349,3740.676689586493,False,1,1,1,2025-05-02 12:30:00+00:00,1823.8333424017349,-2.4395384186877687,Stop Loss
24,long,2025-05-02 12:30:00+00:00,1823.41,0.40990640077303575,3.7735479451799367,1841.8217541861434,1814.2041229069284,3737.1371511678053,False,1,1,1,2025-05-02 14:20:00+00:00,1841.8217541861434,7.5470958903598735,Take Profit
25,short,2025-05-02 15:00:00+00:00,1849.87,0.4047402516996509,4.288645510475503,1828.6779120252263,1860.4660439873867,3743.584247058165,False,0,0,1,2025-05-02 16:00:00+00:00,1860.4660439873867,-4.288645510475503,Stop Loss
26,short,2025-05-02 16:00:00+00:00,1868.0,0.4002350751121724,5.142765749866063,1842.3012740778668,1880.8493629610666,3738.19560154769,False,0,0,0,2025-05-02 17:05:00+00:00,1842.0,10.406111952916483,Model Exit Signal
27,long,2025-05-02 17:05:00+00:00,1842.0,0.4068948657438226,4.829521993238334,1865.7384268017722,1830.130786599114,3747.5017135006065,False,1,1,1,2025-05-02 19:05:00+00:00,1848.69,2.7221266518261955,Model Exit Signal
28,short,2025-05-02 19:05:00+00:00,1848.69,0.40559789257825085,2.946827421956087,1834.159217291914,1855.955391354043,3749.123840152433,False,0,0,1,2025-05-02 19:45:00+00:00,1832.81,6.440894534142668,Model Exit Signal
29,long,2025-05-02 19:45:00+00:00,1832.81,0.4096949203339763,3.374198354946003,1849.2817607540528,1824.5741196229735,3754.4647346865754,False,1,1,1,2025-05-02 21:00:00+00:00,1844.74,4.887660399584363,Model Exit Signal
30,short,2025-05-02 21:00:00+00:00,1844.74,0.4074560528948426,2.450523153303368,1832.7115952879178,1850.754202356041,3758.25239508616,False,0,0,1,2025-05-02 21:50:00+00:00,1832.7115952879178,4.901046306606736,Take Profit
31,long,2025-05-02 23:00:00+00:00,1836.52,0.4096937078161704,2.331905201410967,1847.9036515275811,1830.8281742362094,3762.0534413927667,False,1,1,0,2025-05-03 01:00:00+00:00,1836.78,0.10652036403220058,Model Exit Signal
32,short,2025-05-03 01:00:00+00:00,1836.78,0.40952753860089935,2.0571928348245003,1826.7333357788214,1841.8033321105893,3761.059961756799,False,0,0,0,2025-05-03 01:30:00+00:00,1826.7333357788214,4.114385669649001,Take Profit
33,long,2025-05-03 02:00:00+00:00,1829.36,0.41151816454130935,2.3207693007833483,1840.6390612942694,1823.7204693528652,3764.074347426448,False,1,1,0,2025-05-03 05:00:00+00:00,1836.13,2.7859779739447506,Model Exit Signal
34,short,2025-05-03 05:00:00+00:00,1836.13,0.4101844995071583,1.680177829674492,1827.9376971134052,1840.2261514432976,3765.760325400393,False,0,0,1,2025-05-03 06:15:00+00:00,1827.9376971134052,3.360355659348984,Take Profit
35,long,2025-05-03 08:00:00+00:00,1823.53,0.41326665106247135,1.7289713747760183,1831.8973404100282,1819.3463297949859,3768.020681059742,False,1,1,1,2025-05-03 09:55:00+00:00,1819.3463297949859,-1.7289713747760183,Stop Loss
36,short,2025-05-03 10:00:00+00:00,1827.04,0.4121630297842375,2.1205576384378353,1816.7501026283317,1832.1849486858341,3765.191709684966,False,0,0,1,2025-05-03 10:55:00+00:00,1816.7501026283317,4.241115276875671,Take Profit
37,long,2025-05-03 11:00:00+00:00,1820.94,0.41388874152490934,2.731216413416607,1834.1378289786471,1814.3410855106765,3768.3328249618417,False,1,1,1,2025-05-03 13:15:00+00:00,1834.1378289786471,5.462432826833214,Take Profit
38,short,2025-05-03 14:00:00+00:00,1835.4,0.4111033298233273,1.9438104501002387,1825.9434458488304,1840.128277075585,3772.695257788675,False,0,0,0,2025-05-03 16:35:00+00:00,1825.9434458488304,3.8876209002004773,Take Profit
