symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable
BRETTUSDT,Market,20,1763748245678,Buy,f6539294-139f-426b-bf55-ce2f752cae34,0.24771598,0.00267352,0.0072105,0.01453,920,13.3676,1763748245675,0.01525,920,0.01425,Trade,1,13.11,2025-11-21 18:04:05,2025-11-21 18:04:05
BRETTUSDT,Market,20,1763738072366,Buy,52a0336d-279e-41f2-9b65-f92c3aa25ba5,0.49645207,0.00806332,0.02188461,0.01429666,2820,40.3166,1763738072362,0.01501,2820,0.01411,Trade,2,39.7902,2025-11-21 15:14:32,2025-11-21 15:14:32
BRETTUSDT,Market,20,1763735665020,Buy,6620ead4-e743-4728-b58d-a041c70f8f88,-0.58934489,0.00875706,0.02438783,0.01417,3090,43.7853,1763731046087,0.01487,3090,0.01435,Trade,1,44.3415,2025-11-21 13:17:26,2025-11-21 14:34:25
BRETTUSDT,Market,20,1763680334790,Buy,aaeee3cb-b293-44f7-bb83-acff61a86e4b,0.47059984,0.00519188,0.01400828,0.01643,1580,25.9594,1763676602036,0.01725,1580,0.01612,Trade,1,25.4696,2025-11-20 22:10:02,2025-11-20 23:12:14
BRETTUSDT,Market,20,1763673657029,Sell,4b640923-c3f1-45d0-869c-c9fe7b53c5e6,0.38685582,0.00493896,0.01380522,0.01583,1560,24.6948,1763669241083,0.01504,1560,0.01609,Trade,1,25.1004,2025-11-20 20:07:21,2025-11-20 21:20:57
BRETTUSDT,Market,20,1763651178014,Buy,c6b10f54-1c59-41da-a853-720de923c1c3,0.50336684,0.00579248,0.01564068,0.01766,1640,28.9624,1763650157422,0.01854,1640,0.01734,Trade,1,28.4376,2025-11-20 14:49:17,2025-11-20 15:06:18
BRETTUSDT,Market,20,1763645024022,Buy,65218087-7b75-41c6-85b9-0f7d8ca0e425,0.4728672,0.008376,0.0227568,0.01745,2400,41.88,1763645024018,0.01832,2400,0.01724,Trade,1,41.376,2025-11-20 13:23:44,2025-11-20 13:23:44
BRETTUSDT,Market,20,1763625190861,Buy,0880f592-fe1b-4dba-b458-2b4005d39eaa,0.59789706,0.00619962,0.01670922,0.017815,1740,30.9981,1763593768981,0.0187,1740,0.01746,Trade,1,30.3804,2025-11-19 23:09:28,2025-11-20 07:53:10
BRETTUSDT,Market,20,1763587398017,Buy,e10d3fa4-f88b-4f80-90dd-6b09b36d2153,-1.15956616,0.00985308,0.02771308,0.01747,2820,49.2654,1763587201176,0.01834,2820,0.01786788,Trade,4,50.3874,2025-11-19 21:20:01,2025-11-19 21:23:18
BRETTUSDT,Market,20,1763581903787,Sell,534c39e9-25d7-4b2e-b394-f62fa44e8b93,0.23520052,0.0031103,0.00868918,0.01637,950,15.5515,1763581903783,0.01556,950,0.01663,Trade,1,15.7985,2025-11-19 19:51:43,2025-11-19 19:51:43
BRETTUSDT,Market,20,1763576917104,Sell,97a22779-9374-4fa4-8dd8-eca5e22e9c2e,-0.0357048,0.00952128,0.02618352,0.01653,2880,47.6064,1763576917100,0.01571,2880,0.01653,Trade,1,47.6064,2025-11-19 18:28:37,2025-11-19 18:28:37
BRETTUSDT,Market,20,1763567466047,Buy,217b5851-e9f0-471a-b30f-5088a1c4d084,0.24207029,0.00343196,0.00929775,0.01751,980,17.1598,1763567466043,0.01838,980,0.01725,Trade,1,16.905,2025-11-19 15:51:06,2025-11-19 15:51:06
BRETTUSDT,Market,20,1763564439011,Buy,1af160ea-e7fb-4d76-b53b-b74c2009611e,-0.68315445,0.01048014,0.02917431,0.01764333,2970,52.4007,1763562680099,0.01852,2970,0.01786,Trade,1,53.0442,2025-11-19 14:31:20,2025-11-19 15:00:39
BRETTUSDT,Market,20,1763560931085,Sell,d191e435-8daf-4d5d-9b8a-8cff5a7a6490,-0.00607383,0.00657696,0.01809687,0.01768,1860,32.8848,1763560931082,0.0168,1860,0.01769,Trade,1,32.9034,2025-11-19 14:02:11,2025-11-19 14:02:11
BRETTUSDT,Market,20,1763559119953,Sell,caf950d2-5ad2-479f-b9b1-e4c80767ce84,0.21998452,0.00330336,0.00921212,0.01776,930,16.5168,1763559119950,0.01688,930,0.01801,Trade,1,16.7493,2025-11-19 13:31:59,2025-11-19 13:31:59
BRETTUSDT,Market,20,1763546829928,Buy,fbe34765-2d80-43bd-bc98-b7d5fe1aa9d7,-0.66645586,0.01037624,0.02887962,0.01764666,2940,51.8812,1763545994986,0.01852,2940,0.01786,Trade,1,52.5084,2025-11-19 09:53:14,2025-11-19 10:07:09
BRETTUSDT,Market,20,1763539389109,Buy,c1927f65-08ea-4554-9e8c-d7d6b9e8f465,-0.64552984,0.01071818,0.02980923,0.01734333,3090,53.5909,1763537601937,0.01821,3090,0.01754,Trade,1,54.1986,2025-11-19 07:33:21,2025-11-19 08:03:09
BRETTUSDT,Market,20,1763536162034,Sell,0936f277-47c2-445e-a8ac-fd34c47f8e50,0.534117,0.00682,0.019063,0.01705,2000,34.1,1763530241951,0.0162,2000,0.01733,Trade,1,34.66,2025-11-19 05:30:41,2025-11-19 07:09:22
BRETTUSDT,Market,20,1763523304418,Buy,ca3d93c4-82e0-4a93-b5f6-1045cfd8ce13,0.513373,0.00691292,0.01871408,0.017635,1960,34.5646,1763523304414,0.01851,1960,0.01736,Trade,1,34.0256,2025-11-19 03:35:04,2025-11-19 03:35:04
BRETTUSDT,Market,20,1763517438038,Buy,536f64be-3754-4df3-821c-a9c7ff7346a5,0.3660288,0.01050508,0.02866612,0.01762597,2980,52.5254,1763517438034,0.0185,2980,0.01749,Trade,2,52.1202,2025-11-19 01:57:18,2025-11-19 01:57:18
BRETTUSDT,Market,20,1763501538924,Buy,ac2d376b-dc7b-4d96-8249-451ad9dc2832,0.25971896,0.00343768,0.00930424,0.01772,970,17.1884,1763489282288,0.0186,970,0.01744,Trade,1,16.9168,2025-11-18 18:08:02,2025-11-18 21:32:18
