symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable
DOGEUSDT,Market,20,1763728797956,Sell,3e98db0d-18da-4cb4-9b26-861e2e8048f7,0.20315683,0.00289211,0.00807106,0.13642,106,14.46052,1763726010011,0.13152,106,0.13844,Trade,1,14.67464,2025-11-21 11:53:30,2025-11-21 12:39:57
DOGEUSDT,Market,20,1763665344980,Sell,2581c5ec-9b76-4046-bc8f-f1785a19a7a7,-0.92939736,0.00790734,0.02125002,0.14976,264,39.53664,1763656695986,0.14228,264,0.14635,Trade,1,38.6364,2025-11-20 16:38:15,2025-11-20 19:02:24
DOGEUSDT,Market,20,1763654741881,Buy,b80e7eaf-39b7-4d0e-b296-b3698df7a3c9,0.20917772,0.00275094,0.00744594,0.1581,87,13.7547,1763607343027,0.16344,87,0.15561,Trade,1,13.53807,2025-11-20 02:55:43,2025-11-20 16:05:41
DOGEUSDT,Market,20,1763604399222,Buy,171780f9-364e-4a6e-88c0-5dbb09ebd448,-0.51844776,0.00588487,0.0164567,0.154865,190,29.42435,1763595303138,0.1626,190,0.15748,Trade,8,29.9212,2025-11-19 23:35:03,2025-11-20 02:06:39
DOGEUSDT,Market,20,1763582842766,Sell,277dc7e5-59a3-46c5-8a78-24d276232658,0.02567665,0.0063936,0.01760975,0.148,216,31.968,1763582842762,0.14084,216,0.14823,Trade,5,32.01768,2025-11-19 20:07:22,2025-11-19 20:07:22
DOGEUSDT,Market,20,1763573872365,Sell,2624be80-61c7-4b45-aed9-fff8a60d3717,-1.1711013,0.01020926,0.02745204,0.15192334,336,51.04624,1763569397099,0.14433,336,0.14855,Trade,1,49.9128,2025-11-19 16:23:17,2025-11-19 17:37:52
DOGEUSDT,Market,20,1763530716248,Buy,ac433f99-26e2-4d46-a632-29ff3b470296,1.02218521,0.00732132,0.01955864,0.160555,228,36.60654,1763482687086,0.16376,228,0.15597,Trade,1,35.56116,2025-11-18 16:18:07,2025-11-19 05:38:36
DOGEUSDT,Market,20,1763474830651,Buy,ec2665ce-0f02-40b8-9789-99d6f16f3f1d,0.09350756,0.00349628,0.00955616,0.15749,111,17.48139,1763474830647,0.16435,111,0.15653,Trade,1,17.37483,2025-11-18 14:07:10,2025-11-18 14:07:10
DOGEUSDT,Market,20,1763449468492,Buy,0c601650-fe30-4015-9273-15854b1b956e,0.01795691,0.00024892,0.00067417,0.15558,8,1.24464,1763449468488,0.16088,8,0.15322,Trade,1,1.22576,2025-11-18 07:04:28,2025-11-18 07:04:28
DOGEUSDT,Market,20,1763451640086,Buy,45483a66-4ae0-41bf-b898-5ee5bb56cac6,-0.01266912,0.00311161,0.00855751,0.15558,100,15.558,1763443027511,0.16335,100,0.15559,Trade,14,15.559,2025-11-18 05:17:07,2025-11-18 07:40:40
DOGEUSDT,Market,20,1763434932523,Buy,94ca2c14-fed0-4a51-bff6-47d03aaabdeb,0.02477775,0.00027638,0.00074587,0.15354666,9,1.38192,1763434932518,0.15825,9,0.15068,Trade,1,1.35612,2025-11-18 03:02:12,2025-11-18 03:02:12
DOGEUSDT,Market,20,1763437099347,Buy,b5373fc3-a06a-4040-ae7a-0e772c151002,-0.02707327,0.01059474,0.02912853,0.15354666,345,52.9736,1763428608623,0.16122,345,0.15351,Trade,1,52.96095,2025-11-18 01:16:48,2025-11-18 03:38:19
DOGEUSDT,Market,20,1763426766300,Sell,1fc9ca36-cfa0-46b3-b7c0-b6a23bae8086,-1.040403,0.00689764,0.01840732,0.153965,224,34.48816,1763405886572,0.14627,224,0.14941,Trade,1,33.46784,2025-11-17 18:58:06,2025-11-18 00:46:06
DOGEUSDT,Market,20,1763403324261,Sell,335e00f4-6c3d-494b-9136-adcd54fc494e,-0.326192,0.00680466,0.01854734,0.15607,218,34.02326,1763402087007,0.14827,218,0.15469,Trade,1,33.72242,2025-11-17 17:54:47,2025-11-17 18:15:24
DOGEUSDT,Market,20,1763398643225,Sell,5b63f599-8e7b-4912-be96-9735ae5c1003,0.30741056,0.00343285,0.00961659,0.15747,109,17.16423,1763397281969,0.15243,109,0.16041,Trade,2,17.48469,2025-11-17 16:34:41,2025-11-17 16:57:23
DOGEUSDT,Market,20,1763392629095,Sell,e11c660b-e1da-41b5-938f-e78bc2d702cc,-0.61712879,0.01031657,0.02805222,0.16221,318,51.58278,1763391210341,0.1541,318,0.16039,Trade,1,51.00402,2025-11-17 14:53:30,2025-11-17 15:17:09
DOGEUSDT,Market,20,1763371091235,Buy,7bd4d05b-2cd7-456a-b796-57ebb8d40e17,-0.26499884,0.003198,0.00893365,0.1599,100,15.99,1763339416450,0.16789,100,0.16243,Trade,1,16.243,2025-11-17 00:30:16,2025-11-17 09:18:11
DOGEUSDT,Market,20,1763161564086,Sell,3b9808aa-2116-48d1-98d1-b904633f6b6a,-0.62689963,0.00810344,0.02195619,0.15704334,258,40.51718,1763161416510,0.1492,258,0.15473,Trade,1,39.92034,2025-11-14 23:03:36,2025-11-14 23:06:04
DOGEUSDT,Market,20,1763152869191,Buy,32ab1845-6860-4d9b-bfd7-13f18fe84a08,0.02187205,0.00019558,0.0005254,0.16298333,6,0.9779,1763152869188,0.16714,6,0.15921,Trade,1,0.95526,2025-11-14 20:41:09,2025-11-14 20:41:09
DOGEUSDT,Market,20,1763152883065,Buy,4756a8ba-8af5-4c75-a0ca-31bea68ed8bd,0.91834581,0.00752985,0.02018571,0.16298333,231,37.64915,1763132592665,0.16682,231,0.15888,Trade,1,36.70128,2025-11-14 15:03:12,2025-11-14 20:41:23
DOGEUSDT,Market,20,1763131147100,Sell,aa5af19a-af02-457d-8dda-49c48bca7f95,0.69343199,0.00752825,0.02109976,0.15882334,237,37.64113,1763131147097,0.15386,237,0.16187,Trade,1,38.36319,2025-11-14 14:39:07,2025-11-14 14:39:07
DOGEUSDT,Market,20,1763131048535,Sell,d8a6ec7f-71dc-4d86-92dd-d646614e99f7,0.01641587,0.00019058,0.00053355,0.15882334,6,0.95294,1763131048532,0.15368,6,0.16168,Trade,1,0.97008,2025-11-14 14:37:28,2025-11-14 14:37:28
