symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
DOGEUSDT,Market,,,3e98db0d-18da-4cb4-9b26-861e2e8048f7,TakeProfit,1763728797953,USDT,CreateByTakeProfit,-0.00807106,0.00055,,,0.13844,0.13844,,106,0.13152,14.67464,106,Trade,291764338273,Sell,,0,False,0.00807106,1399863a-9276-5978-b1c6-b0d1a62f3bdb,,106,,2025-11-21 12:39:57
DOGEUSDT,Limit,,,51660da2-4195-41b7-af13-ce66a7584936,UNKNOWN,1763726010007,USDT,CreateByUser,-0.00289211,0.0002,,,0.13724,0.13642,,106,0.13642,14.46052,0,Trade,291735446898,Buy,,0,True,0.00289211,33ec6c6b-0277-58cb-bc8e-c27b1b74d4e4,,106,,2025-11-21 11:53:30
DOGEUSDT,Market,,,2581c5ec-9b76-4046-bc8f-f1785a19a7a7,StopLoss,1763665344977,USDT,CreateByStopLoss,-0.02125002,0.00055,,,0.14642,0.14635,,264,0.14228,38.6364,264,Trade,291410012239,Sell,,0,False,0.02125002,68984d9e-53a4-5389-8239-56444a119eed,,264,,2025-11-20 19:02:24
DOGEUSDT,Limit,,,81656f2f-b6bb-42e0-a27d-24f86b7ab3a0,UNKNOWN,1763660922645,USDT,CreateByUser,-0.00259829,0.0002,,,0.15046,0.14763,,88,0.14763,12.99144,0,Trade,291383323983,Buy,,0,True,0.00259829,aa9bb982-9957-5085-a219-8bf86665158d,,88,,2025-11-20 17:48:42
DOGEUSDT,Limit,,,a4e3d0dc-a928-402d-99c0-267e65c6f7c0,UNKNOWN,1763657373066,USDT,CreateByUser,-0.00264652,0.0002,,,0.15134,0.15037,,88,0.15037,13.23256,0,Trade,291349687931,Buy,,0,True,0.00264652,720b8785-87da-5b01-8573-39aacf9e5eb3,,88,,2025-11-20 16:49:33
DOGEUSDT,Limit,,,794765e4-ed0d-473b-a53d-11c54ec84b1f,UNKNOWN,1763656695983,USDT,CreateByUser,-0.00266253,0.0002,,,0.15218,0.15128,,88,0.15128,13.31264,0,Trade,291343790768,Buy,,0,True,0.00266253,89e28a33-d260-5d75-9f51-8c610df7c03c,,88,,2025-11-20 16:38:15
DOGEUSDT,Market,,,b80e7eaf-39b7-4d0e-b296-b3698df7a3c9,TakeProfit,1763654741878,USDT,CreateByTakeProfit,-0.00744594,0.00055,,,0.15566,0.15561,,87,0.16344,13.53807,87,Trade,291321458641,Buy,,0,False,0.00744594,6ba1211e-8d5f-54b6-b200-9ec4f3897a29,,87,,2025-11-20 16:05:41
DOGEUSDT,UNKNOWN,,,b962695e-c200-4fce-9c03-0bd20de46fec,UNKNOWN,1763654400000,USDT,,0.00136869,-0.0001,,,0.15689,0.15732,,0,0,13.68684,0,Funding,291318464158,Sell,,0,False,-0.00136869,bc5e1d58-d1f0-4e02-9e5b-b5b79dfde253,,87,,2025-11-20 16:00:00
DOGEUSDT,UNKNOWN,,,d75d04ef-abfd-4dbf-97d3-7d7bf0e5790a,UNKNOWN,1763625600000,USDT,,0.00137591,-0.0001,,,0.15689,0.15815,,0,0,13.75905,0,Funding,291204560682,Sell,,0,False,-0.00137591,89ad1b95-229a-4223-ae1b-f72120d37c8f,,87,,2025-11-20 08:00:00
DOGEUSDT,Limit,,,639fef44-4146-482c-b68f-7a161bab1aa4,UNKNOWN,1763607343025,USDT,CreateByUser,-0.00275094,0.0002,,,0.15715,0.1581,,87,0.1581,13.7547,0,Trade,291145428549,Sell,,0,True,0.00275094,bd211341-8b58-5869-ac12-32fd2732cd14,,87,,2025-11-20 02:55:43
DOGEUSDT,Market,,,171780f9-364e-4a6e-88c0-5dbb09ebd448,StopLoss,1763604399220,USDT,CreateByStopLoss,-0.00008662,0.00055,,,0.15748,0.15748,,190,0.1626,0.15748,1,Trade,291135221784,Buy,,178,False,0.00008662,2d3a0b50-5c43-558d-b6fe-c535c1c45152,,1,,2025-11-20 02:06:39
DOGEUSDT,Market,,,171780f9-364e-4a6e-88c0-5dbb09ebd448,StopLoss,1763604399220,USDT,CreateByStopLoss,-0.00025985,0.00055,,,0.15748,0.15748,,190,0.1626,0.47244,3,Trade,291135221784,Buy,,187,False,0.00025985,f5590a10-e4d9-5826-8320-0c6fdf6f3675,,3,,2025-11-20 02:06:39
DOGEUSDT,Market,,,171780f9-364e-4a6e-88c0-5dbb09ebd448,StopLoss,1763604399220,USDT,CreateByStopLoss,-0.0006063,0.00055,,,0.15748,0.15748,,190,0.1626,1.10236,7,Trade,291135221784,Buy,,180,False,0.0006063,7d709044-cfe0-5da2-8a9d-712b278e8d6b,,7,,2025-11-20 02:06:39
DOGEUSDT,Market,,,171780f9-364e-4a6e-88c0-5dbb09ebd448,StopLoss,1763604399220,USDT,CreateByStopLoss,-0.00008662,0.00055,,,0.15748,0.15748,,190,0.1626,0.15748,1,Trade,291135221784,Buy,,177,False,0.00008662,88e8fdf5-a8ff-55a4-ac03-9b222a8ac294,,1,,2025-11-20 02:06:39
DOGEUSDT,Market,,,171780f9-364e-4a6e-88c0-5dbb09ebd448,StopLoss,1763604399220,USDT,CreateByStopLoss,-0.00008662,0.00055,,,0.15748,0.15748,,190,0.1626,0.15748,1,Trade,291135221784,Buy,,176,False,0.00008662,e851a054-c86c-59f6-be0f-29ceabd71e29,,1,,2025-11-20 02:06:39
DOGEUSDT,Market,,,171780f9-364e-4a6e-88c0-5dbb09ebd448,StopLoss,1763604399220,USDT,CreateByStopLoss,-0.00086614,0.00055,,,0.15748,0.15748,,190,0.1626,1.5748,10,Trade,291135221784,Buy,,166,False,0.00086614,47055c38-ee2a-5eee-90f4-d07b5e34f696,,10,,2025-11-20 02:06:39
DOGEUSDT,Market,,,171780f9-364e-4a6e-88c0-5dbb09ebd448,StopLoss,1763604399220,USDT,CreateByStopLoss,-0.01437793,0.00055,,,0.15748,0.15748,,190,0.1626,26.14168,166,Trade,291135221784,Buy,,0,False,0.01437793,8e6552b6-6e9c-5cc9-b018-f16b049a6db7,,166,,2025-11-20 02:06:39
DOGEUSDT,Market,,,171780f9-364e-4a6e-88c0-5dbb09ebd448,StopLoss,1763604399220,USDT,CreateByStopLoss,-0.00008662,0.00055,,,0.15748,0.15748,,190,0.1626,0.15748,1,Trade,291135221784,Buy,,179,False,0.00008662,1246fcc1-a0ba-562e-9452-e2a09db8621b,,1,,2025-11-20 02:06:39
DOGEUSDT,Limit,,,55ff57cb-ef0e-48c1-ac7a-b592e4317e39,UNKNOWN,1763599088992,USDT,CreateByUser,-0.00295032,0.0002,,,0.15444,0.15528,,95,0.15528,14.7516,0,Trade,291115341273,Sell,,0,True,0.00295032,8594dba4-5a7d-51c5-bce4-98a6ce45574b,,95,,2025-11-20 00:38:08
DOGEUSDT,UNKNOWN,,,7a868355-9bf6-49b5-a745-54c13afbd3e1,UNKNOWN,1763596800000,USDT,,0.00074381,-0.00005,,,0.15444,0.15452,,0,0,14.6794,0,Funding,291106977580,Sell,,0,False,-0.00074381,fbe4f072-ebd5-428f-8418-d59737dba1fd,,95,,2025-11-20 00:00:00
DOGEUSDT,Limit,,,202e2647-5a50-4320-a180-ceec2997d2e3,UNKNOWN,1763595303135,USDT,CreateByUser,-0.00293455,0.0002,,,0.15436,0.15445,,95,0.15445,14.67275,0,Trade,291102709301,Sell,,0,True,0.00293455,b2daf467-102f-539e-b94d-2cfbcd56afe7,,95,,2025-11-19 23:35:03
DOGEUSDT,Market,,,277dc7e5-59a3-46c5-8a78-24d276232658,UNKNOWN,1763582842764,USDT,CreateByClosing,-0.00285343,0.00055,,,0.14825,0.14823,,216,0.14084,5.18805,35,Trade,291048231820,Sell,,0,False,0.00285343,54a29544-6036-52ec-83da-3b6ed4929ee2,,35,,2025-11-19 20:07:22
DOGEUSDT,Market,,,277dc7e5-59a3-46c5-8a78-24d276232658,UNKNOWN,1763582842764,USDT,CreateByClosing,-0.00309801,0.00055,,,0.14825,0.14823,,216,0.14084,5.63274,38,Trade,291048231820,Sell,,35,False,0.00309801,c35a620d-c23e-5203-948e-25b25a0eb279,,38,,2025-11-19 20:07:22
DOGEUSDT,Market,,,277dc7e5-59a3-46c5-8a78-24d276232658,UNKNOWN,1763582842764,USDT,CreateByClosing,-0.00334259,0.00055,,,0.14825,0.14823,,216,0.14084,6.07743,41,Trade,291048231820,Sell,,73,False,0.00334259,15f5741c-a356-5a82-b97b-45983ad9b8bc,,41,,2025-11-19 20:07:22
DOGEUSDT,Market,,,277dc7e5-59a3-46c5-8a78-24d276232658,UNKNOWN,1763582842764,USDT,CreateByClosing,-0.00277191,0.00055,,,0.14825,0.14823,,216,0.14084,5.03982,34,Trade,291048231820,Sell,,114,False,0.00277191,1050180a-1699-54a1-a324-98c33713a27c,,34,,2025-11-19 20:07:22
DOGEUSDT,Market,,,277dc7e5-59a3-46c5-8a78-24d276232658,UNKNOWN,1763582842764,USDT,CreateByClosing,-0.00554381,0.00055,,,0.14825,0.14823,,216,0.14084,10.07964,68,Trade,291048231820,Sell,,148,False,0.00554381,61b6a00c-0cbd-5172-93aa-885a948ca971,,68,,2025-11-19 20:07:22
DOGEUSDT,Limit,,,d7e04ca4-f678-45cd-9c07-52eae75a8bf5,UNKNOWN,1763576811670,USDT,CreateByUser,-0.00318708,0.0002,,,0.1485,0.14755,,108,0.14755,15.9354,0,Trade,291019003847,Buy,,0,True,0.00318708,8aff5055-4873-5400-b933-c78bb735993e,,108,,2025-11-19 18:26:51
DOGEUSDT,Limit,,,f24f7285-b39f-4ab7-8659-d18052bf71ff,UNKNOWN,1763576182087,USDT,CreateByUser,-0.00320652,0.0002,,,0.14937,0.14845,,108,0.14845,16.0326,0,Trade,291015271955,Buy,,0,True,0.00320652,dfbe8832-1d4c-5e3e-b15f-eb5601614dea,,108,,2025-11-19 18:16:22
DOGEUSDT,Market,,,2624be80-61c7-4b45-aed9-fff8a60d3717,StopLoss,1763573872363,USDT,CreateByStopLoss,-0.02745204,0.00055,,,0.14856,0.14855,,336,0.14433,49.9128,336,Trade,291000625972,Sell,,0,False,0.02745204,e21d755c-6ab2-5703-a53c-cfd70617b653,,336,,2025-11-19 17:37:52
DOGEUSDT,Limit,,,a8f5d1bd-b6ea-4176-877f-a588b538a1f5,UNKNOWN,1763573836514,USDT,CreateByUser,-0.00335463,0.0002,,,0.1526,0.14976,,112,0.14976,16.77312,0,Trade,291000088092,Buy,,0,True,0.00335463,bbcbc4cf-c4da-54b9-a515-e5ea45e2d943,,112,,2025-11-19 17:37:16
DOGEUSDT,Limit,,,ea229c6f-8419-4ab3-8058-4f854ba40eac,UNKNOWN,1763570112353,USDT,CreateByUser,-0.0034169,0.0002,,,0.15364,0.15254,,112,0.15254,17.08448,0,Trade,290977848279,Buy,,0,True,0.0034169,6a4e798d-c84c-5b98-92c0-12eaf801a499,,112,,2025-11-19 16:35:12
