symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable
ETHUSDT,Market,20,1763744831466,Buy,8d9561ac-0c1d-422a-b10b-28130879155a,-0.47473228,0.01103842,0.03059386,2759.605,0.02,55.1921,1763744348176,2837.79,0.02,2781.26,Trade,1,55.6252,2025-11-21 16:59:08,2025-11-21 17:07:11
ETHUSDT,Market,20,1763739423000,Buy,10ec780a-2135-448b-ba62-52fc1a93211f,0.3812162,0.00549458,0.01488922,2747.29,0.01,27.4729,1763739422996,2763.72,0.01,2707.13,Trade,1,27.0713,2025-11-21 15:37:02,2025-11-21 15:37:03
ETHUSDT,Market,20,1763688239470,Buy,0fcc8f2d-c1c1-421d-98a1-69f2c0793521,-0.61133249,0.01139198,0.03164051,2847.995,0.02,56.9599,1763683329647,2933.8,0.02,2876.41,Trade,1,57.5282,2025-11-21 00:02:09,2025-11-21 01:23:59
ETHUSDT,Market,20,1763670089584,Sell,364e1764-c985-4c71-912c-ae651b3d8b99,0.26171415,0.00563472,0.01565113,2817.36,0.01,28.1736,1763670089580,2788.92,0.01,2845.66,Trade,1,28.4566,2025-11-20 20:21:29,2025-11-20 20:21:29
ETHUSDT,Market,20,1763666870333,Sell,96cd5b2b-a44d-4163-996a-f39f628e9a50,0.47068195,0.005586,0.01563205,2793,0.01,27.93,1763666870330,2785.73,0.01,2842.19,Trade,1,28.4219,2025-11-20 19:27:50,2025-11-20 19:27:50
ETHUSDT,Market,20,1763658255298,Sell,47c17603-5126-4122-b009-dcfe28ba7325,-0.72224715,0.0114989,0.03124825,2874.725,0.02,57.4945,1763655743293,2784.67,0.02,2840.75,Trade,1,56.815,2025-11-20 16:22:23,2025-11-20 17:04:15
ETHUSDT,Market,20,1763654645361,Sell,9f46012a-6501-4b48-a6b3-3f0bfb08f0d1,-0.62067297,0.01186096,0.03230381,2965.24,0.02,59.3048,1763653715632,2878.44,0.02,2936.71,Trade,1,58.7342,2025-11-20 15:48:35,2025-11-20 16:04:05
ETHUSDT,Market,20,1763651192419,Buy,dcabdf42-84e7-46b8-9903-58b4648cac50,0.44308404,0.00601496,0.01628781,3007.48,0.01,30.0748,1763593636393,3020.48,0.01,2961.42,Trade,1,29.6142,2025-11-19 23:07:16,2025-11-20 15:06:32
ETHUSDT,Market,20,1763587561244,Sell,d0afb634-3387-4f17-91a2-53517c548e74,0.7868244,0.01179154,0.03288406,2947.885,0.02,58.9577,1763587561240,2928.89,0.02,2989.46,Trade,1,59.7892,2025-11-19 21:26:01,2025-11-19 21:26:01
ETHUSDT,Market,20,1763536936082,Sell,20de455f-c872-4616-a0a1-194f4a8f9dfa,0.79731873,0.01203138,0.03354989,3007.845,0.02,60.1569,1763536936079,2989.14,0.02,3049.99,Trade,1,60.9998,2025-11-19 07:22:16,2025-11-19 07:22:16
ETHUSDT,Market,20,1763477772792,Buy,ecf16f9b-68c6-4b99-8b9d-fe7d2b9f6043,0.29124539,0.0123307,0.03372391,3082.675,0.02,61.6535,1763477772789,3127.16,0.02,3065.81,Trade,1,61.3162,2025-11-18 14:56:12,2025-11-18 14:56:12
ETHUSDT,Market,20,1763472916460,Buy,ef4296c0-da28-424f-b2f5-1d2e2327dbd4,0.30447954,0.00613346,0.016687,3066.73,0.01,30.6673,1763472916456,3095.19,0.01,3034,Trade,1,30.34,2025-11-18 13:35:16,2025-11-18 13:35:16
ETHUSDT,Market,20,1763463650711,Sell,e91578af-bf9c-4d2b-a483-89c1b4422b17,0.83695352,0.01208166,0.03371214,3020.415,0.02,60.4083,1763463650708,3003.3,0.02,3064.74,Trade,1,61.2948,2025-11-18 11:00:50,2025-11-18 11:00:50
ETHUSDT,Market,20,1763402790981,Sell,5368c4ce-1db9-41d4-b231-95ab8a8955d7,0.13841808,0.0122348,0.03374712,3058.7,0.02,61.174,1763402790978,3007,0.02,3067.92,Trade,2,61.3584,2025-11-17 18:06:30,2025-11-17 18:06:30
ETHUSDT,Market,20,1763385036630,Buy,4ced073a-95fb-4fa0-abfe-ff9628916eee,0.63571025,0.01284418,0.03494557,3211.045,0.02,64.2209,1763385036627,3240.39,0.02,3176.87,Trade,1,63.5374,2025-11-17 13:10:36,2025-11-17 13:10:36
ETHUSDT,Market,20,1763353612726,Buy,ae3647a1-c0ef-4807-92d2-a1f5a5e871a9,-1.11803045,0.01254446,0.03508599,3136.115,0.02,62.7223,1763340534401,3253.04,0.02,3189.635,Trade,2,63.7927,2025-11-17 00:48:54,2025-11-17 04:26:52
ETHUSDT,Market,20,1763242141966,Buy,1d617009-3cc6-4383-829e-285d3c94cb9d,0.50100119,0.01282684,0.03497197,3206.71,0.02,64.1342,1763242141963,3243,0.02,3179.27,Trade,1,63.5854,2025-11-15 21:29:01,2025-11-15 21:29:01
ETHUSDT,Market,20,1763174747787,Sell,543f815e-b552-4659-8f27-7bebcfe34797,1.53500098,0.01244982,0.03510794,3112.455,0.02,62.2491,1763161479277,3127.81,0.02,3191.63,Trade,2,63.8326,2025-11-14 23:04:39,2025-11-15 02:45:47
ETHUSDT,Market,20,1763152889490,Buy,a97316c1-23ee-43aa-baca-d410e72f456e,0.96543061,0.0127537,0.03451569,3188.425,0.02,63.7685,1763152889486,3201.49,0.02,3137.79,Trade,1,62.7558,2025-11-14 20:41:29,2025-11-14 20:41:29
ETHUSDT,Market,20,1763137680878,Buy,85334146-c87d-40f6-9416-b27f25404210,-0.74514192,0.01281566,0.03562626,3203.915,0.02,64.0783,1763136098959,3303.72,0.02,3238.75,Trade,2,64.775,2025-11-14 16:01:38,2025-11-14 16:28:00
ETHUSDT,Market,20,1763127279792,Sell,f3d65810-fb08-4424-bc9a-efd8c203a7ae,-0.635829,0.01244086,0.03388814,3110.215,0.02,62.2043,1763126226553,3018.6,0.02,3080.74,Trade,1,61.6148,2025-11-14 13:17:06,2025-11-14 13:34:39
ETHUSDT,Market,20,1763119935358,Buy,ba386997-87aa-44c9-b4d0-09bbeb2154d9,0.43002798,0.00637908,0.01729294,3189.54,0.01,31.8954,1763119935355,3206.86,0.01,3144.17,Trade,1,31.4417,2025-11-14 11:32:15,2025-11-14 11:32:15
ETHUSDT,Market,20,1763108885480,Buy,4c6a8c7a-9aff-4c5b-8155-75ddb750b26b,0.74080101,0.01291324,0.0350778,3228.31,0.02,64.5662,1763108885477,3252.56,0.02,3188.89,Trade,2,63.7778,2025-11-14 08:28:05,2025-11-14 08:28:05
ETHUSDT,Market,20,1763007481652,Sell,0e0a98d8-6f7c-4668-b607-d35da676cf72,1.67210011,0.0136006,0.03834832,3400.15,0.02,68.003,1762984511095,3416.49,0.02,3486.21,Trade,2,69.7242,2025-11-12 21:55:11,2025-11-13 04:18:01
ETHUSDT,Market,20,1762979205550,Sell,30efdf27-c80f-419e-9b1e-6fd5479939e4,0.46478133,0.00675972,0.01885895,3379.86,0.01,33.7986,1762979205547,3360.49,0.01,3428.9,Trade,1,34.289,2025-11-12 20:26:45,2025-11-12 20:26:45
ETHUSDT,Market,20,1762974874847,Sell,4422f106-2a97-4625-8bf5-21f3b2530813,-0.81458367,0.01370764,0.03727603,3426.91,0.02,68.5382,1762970731076,3321.69,0.02,3388.73,Trade,1,67.7746,2025-11-12 18:05:31,2025-11-12 19:14:34
ETHUSDT,Market,20,1762970002276,Sell,dc57761b-3b6e-466a-b605-a14e9cac17e4,0.80576457,0.01356374,0.03777169,3390.935,0.02,67.8187,1762970002273,3365.12,0.02,3433.79,Trade,1,68.6758,2025-11-12 17:53:22,2025-11-12 17:53:22
ETHUSDT,Market,20,1762962779917,Sell,7fe86620-56fb-4717-b857-1f7591034da4,-0.82202313,0.01387916,0.03774397,3469.79,0.02,69.3958,1762961715663,3361.63,0.02,3431.27,Trade,1,68.6254,2025-11-12 15:35:15,2025-11-12 15:52:59
ETHUSDT,Market,20,1762959009191,Buy,3c32d240-3f02-45d9-9394-ce7aa7618f16,1.10510264,0.01422244,0.03847492,3555.61,0.02,71.1122,1762959009187,3567.55,0.02,3497.72,Trade,1,69.9544,2025-11-12 14:50:09,2025-11-12 14:50:09
ETHUSDT,Market,20,1762942991830,Buy,0e6faf81-64f6-45c1-ab99-dd37bd09ef5a,-0.50055842,0.006906,0.01925242,3453,0.01,34.53,1762935858063,3570.43,0.01,3500.44,Trade,1,35.0044,2025-11-12 08:24:18,2025-11-12 10:23:11
ETHUSDT,Market,20,1762897158749,Sell,515488b4-b423-467b-9f0e-22ed667a61ca,-0.11647089,0.0136818,0.03758909,3420.45,0.02,68.409,1762896781060,3348.97,0.02,3417.19,Trade,1,68.3438,2025-11-11 21:33:01,2025-11-11 21:39:18
ETHUSDT,Market,20,1762891664827,Sell,70e9c3cd-cbaf-4f17-9f4f-e5ab64b87542,-0.75309516,0.0139149,0.03788026,3478.725,0.02,69.5745,1762879838932,3374.54,0.02,3443.66,Trade,1,68.8732,2025-11-11 16:50:38,2025-11-11 20:07:44
ETHUSDT,Market,20,1762542764380,Buy,7dc83a42-20c0-4fa8-a519-e12c2bebda54,-1.09315461,0.00665798,0.01889663,3328.99,0.01,33.2899,1762532899134,3495.43,0.01,3435.75,Trade,1,34.3575,2025-11-07 16:28:19,2025-11-07 19:12:44
ETHUSDT,Market,20,1762526682366,Sell,570334fd-db3e-4b5a-a2fc-13e48a237cea,0.46075857,0.0064199,0.01792153,3209.95,0.01,32.0995,1762518520034,3192.15,0.01,3258.46,Trade,1,32.5846,2025-11-07 12:28:40,2025-11-07 14:44:42
ETHUSDT,Market,20,1762514418308,Sell,b15f321f-a3c0-4a1a-b141-bf119dc5a919,-1.44841904,0.01970012,0.05341892,3283.3534,0.03,98.5006,1762509834084,3172.97,0.03,3237.51,Trade,1,97.1253,2025-11-07 10:03:54,2025-11-07 11:20:18
