symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
ETHUSDT,Market,,,8d9561ac-0c1d-422a-b10b-28130879155a,StopLoss,1763744831464,USDT,CreateByStopLoss,-0.03059386,0.00055,,,2782.15,2781.26,,0.02,2837.79,55.6252,0.02,Trade,333610691339,Buy,,0,False,0.03059386,da2dd0d8-a526-5c20-b553-1cac730ce133,,0.02,,2025-11-21 17:07:11
ETHUSDT,Limit,,,b37032fe-7a1a-42e8-be16-aa7cc6d3e7da,UNKNOWN,1763744330558,USDT,CreateByUser,-0.00552736,0.0002,,,2752.48,2763.68,,0.01,2763.68,27.6368,0,Trade,333604283261,Sell,,0,True,0.00552736,3860373f-bd57-5347-a498-fad774b3351d,,0.01,,2025-11-21 16:58:50
ETHUSDT,Limit,,,d2f0120a-e457-4288-8ddb-b9fb3ac65f61,UNKNOWN,1763744018939,USDT,CreateByUser,-0.00551106,0.0002,,,2709.53,2755.53,,0.01,2755.53,27.5553,0,Trade,333600722217,Sell,,0,True,0.00551106,7975f4af-6692-5641-ae24-bba989c6e827,,0.01,,2025-11-21 16:53:38
ETHUSDT,Market,,,10ec780a-2135-448b-ba62-52fc1a93211f,UNKNOWN,1763739422997,USDT,CreateByUser,-0.01488922,0.00055,,,2709.53,2707.13,,0.01,2763.72,27.0713,0.01,Trade,333540865404,Buy,,0,False,0.01488922,f4ebcfaa-d0b1-5947-8c35-afcd241788d6,,0.01,,2025-11-21 15:37:02
ETHUSDT,Limit,,,402d813c-df5a-408d-8cd4-ae4f91efc7e6,UNKNOWN,1763738710325,USDT,CreateByUser,-0.00549458,0.0002,,,2730.57,2747.29,,0.01,2747.29,27.4729,0,Trade,333532393198,Sell,,0,True,0.00549458,24b20c8f-c467-5315-b957-e046a8ab6a5a,,0.01,,2025-11-21 15:25:10
ETHUSDT,Market,,,0fcc8f2d-c1c1-421d-98a1-69f2c0793521,StopLoss,1763688239468,USDT,CreateByStopLoss,-0.03164051,0.00055,,,2876.28,2876.41,,0.02,2933.8,57.5282,0.02,Trade,333092238535,Buy,,0,False,0.03164051,99688276-9d4b-5ac4-93ee-639bf5ef4064,,0.02,,2025-11-21 01:23:59
ETHUSDT,Limit,,,f569dc5a-f500-4560-b302-8742bf3fea17,UNKNOWN,1763683372114,USDT,CreateByUser,-0.00570598,0.0002,,,2842.66,2852.99,,0.01,2852.99,28.5299,0,Trade,333064188829,Sell,,0,True,0.00570598,6658a6bb-b7a7-5069-b286-202f1119c5cf,,0.01,,2025-11-21 00:02:52
ETHUSDT,Limit,,,b0c5f687-34cc-4d9b-8d15-d7fe3fb4a7e1,UNKNOWN,1763683329643,USDT,CreateByUser,-0.005686,0.0002,,,2835.81,2843,,0.01,2843,28.43,0,Trade,333063768213,Sell,,0,True,0.005686,2af94f8d-df7b-57db-87c1-f09a45822236,,0.01,,2025-11-21 00:02:09
ETHUSDT,Market,,,364e1764-c985-4c71-912c-ae651b3d8b99,UNKNOWN,1763670089581,USDT,CreateByUser,-0.01565113,0.00055,,,2845.83,2845.66,,0.01,2788.92,28.4566,0.01,Trade,332993729736,Sell,,0,False,0.01565113,e8b5262e-d89e-552e-968c-0480640cfd85,,0.01,,2025-11-20 20:21:29
ETHUSDT,Limit,,,c97d542d-40d4-4014-b348-bb35ae122620,UNKNOWN,1763669632610,USDT,CreateByUser,-0.00563472,0.0002,,,2834.71,2817.36,,0.01,2817.36,28.1736,0,Trade,332990605944,Buy,,0,True,0.00563472,31d61f8c-538e-519a-a612-470a0e38eeca,,0.01,,2025-11-20 20:13:52
