symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
ICPUSDT,Market,,,46a93ca6-1538-42cc-b92f-421095300bab,UNKNOWN,1763682278751,USDT,CreateByUser,-0.00691713,0.00055,,,4.659,4.658,,2.7,4.891,12.5766,2.7,Trade,284915056139,Buy,,0,False,0.00691713,531b0c66-5733-563c-9eee-2373ffbbef0e,,2.7,,2025-11-20 23:44:38
ICPUSDT,Limit,,,8f2b7d69-6b42-4eb6-8aa9-b3d55765068d,UNKNOWN,1763679652138,USDT,CreateByUser,-0.002565,0.0002,,,4.744,4.75,,2.7,4.75,12.825,0,Trade,284906310568,Sell,,0,True,0.002565,c571ddeb-a5e9-5a29-b03a-84f829808f8e,,2.7,,2025-11-20 23:00:52
ICPUSDT,Market,,,98841e58-a897-4d10-b22e-fa458c7773fd,StopLoss,1763669395155,USDT,CreateByStopLoss,-0.01422036,0.00055,,,4.618,4.617,,7.8,4.451,25.8552,5.6,Trade,284871587648,Sell,,0,False,0.01422036,2c49f3ad-00a5-5cea-8a58-5c94af32d4a9,,5.6,,2025-11-20 20:09:55
ICPUSDT,Market,,,98841e58-a897-4d10-b22e-fa458c7773fd,StopLoss,1763669395155,USDT,CreateByStopLoss,-0.00558657,0.00055,,,4.618,4.617,,7.8,4.451,10.1574,2.2,Trade,284871587648,Sell,,5.6,False,0.00558657,2f5ee8c4-b593-598b-b279-26f376dde435,,2.2,,2025-11-20 20:09:55
ICPUSDT,Limit,,,af71fddd-2f03-4218-b6ff-57b09d7c7f98,UNKNOWN,1763661845885,USDT,CreateByUser,-0.00242372,0.0002,,,4.691,4.661,,2.6,4.661,12.1186,0,Trade,284833293270,Buy,,0,True,0.00242372,1d74eb9f-f7aa-5960-bd83-580a7de30545,,2.6,,2025-11-20 18:04:05
ICPUSDT,Limit,,,3e2bf153-c200-4684-bdff-7e2556d3a133,UNKNOWN,1763660967014,USDT,CreateByUser,-0.00243828,0.0002,,,4.705,4.689,,2.6,4.689,12.1914,0,Trade,284827584020,Buy,,0,True,0.00243828,fe8fc2cb-152d-586f-9a3c-2915267db95d,,2.6,,2025-11-20 17:49:27
ICPUSDT,Limit,,,b7ab0c63-f717-4be4-badd-411a918be0b6,UNKNOWN,1763660851632,USDT,CreateByUser,-0.00244556,0.0002,,,4.719,4.703,,2.6,4.703,12.2278,0,Trade,284826871714,Buy,,0,True,0.00244556,093a9106-e9e3-57c5-89aa-b47bd4e93c34,,2.6,,2025-11-20 17:47:31
ICPUSDT,Market,,,f4ef2485-93ca-4955-88d4-343992bf061f,StopLoss,1763658915154,USDT,CreateByStopLoss,-0.02237945,0.00055,,,4.678,4.677,,8.7,4.547,40.6899,8.7,Trade,284810161122,Sell,,0,False,0.02237945,10547e49-31b3-5a7a-9af9-a0ee4c87dc22,,8.7,,2025-11-20 17:15:15
ICPUSDT,Limit,,,7e0f2f03-a813-4838-a151-d308545bf9d7,UNKNOWN,1763655688458,USDT,CreateByUser,-0.00273644,0.0002,,,4.811,4.718,,2.9,4.718,13.6822,0,Trade,284779374403,Buy,,0,True,0.00273644,f34015fb-72bc-5755-af57-8d0802287f78,,2.9,,2025-11-20 16:21:28
ICPUSDT,Limit,,,2bd72644-ae90-4dd8-a252-dff275e4cc87,UNKNOWN,1763654857608,USDT,CreateByUser,-0.0027869,0.0002,,,4.838,4.805,,2.9,4.805,13.9345,0,Trade,284769695125,Buy,,0,True,0.0027869,2ef99078-dbb7-5eb9-887a-315575ba6880,,2.9,,2025-11-20 16:07:37
