symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
KASUSDT,Market,,,b01143ff-e36f-459d-aabf-a047044578ef,StopLoss,1763745893157,USDT,CreateByStopLoss,-0.02266688,0.00055,,,0.03925,0.03925,,1050,0.04072,41.2125,1050,Trade,265296417449,Buy,,0,False,0.02266688,6555d2e5-4c90-5373-b3d5-5de7bb09ab1a,,1050,,2025-11-21 17:24:53
KASUSDT,Limit,,,f22a1bae-315a-4901-bf56-da874c19cfae,UNKNOWN,1763744611101,USDT,CreateByUser,-0.0027258,0.0002,,,0.03877,0.03894,,350,0.03894,13.629,0,Trade,265288231694,Sell,,0,True,0.0027258,6bf2edfb-2889-541a-9fee-db567838bcb7,,350,,2025-11-21 17:03:31
KASUSDT,Limit,,,2f5197c8-e5a2-4c3a-b25d-e4b9d8727179,UNKNOWN,1763744176169,USDT,CreateByUser,-0.0027174,0.0002,,,0.0386,0.03882,,350,0.03882,13.587,0,Trade,265284970452,Sell,,0,True,0.0027174,bee9c86c-c6d7-5f01-9a99-7ff432381c9d,,350,,2025-11-21 16:56:16
KASUSDT,Limit,,,50b21ad1-1a49-46be-9f77-e8705b650d64,UNKNOWN,1763744042936,USDT,CreateByUser,-0.0027027,0.0002,,,0.03837,0.03861,,350,0.03861,13.5135,0,Trade,265284062525,Sell,,0,True,0.0027027,a923c7bc-83e0-5cee-b186-0a57354c9784,,350,,2025-11-21 16:54:02
KASUSDT,Market,,,f7580333-cddd-486e-ae21-17c1e90d08ff,StopLoss,1763735665018,USDT,CreateByStopLoss,-0.00316058,0.00055,,,0.03831,0.03831,,1140,0.03975,5.7465,150,Trade,265227079442,Buy,,170,False,0.00316058,ec377f27-63eb-5750-9b6a-749e7659429d,,150,,2025-11-21 14:34:25
KASUSDT,Market,,,f7580333-cddd-486e-ae21-17c1e90d08ff,StopLoss,1763735665018,USDT,CreateByStopLoss,-0.0042141,0.00055,,,0.03831,0.03831,,1140,0.03975,7.662,200,Trade,265227079442,Buy,,320,False,0.0042141,a0f9eefb-b4b7-56ba-9bc7-71d0f346f7a3,,200,,2025-11-21 14:34:25
KASUSDT,Market,,,f7580333-cddd-486e-ae21-17c1e90d08ff,StopLoss,1763735665018,USDT,CreateByStopLoss,-0.0130603,0.00055,,,0.03831,0.0383,,1140,0.03975,23.746,620,Trade,265227079442,Buy,,520,False,0.0130603,11a444f2-8db4-5f12-8d70-5f23ccaba87d,,620,,2025-11-21 14:34:25
KASUSDT,Market,,,f7580333-cddd-486e-ae21-17c1e90d08ff,StopLoss,1763735665018,USDT,CreateByStopLoss,-0.00358199,0.00055,,,0.03831,0.03831,,1140,0.03975,6.5127,170,Trade,265227079442,Buy,,0,False,0.00358199,5927d82b-59ca-5235-9099-b2c76bf65312,,170,,2025-11-21 14:34:25
KASUSDT,Limit,,,693d10a0-4966-44f2-9e00-7f02970866df,UNKNOWN,1763731052104,USDT,CreateByUser,-0.002888,0.0002,,,0.03778,0.038,,380,0.038,14.44,0,Trade,265202531757,Sell,,0,True,0.002888,80c88e72-ed0c-5247-abf2-8591a5ab0470,,380,,2025-11-21 13:17:32
KASUSDT,Limit,,,9b4aca21-6c19-4657-9179-499b52806723,UNKNOWN,1763729132433,USDT,CreateByUser,-0.0018905,0.0002,,,0.03778,0.03781,,380,0.03781,9.4525,0,Trade,265190290295,Sell,,0,True,0.0018905,58217cc5-ef3a-5d9f-aecf-05cba93b97bf,,250,,2025-11-21 12:45:32
KASUSDT,Limit,,,9b4aca21-6c19-4657-9179-499b52806723,UNKNOWN,1763729127191,USDT,CreateByUser,-0.00098306,0.0002,,,0.03774,0.03781,,380,0.03781,4.9153,0,Trade,265190242023,Sell,,250,True,0.00098306,a35a6ad9-5442-59c5-9667-ba3f3f1c0203,,130,,2025-11-21 12:45:27
KASUSDT,Limit,,,06a71cb2-45e9-4960-8267-4d6b94506a06,UNKNOWN,1763729123631,USDT,CreateByUser,-0.00287052,0.0002,,,0.03754,0.03777,,380,0.03777,14.3526,0,Trade,265190202726,Sell,,0,True,0.00287052,418c965c-c0d5-58d1-b47b-913d9db4500e,,380,,2025-11-21 12:45:23
KASUSDT,Market,,,97192d42-7d5a-4c67-b9ef-41f975fe30a6,TakeProfit,1763693550165,USDT,CreateByTakeProfit,-0.0139568,0.00055,,,0.03965,0.03965,,660,0.04261,25.376,640,Trade,264996516842,Buy,,0,False,0.0139568,d931fcd5-5f3c-5dfb-86e7-0a4fa6cacd9f,,640,,2025-11-21 02:52:30
KASUSDT,Market,,,97192d42-7d5a-4c67-b9ef-41f975fe30a6,TakeProfit,1763693550165,USDT,CreateByTakeProfit,-0.00043615,0.00055,,,0.03965,0.03965,,660,0.04261,0.793,20,Trade,264996516842,Buy,,640,False,0.00043615,9e06d6e5-edac-5d05-ab3e-661d0a1f45f3,,20,,2025-11-21 02:52:30
KASUSDT,Limit,,,c891dad6-af46-49cd-b298-28e44734fd09,UNKNOWN,1763688386465,USDT,CreateByUser,-0.00268356,0.0002,,,0.04051,0.04066,,330,0.04066,13.4178,0,Trade,264976469620,Sell,,0,True,0.00268356,374bb05a-4555-572d-b896-5bd91b98b6bd,,330,,2025-11-21 01:26:26
KASUSDT,Limit,,,641e7228-6958-4d41-9b91-8773bdd79d72,UNKNOWN,1763687056480,USDT,CreateByUser,-0.00267432,0.0002,,,0.04041,0.04052,,330,0.04052,13.3716,0,Trade,264971967031,Sell,,0,True,0.00267432,a77eac6c-dcc8-5cc1-a8b2-6e746bb37157,,330,,2025-11-21 01:04:16
KASUSDT,Market,,,cf3404cc-ac96-471f-ac35-bd59d0743ff5,UNKNOWN,1763680875735,USDT,CreateByUser,-0.01386847,0.00055,,,0.0407,0.04067,,620,0.0434,25.2154,620,Trade,264946668001,Buy,,0,False,0.01386847,f3e4e569-ecb4-57a1-9015-f41695d22f35,,620,,2025-11-20 23:21:15
KASUSDT,Limit,,,47a7cb7a-757c-48cd-b036-627ea9f87954,UNKNOWN,1763673655405,USDT,CreateByUser,-0.00256742,0.0002,,,0.04124,0.04141,,310,0.04141,12.8371,0,Trade,264918650499,Sell,,0,True,0.00256742,d5dc76a5-2e5f-546a-af19-08ce3d255aa4,,310,,2025-11-20 21:20:55
KASUSDT,Limit,,,3f40b099-0d63-4ee8-bf9b-9ccd9fbc59bb,UNKNOWN,1763673546380,USDT,CreateByUser,-0.00255812,0.0002,,,0.04115,0.04126,,310,0.04126,12.7906,0,Trade,264918218369,Sell,,0,True,0.00255812,a7941cd3-088a-56b3-86ef-eacdd06d4f4c,,310,,2025-11-20 21:19:06
KASUSDT,Market,,,0053502e-21ad-4bc9-b34a-a0c8c89ac2b7,TakeProfit,1763672731007,USDT,CreateByTakeProfit,-0.0081675,0.00055,,,0.04126,0.04125,,640,0.03851,14.85,360,Trade,264914993787,Sell,,0,False,0.0081675,5194acde-6133-556b-94e4-8a19102adb2b,,360,,2025-11-20 21:05:31
KASUSDT,Market,,,0053502e-21ad-4bc9-b34a-a0c8c89ac2b7,TakeProfit,1763672731007,USDT,CreateByTakeProfit,-0.0063525,0.00055,,,0.04126,0.04125,,640,0.03851,11.55,280,Trade,264914993787,Sell,,360,False,0.0063525,22844dc5-f1b3-5e8c-a1a0-d2ded453e455,,280,,2025-11-20 21:05:31
KASUSDT,UNKNOWN,,,1e9b4830-6673-4374-a1f3-4053974f7c4f,UNKNOWN,1763668800000,USDT,,0.00628749,-0.000239,,,0.0404,0.04097,,0,0,26.2208,0,Funding,264898041876,Buy,,0,False,-0.00628749,899b1f42-d483-438b-ad99-2d0de4a6f873,,640,,2025-11-20 20:00:00
KASUSDT,Limit,,,432adf72-575b-434f-9aea-935c91f7b7c7,UNKNOWN,1763657951230,USDT,CreateByUser,-0.00258624,0.0002,,,0.0407,0.04041,,320,0.04041,12.9312,0,Trade,264830215318,Buy,,0,True,0.00258624,f5106e1d-0d85-57a9-a8e7-4e63fe526ad7,,320,,2025-11-20 16:59:11
KASUSDT,Limit,,,20b92449-6030-4a9e-acb2-c121e63feb50,UNKNOWN,1763656704014,USDT,CreateByUser,-0.00260224,0.0002,,,0.04091,0.04066,,320,0.04066,13.0112,0,Trade,264821426923,Buy,,0,True,0.00260224,33c46c62-cbd2-572d-bff0-7c97cf1dcbc7,,320,,2025-11-20 16:38:24
KASUSDT,Market,,,f06a574d-2d3e-47a6-90ce-162a8db700e5,StopLoss,1763655760178,USDT,CreateByStopLoss,-0.00067155,0.00055,,,0.04073,0.0407,,990,0.03958,1.221,30,Trade,264814326228,Sell,,960,False,0.00067155,053d17e7-f2a2-5ccc-b7b5-55f8b84b4501,,30,,2025-11-20 16:22:40
KASUSDT,Market,,,f06a574d-2d3e-47a6-90ce-162a8db700e5,StopLoss,1763655760178,USDT,CreateByStopLoss,-0.0183557,0.00055,,,0.04073,0.0407,,990,0.03958,33.374,820,Trade,264814326228,Sell,,0,False,0.0183557,9a624e9d-2e12-5d8d-b837-5360e8a64d1e,,820,,2025-11-20 16:22:40
KASUSDT,Market,,,f06a574d-2d3e-47a6-90ce-162a8db700e5,StopLoss,1763655760178,USDT,CreateByStopLoss,-0.0031339,0.00055,,,0.04073,0.0407,,990,0.03958,5.698,140,Trade,264814326228,Sell,,820,False,0.0031339,5a59cfd1-f771-5d07-92a1-00d927c62757,,140,,2025-11-20 16:22:40
KASUSDT,Limit,,,90414d0a-25bf-4794-91ed-370c47654a27,UNKNOWN,1763655159586,USDT,CreateByUser,-0.00270996,0.0002,,,0.0419,0.04106,,330,0.04106,13.5498,0,Trade,264808654402,Buy,,0,True,0.00270996,685bea0d-63a6-5f1e-b072-7679d44655e9,,330,,2025-11-20 16:12:39
KASUSDT,Limit,,,cb0961c4-9b94-414f-b59b-5f5f59fe1cfd,UNKNOWN,1763654589738,USDT,CreateByUser,-0.00276078,0.0002,,,0.04212,0.04183,,330,0.04183,13.8039,0,Trade,264803775636,Buy,,0,True,0.00276078,7fa1a2f7-6194-5790-a2b3-e488ebe1bb5d,,330,,2025-11-20 16:03:09
KASUSDT,UNKNOWN,,,25d1013c-4f4f-4cff-9445-96b7876c6701,UNKNOWN,1763654400000,USDT,,-0.00069432,0.00005,,,0.04212,0.04208,,0,0,13.8864,0,Funding,264802536403,Buy,,0,False,0.00069432,7c121c51-6920-4da5-a3f1-c74259c14e91,,330,,2025-11-20 16:00:00
KASUSDT,Limit,,,1a9f5da2-e796-4aff-833e-a4452cbacefb,UNKNOWN,1763650238580,USDT,CreateByUser,-0.00277728,0.0002,,,0.04234,0.04208,,330,0.04208,13.8864,0,Trade,264780977503,Buy,,0,True,0.00277728,15fed894-7c5a-5691-9fef-3754617d79d3,,330,,2025-11-20 14:50:38
KASUSDT,Market,,,742b3c56-6462-4fbe-bc1b-f89e56bdb366,UNKNOWN,1763643448969,USDT,CreateByUser,-0.00788618,0.00055,,,0.04348,0.04345,,640,0.04056,14.3385,330,Trade,264742140113,Sell,,0,False,0.00788618,bca4f6ef-3a03-57f0-95b6-64b694ce9fac,,330,,2025-11-20 12:57:28
KASUSDT,Market,,,742b3c56-6462-4fbe-bc1b-f89e56bdb366,UNKNOWN,1763643448969,USDT,CreateByUser,-0.00430155,0.00055,,,0.04348,0.04345,,640,0.04056,7.821,180,Trade,264742140113,Sell,,330,False,0.00430155,0b1e2ae5-f4cf-5a6f-9c8d-bf0467e0608d,,180,,2025-11-20 12:57:28
KASUSDT,Market,,,742b3c56-6462-4fbe-bc1b-f89e56bdb366,UNKNOWN,1763643448969,USDT,CreateByUser,-0.00310668,0.00055,,,0.04348,0.04345,,640,0.04056,5.6485,130,Trade,264742140113,Sell,,510,False,0.00310668,b01767a4-c5b0-5347-829b-6ab9ed8ed1e3,,130,,2025-11-20 12:57:28
KASUSDT,Limit,,,d2818c8d-bbdb-48d8-b1f8-ba8b80827862,UNKNOWN,1763640847959,USDT,CreateByUser,-0.00272704,0.0002,,,0.04278,0.04261,,320,0.04261,13.6352,0,Trade,264730737285,Buy,,0,True,0.00272704,2c58b6e0-2d9e-582e-a1b4-5a424f91ecc8,,320,,2025-11-20 12:14:07
KASUSDT,UNKNOWN,,,e3401042-8cbe-4505-96a4-abc2268616dd,UNKNOWN,1763640000000,USDT,,-0.00068592,0.00005,,,0.04278,0.04287,,0,0,13.7184,0,Funding,264727671408,Buy,,0,False,0.00068592,1499b6c5-3749-4af5-ae17-70d0a9c2312e,,320,,2025-11-20 12:00:00
KASUSDT,Limit,,,a5769b98-daa3-485c-a99a-eb717729dd6c,UNKNOWN,1763635085097,USDT,CreateByUser,-0.00068416,0.0002,,,0.04278,0.04276,,320,0.04276,3.4208,0,Trade,264711983409,Buy,,0,True,0.00068416,fbc5425f-e54c-5290-bd68-138791960057,,80,,2025-11-20 10:38:05
KASUSDT,Limit,,,a5769b98-daa3-485c-a99a-eb717729dd6c,UNKNOWN,1763635080788,USDT,CreateByUser,-0.00205248,0.0002,,,0.04288,0.04276,,320,0.04276,10.2624,0,Trade,264711963817,Buy,,80,True,0.00205248,ea090c72-4125-51f8-bf37-65790952a6c2,,240,,2025-11-20 10:38:00
