symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable
LINKUSDT,Market,20,1763748728115,Buy,b17e06e0-80d0-42af-b581-dd8f8a323eb9,0.25622778,0.0026983,0.00727392,12.265,1.1,13.4915,1763744678316,12.623,1.1,12.023,Trade,1,13.2253,2025-11-21 17:04:38,2025-11-21 18:12:08
LINKUSDT,Market,20,1763734759841,Buy,ab7e0bac-78ab-48e3-8383-f845f4bd8b6a,0.52194312,0.00873648,0.0237204,12.134,3.6,43.6824,1763734759838,12.581,3.6,11.98,Trade,2,43.128,2025-11-21 14:19:19,2025-11-21 14:19:19
LINKUSDT,Market,20,1763731054010,Sell,4843cdfd-fc72-4c5e-a157-cbb1511c05d1,0.49391536,0.0057336,0.01605104,11.945,2.4,28.668,1763718735997,11.556,2.4,12.159875,Trade,4,29.1837,2025-11-21 09:52:15,2025-11-21 13:17:34
LINKUSDT,Market,20,1763681776091,Buy,51d66a99-8f9b-42a2-b1a7-a9788616da42,0.19915945,0.0026548,0.00718575,13.274,1,13.274,1763676618809,13.719,1,13.065,Trade,1,13.065,2025-11-20 22:10:18,2025-11-20 23:36:16
LINKUSDT,Market,20,1763666861148,Sell,e44af575-5645-49cc-9a4d-0444532ce7d7,0.3135771,0.0051306,0.0142923,12.8265,2,25.653,1763666861144,12.344,2,12.993,Trade,1,25.986,2025-11-20 19:27:41,2025-11-20 19:27:41
LINKUSDT,Market,20,1763662637077,Sell,3dbf194d-cafb-4614-b5c2-25cf039dd636,0.09926655,0.0025796,0.00715385,12.898,1,12.898,1763662637074,12.359,1,13.007,Trade,2,13.007,2025-11-20 18:17:17,2025-11-20 18:17:17
LINKUSDT,Market,20,1763656046980,Sell,2b5efc27-6f42-4695-9c67-6a10d4da369c,0.1841613,0.0025952,0.0072435,12.976,1,12.976,1763655544763,12.512,1,13.17,Trade,1,13.17,2025-11-20 16:19:04,2025-11-20 16:27:26
LINKUSDT,Market,20,1763654373966,Sell,6a7c8775-9c16-4893-aa15-87e877ff84d3,-0.470196,0.0054516,0.0147444,13.629,2,27.258,1763637738589,12.948,2,13.404,Trade,1,26.808,2025-11-20 11:22:18,2025-11-20 15:59:33
LINKUSDT,Market,20,1763604284074,Buy,1e58d43f-57c7-4680-8956-fd2bb75b0c03,-1.10587763,0.00960576,0.02700524,13.34133333,3.6,48.0288,1763587218040,14.008,3.6,13.639,Trade,7,49.1004,2025-11-19 21:20:18,2025-11-20 02:04:44
LINKUSDT,Market,20,1763536943762,Sell,e13c877a-3eb5-4b36-aa40-548a7f196bc9,0.22619454,0.0068978,0.01910766,13.265,2.6,34.489,1763536943759,12.698,2.6,13.362,Trade,3,34.7412,2025-11-19 07:22:23,2025-11-19 07:22:23
LINKUSDT,Market,20,1763528815995,Sell,d91dc777-0f9f-4a4f-be4c-16e9f6ce46bd,-0.7763459,0.01057368,0.02867222,13.556,3.9,52.8684,1763521258316,12.879,3.9,13.367,Trade,2,52.1313,2025-11-19 03:00:58,2025-11-19 05:06:55
