symbol,orderType,orderLinkId,slLimitPrice,orderId,cancelType,avgPrice,stopOrderType,lastPriceOnCreated,orderStatus,createType,takeProfit,cumExecValue,tpslMode,smpType,triggerDirection,blockTradeId,cumFeeDetail,rejectReason,isLeverage,price,orderIv,createdTime,tpTriggerBy,positionIdx,timeInForce,leavesValue,updatedTime,side,smpGroup,triggerPrice,tpLimitPrice,cumExecFee,slTriggerBy,leavesQty,closeOnTrigger,slippageToleranceType,placeType,cumExecQty,reduceOnly,qty,stopLoss,smpOrderId,slippageTolerance,triggerBy,extraFees,createdTime_readable,updatedTime_readable
LINKUSDT,Limit,,0,cd2e1277-7c65-4cda-8b9b-64386b4b175a,UNKNOWN,12.17,,12.097,Filled,CreateByUser,,13.387,,None,0,,{'USDT': '0.0026774'},EC_NoError,,12.17,,1763754450482,,2,GTC,0,1763760338364,Sell,0,,0,0.0026774,,0,False,UNKNOWN,,1.1,False,1.1,,,0,,,2025-11-21 19:47:30,2025-11-21 21:25:38
LINKUSDT,Limit,,0,b92e79bd-af20-4093-bb7e-9412b334a642,UNKNOWN,12.101,,12.097,Filled,CreateByUser,11.866,13.3111,Full,None,0,,{'USDT': '0.00266222'},EC_NoError,,12.101,,1763754450284,MarkPrice,2,GTC,0,1763754459314,Sell,0,,0,0.00266222,MarkPrice,0,False,UNKNOWN,,1.1,False,1.1,12.34,,0,,,2025-11-21 19:47:30,2025-11-21 19:47:39
LINKUSDT,Market,,0,b17e06e0-80d0-42af-b581-dd8f8a323eb9,UNKNOWN,12.023,TakeProfit,12.022,Filled,CreateByTakeProfit,,13.2253,Full,None,2,,{'USDT': '0.00727392'},EC_NoError,,12.623,,1763744678316,,2,IOC,0,1763748728115,Buy,0,12.023,0,0.00727392,,0,True,UNKNOWN,,1.1,True,1.1,,,0,MarkPrice,,2025-11-21 17:04:38,2025-11-21 18:12:08
LINKUSDT,Market,,0,635531cb-5d88-44c9-8335-1168e7fc2c24,CancelByTpSlTsClear,,StopLoss,12.264,Deactivated,CreateByStopLoss,,0,Full,None,1,,{},EC_NoError,,0,,1763744678316,,2,IOC,0,1763748728115,Buy,0,12.494,0,0,,0,True,UNKNOWN,,0,True,1.1,,,0,MarkPrice,,2025-11-21 17:04:38,2025-11-21 18:12:08
LINKUSDT,Limit,,0,3f1eb156-a827-4899-aea3-d9fa7a969429,CancelByUser,,,12.193,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,12.395,,1763737510301,,2,GTC,0,1763744720216,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,1.1,,,0,,,2025-11-21 15:05:10,2025-11-21 17:05:20
LINKUSDT,Limit,,0,facd4504-7c8f-4d5f-a062-5157a078b466,CancelByUser,,,12.191,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,12.338,,1763737509749,,2,GTC,0,1763744720018,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,1.1,,,0,,,2025-11-21 15:05:09,2025-11-21 17:05:20
LINKUSDT,Limit,,0,21cd518c-b65d-4a75-8b77-0bdf1ddbbd45,UNKNOWN,12.265,,12.192,Filled,CreateByUser,12.023,13.4915,Full,None,0,,{'USDT': '0.0026983'},EC_NoError,,12.265,,1763737509196,MarkPrice,2,GTC,0,1763744678316,Sell,0,,0,0.0026983,MarkPrice,0,False,UNKNOWN,,1.1,False,1.1,12.494,,0,,,2025-11-21 15:05:09,2025-11-21 17:04:38
LINKUSDT,Market,,0,ab7e0bac-78ab-48e3-8383-f845f4bd8b6a,UNKNOWN,11.98,,11.98,Filled,CreateByUser,,43.128,,None,0,,{'USDT': '0.0237204'},EC_NoError,,12.581,,1763734759838,,2,IOC,0,1763734759841,Buy,0,,0,0.0237204,,0,False,UNKNOWN,,3.6,True,3.6,,,0,,,2025-11-21 14:19:19,2025-11-21 14:19:19
LINKUSDT,Market,,0,ac8928de-77f7-46c4-b15e-88391efa77ec,CancelByTpSlTsClear,,StopLoss,12.097,Deactivated,CreateByStopLoss,,0,Full,None,1,,{},EC_NoError,,0,,1763732464843,,2,IOC,0,1763734759841,Buy,0,12.266,0,0,,0,True,UNKNOWN,,0,True,3.6,,,0,MarkPrice,,2025-11-21 13:41:04,2025-11-21 14:19:19
LINKUSDT,Market,,0,0c080447-e010-4368-8f04-35e37006db2a,CancelByTpSlTsClear,,TakeProfit,12.097,Deactivated,CreateByTakeProfit,,0,Full,None,2,,{},EC_NoError,,0,,1763732464843,,2,IOC,0,1763734759841,Buy,0,11.829,0,0,,0,True,UNKNOWN,,0,True,3.6,,,0,MarkPrice,,2025-11-21 13:41:04,2025-11-21 14:19:19
