symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
NEARUSDT,Market,,,d71649b1-058c-4bfb-8bba-449bfd80d6f3,StopLoss,1763664831113,USDT,CreateByStopLoss,-0.01413126,0.00055,,,2.107,2.106,,12.2,2.062,25.6932,12.2,Trade,239118239132,Sell,,0,False,0.01413126,76516c76-ccaf-5188-ae66-c78e5af300fc,,12.2,,2025-11-20 18:53:51
NEARUSDT,Limit,,,82e43715-e39b-4fef-9aa1-ac0026f711b8,UNKNOWN,1763657086873,USDT,CreateByUser,-0.00263886,0.0002,,,2.18,2.163,,6.1,2.163,13.1943,0,Trade,239068677172,Buy,,0,True,0.00263886,6ea6aae2-501b-5e16-816d-b314eda5e280,,6.1,,2025-11-20 16:44:46
NEARUSDT,Limit,,,7af5b7e4-ad5a-48e9-baa5-d3c688065819,UNKNOWN,1763656528763,USDT,CreateByUser,-0.00265472,0.0002,,,2.191,2.176,,6.1,2.176,13.2736,0,Trade,239064420620,Buy,,0,True,0.00265472,f95470e4-ccfc-57aa-8097-1c859e346d92,,6.1,,2025-11-20 16:35:28
NEARUSDT,Market,,,34e3861a-31fb-4ffb-94fc-df5c05a00617,StopLoss,1763655155155,USDT,CreateByStopLoss,-0.02267991,0.00055,,,2.217,2.217,,18.6,2.154,41.2362,18.6,Trade,239050494932,Sell,,0,False,0.02267991,1cb4c8b5-b82e-5831-8c26-98e266527e72,,18.6,,2025-11-20 16:12:35
NEARUSDT,Limit,,,e42f66b0-02b7-411e-9492-080c0185f582,UNKNOWN,1763654733072,USDT,CreateByUser,-0.00277016,0.0002,,,2.278,2.234,,6.2,2.234,13.8508,0,Trade,239046208187,Buy,,0,True,0.00277016,fe0768d6-1944-5a96-ad7c-e18ae45e34e5,,6.2,,2025-11-20 16:05:33
NEARUSDT,UNKNOWN,,,6041634a-86b4-42f1-9fad-3f605df98ff8,UNKNOWN,1763654400000,USDT,,-0.00279992,0.0001,,,2.278,2.258,,0,0,27.9992,0,Funding,239043298923,Buy,,0,False,0.00279992,4e6bdf70-1302-4f62-a7fd-4f69f42fc73e,,12.4,,2025-11-20 16:00:00
NEARUSDT,Limit,,,92693a5b-7082-4dc6-b178-dbca8e865e29,UNKNOWN,1763651191321,USDT,CreateByUser,-0.00282224,0.0002,,,2.293,2.276,,6.2,2.276,14.1112,0,Trade,239031849892,Buy,,0,True,0.00282224,925eeb36-1674-5cc5-902e-57ef9f0127ad,,6.2,,2025-11-20 15:06:31
NEARUSDT,Limit,,,9a9ec73f-e0ac-4609-a403-41ce5111d837,UNKNOWN,1763650944323,USDT,CreateByUser,-0.0028396,0.0002,,,2.304,2.29,,6.2,2.29,14.198,0,Trade,239030862938,Buy,,0,True,0.0028396,b2df2227-51bc-537a-968a-62e2c072d9f3,,6.2,,2025-11-20 15:02:24
NEARUSDT,Market,,,f85b4781-2fba-4e96-aff9-17b27dd074cc,StopLoss,1763647550966,USDT,CreateByStopLoss,-0.01471866,0.00055,,,2.308,2.307,,11.6,2.23,26.7612,11.6,Trade,239015716004,Sell,,0,False,0.01471866,60f0facf-7e48-5748-9642-6bda67a1fa81,,11.6,,2025-11-20 14:05:50
NEARUSDT,Limit,,,9f7d22d2-2965-4d26-9626-156565e546ab,UNKNOWN,1763637982166,USDT,CreateByUser,-0.0027144,0.0002,,,2.355,2.34,,5.8,2.34,13.572,0,Trade,238991188525,Buy,,0,True,0.0027144,d01f7628-854c-5c7e-a824-6e79968183e7,,5.8,,2025-11-20 11:26:22
NEARUSDT,Limit,,,96f44880-a1a8-486b-ac20-b056f567752a,UNKNOWN,1763634689087,USDT,CreateByUser,-0.00273064,0.0002,,,2.355,2.354,,5.8,2.354,13.6532,0,Trade,238986395682,Buy,,0,True,0.00273064,5ec9d64b-648e-52b6-9317-7bae6abb7d10,,5.8,,2025-11-20 10:31:29
NEARUSDT,Market,,,256cdb75-92a8-4c01-a60c-50d9a579f3d6,UNKNOWN,1763633775633,USDT,CreateByUser,-0.00735785,0.00055,,,2.347,2.347,,5.7,2.464,13.3779,5.7,Trade,238984587552,Buy,,0,False,0.00735785,1377fc96-60cc-5e64-9447-071cb8ee5092,,5.7,,2025-11-20 10:16:15
NEARUSDT,UNKNOWN,,,4f4ed39f-6965-4859-a6ad-d5b590afc423,UNKNOWN,1763625600000,USDT,,0.00136629,-0.0001,,,2.371,2.397,,0,0,13.6629,0,Funding,238972329397,Sell,,0,False,-0.00136629,22cbc3cb-2c6e-490d-861a-2ddde2722aa0,,5.7,,2025-11-20 08:00:00
NEARUSDT,Limit,,,3ef405fc-7172-43ac-8ad9-6e9a291eed0c,UNKNOWN,1763609210099,USDT,CreateByUser,-0.00272688,0.0002,,,2.386,2.392,,5.7,2.392,13.6344,0,Trade,238949895882,Sell,,0,True,0.00272688,6a74fee1-a354-5b30-9d15-46b9cf6743e4,,5.7,,2025-11-20 03:26:50
