symbol,orderType,orderLinkId,slLimitPrice,orderId,cancelType,avgPrice,stopOrderType,lastPriceOnCreated,orderStatus,createType,takeProfit,cumExecValue,tpslMode,smpType,triggerDirection,blockTradeId,cumFeeDetail,rejectReason,isLeverage,price,orderIv,createdTime,tpTriggerBy,positionIdx,timeInForce,leavesValue,updatedTime,side,smpGroup,triggerPrice,tpLimitPrice,cumExecFee,slTriggerBy,leavesQty,closeOnTrigger,slippageToleranceType,placeType,cumExecQty,reduceOnly,qty,stopLoss,smpOrderId,slippageTolerance,triggerBy,extraFees,createdTime_readable,updatedTime_readable
NEARUSDT,Limit,,0,f1780435-b7ce-4928-850e-5f6a4d5b5a92,CancelByUser,,,2.148,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.175,,1763679009490,,2,GTC,0,1763715126165,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,6.1,,,0,,,2025-11-20 22:50:09,2025-11-21 08:52:06
NEARUSDT,Limit,,0,87d671df-bbdc-453b-be75-638c93cc8972,CancelByUser,,,2.148,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.162,,1763679009292,,2,GTC,0,1763715126360,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,6.1,,,0,,,2025-11-20 22:50:09,2025-11-21 08:52:06
NEARUSDT,Limit,,0,52579b92-41ff-4497-a77e-3a2f405b2f62,CancelByUser,,,2.148,Cancelled,CreateByUser,2.111,0,Full,None,0,,{},EC_PerCancelRequest,,2.159,,1763679009093,MarkPrice,2,GTC,0,1763715126917,Sell,0,,0,0,MarkPrice,0,False,UNKNOWN,,0,False,6.1,2.192,,0,,,2025-11-20 22:50:09,2025-11-21 08:52:06
NEARUSDT,Market,,0,a935d0f1-6813-47f5-9e46-6343e708d897,CancelByTpSlTsClear,,TakeProfit,2.177,Deactivated,CreateByTakeProfit,,0,Full,None,1,,{},EC_NoError,,0,,1763656528767,,1,IOC,0,1763664831115,Sell,0,2.208,0,0,,0,True,UNKNOWN,,0,True,12.2,,,0,MarkPrice,,2025-11-20 16:35:28,2025-11-20 18:53:51
NEARUSDT,Market,,0,d71649b1-058c-4bfb-8bba-449bfd80d6f3,UNKNOWN,2.106,StopLoss,2.106,Filled,CreateByStopLoss,,25.6932,Full,None,2,,{'USDT': '0.01413126'},EC_NoError,,2.062,,1763656528767,,1,IOC,0,1763664831115,Sell,0,2.107,0,0.01413126,,0,True,UNKNOWN,,12.2,True,12.2,,,0,MarkPrice,,2025-11-20 16:35:28,2025-11-20 18:53:51
NEARUSDT,Limit,,0,e4ed789f-fafb-4660-8350-8c7a9fa08438,CancelByUser,,,2.191,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.124,,1763656267883,,1,GTC,0,1763663473969,Buy,0,,0,0,,0,False,UNKNOWN,,0,False,6.1,,,0,,,2025-11-20 16:31:07,2025-11-20 18:31:13
NEARUSDT,Limit,,0,82e43715-e39b-4fef-9aa1-ac0026f711b8,UNKNOWN,2.163,,2.191,Filled,CreateByUser,,13.1943,,None,0,,{'USDT': '0.00263886'},EC_NoError,,2.163,,1763656267686,,1,GTC,0,1763657086875,Buy,0,,0,0.00263886,,0,False,UNKNOWN,,6.1,False,6.1,,,0,,,2025-11-20 16:31:07,2025-11-20 16:44:46
NEARUSDT,Limit,,0,7af5b7e4-ad5a-48e9-baa5-d3c688065819,UNKNOWN,2.176,,2.19,Filled,CreateByUser,2.208,13.2736,Full,None,0,,{'USDT': '0.00265472'},EC_NoError,,2.176,,1763656267487,MarkPrice,1,GTC,0,1763656528767,Buy,0,,0,0.00265472,MarkPrice,0,False,UNKNOWN,,6.1,False,6.1,2.107,,0,,,2025-11-20 16:31:07,2025-11-20 16:35:28
NEARUSDT,Market,,0,8f6781cb-f9cc-41c1-9d7d-98b9ce8cb6ce,CancelByTpSlTsClear,,TakeProfit,2.291,Deactivated,CreateByTakeProfit,,0,Full,None,1,,{},EC_NoError,,0,,1763650944327,,1,IOC,0,1763655155157,Sell,0,2.323,0,0,,0,True,UNKNOWN,,0,True,18.6,,,0,MarkPrice,,2025-11-20 15:02:24,2025-11-20 16:12:35
NEARUSDT,Market,,0,34e3861a-31fb-4ffb-94fc-df5c05a00617,UNKNOWN,2.217,StopLoss,2.217,Filled,CreateByStopLoss,,41.2362,Full,None,2,,{'USDT': '0.02267991'},EC_NoError,,2.154,,1763650944327,,1,IOC,0,1763655155157,Sell,0,2.217,0,0.02267991,,0,True,UNKNOWN,,18.6,True,18.6,,,0,MarkPrice,,2025-11-20 15:02:24,2025-11-20 16:12:35
NEARUSDT,Limit,,0,e42f66b0-02b7-411e-9492-080c0185f582,UNKNOWN,2.234,,2.304,Filled,CreateByUser,,13.8508,,None,0,,{'USDT': '0.00277016'},EC_NoError,,2.234,,1763648283831,,1,GTC,0,1763654733075,Buy,0,,0,0.00277016,,0,False,UNKNOWN,,6.2,False,6.2,,,0,,,2025-11-20 14:18:03,2025-11-20 16:05:33
NEARUSDT,Limit,,0,92693a5b-7082-4dc6-b178-dbca8e865e29,UNKNOWN,2.276,,2.304,Filled,CreateByUser,,14.1112,,None,0,,{'USDT': '0.00282224'},EC_NoError,,2.276,,1763648283623,,1,GTC,0,1763651191325,Buy,0,,0,0.00282224,,0,False,UNKNOWN,,6.2,False,6.2,,,0,,,2025-11-20 14:18:03,2025-11-20 15:06:31
NEARUSDT,Limit,,0,9a9ec73f-e0ac-4609-a403-41ce5111d837,UNKNOWN,2.29,,2.304,Filled,CreateByUser,2.323,14.198,Full,None,0,,{'USDT': '0.0028396'},EC_NoError,,2.29,,1763648283418,MarkPrice,1,GTC,0,1763650944327,Buy,0,,0,0.0028396,MarkPrice,0,False,UNKNOWN,,6.2,False,6.2,2.217,,0,,,2025-11-20 14:18:03,2025-11-20 15:02:24
NEARUSDT,Market,,0,f85b4781-2fba-4e96-aff9-17b27dd074cc,UNKNOWN,2.307,StopLoss,2.307,Filled,CreateByStopLoss,,26.7612,Full,None,2,,{'USDT': '0.01471866'},EC_NoError,,2.23,,1763634689090,,1,IOC,0,1763647550969,Sell,0,2.308,0,0.01471866,,0,True,UNKNOWN,,11.6,True,11.6,,,0,MarkPrice,,2025-11-20 10:31:29,2025-11-20 14:05:50
NEARUSDT,Market,,0,73a00443-fd41-416a-aa57-16ea46e920f5,CancelByTpSlTsClear,,TakeProfit,2.355,Deactivated,CreateByTakeProfit,,0,Full,None,1,,{},EC_NoError,,0,,1763634689090,,1,IOC,0,1763647550969,Sell,0,2.399,0,0,,0,True,UNKNOWN,,0,True,11.6,,,0,MarkPrice,,2025-11-20 10:31:29,2025-11-20 14:05:50
NEARUSDT,Limit,,0,11e2e533-d224-4147-a6b9-2d239266db6a,CancelByUser,,,2.355,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.326,,1763634689009,,1,GTC,0,1763641893601,Buy,0,,0,0,,0,False,UNKNOWN,,0,False,5.8,,,0,,,2025-11-20 10:31:29,2025-11-20 12:31:33
NEARUSDT,Limit,,0,9f7d22d2-2965-4d26-9626-156565e546ab,UNKNOWN,2.34,,2.355,Filled,CreateByUser,,13.572,,None,0,,{'USDT': '0.0027144'},EC_NoError,,2.34,,1763634688813,,1,GTC,0,1763637982169,Buy,0,,0,0.0027144,,0,False,UNKNOWN,,5.8,False,5.8,,,0,,,2025-11-20 10:31:28,2025-11-20 11:26:22
NEARUSDT,Limit,,0,96f44880-a1a8-486b-ac20-b056f567752a,UNKNOWN,2.354,,2.355,Filled,CreateByUser,2.399,13.6532,Full,None,0,,{'USDT': '0.00273064'},EC_NoError,,2.354,,1763634688617,MarkPrice,1,GTC,0,1763634689090,Buy,0,,0,0.00273064,MarkPrice,0,False,UNKNOWN,,5.8,False,5.8,2.308,,0,,,2025-11-20 10:31:28,2025-11-20 10:31:29
NEARUSDT,Market,,0,256cdb75-92a8-4c01-a60c-50d9a579f3d6,UNKNOWN,2.347,,2.346,Filled,CreateByUser,,13.3779,,None,0,,{'USDT': '0.00735785'},EC_NoError,,2.464,,1763633775631,,2,IOC,0,1763633775635,Buy,0,,0,0.00735785,,0,False,UNKNOWN,,5.7,True,5.7,,,0,,,2025-11-20 10:16:15,2025-11-20 10:16:15
NEARUSDT,Market,,0,70b11488-1935-435e-bea4-c1e92fa18351,CancelByTpSlTsClear,,TakeProfit,2.391,Deactivated,CreateByTakeProfit,,0,Full,None,2,,{},EC_NoError,,0,,1763609210101,,2,IOC,0,1763633775635,Buy,0,2.342,0,0,,0,True,UNKNOWN,,0,True,5.7,,,0,MarkPrice,,2025-11-20 03:26:50,2025-11-20 10:16:15
NEARUSDT,Market,,0,bbbec089-0e21-4d6c-b05f-25f3ef6379d4,CancelByTpSlTsClear,,StopLoss,2.391,Deactivated,CreateByStopLoss,,0,Full,None,1,,{},EC_NoError,,0,,1763609210101,,2,IOC,0,1763633775635,Buy,0,2.433,0,0,,0,True,UNKNOWN,,0,True,5.7,,,0,MarkPrice,,2025-11-20 03:26:50,2025-11-20 10:16:15
NEARUSDT,Limit,,0,280a59cf-2863-4085-8c43-99c2488ea682,CancelByUser,,,2.386,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.415,,1763608601900,,2,GTC,0,1763615809117,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,5.7,,,0,,,2025-11-20 03:16:41,2025-11-20 05:16:49
NEARUSDT,Limit,,0,6765d7a6-9166-4554-8ee0-d2a3603ac012,CancelByUser,,,2.386,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.401,,1763608601294,,2,GTC,0,1763615808919,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,5.7,,,0,,,2025-11-20 03:16:41,2025-11-20 05:16:48
NEARUSDT,Limit,,0,3ef405fc-7172-43ac-8ad9-6e9a291eed0c,UNKNOWN,2.392,,2.386,Filled,CreateByUser,2.342,13.6344,Full,None,0,,{'USDT': '0.00272688'},EC_NoError,,2.392,,1763608600690,MarkPrice,2,GTC,0,1763609210101,Sell,0,,0,0.00272688,MarkPrice,0,False,UNKNOWN,,5.7,False,5.7,2.433,,0,,,2025-11-20 03:16:40,2025-11-20 03:26:50
NEARUSDT,Limit,,0,c961a8e0-2d3d-481c-b9b9-9607a5df3559,CancelByUser,,,2.393,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.465,,1763594404940,,2,GTC,0,1763601613461,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,6.1,,,0,,,2025-11-19 23:20:04,2025-11-20 01:20:13
NEARUSDT,Limit,,0,9684f229-4c4a-44c8-a946-4767c3ee4e67,CancelByUser,,,2.392,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.422,,1763594404723,,2,GTC,0,1763601613243,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,6.1,,,0,,,2025-11-19 23:20:04,2025-11-20 01:20:13
NEARUSDT,Limit,,0,bf5d9772-00ea-4cac-9cb3-faea20d264ae,CancelByUser,,,2.393,Cancelled,CreateByUser,2.37,0,Full,None,0,,{},EC_PerCancelRequest,,2.408,,1763594404509,MarkPrice,2,GTC,0,1763601613024,Sell,0,,0,0,MarkPrice,0,False,UNKNOWN,,0,False,6.1,2.484,,0,,,2025-11-19 23:20:04,2025-11-20 01:20:13
NEARUSDT,Market,,0,b5a2a70a-bc52-4b02-b98c-b246e4a9ccce,UNKNOWN,2.358,StopLoss,2.357,Filled,CreateByStopLoss,,46.6884,Full,None,1,,{'USDT': '0.02567862'},EC_NoError,,2.442,,1763592657954,,2,IOC,0,1763593680115,Buy,0,2.356,0,0.02567862,,0,True,UNKNOWN,,19.8,True,19.8,,,0,MarkPrice,,2025-11-19 22:50:57,2025-11-19 23:08:00
NEARUSDT,Limit,,0,873a70fd-4baf-47c8-96b6-850c03c757ad,UNKNOWN,2.338,,2.309,Filled,CreateByUser,,15.4308,,None,0,,{'USDT': '0.00308616'},EC_NoError,,2.338,,1763592596033,,2,GTC,0,1763592869646,Sell,0,,0,0.00308616,,0,False,UNKNOWN,,6.6,False,6.6,,,0,,,2025-11-19 22:49:56,2025-11-19 22:54:29
NEARUSDT,Limit,,0,4745efce-56a7-4ae4-84da-f6231e0e2e17,UNKNOWN,2.324,,2.309,Filled,CreateByUser,,15.3384,,None,0,,{'USDT': '0.00306768'},EC_NoError,,2.324,,1763592595417,,2,GTC,0,1763592696801,Sell,0,,0,0.00306768,,0,False,UNKNOWN,,6.6,False,6.6,,,0,,,2025-11-19 22:49:55,2025-11-19 22:51:36
NEARUSDT,Limit,,0,e5c240e2-c00a-43da-8b67-d9c909dacaaa,UNKNOWN,2.316,,2.31,Filled,CreateByUser,2.267,15.2856,Full,None,0,,{'USDT': '0.00305712'},EC_NoError,,2.316,,1763592594801,MarkPrice,2,GTC,0,1763592657954,Sell,0,,0,0.00305712,MarkPrice,0,False,UNKNOWN,,6.6,False,6.6,2.356,,0,,,2025-11-19 22:49:54,2025-11-19 22:50:57
NEARUSDT,Market,,0,23e10d6d-be1a-4fee-8be4-3f191444e609,UNKNOWN,2.32,StopLoss,2.319,Filled,CreateByStopLoss,,47.328,Full,None,1,,{'USDT': '0.0260304'},EC_NoError,,2.409,,1763588034967,,2,IOC,0,1763591431153,Buy,0,2.32,0,0.0260304,,0,True,UNKNOWN,,20.4,True,20.4,,,0,MarkPrice,,2025-11-19 21:33:54,2025-11-19 22:30:31
NEARUSDT,Limit,,0,a23ad76f-96cf-4990-a405-9dc0c9482ed8,UNKNOWN,2.303,,2.276,Filled,CreateByUser,,15.6604,,None,0,,{'USDT': '0.00313208'},EC_NoError,,2.303,,1763587928700,,2,GTC,0,1763588917798,Sell,0,,0,0.00313208,,0,False,UNKNOWN,,6.8,False,6.8,,,0,,,2025-11-19 21:32:08,2025-11-19 21:48:37
NEARUSDT,Limit,,0,d7555642-56dc-49d6-8e35-70684ff300ea,UNKNOWN,2.292,,2.276,Filled,CreateByUser,,15.5856,,None,0,,{'USDT': '0.00311712'},EC_NoError,,2.292,,1763587928503,,2,GTC,0,1763588829958,Sell,0,,0,0.00311712,,0,False,UNKNOWN,,6.8,False,6.8,,,0,,,2025-11-19 21:32:08,2025-11-19 21:47:09
NEARUSDT,Limit,,0,1c32c38a-472c-4129-873e-c0e4bd3b146b,UNKNOWN,2.289,,2.275,Filled,CreateByUser,2.236,15.5652,Full,None,0,,{'USDT': '0.00311304'},EC_NoError,,2.289,,1763587928307,MarkPrice,2,GTC,0,1763588034967,Sell,0,,0,0.00311304,MarkPrice,0,False,UNKNOWN,,6.8,False,6.8,2.32,,0,,,2025-11-19 21:32:08,2025-11-19 21:33:54
