symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
ONDOUSDT,Market,,,bb314f77-c13b-4d6b-9fb3-49e185aa4b26,TakeProfit,1762542343438,USDT,CreateByTakeProfit,-0.00959387,0.00055,,,0.6709,0.6709,,42,0.7044,17.4434,26,Trade,217410356464,Buy,,0,False,0.00959387,9e4b25f2-0853-5872-9e97-c2b06d8362fe,,26,,2025-11-07 19:05:43
ONDOUSDT,Market,,,bb314f77-c13b-4d6b-9fb3-49e185aa4b26,TakeProfit,1762542343438,USDT,CreateByTakeProfit,-0.00590304,0.00055,,,0.6709,0.6708,,42,0.7044,10.7328,16,Trade,217410356464,Buy,,26,False,0.00590304,52da1c11-6e1b-5489-9417-3f219add6bda,,16,,2025-11-07 19:05:43
ONDOUSDT,Limit,,,4ded0458-4be4-4737-ba4e-13c09c4f8e18,UNKNOWN,1762539580035,USDT,CreateByUser,-0.0028791,0.0002,,,0.681,0.6855,,21,0.6855,14.3955,0,Trade,217398044115,Sell,,0,True,0.0028791,25cb3fa8-6bad-57cd-8290-c44edcd20e0c,,21,,2025-11-07 18:19:40
ONDOUSDT,Limit,,,9c220a9f-21c8-46fc-a47c-b78271aebbc5,UNKNOWN,1762539540984,USDT,CreateByUser,-0.00286188,0.0002,,,0.6774,0.6814,,21,0.6814,14.3094,0,Trade,217397732768,Sell,,0,True,0.00286188,e8871233-7542-582b-b4a8-4fd1521d4d85,,21,,2025-11-07 18:19:00
ONDOUSDT,Market,,,10a2a977-cc8d-44a8-8853-efa8b6bd1e81,StopLoss,1762538937331,USDT,CreateByStopLoss,-0.02087932,0.00055,,,0.678,0.6779,,56,0.692,37.9624,56,Trade,217394805314,Buy,,0,False,0.02087932,3cabaadf-268f-568c-acb8-097b1a203568,,56,,2025-11-07 18:08:57
ONDOUSDT,Limit,,,f341f8e5-d189-4121-b1af-e49a0e8ab98e,UNKNOWN,1762535763131,USDT,CreateByUser,-0.0037016,0.0002,,,0.6565,0.661,,28,0.661,18.508,0,Trade,217376443226,Sell,,0,True,0.0037016,78a11eac-9c1a-5f6d-83cb-b607068d5f2c,,28,,2025-11-07 17:16:03
ONDOUSDT,Limit,,,827aa006-7eb7-4357-b263-8f420cc7aa1a,UNKNOWN,1762534361082,USDT,CreateByUser,-0.00367976,0.0002,,,0.6532,0.6571,,28,0.6571,18.3988,0,Trade,217368042453,Sell,,0,True,0.00367976,779c036e-780a-5a07-907b-de11685db18c,,28,,2025-11-07 16:52:41
ONDOUSDT,Market,,,f365c331-b94c-4ccb-b438-6c4f7de02df5,StopLoss,1762533307522,USDT,CreateByStopLoss,-0.03753173,0.00055,,,0.6498,0.6499,,105,0.6677,68.2395,105,Trade,217361684513,Buy,,0,False,0.03753173,1ea1d36f-1190-5f6c-92b6-710cbbb5cfae,,105,,2025-11-07 16:35:07
ONDOUSDT,Limit,,,4ae97ea7-ae3c-45a3-b6f2-e268aa0e160b,UNKNOWN,1762532856725,USDT,CreateByUser,-0.0045129,0.0002,,,0.6335,0.6447,,35,0.6447,22.5645,0,Trade,217358882124,Sell,,0,True,0.0045129,b18759eb-e79f-541d-b335-b849960567af,,35,,2025-11-07 16:27:36
ONDOUSDT,UNKNOWN,,,0d3c2184-ab1a-46a1-a880-55cc01eb5c96,UNKNOWN,1762531200000,USDT,,0.00221305,-0.00005,,,0.6335,0.6323,,0,0,44.261,0,Funding,217350552299,Sell,,0,False,-0.00221305,c5c99345-354d-4e06-ac7e-de1c80d03f9d,,70,,2025-11-07 16:00:00
