symbol,orderType,orderLinkId,slLimitPrice,orderId,cancelType,avgPrice,stopOrderType,lastPriceOnCreated,orderStatus,createType,takeProfit,cumExecValue,tpslMode,smpType,triggerDirection,blockTradeId,cumFeeDetail,rejectReason,isLeverage,price,orderIv,createdTime,tpTriggerBy,positionIdx,timeInForce,leavesValue,updatedTime,side,smpGroup,triggerPrice,tpLimitPrice,cumExecFee,slTriggerBy,leavesQty,closeOnTrigger,slippageToleranceType,placeType,cumExecQty,reduceOnly,qty,stopLoss,smpOrderId,slippageTolerance,triggerBy,extraFees,createdTime_readable,updatedTime_readable
ONDOUSDT,Market,,0,bb314f77-c13b-4d6b-9fb3-49e185aa4b26,UNKNOWN,0.6708619,TakeProfit,0.6707,Filled,CreateByTakeProfit,,28.1762,Full,None,2,,{'USDT': '0.01549691'},EC_NoError,,0.7044,,1762539540987,,2,IOC,0,1762542343440,Buy,0,0.6709,0,0.01549691,,0,True,UNKNOWN,,42,True,42,,,0,MarkPrice,,2025-11-07 18:19:00,2025-11-07 19:05:43
ONDOUSDT,Limit,,0,4ded0458-4be4-4737-ba4e-13c09c4f8e18,UNKNOWN,0.6855,,0.6776,Filled,CreateByUser,,14.3955,,None,0,,{'USDT': '0.0028791'},EC_NoError,,0.6855,,1762539425674,,2,GTC,0,1762539580037,Sell,0,,0,0.0028791,,0,False,UNKNOWN,,21,False,21,,,0,,,2025-11-07 18:17:05,2025-11-07 18:19:40
ONDOUSDT,Limit,,0,9c220a9f-21c8-46fc-a47c-b78271aebbc5,UNKNOWN,0.6814,,0.6776,Filled,CreateByUser,0.6709,14.3094,Full,None,0,,{'USDT': '0.00286188'},EC_NoError,,0.6814,,1762539425453,MarkPrice,2,GTC,0,1762539540987,Sell,0,,0,0.00286188,MarkPrice,0,False,UNKNOWN,,21,False,21,0.7031,,0,,,2025-11-07 18:17:05,2025-11-07 18:19:00
ONDOUSDT,Market,,0,10a2a977-cc8d-44a8-8853-efa8b6bd1e81,UNKNOWN,0.6779,StopLoss,0.6778,Filled,CreateByStopLoss,,37.9624,Full,None,1,,{'USDT': '0.02087932'},EC_NoError,,0.692,,1762534361085,,2,IOC,0,1762538937333,Buy,0,0.678,0,0.02087932,,0,True,UNKNOWN,,56,True,56,,,0,MarkPrice,,2025-11-07 16:52:41,2025-11-07 18:08:57
ONDOUSDT,Limit,,0,f341f8e5-d189-4121-b1af-e49a0e8ab98e,UNKNOWN,0.661,,0.6533,Filled,CreateByUser,,18.508,,None,0,,{'USDT': '0.0037016'},EC_NoError,,0.661,,1762534092077,,2,GTC,0,1762535763134,Sell,0,,0,0.0037016,,0,False,UNKNOWN,,28,False,28,,,0,,,2025-11-07 16:48:12,2025-11-07 17:16:03
ONDOUSDT,Limit,,0,827aa006-7eb7-4357-b263-8f420cc7aa1a,UNKNOWN,0.6571,,0.6533,Filled,CreateByUser,0.6469,18.3988,Full,None,0,,{'USDT': '0.00367976'},EC_NoError,,0.6571,,1762534091844,MarkPrice,2,GTC,0,1762534361084,Sell,0,,0,0.00367976,MarkPrice,0,False,UNKNOWN,,28,False,28,0.678,,0,,,2025-11-07 16:48:11,2025-11-07 16:52:41
ONDOUSDT,Market,,0,f365c331-b94c-4ccb-b438-6c4f7de02df5,UNKNOWN,0.6499,StopLoss,0.6498,Filled,CreateByStopLoss,,68.2395,Full,None,1,,{'USDT': '0.03753173'},EC_NoError,,0.6677,,1762530587889,,2,IOC,0,1762533307524,Buy,0,0.6498,0,0.03753173,,0,True,UNKNOWN,,105,True,105,,,0,MarkPrice,,2025-11-07 15:49:47,2025-11-07 16:35:07
ONDOUSDT,Limit,,0,4ae97ea7-ae3c-45a3-b6f2-e268aa0e160b,UNKNOWN,0.6447,,0.6259,Filled,CreateByUser,,22.5645,,None,0,,{'USDT': '0.0045129'},EC_NoError,,0.6447,,1762530377096,,2,GTC,0,1762532856727,Sell,0,,0,0.0045129,,0,False,UNKNOWN,,35,False,35,,,0,,,2025-11-07 15:46:17,2025-11-07 16:27:36
ONDOUSDT,Limit,,0,9b0f198d-3bc1-46ce-bf34-4eccad95507b,UNKNOWN,0.6335,,0.6259,Filled,CreateByUser,,22.1725,,None,0,,{'USDT': '0.0044345'},EC_NoError,,0.6335,,1762530376876,,2,GTC,0,1762530634366,Sell,0,,0,0.0044345,,0,False,UNKNOWN,,35,False,35,,,0,,,2025-11-07 15:46:16,2025-11-07 15:50:34
ONDOUSDT,Limit,,0,1c8a1ca0-f088-484c-ac6e-5ed9bebc2913,UNKNOWN,0.6297,,0.6259,Filled,CreateByUser,0.62,22.0395,Full,None,0,,{'USDT': '0.0044079'},EC_NoError,,0.6297,,1762530376640,MarkPrice,2,GTC,0,1762530587888,Sell,0,,0,0.0044079,MarkPrice,0,False,UNKNOWN,,35,False,35,0.6498,,0,,,2025-11-07 15:46:16,2025-11-07 15:49:47
