symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable
PONKEUSDT,Market,20,1763738526403,Buy,846988c0-083b-4536-a0f9-7837fa228474,0.51678616,0.0056132,0.01514064,0.03998,702,28.06596,1763735653753,0.04197,702,0.03921428,Trade,2,27.52842,2025-11-21 14:34:13,2025-11-21 15:22:06
PONKEUSDT,Market,20,1763734133013,Buy,d7791633-3812-4966-bfb6-bd64de8aaa70,-1.48202732,0.00586527,0.01693205,0.038285,766,29.32631,1763734133010,0.03921,766,0.04019,BustTrade,1,30.78554,2025-11-21 14:08:53,2025-11-21 14:08:53
PONKEUSDT,Market,20,1763717116179,Buy,709e42b7-6c7e-4cd4-b329-00f5d9027716,0.21969851,0.00293555,0.00794594,0.03883,378,14.67774,1763715194136,0.04077,378,0.03822,Trade,1,14.44716,2025-11-21 08:53:14,2025-11-21 09:25:16
PONKEUSDT,Market,20,1763666451213,Sell,b86fc270-3fcb-434e-a153-6b1a54cdc3b8,0.05276577,0.00076896,0.00214527,0.04005,96,3.8448,1763665379256,0.03805,96,0.04063,Trade,1,3.90048,2025-11-20 19:02:59,2025-11-20 19:20:51
PONKEUSDT,Market,20,1763660287193,Sell,f9550ae1-64b4-4528-a90a-add4a7101925,0.11848356,0.00166608,0.00465036,0.04005,208,8.3304,1763659547576,0.03805,208,0.04065,Trade,1,8.4552,2025-11-20 17:25:47,2025-11-20 17:38:07
PONKEUSDT,Market,20,1763658425310,Sell,a3e53853-7b2e-4474-af76-b53aff645470,-0.05695111,0.00255392,0.00699719,0.04041,316,12.76956,1763658228931,0.03839,316,0.04026,Trade,1,12.72216,2025-11-20 17:03:48,2025-11-20 17:07:05
PONKEUSDT,Market,20,1763656047287,Sell,88fe3a18-10e8-408b-a6cc-45b9ed108670,0.45101192,0.00521844,0.01460964,0.041285,632,26.09212,1763655371938,0.03923,632,0.04203,Trade,2,26.56296,2025-11-20 16:16:11,2025-11-20 16:27:27
PONKEUSDT,Market,20,1763654863212,Sell,a4c1c558-3b10-4cff-a000-c916685006fb,-0.7544698,0.00856844,0.02316609,0.04275667,1002,42.84218,1763653283554,0.04062,1002,0.04203608,Trade,2,42.12016,2025-11-20 15:41:23,2025-11-20 16:07:43
PONKEUSDT,Market,20,1763646314375,Buy,e830f0b3-35be-461b-a6c6-518e46ae2163,0.22395557,0.00286759,0.00775684,0.04523,317,14.33791,1763645471973,0.04749,317,0.04449,Trade,1,14.10333,2025-11-20 13:31:11,2025-11-20 13:45:14
PONKEUSDT,Market,20,1763640781369,Sell,19b6df2b-5d14-40d4-bf4b-ea2a8ec3b288,0.00556571,0.00006021,0.00016879,0.04301,7,0.30107,1763640781366,0.04086,7,0.04384,Trade,1,0.30688,2025-11-20 12:13:01,2025-11-20 12:13:01
PONKEUSDT,Market,20,1763640800197,Sell,d0849514-b333-4589-8fbe-c96ae26cb68d,0.24072353,0.00257201,0.00721114,0.04301,299,12.85999,1763626275946,0.04086,299,0.04385,Trade,1,13.11115,2025-11-20 08:11:15,2025-11-20 12:13:20
PONKEUSDT,Market,20,1763604414224,Buy,0491897d-3221-41bf-810f-55b2eeb3b6df,-0.50896445,0.00592993,0.01657524,0.0426,696,29.6496,1763595980133,0.04473,696,0.0433,Trade,1,30.1368,2025-11-19 23:46:20,2025-11-20 02:06:54
PONKEUSDT,Market,20,1763592199684,Buy,6419fbe4-8f7e-4012-a04d-99f1d4c98fad,0.09314802,0.00628697,0.01722501,0.042365,742,31.43483,1763592199681,0.04448,742,0.04220778,Trade,3,31.31817,2025-11-19 22:43:19,2025-11-19 22:43:19
PONKEUSDT,Market,20,1763587266283,Buy,7ebf4c14-d051-450b-829d-f6d87fa63460,-0.78802476,0.00980316,0.0273716,0.04168,1176,49.01568,1763587024362,0.04376,1176,0.04231848,Trade,2,49.76653,2025-11-19 21:17:04,2025-11-19 21:21:06
