symbol,orderType,orderLinkId,slLimitPrice,orderId,cancelType,avgPrice,stopOrderType,lastPriceOnCreated,orderStatus,createType,takeProfit,cumExecValue,tpslMode,smpType,triggerDirection,blockTradeId,cumFeeDetail,rejectReason,isLeverage,price,orderIv,createdTime,tpTriggerBy,positionIdx,timeInForce,leavesValue,updatedTime,side,smpGroup,triggerPrice,tpLimitPrice,cumExecFee,slTriggerBy,leavesQty,closeOnTrigger,slippageToleranceType,placeType,cumExecQty,reduceOnly,qty,stopLoss,smpOrderId,slippageTolerance,triggerBy,extraFees,createdTime_readable,updatedTime_readable
PONKEUSDT,Limit,,0,49906307-f183-4806-9309-64ddd728d491,CancelByUser,,,0.04031,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,0.0408,,1763751892447,,2,GTC,0,1763759103826,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,343,,,0,,,2025-11-21 19:04:52,2025-11-21 21:05:03
PONKEUSDT,Limit,,0,202c97e0-d62b-4b0d-b295-727bdd8dea6b,CancelByUser,,,0.04031,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,0.04056,,1763751892076,,2,GTC,0,1763759103499,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,343,,,0,,,2025-11-21 19:04:52,2025-11-21 21:05:03
PONKEUSDT,Limit,,0,b0c48f80-7cab-4dc3-ad3c-62e62d068155,CancelByUser,,,0.04031,Cancelled,CreateByUser,0.03957,0,Full,None,0,,{},EC_PerCancelRequest,,0.04042,,1763751891879,MarkPrice,2,GTC,0,1763759103213,Sell,0,,0,0,MarkPrice,0,False,UNKNOWN,,0,False,343,0.04112,,0,,,2025-11-21 19:04:51,2025-11-21 21:05:03
PONKEUSDT,Limit,,0,ee2f1f14-2492-4cf1-905c-570965567a30,CancelByUser,,,0.03937,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,0.03818,,1763743768305,,1,GTC,0,1763750972118,Buy,0,,0,0,,0,False,UNKNOWN,,0,False,355,,,0,,,2025-11-21 16:49:28,2025-11-21 18:49:32
PONKEUSDT,Limit,,0,43518a1c-f1fe-4938-a12c-d381888e1ea3,CancelByUser,,,0.03937,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,0.03889,,1763743768108,,1,GTC,0,1763750971907,Buy,0,,0,0,,0,False,UNKNOWN,,0,False,355,,,0,,,2025-11-21 16:49:28,2025-11-21 18:49:31
PONKEUSDT,Limit,,0,d106996e-0a58-4c63-8937-92af03aff843,CancelByUser,,,0.03937,Cancelled,CreateByUser,0.0397,0,Full,None,0,,{},EC_PerCancelRequest,,0.03913,,1763743767909,MarkPrice,1,GTC,0,1763750971684,Buy,0,,0,0,MarkPrice,0,False,UNKNOWN,,0,False,355,0.03788,,0,,,2025-11-21 16:49:27,2025-11-21 18:49:31
PONKEUSDT,Market,,0,846988c0-083b-4536-a0f9-7837fa228474,UNKNOWN,0.03921427,TakeProfit,0.03922,Filled,CreateByTakeProfit,,27.52842,Full,None,2,,{'USDT': '0.01514064'},EC_NoError,,0.04197,,1763735653753,,2,IOC,0,1763738526403,Buy,0,0.03924,0,0.01514064,,0,True,UNKNOWN,,702,True,702,,,0,MarkPrice,,2025-11-21 14:34:13,2025-11-21 15:22:06
PONKEUSDT,Market,,0,4d69de37-b13d-4343-9dac-f4053d64ed58,CancelByTpSlTsClear,,StopLoss,0.0398,Deactivated,CreateByStopLoss,,0,Full,None,1,,{},EC_NoError,,0,,1763735653753,,2,IOC,0,1763738526403,Buy,0,0.04113,0,0,,0,True,UNKNOWN,,0,True,702,,,0,MarkPrice,,2025-11-21 14:34:13,2025-11-21 15:22:06
PONKEUSDT,Limit,,0,fcb1c133-ff3a-48c5-a6c5-78d493568c3d,CancelByUser,,,0.03965,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,0.04081,,1763735641660,,2,GTC,0,1763742852747,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,351,,,0,,,2025-11-21 14:34:01,2025-11-21 16:34:12
PONKEUSDT,Limit,,0,f42e7167-4fcf-4e24-8b3b-1cab169ce8d7,UNKNOWN,0.0401,,0.03961,Filled,CreateByUser,,14.0751,,None,0,,{'USDT': '0.00281502'},EC_NoError,,0.0401,,1763735641463,,2,GTC,0,1763735758895,Sell,0,,0,0.00281502,,0,False,UNKNOWN,,351,False,351,,,0,,,2025-11-21 14:34:01,2025-11-21 14:35:58
