symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable
SOLUSDT,Market,20,1762672552330,Buy,069d2648-be53-450e-8541-9d2f819d6d47,0.84949261,0.0065066,0.0174119,162.665,0.2,32.533,1762672552326,166.2,0.2,158.29,Trade,1,31.658,2025-11-09 07:15:52,2025-11-09 07:15:52
SOLUSDT,Market,20,1762536592087,Buy,4e9ca70e-2ff4-487b-8f99-b91e82fda479,-0.70010795,0.0095314,0.02657655,158.85666666,0.3,47.657,1762533108043,166.79,0.3,161.07,Trade,1,48.321,2025-11-07 16:31:48,2025-11-07 17:29:52
SOLUSDT,Market,20,1762532668105,Buy,dc2bf93d-abf0-4c00-97d9-9b3b2c997e09,-0.55537416,0.0093332,0.02595285,155.55333333,0.3,46.666,1762528207224,163.33,0.3,157.29,Trade,1,47.187,2025-11-07 15:10:07,2025-11-07 16:24:28
SOLUSDT,Market,20,1762526603335,Sell,603b3739-747e-49a1-8eb7-9c84e0a62799,0.2046147,0.0030044,0.0083809,150.22,0.1,15.022,1762526233848,144.81,0.1,152.38,Trade,1,15.238,2025-11-07 14:37:13,2025-11-07 14:43:23
SOLUSDT,Market,20,1762518709349,Sell,7ff7047e-855d-4018-b22f-64240616474f,-0.65718285,0.0092068,0.02497605,153.44666667,0.3,46.034,1762510661705,145.78,0.3,151.37,Trade,1,45.411,2025-11-07 10:17:41,2025-11-07 12:31:49
SOLUSDT,Market,20,1762508163312,Sell,cee3ab5e-ed9b-434d-a0a8-bbb5ae99b32b,-0.56385705,0.0093728,0.02548425,156.21333334,0.3,46.864,1762506216529,148.41,0.3,154.45,Trade,2,46.335,2025-11-07 09:03:36,2025-11-07 09:36:03
SOLUSDT,Market,20,1762498561365,Buy,223cc802-fc19-4d2a-8a43-ebf85a27fa9a,0.1793045,0.0188888,0.0518067,157.40666666,0.6,94.444,1762498561362,164.83,0.6,156.99,Trade,1,94.194,2025-11-07 06:56:01,2025-11-07 06:56:01
SOLUSDT,Market,20,1762477350594,Sell,65f26622-bb72-4dbf-a886-448d64c309c0,0.6110701,0.0092738,0.02585715,154.56333334,0.3,46.369,1762477350590,148.88,0.3,156.71,Trade,1,47.013,2025-11-07 01:02:30,2025-11-07 01:02:30
SOLUSDT,Market,20,1762454156209,Buy,d6e3fc18-278a-48c5-b3a6-cc39f29d5646,0.0224633,0.0062832,0.0172535,157.08,0.2,31.416,1762451240627,164.69,0.2,156.85,Trade,1,31.37,2025-11-06 17:47:20,2025-11-06 18:35:56
SOLUSDT,Market,20,1762440889324,Buy,60161867-22cb-438e-8bb1-e6b5985056da,0.09514285,0.0031776,0.00867955,158.88,0.1,15.888,1762440889321,165.66,0.1,157.81,Trade,1,15.781,2025-11-06 14:54:49,2025-11-06 14:54:49
SOLUSDT,Market,20,1762439042849,Buy,20dcbaf5-640a-4c7a-a626-736ba4ee24ae,0.3381727,0.0096088,0.0262185,160.14666666,0.3,48.044,1762439042846,166.86,0.3,158.9,Trade,1,47.67,2025-11-06 14:24:02,2025-11-06 14:24:02
SOLUSDT,Market,20,1762420515303,Sell,d1741db5-f9b5-440d-bc72-e7091db3f0cf,0.08624435,0.0031744,0.00878405,158.72,0.1,15.872,1762420515300,151.74,0.1,159.71,Trade,1,15.971,2025-11-06 09:15:15,2025-11-06 09:15:15
SOLUSDT,Market,20,1762413504097,Sell,51c1dcc3-df2f-4fe7-ba9f-b6f2fc44723d,-0.288783,0.006381,0.017402,159.525,0.2,31.905,1762407523120,151.55,0.2,158.2,Trade,1,31.64,2025-11-06 05:38:43,2025-11-06 07:18:24
SOLUSDT,Market,20,1762396930425,Sell,be4aa9dd-05f9-4bc7-9c0e-22d753c3a623,0.09487965,0.0032164,0.00890395,160.82,0.1,16.082,1762396930422,153.81,0.1,161.89,Trade,1,16.189,2025-11-06 02:42:10,2025-11-06 02:42:10
SOLUSDT,Market,20,1762387553145,Buy,65187220-658e-42b1-a5ed-ca45804ec3b1,0.19970018,0.0064898,0.0177221,162.245,0.2,32.449,1762387553142,169.17,0.2,161.11,Trade,1,32.222,2025-11-06 00:05:53,2025-11-06 00:05:53
