symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
SOLUSDT,Market,,,069d2648-be53-450e-8541-9d2f819d6d47,UNKNOWN,1762672552328,USDT,CreateByClosing,-0.0174119,0.00055,,,158.29,158.29,,0.2,166.2,31.658,0.2,Trade,235822490518,Buy,,0,False,0.0174119,f7e51c71-8c67-5abe-92b3-18f3598a0449,,0.2,,2025-11-09 07:15:52
SOLUSDT,UNKNOWN,,,8f561005-0c09-4b1d-8bbb-ab939821223a,UNKNOWN,1762646400000,USDT,,-0.00448174,0.000141,,,163.392,157.93,,0,0,31.586,0,Funding,235735099102,Sell,,0,False,0.00448174,b5861bfd-d34c-46f3-b1db-154609057383,,0.2,,2025-11-09 00:00:00
SOLUSDT,UNKNOWN,,,188cfe4a-6e0c-4193-bc63-f38d5dc3e987,UNKNOWN,1762617600000,USDT,,0.00161737,-0.000051,,,163.392,156.57,,0,0,31.314,0,Funding,235655143819,Sell,,0,False,-0.00161737,70d3bbd2-580b-489d-8818-7d95e6691a60,,0.2,,2025-11-08 16:00:00
SOLUSDT,UNKNOWN,,,4bfdee5f-71ab-4410-997c-74122dc07117,UNKNOWN,1762588800000,USDT,,0.00242741,-0.000075,,,163.392,160.947,,0,0,32.1894,0,Funding,235545687296,Sell,,0,False,-0.00242741,d07e93bf-6f32-4925-a20b-3422124567f2,,0.2,,2025-11-08 08:00:00
SOLUSDT,UNKNOWN,,,5eb5dc6e-14f5-4cb4-97ab-b04dda157abe,UNKNOWN,1762560000000,USDT,,-0.00115193,0.000035,,,163.392,161.742,,0,0,32.3484,0,Funding,235428071460,Sell,,0,False,0.00115193,6b865365-19ec-480b-b8ea-dc9078053bfb,,0.2,,2025-11-08 00:00:00
SOLUSDT,Limit,,,89aadb9b-b315-4c23-b917-436261e0b159,UNKNOWN,1762542997226,USDT,CreateByUser,-0.003263,0.0002,,,162.093,163.15,,0.1,163.15,16.315,0,Trade,235357914201,Sell,,0,True,0.003263,cbd4ae79-ec44-5a07-a59b-5af87120641f,,0.1,,2025-11-07 19:16:37
SOLUSDT,Limit,,,18ccac2c-55e8-4156-960b-da40be84add0,UNKNOWN,1762539560081,USDT,CreateByUser,-0.0032436,0.0002,,,161.185,162.18,,0.1,162.18,16.218,0,Trade,235331457451,Sell,,0,True,0.0032436,724dcd92-bcd9-557d-8b04-f9656956f76f,,0.1,,2025-11-07 18:19:20
SOLUSDT,Market,,,4e9ca70e-2ff4-487b-8f99-b91e82fda479,StopLoss,1762536592085,USDT,CreateByStopLoss,-0.02657655,0.00055,,,161.07,161.07,,0.3,166.79,48.321,0.3,Trade,235303087273,Buy,,0,False,0.02657655,b04ae6d7-0745-56be-b1e7-b7a841b04e3e,,0.3,,2025-11-07 17:29:52
SOLUSDT,Limit,,,f004686f-6eac-4531-b3b9-904e398724cd,UNKNOWN,1762536065546,USDT,CreateByUser,-0.003196,0.0002,,,158.769,159.8,,0.1,159.8,15.98,0,Trade,235298430848,Sell,,0,True,0.003196,4ede423b-609d-5e90-88d6-c622e290017a,,0.1,,2025-11-07 17:21:05
SOLUSDT,Limit,,,5bb87161-4c22-465e-834a-c14c3c2ee5e8,UNKNOWN,1762535660026,USDT,CreateByUser,-0.003177,0.0002,,,157.87,158.85,,0.1,158.85,15.885,0,Trade,235294839350,Sell,,0,True,0.003177,f198fa7a-a34e-57f6-81bc-deb50aca7662,,0.1,,2025-11-07 17:14:20
SOLUSDT,Limit,,,274f5405-a467-48a1-adbe-705cbe1b8931,UNKNOWN,1762533108040,USDT,CreateByUser,-0.0031584,0.0002,,,157.87,157.92,,0.1,157.92,15.792,0,Trade,235268897662,Sell,,0,True,0.0031584,9985ce8e-f469-570d-be9b-f50b88dddef9,,0.1,,2025-11-07 16:31:48
SOLUSDT,Market,,,dc2bf93d-abf0-4c00-97d9-9b3b2c997e09,StopLoss,1762532668103,USDT,CreateByStopLoss,-0.02595285,0.00055,,,157.29,157.29,,0.3,163.33,47.187,0.3,Trade,235264858608,Buy,,0,False,0.02595285,0e05b2e1-9f45-5c0d-b54b-eeadee9283f1,,0.3,,2025-11-07 16:24:28
SOLUSDT,UNKNOWN,,,ee4d469d-2b41-4243-bd06-0330cfdd19c1,UNKNOWN,1762531200000,USDT,,0.00091189,-0.000019,,,155.93,155.32,,0,0,46.596,0,Funding,235252340837,Sell,,0,False,-0.00091189,159bdf9f-5d2f-4ab6-8914-e0f032ee2a28,,0.3,,2025-11-07 16:00:00
SOLUSDT,Limit,,,b90b0e1a-d181-4f56-9bd5-7ff8b781b50f,UNKNOWN,1762530964070,USDT,CreateByUser,-0.0031202,0.0002,,,155.512,156.01,,0.1,156.01,15.601,0,Trade,235250730283,Sell,,0,True,0.0031202,62a9a2f1-e011-508f-9438-89f2624a8633,,0.1,,2025-11-07 15:56:04
SOLUSDT,Limit,,,42a4c5a7-fab2-47bd-9ba8-ff29a4f6a6d6,UNKNOWN,1762528231325,USDT,CreateByUser,-0.0031112,0.0002,,,155.04,155.56,,0.1,155.56,15.556,0,Trade,235228378746,Sell,,0,True,0.0031112,d4ead0dc-4172-5350-8649-854eebfad7b6,,0.1,,2025-11-07 15:10:31
SOLUSDT,Limit,,,4d22d078-4961-4509-9142-882858dd1369,UNKNOWN,1762528207221,USDT,CreateByUser,-0.0031018,0.0002,,,154.33,155.09,,0.1,155.09,15.509,0,Trade,235228049875,Sell,,0,True,0.0031018,3f5a4001-aafb-58ad-8ba4-ae94455988ef,,0.1,,2025-11-07 15:10:07
SOLUSDT,Market,,,603b3739-747e-49a1-8eb7-9c84e0a62799,TakeProfit,1762526603333,USDT,CreateByTakeProfit,-0.0083809,0.00055,,,152.43,152.38,,0.1,144.81,15.238,0.1,Trade,235212876553,Sell,,0,False,0.0083809,9b7a433d-ab79-5720-aff3-ca131f5d9413,,0.1,,2025-11-07 14:43:23
