symbol,orderType,orderLinkId,slLimitPrice,orderId,cancelType,avgPrice,stopOrderType,lastPriceOnCreated,orderStatus,createType,takeProfit,cumExecValue,tpslMode,smpType,triggerDirection,blockTradeId,cumFeeDetail,rejectReason,isLeverage,price,orderIv,createdTime,tpTriggerBy,positionIdx,timeInForce,leavesValue,updatedTime,side,smpGroup,triggerPrice,tpLimitPrice,cumExecFee,slTriggerBy,leavesQty,closeOnTrigger,slippageToleranceType,placeType,cumExecQty,reduceOnly,qty,stopLoss,smpOrderId,slippageTolerance,triggerBy,extraFees,createdTime_readable,updatedTime_readable
SUIUSDT,Market,,0,c1fed14c-db5d-456e-a65d-2cc6d7f657f7,CancelByTpSlTsClear,,TakeProfit,1.3868,Deactivated,CreateByTakeProfit,,0,Full,None,2,,{},EC_NoError,,0,,1763735427185,,2,IOC,0,1763735833221,Buy,0,1.3596,0,0,,0,True,UNKNOWN,,0,True,30,,,0,MarkPrice,,2025-11-21 14:30:27,2025-11-21 14:37:13
SUIUSDT,Market,,0,e6fffdc0-b905-4dab-9b8b-644d3f9fc4f5,UNKNOWN,1.4127,StopLoss,1.4127,Filled,CreateByStopLoss,,42.381,Full,None,1,,{'USDT': '0.02330955'},EC_NoError,,1.4642,,1763735427185,,2,IOC,0,1763735833221,Buy,0,1.4127,0,0.02330955,,0,True,UNKNOWN,,30,True,30,,,0,MarkPrice,,2025-11-21 14:30:27,2025-11-21 14:37:13
SUIUSDT,Limit,,0,3bc1673d-c0eb-438d-a36a-f8ffb71e46c1,UNKNOWN,1.4015,,1.3788,Filled,CreateByUser,,14.015,,None,0,,{'USDT': '0.002803'},EC_NoError,,1.4015,,1763734551698,,2,GTC,0,1763735657969,Sell,0,,0,0.002803,,0,False,UNKNOWN,,10,False,10,,,0,,,2025-11-21 14:15:51,2025-11-21 14:34:17
SUIUSDT,Limit,,0,ca7eb5b0-b261-4fdf-9b25-bab1d78b8443,UNKNOWN,1.3952,,1.3788,Filled,CreateByUser,,13.952,,None,0,,{'USDT': '0.0027904'},EC_NoError,,1.3952,,1763734550916,,2,GTC,0,1763735641537,Sell,0,,0,0.0027904,,0,False,UNKNOWN,,10,False,10,,,0,,,2025-11-21 14:15:50,2025-11-21 14:34:01
SUIUSDT,Limit,,0,99f16caa-28e9-4714-8611-2fdfc0e536f4,UNKNOWN,1.3869,,1.3785,Filled,CreateByUser,1.3596,13.869,Full,None,0,,{'USDT': '0.0027738'},EC_NoError,,1.3869,,1763734550106,MarkPrice,2,GTC,0,1763735427185,Sell,0,,0,0.0027738,MarkPrice,0,False,UNKNOWN,,10,False,10,1.4127,,0,,,2025-11-21 14:15:50,2025-11-21 14:30:27
SUIUSDT,Market,,0,d7d43906-d72d-4ae5-9ff6-3e7ce7d69dda,UNKNOWN,1.3193,StopLoss,1.3194,Filled,CreateByStopLoss,,39.579,Full,None,2,,{'USDT': '0.02176845'},EC_NoError,,1.2544,,1763726665116,,1,IOC,0,1763728161198,Sell,0,1.3196,0,0.02176845,,0,True,UNKNOWN,,30,True,30,,,0,MarkPrice,,2025-11-21 12:04:25,2025-11-21 12:29:21
SUIUSDT,Market,,0,0bc1f9bf-f953-48a5-b815-cc201290e4ef,CancelByTpSlTsClear,,TakeProfit,1.324,Deactivated,CreateByTakeProfit,,0,Full,None,1,,{},EC_NoError,,0,,1763726665116,,1,IOC,0,1763728161198,Sell,0,1.3534,0,0,,0,True,UNKNOWN,,0,True,30,,,0,MarkPrice,,2025-11-21 12:04:25,2025-11-21 12:29:21
SUIUSDT,Limit,,0,5e9f3a22-1f37-4bc7-a176-6a6c6fe76dfa,UNKNOWN,1.3159,,1.3314,Filled,CreateByUser,,13.159,,None,0,,{'USDT': '0.0026318'},EC_NoError,,1.3159,,1763725697156,,1,GTC,0,1763728143524,Buy,0,,0,0.0026318,,0,False,UNKNOWN,,10,False,10,,,0,,,2025-11-21 11:48:17,2025-11-21 12:29:03
SUIUSDT,Limit,,0,a218ed6c-3015-44b0-9851-ca7f328cfe5c,UNKNOWN,1.3214,,1.3313,Filled,CreateByUser,,13.214,,None,0,,{'USDT': '0.0026428'},EC_NoError,,1.3214,,1763725696561,,1,GTC,0,1763727854273,Buy,0,,0,0.0026428,,0,False,UNKNOWN,,10,False,10,,,0,,,2025-11-21 11:48:16,2025-11-21 12:24:14
SUIUSDT,Limit,,0,db04e24f-6461-4058-acc0-c9bc949b94d2,UNKNOWN,1.3239,,1.3313,Filled,CreateByUser,1.3534,13.239,Full,None,0,,{'USDT': '0.0026478'},EC_NoError,,1.3239,,1763725695938,MarkPrice,1,GTC,0,1763726665116,Buy,0,,0,0.0026478,MarkPrice,0,False,UNKNOWN,,10,False,10,1.3053,,0,,,2025-11-21 11:48:15,2025-11-21 12:04:25
SUIUSDT,Market,,0,69de5a24-5fa2-4d14-97e8-0e099ddd6123,CancelByTpSlTsClear,,TakeProfit,1.3807,Deactivated,CreateByTakeProfit,,0,Full,None,1,,{},EC_NoError,,0,,1763717036748,,1,IOC,0,1763725089369,Sell,0,1.4008,0,0,,0,True,UNKNOWN,,0,True,20,,,0,MarkPrice,,2025-11-21 09:23:56,2025-11-21 11:38:09
SUIUSDT,Market,,0,a495a532-d871-4b28-b035-f4c482be911e,UNKNOWN,1.3363,StopLoss,1.3364,Filled,CreateByStopLoss,,26.726,Full,None,2,,{'USDT': '0.0146993'},EC_NoError,,1.3076,,1763717036748,,1,IOC,0,1763725089369,Sell,0,1.3364,0,0.0146993,,0,True,UNKNOWN,,20,True,20,,,0,MarkPrice,,2025-11-21 09:23:56,2025-11-21 11:38:09
SUIUSDT,Limit,,0,32222d9d-5e4f-49a3-9a5b-676188d8a06b,CancelByUser,,,1.3885,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,1.3472,,1763716653086,,1,GTC,0,1763723866573,Buy,0,,0,0,,0,False,UNKNOWN,,0,False,10,,,0,,,2025-11-21 09:17:33,2025-11-21 11:17:46
SUIUSDT,Limit,,0,9b3b67e0-998d-4d79-b939-19ef20e8acaa,UNKNOWN,1.3722,,1.3885,Filled,CreateByUser,,13.722,,None,0,,{'USDT': '0.0027444'},EC_NoError,,1.3722,,1763716652498,,1,GTC,0,1763717552799,Buy,0,,0,0.0027444,,0,False,UNKNOWN,,10,False,10,,,0,,,2025-11-21 09:17:32,2025-11-21 09:32:32
SUIUSDT,Limit,,0,2930cf6c-00cd-4bd1-b40e-4841eeb7eab4,UNKNOWN,1.3805,,1.3889,Filled,CreateByUser,1.4008,13.805,Full,None,0,,{'USDT': '0.002761'},EC_NoError,,1.3805,,1763716651903,MarkPrice,1,GTC,0,1763717036748,Buy,0,,0,0.002761,MarkPrice,0,False,UNKNOWN,,10,False,10,1.3364,,0,,,2025-11-21 09:17:31,2025-11-21 09:23:56
