symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
TRXUSDT,UNKNOWN,,,2a000b20-7b18-4658-a11b-86656ad57d9b,UNKNOWN,1763740800000,USDT,,0.00006315,-0.000004,,,0.27654,0.276,,0,0,14.352,0,Funding,243428275745,Sell,,0,False,-0.00006315,be43b589-4215-4c7c-af3a-fbd63fdcad59,,52,,2025-11-21 16:00:00
TRXUSDT,Limit,,,46b5bad9-23da-4d0a-8169-49a91c688fc0,UNKNOWN,1763730543716,USDT,CreateByUser,-0.00088551,0.0002,,,0.27658,0.27672,,52,0.27672,4.42752,0,Trade,243357993841,Sell,,0,True,0.00088551,4d23c62c-7f71-5bb2-a264-550e791f48c0,,16,,2025-11-21 13:09:03
TRXUSDT,Limit,,,46b5bad9-23da-4d0a-8169-49a91c688fc0,UNKNOWN,1763730543232,USDT,CreateByUser,-0.00199239,0.0002,,,0.27645,0.27672,,52,0.27672,9.96192,0,Trade,243357987221,Sell,,16,True,0.00199239,a79359bc-50ed-576c-b4bd-e82a39b14455,,36,,2025-11-21 13:09:03
TRXUSDT,Market,,,b2656a93-e72d-4413-8294-de8104935fcd,TakeProfit,1763710588882,USDT,CreateByTakeProfit,-0.01482736,0.00055,,,0.27511,0.27509,,98,0.28886,26.95882,98,Trade,243233319594,Buy,,0,False,0.01482736,cff6e779-faee-5e97-8655-3e0504826e70,,98,,2025-11-21 07:36:28
TRXUSDT,Limit,,,ba198053-79e0-4a77-9d00-5e352396e00b,UNKNOWN,1763684050556,USDT,CreateByUser,-0.00118482,0.0002,,,0.28209,0.2821,,49,0.2821,5.9241,0,Trade,243107344776,Sell,,0,True,0.00118482,ce150a76-75b5-51fd-9e26-1c28e5041483,,21,,2025-11-21 00:14:10
TRXUSDT,Limit,,,ba198053-79e0-4a77-9d00-5e352396e00b,UNKNOWN,1763684048049,USDT,CreateByUser,-0.00157976,0.0002,,,0.28069,0.2821,,49,0.2821,7.8988,0,Trade,243107314852,Sell,,21,True,0.00157976,899fe304-c3c0-5b40-842c-e50e237353b8,,28,,2025-11-21 00:14:08
TRXUSDT,Limit,,,5df663b0-9525-4549-84b5-22d1d17f72cf,UNKNOWN,1763683305831,USDT,CreateByUser,-0.00275096,0.0002,,,0.28041,0.28071,,49,0.28071,13.75479,0,Trade,243103243029,Sell,,0,True,0.00275096,1c8a65ae-5112-5a0e-8785-d327fb068953,,49,,2025-11-21 00:01:45
TRXUSDT,Market,,,77ff1f5a-3e7a-414d-bca6-49a0b8ffbfbb,UNKNOWN,1763219172908,USDT,CreateByClosing,-0.00305841,0.00055,,,0.29268,0.29267,,46,0.27805,5.56073,19,Trade,241561145478,Sell,,27,False,0.00305841,cf8c2ef5-54e0-5f6a-b34a-8e95b0f1e31e,,19,,2025-11-15 15:06:12
TRXUSDT,Market,,,77ff1f5a-3e7a-414d-bca6-49a0b8ffbfbb,UNKNOWN,1763219172908,USDT,CreateByClosing,-0.00338034,0.00055,,,0.29268,0.29267,,46,0.27805,6.14607,21,Trade,241561145478,Sell,,6,False,0.00338034,9fd03a10-7be2-5728-bc19-1c2277c0abc9,,21,,2025-11-15 15:06:12
TRXUSDT,Market,,,77ff1f5a-3e7a-414d-bca6-49a0b8ffbfbb,UNKNOWN,1763219172908,USDT,CreateByClosing,-0.00096578,0.00055,,,0.29268,0.29266,,46,0.27805,1.75596,6,Trade,241561145478,Sell,,0,False,0.00096578,776703a0-8927-5311-a868-9b3b0fec532e,,6,,2025-11-15 15:06:12
TRXUSDT,Limit,,,f9bcf512-2016-4afa-83b4-688b0675caa5,UNKNOWN,1763201022019,USDT,CreateByUser,-0.00267766,0.0002,,,0.29418,0.29105,,46,0.29105,13.3883,0,Trade,241517853494,Buy,,0,True,0.00267766,b3b2b10f-ce5c-550b-be7e-4a627d3f7e45,,46,,2025-11-15 10:03:42
TRXUSDT,Market,,,8f7f54da-2dfe-4249-a4e9-f5b2117e338b,UNKNOWN,1763191500722,USDT,CreateByClosing,-0.0012944,0.00055,,,0.29418,0.29418,,46,0.27948,2.35344,8,Trade,241492489800,Sell,,38,False,0.0012944,b2561d18-d222-52b6-83fb-125eebbe0cb0,,8,,2025-11-15 07:25:00
TRXUSDT,Market,,,8f7f54da-2dfe-4249-a4e9-f5b2117e338b,UNKNOWN,1763191500722,USDT,CreateByClosing,-0.00614837,0.00055,,,0.29418,0.29418,,46,0.27948,11.17884,38,Trade,241492489800,Sell,,0,False,0.00614837,473559f8-0b7e-529c-afde-e241a3619129,,38,,2025-11-15 07:25:00
TRXUSDT,UNKNOWN,,,a4cb0aaa-8249-4b91-b66e-8ecd93ba5931,UNKNOWN,1763164800000,USDT,,-0.00110367,0.000082,,,0.29182,0.29238,,0,0,13.44948,0,Funding,241423673030,Buy,,0,False,0.00110367,3a118413-f84f-4ff5-bae5-6fcf3268231c,,46,,2025-11-15 00:00:00
TRXUSDT,Limit,,,e4acb0b0-a9fe-4be8-98e1-8cf5e5df97dc,UNKNOWN,1763162570336,USDT,CreateByUser,-0.0026842,0.0002,,,0.29285,0.29176,,46,0.29176,13.42096,0,Trade,241416753584,Buy,,0,True,0.0026842,90893d87-8504-52ec-b031-dcf11fa9884b,,46,,2025-11-14 23:22:50
TRXUSDT,Market,,,760aca65-979d-4654-83de-463bf7f405ac,TakeProfit,1763137588995,USDT,CreateByTakeProfit,-0.00556195,0.00055,,,0.29747,0.29743,,44,0.2826,10.11262,34,Trade,241320202816,Sell,,0,False,0.00556195,935ca44a-adc6-5b32-aa4a-75e3f0754142,,34,,2025-11-14 16:26:28
TRXUSDT,Market,,,760aca65-979d-4654-83de-463bf7f405ac,TakeProfit,1763137588995,USDT,CreateByTakeProfit,-0.00163587,0.00055,,,0.29747,0.29743,,44,0.2826,2.9743,10,Trade,241320202816,Sell,,34,False,0.00163587,069fa066-2a02-5145-ab8b-b87617c85738,,10,,2025-11-14 16:26:28
TRXUSDT,UNKNOWN,,,125799e0-44e7-476d-bf22-c00c4bfd3daa,UNKNOWN,1763136000000,USDT,,-0.00088986,0.000068,,,0.29188,0.29589,,0,0,13.01916,0,Funding,241312605645,Buy,,0,False,0.00088986,85666ad7-0ddc-4573-aeec-0a9f51da6f0a,,44,,2025-11-14 16:00:00
TRXUSDT,Limit,,,e5d36671-aa14-4b2c-ad76-c22ec7249ddc,UNKNOWN,1763114646510,USDT,CreateByUser,-0.00256864,0.0002,,,0.29204,0.29189,,44,0.29189,12.84316,0,Trade,241212043770,Buy,,0,True,0.00256864,914b4234-d820-5cca-aa5f-97024485f61a,,44,,2025-11-14 10:04:06
TRXUSDT,Market,,,47a7b536-e3bf-405c-9d46-135959cd20a8,UNKNOWN,1763043709963,USDT,CreateByClosing,-0.00571745,0.00055,,,0.29702,0.29701,,35,0.28217,10.39535,35,Trade,240916404266,Sell,,0,False,0.00571745,8d54d4e8-3fbc-5f19-81a4-a6f48ac2f52f,,35,,2025-11-13 14:21:49
TRXUSDT,UNKNOWN,,,9fbb42b9-7681-4995-806a-343ade8e5ff2,UNKNOWN,1763020800000,USDT,,-0.0007894,0.000075,,,0.2967,0.29889,,0,0,10.46115,0,Funding,240845333637,Buy,,0,False,0.0007894,d5fbe675-c8f0-401a-b59f-b474c6ad3b40,,35,,2025-11-13 08:00:00
TRXUSDT,UNKNOWN,,,22775220-bc33-4d79-9590-0d4a54d23d4e,UNKNOWN,1762992000000,USDT,,0.00215282,-0.000208,,,0.2949,0.29433,,0,0,10.30155,0,Funding,240752752850,Buy,,0,False,-0.00215282,9f2c8145-bf20-47bb-8d47-e9091b75a1a0,,35,,2025-11-13 00:00:00
TRXUSDT,Limit,,,fa2e01f7-3d06-43c4-bbd5-2a1838bf874c,UNKNOWN,1762979004820,USDT,CreateByUser,-0.00205982,0.0002,,,0.29431,0.29426,,35,0.29426,10.2991,0,Trade,240720038662,Buy,,0,True,0.00205982,db431e58-2c77-576d-abef-62d4fd357500,,35,,2025-11-12 20:23:24
TRXUSDT,Market,,,cf077ea3-bf40-40b2-b64b-ce2b9cb16769,StopLoss,1762540630902,USDT,CreateByStopLoss,-0.03708082,0.00055,,,0.29186,0.29186,,231,0.30239,67.41966,231,Trade,238518313040,Buy,,0,False,0.03708082,a270630b-cf3a-5f21-91dd-85685a737c8a,,231,,2025-11-07 18:37:10
TRXUSDT,Limit,,,16bb1564-3550-49a1-a770-55c9b5142f32,UNKNOWN,1762535760599,USDT,CreateByUser,-0.00445907,0.0002,,,0.28726,0.28955,,77,0.28955,22.29535,0,Trade,238464778783,Sell,,0,True,0.00445907,0a988f9c-0904-534c-aef4-7d1ae1768b24,,77,,2025-11-07 17:16:00
TRXUSDT,Limit,,,cd5e6d5e-81fb-4bc4-9b68-20d2a587334f,UNKNOWN,1762531840861,USDT,CreateByUser,-0.00443259,0.0002,,,0.28656,0.28783,,77,0.28783,22.16291,0,Trade,238423000477,Sell,,0,True,0.00443259,6f8222de-ea33-5c1f-81d3-20f460b7155f,,77,,2025-11-07 16:10:40
TRXUSDT,Limit,,,e4c3527d-36a8-4274-bb30-4cf268225679,UNKNOWN,1762531284210,USDT,CreateByUser,-0.0044138,0.0002,,,0.28611,0.28661,,77,0.28661,22.06897,0,Trade,238416914522,Sell,,0,True,0.0044138,06100d7b-e1ca-57b1-85d7-2a1167d58f54,,77,,2025-11-07 16:01:24
TRXUSDT,Market,,,7e193b71-4177-4434-8d49-292dd7e183e9,UNKNOWN,1762266425236,USDT,CreateByClosing,-0.01143793,0.00055,,,0.28104,0.28103,,74,0.26699,20.79622,74,Trade,236625446470,Sell,,0,False,0.01143793,2eb7a35c-b2d4-546d-955f-774f170c7861,,74,,2025-11-04 14:27:05
TRXUSDT,Limit,,,61449294-1ae2-4665-bd9d-245772945f83,UNKNOWN,1762259533992,USDT,CreateByUser,-0.00415318,0.0002,,,0.28087,0.28062,,74,0.28062,20.76588,0,Trade,236591745369,Buy,,0,True,0.00415318,eb5a98cf-164f-5da7-a739-4c3455f4eeb3,,74,,2025-11-04 12:32:13
TRXUSDT,Market,,,12fd8f8f-4662-4dfb-8cca-1574f48d1b2f,UNKNOWN,1762258255902,USDT,CreateByClosing,-0.01051726,0.00055,,,0.28122,0.28121,,68,0.26716,19.12228,68,Trade,236587432215,Sell,,0,False,0.01051726,dcf21df8-821e-5875-999c-45fc2769ec9d,,68,,2025-11-04 12:10:55
TRXUSDT,Market,,,de19f735-5334-4f9f-9a99-e73f2e38c64b,UNKNOWN,1762257946361,USDT,CreateByUser,-0.0007738,0.00055,,,0.28139,0.28138,,5,0.26733,1.4069,5,Trade,236586347465,Sell,,0,False,0.0007738,b8cc0726-a20c-55fd-b976-0f33a1a99446,,5,,2025-11-04 12:05:46
