symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable
WIFUSDT,Market,20,1762539549717,Buy,7529a817-faab-4256-9a99-f3fb4992c014,-1.09272063,0.00707588,0.02004475,0.4781,74,35.3794,1762535629400,0.502,74,0.4925,Trade,1,36.445,2025-11-07 17:13:49,2025-11-07 18:19:09
WIFUSDT,Market,20,1762534361839,Buy,7410e3c2-77b9-4737-aaf1-47b45a3e4f32,-1.48330665,0.0125379,0.03526875,0.46436666,135,62.6895,1762532462889,0.4875,135,0.475,Trade,1,64.125,2025-11-07 16:21:02,2025-11-07 16:52:41
WIFUSDT,Market,20,1762530615877,Buy,9b8e0242-ac5e-4fc8-aadb-c35e73d9295b,-1.07594875,0.013436,0.03751275,0.44786666,150,67.18,1762528658106,0.4702,150,0.4547,Trade,1,68.205,2025-11-07 15:17:38,2025-11-07 15:50:15
WIFUSDT,Market,20,1762526534725,Sell,7c13501a-9487-43a8-ad72-0f4f6f304222,0.29512569,0.00397432,0.01109999,0.4228,47,19.8716,1762526288727,0.4078,47,0.4294,Trade,1,20.1818,2025-11-07 14:38:08,2025-11-07 14:42:14
WIFUSDT,Market,20,1762519725845,Sell,8e8dbf20-5496-4c19-98aa-094c0ad9afa2,-1.0127355,0.012871,0.0348645,0.42903334,150,64.355,1762517822159,0.4076,150,0.4226,Trade,1,63.39,2025-11-07 12:17:02,2025-11-07 12:48:45
WIFUSDT,Market,20,1762515409810,Sell,365544e1-3125-4b68-a6f4-1d1cbcb874c5,-1.05841928,0.0138595,0.03755978,0.43583334,159,69.2975,1762512596438,0.4141,159,0.4295,Trade,1,68.2905,2025-11-07 10:49:56,2025-11-07 11:36:49
WIFUSDT,Market,20,1762501689468,Sell,c06e486d-c83f-49cc-bc87-0ea5ef5ad370,0.22708218,0.00458224,0.01273558,0.4406,52,22.9112,1762501689465,0.423,52,0.4453,Trade,1,23.1556,2025-11-07 07:48:09,2025-11-07 07:48:09
WIFUSDT,Market,20,1762487684513,Buy,ef24daca-6e37-4fa2-901d-4096a266f9cf,0.04166868,0.00105504,0.00287628,0.4396,12,5.2752,1762487684509,0.4573,12,0.4358,Trade,1,5.2296,2025-11-07 03:54:44,2025-11-07 03:54:44
WIFUSDT,Market,20,1762492201672,Buy,8d84a5a0-eef3-4b2f-9060-f07fbe3e17ee,-0.02285752,0.0039564,0.01088505,0.4396,45,19.782,1762485548098,0.4615,45,0.4398,Trade,3,19.791,2025-11-07 03:19:08,2025-11-07 05:10:01
WIFUSDT,Market,20,1762479276841,Buy,3001c30e-9aef-4488-be08-2f72eb6c67df,0.37483456,0.0049818,0.01348364,0.437,57,24.909,1762478463570,0.4517,57,0.4301,Trade,1,24.5157,2025-11-07 01:21:03,2025-11-07 01:34:36
WIFUSDT,Market,20,1762475682755,Sell,0638a8f9-034c-487d-b74d-bc7195be25c0,0.07047684,0.00093291,0.00260634,0.42405,11,4.66455,1762475682752,0.4093,11,0.4308,Trade,1,4.7388,2025-11-07 00:34:42,2025-11-07 00:34:42
WIFUSDT,Market,20,1762476288751,Sell,6b64e41f-ee74-4238-8687-bd2616f3e5ec,0.85197172,0.00839619,0.02357685,0.42405,99,41.98095,1762470251737,0.4119,99,0.433,Trade,1,42.867,2025-11-06 23:04:11,2025-11-07 00:44:48
WIFUSDT,Market,20,1762469082078,Buy,dcdae399-dab4-437d-a23c-c924abbf58c6,0.18838072,0.00376816,0.01025112,0.4282,44,18.8408,1762469082075,0.4448,44,0.4236,Trade,1,18.6384,2025-11-06 22:44:42,2025-11-06 22:44:42
WIFUSDT,Market,20,1762468988341,Buy,bb998686-569c-4acf-bf35-095364caae42,0.04599457,0.00094204,0.00256339,0.4282,11,4.7102,1762468988337,0.4447,11,0.4237,Trade,1,4.6607,2025-11-06 22:43:08,2025-11-06 22:43:08
WIFUSDT,Market,20,1762461134598,Buy,81c616a3-7700-460b-ae40-57a02f1ac4e4,0.21904932,0.0046882,0.01276248,0.4262,55,23.441,1762461134595,0.4435,55,0.4219,Trade,1,23.2045,2025-11-06 20:32:14,2025-11-06 20:32:14
WIFUSDT,Market,20,1762454143417,Sell,2c7fa547-00ab-4d76-b93e-68c91acccab2,0.2455596,0.0092763,0.0256641,0.42165,110,46.3815,1762454143413,0.4032,110,0.4242,Trade,2,46.662,2025-11-06 18:35:43,2025-11-06 18:35:43
WIFUSDT,Market,20,1762452101122,Sell,11c16a6f-a970-45c6-84e1-0907b944a12f,0.62698032,0.0080688,0.02255088,0.42025,96,40.344,1762452101119,0.4059,96,0.4271,Trade,1,41.0016,2025-11-06 18:01:41,2025-11-06 18:01:41
WIFUSDT,Market,20,1762451344245,Sell,5c95580b-a5e1-4a26-97ab-79d71b323439,0.02765797,0.00042025,0.00117178,0.42025,5,2.10125,1762451344242,0.4049,5,0.4261,Trade,1,2.1305,2025-11-06 17:49:04,2025-11-06 17:49:04
WIFUSDT,Market,20,1762450451005,Sell,51de436b-95d3-4456-b120-7531c8b0b903,0.01366567,0.00042025,0.00116408,0.42025,5,2.10125,1762450451002,0.4024,5,0.4233,Trade,1,2.1165,2025-11-06 17:34:11,2025-11-06 17:34:11
WIFUSDT,Market,20,1762440291577,Sell,d76eaab0-8dc6-4b36-ae64-db298721a043,0.19126008,0.00400704,0.01113288,0.4174,48,20.0352,1762440291574,0.4007,48,0.4217,Trade,1,20.2416,2025-11-06 14:44:51,2025-11-06 14:44:51
