symbol,orderType,orderLinkId,slLimitPrice,orderId,cancelType,avgPrice,stopOrderType,lastPriceOnCreated,orderStatus,createType,takeProfit,cumExecValue,tpslMode,smpType,triggerDirection,blockTradeId,cumFeeDetail,rejectReason,isLeverage,price,orderIv,createdTime,tpTriggerBy,positionIdx,timeInForce,leavesValue,updatedTime,side,smpGroup,triggerPrice,tpLimitPrice,cumExecFee,slTriggerBy,leavesQty,closeOnTrigger,slippageToleranceType,placeType,cumExecQty,reduceOnly,qty,stopLoss,smpOrderId,slippageTolerance,triggerBy,extraFees,createdTime_readable,updatedTime_readable
WIFUSDT,Market,,0,7529a817-faab-4256-9a99-f3fb4992c014,UNKNOWN,0.4925,StopLoss,0.4925,Filled,CreateByStopLoss,,36.445,Full,None,1,,{'USDT': '0.02004475'},EC_NoError,,0.502,,1762535629400,,2,IOC,0,1762539549717,Buy,0,0.4919,0,0.02004475,,0,True,UNKNOWN,,74,True,74,,,0,MarkPrice,,2025-11-07 17:13:49,2025-11-07 18:19:09
WIFUSDT,Limit,,0,274e5eda-6b4f-4979-992f-1f3a2deb1721,UNKNOWN,0.4795,,0.4731,Filled,CreateByUser,,17.7415,,None,0,,{'USDT': '0.0035483'},EC_NoError,,0.4795,,1762534871568,,2,GTC,0,1762536062232,Sell,0,,0,0.0035483,,0,False,UNKNOWN,,37,False,37,,,0,,,2025-11-07 17:01:11,2025-11-07 17:21:02
WIFUSDT,Limit,,0,15716971-3bb9-46fe-969c-809f63eee981,UNKNOWN,0.4767,,0.4733,Filled,CreateByUser,0.4693,17.6379,Full,None,0,,{'USDT': '0.00352758'},EC_NoError,,0.4767,,1762534870889,MarkPrice,2,GTC,0,1762535629400,Sell,0,,0,0.00352758,MarkPrice,0,False,UNKNOWN,,37,False,37,0.4919,,0,,,2025-11-07 17:01:10,2025-11-07 17:13:49
WIFUSDT,Market,,0,7410e3c2-77b9-4737-aaf1-47b45a3e4f32,UNKNOWN,0.475,StopLoss,0.4749,Filled,CreateByStopLoss,,64.125,Full,None,1,,{'USDT': '0.03526875'},EC_NoError,,0.4875,,1762532462889,,2,IOC,0,1762534361839,Buy,0,0.4744,0,0.03526875,,0,True,UNKNOWN,,135,True,135,,,0,MarkPrice,,2025-11-07 16:21:02,2025-11-07 16:52:41
WIFUSDT,Limit,,0,346c2946-aa55-4d96-95cf-6844a95263dc,UNKNOWN,0.4708,,0.4568,Filled,CreateByUser,,21.186,,None,0,,{'USDT': '0.0042372'},EC_NoError,,0.4708,,1762532375980,,2,GTC,0,1762533342787,Sell,0,,0,0.0042372,,0,False,UNKNOWN,,45,False,45,,,0,,,2025-11-07 16:19:35,2025-11-07 16:35:42
WIFUSDT,Limit,,0,63853817-920f-438b-8d00-8b019c1b25ba,UNKNOWN,0.4625,,0.4568,Filled,CreateByUser,,20.8125,,None,0,,{'USDT': '0.0041625'},EC_NoError,,0.4625,,1762532375300,,2,GTC,0,1762532587057,Sell,0,,0,0.0041625,,0,False,UNKNOWN,,45,False,45,,,0,,,2025-11-07 16:19:35,2025-11-07 16:23:07
WIFUSDT,Limit,,0,4537c78e-48d8-4933-8768-1264eef06c92,UNKNOWN,0.4598,,0.4568,Filled,CreateByUser,0.4527,20.691,Full,None,0,,{'USDT': '0.0041382'},EC_NoError,,0.4598,,1762532374262,MarkPrice,2,GTC,0,1762532462889,Sell,0,,0,0.0041382,MarkPrice,0,False,UNKNOWN,,45,False,45,0.4744,,0,,,2025-11-07 16:19:34,2025-11-07 16:21:02
WIFUSDT,Market,,0,9b8e0242-ac5e-4fc8-aadb-c35e73d9295b,UNKNOWN,0.4547,StopLoss,0.4544,Filled,CreateByStopLoss,,68.205,Full,None,1,,{'USDT': '0.03751275'},EC_NoError,,0.4702,,1762528658106,,2,IOC,0,1762530615877,Buy,0,0.4534,0,0.03751275,,0,True,UNKNOWN,,150,True,150,,,0,MarkPrice,,2025-11-07 15:17:38,2025-11-07 15:50:15
WIFUSDT,Limit,,0,1b20f41d-b8a6-4179-a1d5-63cc7b5203bb,UNKNOWN,0.4499,,0.4451,Filled,CreateByUser,,22.495,,None,0,,{'USDT': '0.004499'},EC_NoError,,0.4499,,1762528629024,,2,GTC,0,1762529315589,Sell,0,,0,0.004499,,0,False,UNKNOWN,,50,False,50,,,0,,,2025-11-07 15:17:09,2025-11-07 15:28:35
WIFUSDT,Limit,,0,1c3df80c-6604-4622-9e6a-e623c9e39818,UNKNOWN,0.4472,,0.4452,Filled,CreateByUser,,22.36,,None,0,,{'USDT': '0.004472'},EC_NoError,,0.4472,,1762528628335,,2,GTC,0,1762528882746,Sell,0,,0,0.004472,,0,False,UNKNOWN,,50,False,50,,,0,,,2025-11-07 15:17:08,2025-11-07 15:21:22
