symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable
XRPUSDT,Market,20,1763748344081,Buy,6c20fdb8-08cf-4dfd-af75-2d91a9ac2d16,0.23331938,0.00267317,0.00721745,1.9949,6.7,13.36583,1763748344078,2.0563,6.7,1.9586,Trade,1,13.12262,2025-11-21 18:05:44,2025-11-21 18:05:44
XRPUSDT,Market,20,1763745494652,Buy,206acc56-fb68-4714-a81c-746b7e30a02d,-0.2126593,0.0027328,0.0076265,1.952,7,13.664,1763744169656,2.0496,7,1.9809,Trade,8,13.8663,2025-11-21 16:56:09,2025-11-21 17:18:14
XRPUSDT,Market,20,1763693971583,Buy,da2425db-74ef-48a2-9960-333abe2160fd,1.01673492,0.00833632,0.02234876,2.0136,20.7,41.68152,1763683276508,2.0611,20.7,1.963,Trade,1,40.6341,2025-11-21 00:01:16,2025-11-21 02:59:31
XRPUSDT,Market,20,1763677583671,Sell,fd65eb41-c43d-4e4a-a591-25c9064ef303,0.46061903,0.00538037,0.0150606,2.0076,13.4,26.90184,1763656689310,1.9413,13.4,2.0435,Trade,1,27.3829,2025-11-20 16:38:09,2025-11-20 22:26:23
XRPUSDT,Market,20,1763647795671,Buy,fcc7fd84-b7b7-419f-bca3-e8f82855f91c,0.26165705,0.0026959,0.00726507,2.1396,6.3,13.47948,1763616937263,2.2022,6.3,2.0967,Trade,1,13.20921,2025-11-20 05:35:37,2025-11-20 14:09:55
XRPUSDT,Market,20,1763587563883,Sell,2d4a1b38-2b1e-4681-9cbe-a90b819aa4c1,0.19744831,0.00688502,0.01905667,2.0738,16.6,34.42508,1763587563879,1.9842,16.6,2.08725722,Trade,3,34.64847,2025-11-19 21:26:03,2025-11-19 21:26:03
XRPUSDT,Market,20,1763517442513,Buy,50a7b038-66dc-44e7-99c7-cefbd7d8cc36,0.20253019,0.00347631,0.0094423,2.2284,7.8,17.38152,1763517442509,2.3112,7.8,2.201,Trade,2,17.1678,2025-11-19 01:57:22,2025-11-19 01:57:22
XRPUSDT,Market,20,1763504061892,Buy,e3a27cc5-12d1-4d4b-94a2-c5d8af2213a8,0.01768406,0.00731753,0.02009841,2.23095,16.4,36.58758,1763482721171,2.3394,16.4,2.2282,Trade,7,36.54248,2025-11-18 16:18:41,2025-11-18 22:14:21
XRPUSDT,Market,20,1763455209070,Buy,58083914-59fa-4009-aafd-3b7077d1e7a7,-0.73264873,0.01037936,0.02892649,2.16236666,24,51.8968,1763451218486,2.2704,24,2.1914,Trade,2,52.5936,2025-11-18 07:33:38,2025-11-18 08:40:09
XRPUSDT,Market,20,1763428785361,Sell,9129ccca-f06a-42fe-8e2b-f2c3312e52d4,0.46201566,0.00729201,0.02032233,2.13216667,17.1,36.46005,1763428785357,2.0528,17.1,2.1608,Trade,2,36.94968,2025-11-18 01:19:45,2025-11-18 01:19:45
XRPUSDT,Market,20,1763431352901,Sell,80087409-d359-4ea4-9cea-ee220d37c179,-0.01218333,0.00294239,0.00809094,2.13216667,6.9,14.71195,1763426482821,2.0256,6.9,2.132,Trade,1,14.7108,2025-11-18 00:41:22,2025-11-18 02:02:32
XRPUSDT,Market,20,1763407975034,Sell,016f18da-6353-4692-9c0d-bb3e7a27ecf1,-0.99344731,0.00666141,0.0177859,2.19125,15.2,33.307,1763395332752,2.0817,15.2,2.1275,Trade,1,32.338,2025-11-17 16:02:12,2025-11-17 19:32:55
XRPUSDT,Market,20,1763387718938,Buy,c3cb8de9-2d4a-4818-88f3-cf2b04a0a962,0.33276628,0.00318918,0.00858163,2.2459,7.1,15.94589,1763345580779,2.3073,7.1,2.1976,Trade,2,15.60296,2025-11-17 02:13:00,2025-11-17 13:55:18
XRPUSDT,Market,20,1763152989045,Buy,0a3b00da-24d9-4277-bd21-7bb76c51052a,0.24472276,0.00257522,0.00694202,2.2993,5.6,12.87608,1763151405879,2.3667,5.6,2.2539,Trade,1,12.62184,2025-11-14 20:16:45,2025-11-14 20:43:09
XRPUSDT,Market,20,1763147078561,Buy,9786bd50-c65f-450d-8b70-6d16b1ba3d72,0.20511849,0.00295992,0.00802138,2.31243333,6.4,14.79957333,1763147078558,2.393,6.4,2.2788,Trade,1,14.58432,2025-11-14 19:04:38,2025-11-14 19:04:38
XRPUSDT,Market,20,1763148058985,Buy,85dbbd8c-3633-4c0f-9755-b989ddc4fe57,-0.0183958,0.00480987,0.01322808,2.31243333,10.4,24.04930667,1763132650617,2.428,10.4,2.3126,Trade,1,24.05104,2025-11-14 15:04:10,2025-11-14 19:20:58
XRPUSDT,Market,20,1763124546004,Sell,d57ba4d0-6a9e-46ee-aa4c-60e6aa2d01e2,0.24016414,0.00291271,0.00814815,2.24055,6.5,14.563575,1763124546001,2.166,6.5,2.2792,Trade,2,14.8148,2025-11-14 12:49:06,2025-11-14 12:49:06
XRPUSDT,Market,20,1763124553859,Sell,48328580-04b4-4c73-8b43-d231ae9df324,0.24756392,0.00228538,0.0064257,2.24055,5.1,11.426805,1763123663890,2.1766,5.1,2.2908,Trade,1,11.68308,2025-11-14 12:34:23,2025-11-14 12:49:13
XRPUSDT,Market,20,1763112829466,Buy,01036f69-3a08-44e4-b83b-44126167fc91,0.212095,0.0027813,0.00752664,2.31775,6,13.9065,1763112829462,2.3947,6,2.2808,Trade,1,13.6848,2025-11-14 09:33:49,2025-11-14 09:33:49
XRPUSDT,Market,20,1763120005872,Buy,17ac2149-868b-48de-b0d4-2dd151712d05,0.2246543,0.00203963,0.00548155,2.31775,4.4,10.1981,1763106391189,2.3783,4.4,2.2651,Trade,1,9.96644,2025-11-14 07:46:31,2025-11-14 11:33:25
XRPUSDT,Market,20,1762981946999,Sell,07aa8485-a476-4499-a9c1-a8f6a0627902,0.14030858,0.00200802,0.0056034,2.3349,4.3,10.04007,1762966023098,2.2508,4.3,2.3693,Trade,1,10.18799,2025-11-12 16:47:03,2025-11-12 21:12:26
