symbol,orderType,underlyingPrice,orderLinkId,orderId,stopOrderType,execTime,feeCurrency,createType,execFeeV2,feeRate,tradeIv,blockTradeId,markPrice,execPrice,markIv,orderQty,orderPrice,execValue,closedSize,execType,seq,side,indexPrice,leavesQty,isMaker,execFee,execId,marketUnit,execQty,extraFees,execTime_readable
XRPUSDT,Limit,,,dd4d2cd5-e136-4652-aaa3-b56be166e431,UNKNOWN,1763761334999,USDT,CreateByUser,-0.00278349,0.0002,,,1.9518,1.9602,,7.1,1.9602,13.91742,0,Trade,220799969920,Sell,,0,True,0.00278349,2bdc0d08-2b36-5b61-9122-dabcfb2ef454,,7.1,,2025-11-21 21:42:14
XRPUSDT,Limit,,,7c2fe1d2-bc4a-4c41-ac30-8bb6a333dafd,UNKNOWN,1763754526843,USDT,CreateByUser,-0.00277184,0.0002,,,1.9487,1.952,,7.1,1.952,13.8592,0,Trade,220773748357,Sell,,0,True,0.00277184,f8f94d4f-c2e8-5676-8406-b6559215ac8c,,7.1,,2025-11-21 19:48:46
XRPUSDT,Market,,,6c20fdb8-08cf-4dfd-af75-2d91a9ac2d16,UNKNOWN,1763748344079,USDT,CreateByUser,-0.00721745,0.00055,,,1.9584,1.9586,,6.7,2.0563,13.12262,6.7,Trade,220746722860,Buy,,0,False,0.00721745,da428584-7f03-5710-8d11-5a02e3c3db3d,,6.7,,2025-11-21 18:05:44
XRPUSDT,Limit,,,4067ca6d-a4b6-4c63-83b5-3fe1b6084997,UNKNOWN,1763746470509,USDT,CreateByUser,-0.00267317,0.0002,,,1.9906,1.9949,,6.7,1.9949,13.36583,0,Trade,220739129371,Sell,,0,True,0.00267317,3595b338-9efe-551f-93b3-3e985e242727,,6.7,,2025-11-21 17:34:30
XRPUSDT,Market,,,206acc56-fb68-4714-a81c-746b7e30a02d,StopLoss,1763745494649,USDT,CreateByStopLoss,-0.0010895,0.00055,,,1.9808,1.9809,,7,2.0496,1.9809,1,Trade,220733941872,Buy,,0,False,0.0010895,375d7946-2d0e-57a7-a283-a21bc8d7fc82,,1,,2025-11-21 17:18:14
XRPUSDT,Market,,,206acc56-fb68-4714-a81c-746b7e30a02d,StopLoss,1763745494649,USDT,CreateByStopLoss,-0.00010895,0.00055,,,1.9808,1.9809,,7,2.0496,0.19809,0.1,Trade,220733941872,Buy,,6.9,False,0.00010895,0258cb04-bda1-5572-af4e-ffbec337cf2e,,0.1,,2025-11-21 17:18:14
XRPUSDT,Market,,,206acc56-fb68-4714-a81c-746b7e30a02d,StopLoss,1763745494649,USDT,CreateByStopLoss,-0.00098055,0.00055,,,1.9808,1.9809,,7,2.0496,1.78281,0.9,Trade,220733941872,Buy,,6,False,0.00098055,9691148d-848a-5f02-b118-932862b27ca2,,0.9,,2025-11-21 17:18:14
XRPUSDT,Market,,,206acc56-fb68-4714-a81c-746b7e30a02d,StopLoss,1763745494649,USDT,CreateByStopLoss,-0.0010895,0.00055,,,1.9808,1.9809,,7,2.0496,1.9809,1,Trade,220733941872,Buy,,5,False,0.0010895,77c5a6aa-82dd-5b53-8c96-b6db8758f367,,1,,2025-11-21 17:18:14
XRPUSDT,Market,,,206acc56-fb68-4714-a81c-746b7e30a02d,StopLoss,1763745494649,USDT,CreateByStopLoss,-0.0010895,0.00055,,,1.9808,1.9809,,7,2.0496,1.9809,1,Trade,220733941872,Buy,,4,False,0.0010895,b34d1c18-48b7-5539-87a4-d1f376db2b59,,1,,2025-11-21 17:18:14
XRPUSDT,Market,,,206acc56-fb68-4714-a81c-746b7e30a02d,StopLoss,1763745494649,USDT,CreateByStopLoss,-0.0010895,0.00055,,,1.9808,1.9809,,7,2.0496,1.9809,1,Trade,220733941872,Buy,,3,False,0.0010895,b618f0b6-c556-5054-b125-ed9cf18eec22,,1,,2025-11-21 17:18:14
XRPUSDT,Market,,,206acc56-fb68-4714-a81c-746b7e30a02d,StopLoss,1763745494649,USDT,CreateByStopLoss,-0.0010895,0.00055,,,1.9808,1.9809,,7,2.0496,1.9809,1,Trade,220733941872,Buy,,2,False,0.0010895,00deae27-ea37-539b-ba68-c719d7820f6f,,1,,2025-11-21 17:18:14
XRPUSDT,Market,,,206acc56-fb68-4714-a81c-746b7e30a02d,StopLoss,1763745494649,USDT,CreateByStopLoss,-0.0010895,0.00055,,,1.9808,1.9809,,7,2.0496,1.9809,1,Trade,220733941872,Buy,,1,False,0.0010895,12ba4646-c9ac-5cf0-bf09-9761127960eb,,1,,2025-11-21 17:18:14
XRPUSDT,Limit,,,00881bd4-afa7-49f4-a61c-75f2671b79b7,UNKNOWN,1763744169652,USDT,CreateByUser,-0.0027328,0.0002,,,1.9418,1.952,,7,1.952,13.664,0,Trade,220725232879,Sell,,0,True,0.0027328,a603ee17-4043-5b93-9faa-c6ac0b4271ba,,7,,2025-11-21 16:56:09
XRPUSDT,Market,,,da2425db-74ef-48a2-9960-333abe2160fd,TakeProfit,1763693971581,USDT,CreateByTakeProfit,-0.02234876,0.00055,,,1.963,1.963,,20.7,2.0611,40.6341,20.7,Trade,220474002434,Buy,,0,False,0.02234876,2f2ae179-9fca-5c37-b519-a6ef5b4a4d28,,20.7,,2025-11-21 02:59:31
XRPUSDT,Limit,,,cf990264-9887-4520-8b4e-643824ed7bb3,UNKNOWN,1763687206093,USDT,CreateByUser,-0.00279354,0.0002,,,2.0113,2.0243,,6.9,2.0243,13.96767,0,Trade,220450824645,Sell,,0,True,0.00279354,6dc57249-6675-5903-b01e-565acec8062c,,6.9,,2025-11-21 01:06:46
XRPUSDT,Limit,,,bfc77c20-3baa-44ee-bfe7-9af3c6e69bc6,UNKNOWN,1763683711819,USDT,CreateByUser,-0.00277698,0.0002,,,2.0035,2.0123,,6.9,2.0123,13.88487,0,Trade,220440803690,Sell,,0,True,0.00277698,3dbefd2d-9e51-5a3d-b631-e4721cae4e6a,,6.9,,2025-11-21 00:08:31
XRPUSDT,Limit,,,01e4604a-0476-4312-875e-c38f1fb2accc,UNKNOWN,1763683276506,USDT,CreateByUser,-0.0027658,0.0002,,,2.0001,2.0042,,6.9,2.0042,13.82898,0,Trade,220438988783,Sell,,0,True,0.0027658,bf5a052c-a24f-5a3b-816b-09a382dfa37f,,6.9,,2025-11-21 00:01:16
XRPUSDT,Market,,,fd65eb41-c43d-4e4a-a591-25c9064ef303,TakeProfit,1763677583670,USDT,CreateByTakeProfit,-0.0150606,0.00055,,,2.0434,2.0435,,13.4,1.9413,27.3829,13.4,Trade,220425186392,Sell,,0,False,0.0150606,6d9cd90d-55f1-5912-9ebe-b66fa914b55f,,13.4,,2025-11-20 22:26:23
