symbol,orderType,orderLinkId,slLimitPrice,orderId,cancelType,avgPrice,stopOrderType,lastPriceOnCreated,orderStatus,createType,takeProfit,cumExecValue,tpslMode,smpType,triggerDirection,blockTradeId,cumFeeDetail,rejectReason,isLeverage,price,orderIv,createdTime,tpTriggerBy,positionIdx,timeInForce,leavesValue,updatedTime,side,smpGroup,triggerPrice,tpLimitPrice,cumExecFee,slTriggerBy,leavesQty,closeOnTrigger,slippageToleranceType,placeType,cumExecQty,reduceOnly,qty,stopLoss,smpOrderId,slippageTolerance,triggerBy,extraFees,createdTime_readable,updatedTime_readable
XRPUSDT,Limit,,0,dd4d2cd5-e136-4652-aaa3-b56be166e431,UNKNOWN,1.9602,,1.9489,Filled,CreateByUser,,13.91742,,None,0,,{'USDT': '0.00278349'},EC_NoError,,1.9602,,1763754494398,,2,GTC,0,1763761335002,Sell,0,,0,0.00278349,,0,False,UNKNOWN,,7.1,False,7.1,,,0,,,2025-11-21 19:48:14,2025-11-21 21:42:15
XRPUSDT,Limit,,0,7c2fe1d2-bc4a-4c41-ac30-8bb6a333dafd,UNKNOWN,1.952,,1.9486,Filled,CreateByUser,1.9123,13.8592,Full,None,0,,{'USDT': '0.00277184'},EC_NoError,,1.952,,1763754494199,MarkPrice,2,GTC,0,1763754526845,Sell,0,,0,0.00277184,MarkPrice,0,False,UNKNOWN,,7.1,False,7.1,1.9876,,0,,,2025-11-21 19:48:14,2025-11-21 19:48:46
XRPUSDT,Market,,0,6c20fdb8-08cf-4dfd-af75-2d91a9ac2d16,UNKNOWN,1.9586,,1.9585,Filled,CreateByUser,,13.12262,,None,0,,{'USDT': '0.00721745'},EC_NoError,,2.0563,,1763748344078,,2,IOC,0,1763748344081,Buy,0,,0,0.00721745,,0,False,UNKNOWN,,6.7,True,6.7,,,0,,,2025-11-21 18:05:44,2025-11-21 18:05:44
XRPUSDT,Market,,0,f2bb96a0-6841-4adc-8ad2-b23769c3f2f0,CancelByTpSlTsClear,,StopLoss,1.9947,Deactivated,CreateByStopLoss,,0,Full,None,1,,{},EC_NoError,,0,,1763746470511,,2,IOC,0,1763748344081,Buy,0,2.0306,0,0,,0,True,UNKNOWN,,0,True,6.7,,,0,MarkPrice,,2025-11-21 17:34:30,2025-11-21 18:05:44
XRPUSDT,Market,,0,223ac24e-ec93-4c0f-9682-cdfd1f0d5795,CancelByTpSlTsClear,,TakeProfit,1.9947,Deactivated,CreateByTakeProfit,,0,Full,None,2,,{},EC_NoError,,0,,1763746470511,,2,IOC,0,1763748344081,Buy,0,1.9538,0,0,,0,True,UNKNOWN,,0,True,6.7,,,0,MarkPrice,,2025-11-21 17:34:30,2025-11-21 18:05:44
XRPUSDT,Limit,,0,a9a8b004-69d7-41cb-990f-927e282d71ca,CancelByUser,,,1.9906,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.0145,,1763746372301,,2,GTC,0,1763753577821,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,6.7,,,0,,,2025-11-21 17:32:52,2025-11-21 19:32:57
XRPUSDT,Limit,,0,a2b8a84d-a230-4abc-898b-b49af2d8426b,CancelByUser,,,1.9906,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,2.0026,,1763746372094,,2,GTC,0,1763753577622,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,6.7,,,0,,,2025-11-21 17:32:52,2025-11-21 19:32:57
XRPUSDT,Limit,,0,4067ca6d-a4b6-4c63-83b5-3fe1b6084997,UNKNOWN,1.9949,,1.9906,Filled,CreateByUser,1.9538,13.36583,Full,None,0,,{'USDT': '0.00267317'},EC_NoError,,1.9949,,1763746371883,MarkPrice,2,GTC,0,1763746470511,Sell,0,,0,0.00267317,MarkPrice,0,False,UNKNOWN,,6.7,False,6.7,2.0306,,0,,,2025-11-21 17:32:51,2025-11-21 17:34:30
XRPUSDT,Market,,0,2ca67994-cec3-4faa-8eac-31333018593d,CancelByTpSlTsClear,,TakeProfit,1.9518,Deactivated,CreateByTakeProfit,,0,Full,None,2,,{},EC_NoError,,0,,1763744169656,,2,IOC,0,1763745494652,Buy,0,1.9093,0,0,,0,True,UNKNOWN,,0,True,7,,,0,MarkPrice,,2025-11-21 16:56:09,2025-11-21 17:18:14
XRPUSDT,Market,,0,206acc56-fb68-4714-a81c-746b7e30a02d,UNKNOWN,1.9809,StopLoss,1.9808,Filled,CreateByStopLoss,,13.8663,Full,None,1,,{'USDT': '0.0076265'},EC_NoError,,2.0496,,1763744169656,,2,IOC,0,1763745494652,Buy,0,1.9807,0,0.0076265,,0,True,UNKNOWN,,7,True,7,,,0,MarkPrice,,2025-11-21 16:56:09,2025-11-21 17:18:14
XRPUSDT,Limit,,0,e3086c2b-51d3-4028-bf7a-9dc58b284074,CancelByUser,,,1.9418,Cancelled,CreateByUser,,0,,None,0,,{},EC_PerCancelRequest,,1.9651,,1763737343616,,2,GTC,0,1763744544981,Sell,0,,0,0,,0,False,UNKNOWN,,0,False,7,,,0,,,2025-11-21 15:02:23,2025-11-21 17:02:24
