symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable,ticker,date
1000PEPEUSDT,Market,20,1762542335788,Buy,b0174f89-a1ed-431a-a51e-9fd83cd716a7,0.20100036,0.00275088,0.00744876,0.006252,2200.0,13.7544,1762539558223,0.006461,2200.0,0.006156,Trade,2,13.5432,2025-11-07 18:19:18,2025-11-07 19:05:35,1000PEPEUSDT,2025-11-07
1000PEPEUSDT,Market,20,1762538487803,Buy,ee1219a8-5311-40cf-b1cc-d1f000bfd4a1,-1.2352467,0.010824,0.0304227,0.00601333,9000.0,54.12,1762534323715,0.006314,9000.0,0.006146,Trade,5,55.314,2025-11-07 16:52:03,2025-11-07 18:01:27,1000PEPEUSDT,2025-11-07
1000PEPEUSDT,Market,20,1762532435923,Buy,27be60fa-dc3f-4eaf-b1b2-23fef20d9ac4,-0.9361072,0.01311608,0.03656037,0.00575266,11400.0,65.5804,1762528878495,0.00604,11400.0,0.005831,Trade,1,66.4734,2025-11-07 15:21:18,2025-11-07 16:20:35,1000PEPEUSDT,2025-11-07
1000PEPEUSDT,Market,20,1762526670503,Sell,fdd7495b-97db-4e90-8fb6-09713ada131f,0.66446676,0.00798696,0.02234628,0.0055465,7200.0,39.9348,1762526670499,0.005357,7200.0,0.005643,Trade,1,40.6296,2025-11-07 14:44:30,2025-11-07 14:44:30,1000PEPEUSDT,2025-11-07
1000PEPEUSDT,Market,20,1762518733914,Buy,ba15f054-8275-46cf-ad39-8fa73ee6393f,1.18271668,0.01427916,0.03859213,0.00566633,12600.0,71.3958,1762518733911,0.005847,12600.0,0.00556885,Trade,2,70.1675,2025-11-07 12:32:13,2025-11-07 12:32:13,1000PEPEUSDT,2025-11-07
BRETTUSDT,Market,20,1762544477982,Buy,182a58b3-35b6-418a-bb35-d986b0087937,-0.95761139,0.00888088,0.02493051,0.02387333,1860.0,44.4044,1762538604565,0.02506,1860.0,0.02437,Trade,1,45.3282,2025-11-07 18:03:24,2025-11-07 19:41:17,BRETTUSDT,2025-11-07
BRETTUSDT,Market,20,1762535644017,Buy,f939cb02-e4df-4c3a-ac16-625f8dfbf11f,-0.71397369,0.01101438,0.03065931,0.02266333,2430.0,55.0719,1762533096548,0.02379,2430.0,0.02294,Trade,1,55.7442,2025-11-07 16:31:36,2025-11-07 17:14:04,BRETTUSDT,2025-11-07
BRETTUSDT,Market,20,1762532446036,Buy,50c0a0f7-9a24-4373-9e66-491b8da269e8,-1.016471,0.013126,0.03663,0.02187666,3000.0,65.63,1762530426942,0.02297,3000.0,0.0222,Trade,3,66.6,2025-11-07 15:47:06,2025-11-07 16:20:46,BRETTUSDT,2025-11-07
BRETTUSDT,Market,20,1762529238879,Buy,626428c7-6411-45cf-8fed-be4123207a3f,-0.77921741,0.0135512,0.03766621,0.02171666,3120.0,67.756,1762528879864,0.0228,3120.0,0.02195,Trade,3,68.484,2025-11-07 15:21:19,2025-11-07 15:27:18,BRETTUSDT,2025-11-07
BRETTUSDT,Market,20,1762519739013,Sell,af9a2abe-018a-4a72-9420-ab0cbb5b1561,-1.59164261,0.01349568,0.0362637,0.02082667,3240.0,67.4784,1762512603406,0.01979,3240.0,0.02035,Trade,1,65.934,2025-11-07 10:50:03,2025-11-07 12:48:59,BRETTUSDT,2025-11-07
