symbol,side,createdTime,updatedTime,avgEntryPrice,avgExitPrice,qty,closedPnl,stopLoss,takeProfit,leverage
HBARUSDT,Sell,2025-11-03 06:41:04.979,2025-11-03 06:51:28.780,0.18279,0.18332,55.0,0.02159386,0.0,0.0,20
LINKUSDT,Sell,2025-11-03 07:02:05.111,2025-11-03 07:24:46.315,16.016,16.191,0.6,0.09773505,0.0,0.0,20
LINKUSDT,Sell,2025-11-03 07:14:16.428,2025-11-03 07:14:16.431,16.016,16.106,0.6,0.0467631,0.0,0.0,20
HBARUSDT,Sell,2025-11-03 09:51:06.248,2025-11-03 12:18:56.508,0.18122,0.18411,109.0,0.30002199,0.0,0.0,20
LINKUSDT,Sell,2025-11-03 10:20:17.273,2025-11-03 13:11:44.285,15.937,15.946,1.2,-0.00354924,0.0,0.0,20
SOLUSDT,Sell,2025-11-03 11:03:45.339,2025-11-03 11:03:45.342,174.27,175.4,0.1,0.09376815,0.0,0.0,20
HBARUSDT,Sell,2025-11-03 11:16:19.183,2025-11-03 11:16:19.187,0.18122,0.18288,109.0,0.16602574,0.0,0.0,20
LINKUSDT,Sell,2025-11-03 11:16:25.839,2025-11-03 11:16:25.842,15.937,16.061,1.2,0.13437486,0.0,0.0,20
NEARUSDT,Sell,2025-11-03 11:22:22.799,2025-11-03 12:21:20.369,2.0,2.025,5.1,0.11977987,0.0,0.0,20
NEARUSDT,Sell,2025-11-03 12:12:49.748,2025-11-03 12:12:49.752,2.0,2.013,5.0,0.05746425,0.0,0.0,20
SOLUSDT,Sell,2025-11-03 12:19:07.050,2025-11-03 12:19:07.053,175.32,176.37,0.1,0.09179325,0.0,0.0,20
LINKUSDT,Buy,2025-11-03 14:02:07.028,2025-11-03 14:07:05.383,16.256,16.255,0.6,-0.00671488,0.0,0.0,20
LINKUSDT,Buy,2025-11-03 14:03:22.040,2025-11-03 14:03:22.044,16.256,16.152,0.7,0.06430564,0.0,0.0,20
HBARUSDT,Buy,2025-11-03 14:05:29.629,2025-11-03 15:03:37.582,0.18321,0.18111,55.0,0.1080061,0.0,0.0,20
HBARUSDT,Buy,2025-11-03 14:25:30.569,2025-11-03 14:25:30.573,0.18321,0.18206,56.0,0.05674059,0.0,0.0,20
LINKUSDT,Buy,2025-11-03 14:38:24.625,2025-11-03 15:26:23.242,16.2115,15.947,1.3,0.3282329,0.0,0.0,20
LINKUSDT,Buy,2025-11-03 15:16:25.153,2025-11-03 15:16:25.157,16.2115,16.08446154,1.3,0.14943462,0.0,0.0,20
SOLUSDT,Buy,2025-11-03 15:16:57.973,2025-11-03 15:16:57.976,175.83,174.61,0.1,0.10887985,0.0,0.0,20
LINKUSDT,Buy,2025-11-03 15:31:44.533,2025-11-03 15:33:24.125,15.11,14.956,2.6,0.37115572,0.0,0.0,20
ETHUSDT,Sell,2025-11-03 15:33:26.381,2025-11-03 15:33:26.385,3755.935,3568.14,0.02,-3.79806171,0.0,0.0,20
SOLUSDT,Buy,2025-11-03 15:36:24.397,2025-11-03 15:43:19.337,169.165,167.69,0.1,0.13489375,0.0,0.0,20
LINKUSDT,Buy,2025-11-03 15:38:03.839,2025-11-03 15:46:40.240,15.425,15.19,0.6,0.1341363,0.0,0.0,20
SOLUSDT,Buy,2025-11-03 15:42:45.840,2025-11-03 15:42:45.844,169.165,168.32,0.1,0.0718591,0.0,0.0,20
LINKUSDT,Buy,2025-11-03 15:43:09.713,2025-11-03 15:43:09.716,15.425,15.252,0.7,0.11306848,0.0,0.0,20
TRXUSDT,Sell,2025-11-03 16:55:21.623,2025-11-03 20:54:24.947,0.28483667,0.28051,207.0,-0.93934832,0.0,0.0,20
HBARUSDT,Buy,2025-11-03 17:21:19.014,2025-11-03 17:38:25.708,0.18174,0.18165,57.0,-0.00263657,0.0,0.0,20
HBARUSDT,Buy,2025-11-03 17:23:48.676,2025-11-03 17:23:48.680,0.18174,0.18076,56.0,0.0472771,0.0,0.0,20
TRXUSDT,Sell,2025-11-03 21:07:15.761,2025-11-04 05:31:57.854,0.281485,0.28141676,130.0,-0.01959877,0.0,0.0,20
HBARUSDT,Sell,2025-11-03 22:56:02.680,2025-11-04 00:27:12.750,0.174285,0.17425,219.0,-0.03523732,0.0,0.0,20
HBARUSDT,Sell,2025-11-03 23:20:24.235,2025-11-03 23:20:24.239,0.174285,0.17529,5.0,0.00436867,0.0,0.0,20
LINKUSDT,Sell,2025-11-03 23:34:13.185,2025-11-03 23:34:13.189,15.1755,15.266,2.6,0.20557836,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 00:33:17.018,2025-11-04 01:20:47.944,0.16733666,0.16951,354.0,-0.81421104,0.0,0.0,20
SOLUSDT,Buy,2025-11-04 00:35:54.093,2025-11-04 01:36:36.329,166.09333333,168.0,0.3,-0.6096856,0.0,0.0,20
KASUSDT,Sell,2025-11-04 00:37:01.278,2025-11-04 00:37:01.281,0.04651667,0.04696967,1230.0,0.51302435,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 01:34:51.726,2025-11-04 01:56:07.720,0.17006,0.17007,109.0,-0.01499303,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 01:39:12.143,2025-11-04 03:14:43.304,1.933,1.934,5.3,-0.01298659,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 01:41:16.466,2025-11-04 01:41:16.469,1.933,1.921,4.9,0.05172856,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 01:52:09.248,2025-11-04 01:52:09.251,0.17006,0.16914,5.0,0.0039648,0.0,0.0,20
TRXUSDT,Sell,2025-11-04 01:57:20.069,2025-11-04 01:57:20.073,0.281485,0.28331,4.0,0.00696573,0.0,0.0,20
SOLUSDT,Buy,2025-11-04 02:33:29.946,2025-11-04 02:33:29.949,168.21,167.26,0.1,0.0824365,0.0,0.0,20
KASUSDT,Buy,2025-11-04 02:46:10.981,2025-11-04 02:46:10.984,0.04703,0.0468,410.0,0.07989014,0.0,0.0,20
ETHUSDT,Buy,2025-11-04 02:48:36.929,2025-11-04 02:48:36.932,3636.71,3617.66,0.01,0.15060096,0.0,0.0,20
HBARUSDT,Buy,2025-11-04 03:01:39.371,2025-11-04 05:30:35.757,0.17765333,0.17316703,323.0,1.40683711,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 03:58:29.254,2025-11-04 05:24:36.546,1.942,1.893,15.5,0.73734197,0.0,0.0,20
TRXUSDT,Sell,2025-11-04 04:04:30.468,2025-11-04 04:04:30.472,0.281485,0.2847,4.0,0.01252267,0.0,0.0,20
LINKUSDT,Buy,2025-11-04 04:36:19.897,2025-11-04 04:36:19.900,15.378,15.287,2.6,0.20674303,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 05:15:54.500,2025-11-04 05:15:54.504,0.17091,0.16873,5.0,0.01026508,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 05:16:00.580,2025-11-04 05:16:00.584,1.942,1.911,4.9,0.14484669,0.0,0.0,20
HBARUSDT,Buy,2025-11-04 05:16:15.710,2025-11-04 05:16:15.714,0.17765333,0.17629,5.0,0.00615421,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 05:19:23.820,2025-11-04 05:19:23.825,0.17091,0.16775,5.0,0.01516777,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 05:24:41.280,2025-11-04 05:24:41.284,0.17091,0.16656,104.0,0.43931783,0.0,0.0,20
HBARUSDT,Buy,2025-11-04 05:26:23.410,2025-11-04 05:26:23.413,0.17765333,0.17426,5.0,0.01630979,0.0,0.0,20
TRXUSDT,Sell,2025-11-04 06:02:28.850,2025-11-04 07:44:47.704,0.279265,0.27924,141.0,-0.03305536,0.0,0.0,20
TRXUSDT,Sell,2025-11-04 06:15:14.678,2025-11-04 06:15:14.682,0.279265,0.28093,5.0,0.00727318,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 06:15:21.216,2025-11-04 06:33:02.808,0.16563,0.16564,245.0,-0.03288587,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 06:31:26.177,2025-11-04 06:31:26.180,0.16563,0.16487,5.0,0.00318097,0.0,0.0,20
LINKUSDT,Buy,2025-11-04 10:09:02.233,2025-11-04 11:06:31.258,15.01433333,15.215,4.2,-0.89055869,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 10:09:11.019,2025-11-04 10:58:43.400,1.901,1.901,5.7,-0.00812678,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 10:09:11.558,2025-11-04 11:03:07.957,0.16585,0.16585,119.0,-0.01480212,0.0,0.0,20
NEARUSDT,Buy,2025-11-04 10:20:05.085,2025-11-04 10:20:05.088,1.901,1.891,5.1,0.04375672,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 10:32:32.910,2025-11-04 10:32:32.913,0.16585,0.16494,5.0,0.00393056,0.0,0.0,20
1000PEPEUSDT,Buy,2025-11-04 10:32:35.433,2025-11-04 10:32:35.437,0.005692,0.005662,3600.0,0.092691,0.0,0.0,20
SOLUSDT,Buy,2025-11-04 10:47:40.605,2025-11-04 10:47:40.608,161.28,160.37,0.1,0.07895405,0.0,0.0,20
HBARUSDT,Buy,2025-11-04 11:04:36.727,2025-11-04 13:28:12.686,0.176105,0.17198,219.0,0.87494658,0.0,0.0,20
1000PEPEUSDT,Buy,2025-11-04 11:06:39.746,2025-11-04 11:21:20.727,0.005743,0.005788,7200.0,-0.3551904,0.0,0.0,20
SUIUSDT,Buy,2025-11-04 11:06:41.655,2025-11-04 13:45:45.073,2.0721,2.0232,20.0,0.9474564,0.0,0.0,20
DOGEUSDT,Buy,2025-11-04 11:10:58.295,2025-11-04 13:25:18.777,0.16659,0.16239,114.0,0.46481988,0.0,0.0,20
