feature,importance,cumulative_importance
rsi_slope_4h,58.4,0.08342857142857142
rsi_slope_2h,50.4,0.15542857142857142
atr_normalized,31.8,0.20085714285714285
rsi_price_divergence_cont_4h,30.2,0.24399999999999997
rsi_slope_12h,22.4,0.27599999999999997
rsi_14_12h,20.4,0.30514285714285716
sma_20_slope,19.2,0.3325714285714286
rsi_14_4h,17.8,0.358
dist_from_swing_low_50_4h,17.4,0.38285714285714284
atr_normalized_4h,15.2,0.4045714285714286
vpt_ma_20,15.0,0.426
hidden_divergence,14.0,0.446
dist_from_r1,12.0,0.46314285714285713
sma_50_slope,11.8,0.48
roc_5_atr_norm_12h,10.8,0.49542857142857144
sr_proximity,10.4,0.5102857142857142
rsi_14,9.8,0.5242857142857142
vpt,9.8,0.5382857142857143
nearest_resistance_strength,9.2,0.5514285714285714
dist_from_swing_low_50_12h,9.0,0.5642857142857143
dist_from_swing_low_50,8.4,0.5762857142857143
dist_from_swing_high_50_4h,7.2,0.5865714285714285
dist_from_sma_20,7.2,0.5968571428571428
dist_from_vwap,7.2,0.6071428571428571
above_sma_100_1d,7.0,0.6171428571428571
cumulative_delta,7.0,0.6271428571428571
rsi_price_divergence_cont_2h,6.6,0.6365714285714286
dist_from_s1,6.4,0.6457142857142857
obv_ma_20,6.4,0.6548571428571427
mfi_trend_adjusted,6.2,0.6637142857142856
dist_from_swing_low_50_1h,6.2,0.6725714285714284
dist_from_swing_high_50,6.0,0.681142857142857
bbw_squeeze,6.0,0.6897142857142856
rsi_volatility,5.8,0.6979999999999998
dist_from_swing_high_50_1d,5.4,0.7057142857142855
rsi_slope_1h,5.2,0.713142857142857
sma_20_slope_1h,5.2,0.7205714285714284
hl_spread,5.2,0.7279999999999998
mfi_14_2h,5.0,0.735142857142857
vwap_rsi_interaction,4.8,0.7419999999999998
roc_10_atr_norm_4h,4.8,0.7488571428571426
adx_14,4.6,0.7554285714285712
dist_from_swing_high_50_2h,4.4,0.7617142857142855
dist_from_swing_high_50_12h,4.2,0.7677142857142856
tr_percentile,4.0,0.7734285714285712
momentum_strength_score,4.0,0.7791428571428569
dist_from_sma_50_1d,4.0,0.7848571428571427
dist_from_swing_high_50_1h,3.8,0.790285714285714
double_top_candles_between,3.8,0.7957142857142854
dist_from_swing_low_50_1d,3.6,0.8008571428571426
dist_from_swing_low_50_2h,3.4,0.8057142857142854
ad_line_ma_20,3.4,0.8105714285714282
mfi_slope_2h,3.2,0.8151428571428568
atr_normalized_12h,3.2,0.8197142857142855
sma_20_slope_4h,3.0,0.8239999999999997
mfi_14_1d,3.0,0.8282857142857141
rvol_ratio,2.8,0.832285714285714
stoch_k,2.8,0.836285714285714
dist_from_bullish_ob,2.8,0.8402857142857139
sma_20_slope_2h,2.8,0.8442857142857138
mfi_slope_12h,2.6,0.8479999999999995
rvol_ratio_12h,2.6,0.8517142857142853
dist_from_bearish_ob,2.6,0.8554285714285711
rvol_ratio_1d,2.6,0.8591428571428568
is_pivot_high,2.6,0.8628571428571425
price_change_autocorr,2.4,0.8662857142857139
roc_10_atr_norm_1h,2.4,0.8697142857142853
is_pivot_low,2.4,0.8731428571428567
double_bottom_strength,2.4,0.8765714285714281
rsi_slope_1d,2.4,0.8799999999999996
ad_line,2.2,0.8831428571428567
dist_from_sma_50_2h,2.2,0.8862857142857139
mfi_slope_1d,2.2,0.8894285714285711
mfi_slope_4h,2.2,0.8925714285714283
double_top_strength,2.2,0.8957142857142856
mfi_14_4h,2.0,0.8985714285714284
sma_50_slope_1d,2.0,0.9014285714285712
r1,2.0,0.9042857142857141
roc_10_atr_norm_2h,2.0,0.907142857142857
obv,2.0,0.9099999999999998
buy_sell_ratio_ma20,1.8,0.9125714285714284
price_range,1.8,0.9151428571428568
resistance_touch_count,1.8,0.9177142857142854
choppiness_14,1.8,0.9202857142857138
above_sma_50,1.8,0.9228571428571424
rvol_ratio_4h,1.6,0.9251428571428567
volatility_clustering,1.6,0.927428571428571
mfi_14_12h,1.6,0.9297142857142853
nearest_support_strength,1.6,0.9319999999999996
resistance_volume_interaction,1.6,0.9342857142857139
rsi_price_divergence_cont_12h,1.6,0.9365714285714283
atr_normalized_1d,1.6,0.9388571428571426
bbw,1.4,0.9408571428571426
rvol_ratio_1h,1.4,0.9428571428571425
market_structure_direction,1.4,0.9448571428571425
cmf_20,1.2,0.9465714285714283
obv_divergence,1.2,0.9482857142857141
resistance_bounce_ratio,1.2,0.9499999999999998
higher_lows_count_20,1.2,0.9517142857142856
mtf_trend_alignment_score,1.2,0.9534285714285714
double_bottom_candles_between,1.2,0.9551428571428572
tape_speed_20,1.0,0.9565714285714286
buy_sell_imbalance_20,1.0,0.9580000000000001
bars_since_last_sweep,1.0,0.9594285714285714
double_top_recency,1.0,0.9608571428571429
roc_10_atr_adj,1.0,0.9622857142857143
volatility_regime,1.0,0.9637142857142857
rvol_ratio_2h,1.0,0.9651428571428572
roc_10_atr_norm_1d,1.0,0.9665714285714286
dist_from_nearest_resistance_pivot,1.0,0.9680000000000001
above_sma_100_4h,1.0,0.9694285714285714
rsi_price_divergence_cont_1h,1.0,0.9708571428571429
roc_10_atr_norm_12h,1.0,0.9722857142857143
rsi_price_divergence_cont_1d,0.8,0.9734285714285714
resistance_strength,0.8,0.9745714285714284
volatility_momentum,0.8,0.9757142857142855
support_bounce_ratio,0.8,0.9768571428571426
momentum_strength_ratio,0.8,0.9779999999999998
volume_delta_negative,0.8,0.9791428571428568
volume_vs_ma_20,0.8,0.9802857142857139
net_buy_sell_pressure,0.8,0.981428571428571
above_sma_100_1h,0.6,0.9822857142857139
dist_from_sma_20_1h,0.6,0.9831428571428568
vwap_distance_weighted,0.6,0.9839999999999997
multi_factor_sentiment,0.6,0.9848571428571425
support_strength,0.6,0.9857142857142854
double_bottom_recency,0.6,0.9865714285714283
ict_composite_score_ma_10,0.6,0.9874285714285712
pivot_volume_interaction,0.4,0.9879999999999997
support_touch_count,0.4,0.9885714285714282
bars_since_last_ob,0.4,0.9891428571428568
mfi_14,0.4,0.9897142857142853
rsi_spread,0.4,0.9902857142857139
volume_delta_positive,0.4,0.9908571428571424
higher_highs_count_20,0.4,0.991428571428571
mfi_slope_1h,0.4,0.9919999999999994
above_sma_100,0.4,0.992571428571428
vol_weighted_roc_5,0.4,0.9931428571428565
roc_5_atr_norm_1h,0.2,0.9934285714285709
mfi_14_1h,0.2,0.9937142857142852
near_support_100,0.2,0.9939999999999997
close_position,0.2,0.994285714285714
rsi_price_divergence,0.2,0.9945714285714283
volume_volatility_interaction,0.2,0.9948571428571427
above_sma_20_4h,0.2,0.995142857142857
momentum_alignment_score,0.2,0.9954285714285713
upper_wick_size,0.2,0.9957142857142857
above_sma_20_12h,0.2,0.9960000000000001
momentum_volume_divergence,0.2,0.9962857142857144
trend_alignment_score,0.2,0.9965714285714288
dist_from_nearest_support_pivot,0.2,0.9968571428571431
volume_acceleration_ma,0.2,0.9971428571428574
trend_structure_score,0.2,0.9974285714285718
volume_ma_ratio_short,0.2,0.9977142857142862
roc_5_atr_adj,0.2,0.9980000000000006
sr_strength,0.2,0.9982857142857149
momentum_consensus,0.2,0.9985714285714292
money_flow_ratio,0.2,0.9988571428571436
support_volume_interaction,0.2,0.9991428571428579
effective_spread_proxy,0.2,0.9994285714285722
liquidity_void_depth,0.2,0.9997142857142867
closed_near_high,0.2,1.0000000000000009
rsi_volume_interaction,0.0,1.0000000000000009
range_to_body,0.0,1.0000000000000009
bullish_volume_count,0.0,1.0000000000000009
multi_tf_alignment,0.0,1.0000000000000009
volume_regime_score,0.0,1.0000000000000009
multi_tf_momentum_strength,0.0,1.0000000000000009
buy_sell_ratio,0.0,1.0000000000000009
above_sma_20_1d,0.0,1.0000000000000009
support_with_4h_uptrend,0.0,1.0000000000000009
resistance_with_4h_downtrend,0.0,1.0000000000000009
