feature,importance,cumulative_importance
rsi_slope_4h,51.2,0.07314285714285715
rsi_slope_2h,46.6,0.13971428571428574
atr_normalized_4h,41.4,0.19885714285714287
rsi_price_divergence_cont_4h,26.0,0.23600000000000002
rsi_slope_12h,19.4,0.26371428571428573
atr_normalized,18.8,0.29057142857142865
sma_20_slope,18.4,0.3168571428571429
cumulative_delta,15.6,0.3391428571428572
rsi_14_4h,15.0,0.3605714285714286
adx_14,14.4,0.38114285714285717
sma_50_slope,14.0,0.40114285714285713
dist_from_s1,14.0,0.42114285714285715
rsi_14,13.4,0.4402857142857143
dist_from_swing_low_50_2h,13.2,0.45914285714285713
hidden_divergence,12.0,0.47628571428571426
vpt,11.4,0.4925714285714285
dist_from_swing_high_50,11.4,0.5088571428571428
dist_from_swing_low_50_4h,10.6,0.5239999999999999
dist_from_swing_high_50_4h,10.4,0.5388571428571428
sma_20_slope_1h,10.4,0.5537142857142856
atr_normalized_12h,10.2,0.5682857142857142
rsi_slope_1h,9.6,0.5819999999999999
hl_spread,9.4,0.5954285714285713
roc_10_atr_norm_4h,9.0,0.6082857142857141
obv_ma_20,8.0,0.6197142857142856
dist_from_bullish_ob,8.0,0.631142857142857
tr_percentile,7.8,0.6422857142857141
dist_from_sma_20,7.6,0.653142857142857
sr_proximity,7.6,0.6639999999999999
dist_from_swing_high_50_2h,7.0,0.6739999999999999
rsi_price_divergence_cont_12h,6.2,0.6828571428571428
atr_normalized_1d,6.0,0.6914285714285714
choppiness_14,5.6,0.6994285714285714
nearest_support_strength,5.4,0.7071428571428571
rvol_ratio,5.2,0.7145714285714285
rsi_14_12h,4.8,0.7214285714285713
roc_5_atr_norm_12h,4.6,0.728
dist_from_bearish_ob,4.6,0.7345714285714284
resistance_strength,4.4,0.7408571428571428
is_pivot_low,4.4,0.747142857142857
near_swing_low_alignment,4.2,0.753142857142857
dist_from_r1,4.2,0.7591428571428571
dist_from_swing_low_50,4.0,0.7648571428571428
vpt_ma_20,4.0,0.7705714285714286
tape_speed_20,4.0,0.7762857142857142
mfi_slope_12h,3.8,0.7817142857142856
rvol_ratio_4h,3.8,0.787142857142857
dist_from_swing_low_50_1h,3.8,0.7925714285714284
bars_since_last_sweep,3.8,0.7979999999999997
support_strength,3.6,0.8031428571428569
momentum_strength_score,3.6,0.808285714285714
ad_line,3.6,0.8134285714285713
sma_50_slope_1d,3.6,0.8185714285714284
dist_from_vwap,3.4,0.8234285714285713
obv,3.4,0.8282857142857141
above_sma_50,3.2,0.8328571428571427
money_flow_ratio,3.2,0.8374285714285713
vwap_rsi_interaction,3.2,0.842
roc_10_atr_norm_12h,3.2,0.8465714285714286
mfi_slope_1d,3.0,0.8508571428571429
rsi_price_divergence_cont_1d,2.8,0.8548571428571429
rsi_slope_1d,2.8,0.8588571428571428
dist_from_sma_50_2h,2.8,0.8628571428571427
rvol_ratio_12h,2.6,0.8665714285714284
mfi_14_1d,2.6,0.8702857142857142
dist_from_swing_low_50_12h,2.4,0.8737142857142856
roc_10_atr_norm_1h,2.4,0.877142857142857
is_pivot_high,2.2,0.8802857142857142
price_range,2.2,0.8834285714285713
bbw,2.2,0.8865714285714286
liquidity_void_depth,2.2,0.8897142857142858
above_sma_100_1d,2.0,0.8925714285714287
rsi_volatility,2.0,0.8954285714285716
pivot_volume_interaction,2.0,0.8982857142857144
rvol_ratio_1h,2.0,0.9011428571428572
multi_factor_sentiment,2.0,0.9040000000000001
rsi_price_divergence_cont_2h,2.0,0.9068571428571429
sma_20_slope_2h,1.8,0.9094285714285715
dist_from_swing_low_50_1d,1.8,0.9119999999999999
mfi_slope_4h,1.8,0.9145714285714285
dist_from_swing_high_50_1h,1.8,0.9171428571428569
mfi_14_4h,1.8,0.9197142857142855
mfi_slope_2h,1.6,0.9219999999999998
roc_10_atr_norm_1d,1.6,0.9242857142857142
dist_from_nearest_support_pivot,1.6,0.9265714285714285
dist_from_swing_high_50_12h,1.6,0.9288571428571427
cmf_20,1.6,0.931142857142857
rvol_ratio_2h,1.6,0.9334285714285714
roc_10_atr_adj,1.4,0.9354285714285714
ad_line_ma_20,1.4,0.9374285714285713
mfi_14_12h,1.4,0.9394285714285713
rsi_volume_interaction,1.4,0.9414285714285713
bbw_squeeze,1.4,0.9434285714285713
roc_10_atr_norm_2h,1.2,0.9451428571428571
buy_sell_ratio_ma20,1.2,0.9468571428571428
resistance_touch_count,1.2,0.9485714285714286
volatility_clustering,1.2,0.9502857142857144
mfi_14_1h,1.2,0.9520000000000002
above_sma_100,1.2,0.953714285714286
buy_sell_imbalance_20,1.2,0.9554285714285717
price_change_autocorr,1.0,0.9568571428571431
r1,1.0,0.9582857142857145
volume_per_price_unit,1.0,0.959714285714286
vwap_distance_weighted,1.0,0.9611428571428574
dist_from_sma_20_1h,1.0,0.9625714285714289
double_bottom_candles_between,1.0,0.9640000000000003
net_buy_sell_pressure,0.8,0.9651428571428573
rsi_price_divergence_cont_1h,0.8,0.9662857142857144
sma_20_slope_4h,0.8,0.9674285714285715
