feature,importance,cumulative_importance
rsi_slope_2h,67.6,0.09657142857142856
rsi_slope_4h,42.8,0.1577142857142857
rsi_slope_1h,25.0,0.1934285714285714
atr_normalized,24.6,0.22857142857142854
sma_20_slope,22.4,0.26057142857142856
dist_from_sma_20,20.4,0.2897142857142857
rsi_slope_12h,17.4,0.31457142857142856
dist_from_r1,17.4,0.3394285714285714
dist_from_swing_low_50_2h,15.0,0.3608571428571429
rsi_14_2h,14.6,0.3817142857142857
hidden_divergence,14.0,0.4017142857142857
rsi_14,13.4,0.4208571428571428
cumulative_delta,13.4,0.4399999999999999
atr_normalized_4h,12.2,0.45742857142857135
dist_from_swing_low_50_4h,12.2,0.47485714285714276
dist_from_swing_high_50,12.0,0.4919999999999999
bbw_squeeze,11.6,0.5085714285714285
rsi_price_divergence_cont_4h,11.4,0.5248571428571427
dist_from_swing_low_50,9.2,0.5379999999999999
rsi_14_12h,8.8,0.5505714285714285
roc_5_atr_norm_12h,8.2,0.5622857142857142
roc_10_atr_norm_12h,7.6,0.5731428571428571
roc_10_atr_adj,7.2,0.5834285714285713
roc_10_atr_norm_2h,7.0,0.5934285714285713
roc_10_atr_norm_4h,7.0,0.6034285714285713
dist_from_swing_high_50_2h,6.8,0.6131428571428571
rsi_price_divergence_cont_2h,6.4,0.6222857142857141
stoch_k,6.0,0.6308571428571427
adx_14,6.0,0.6394285714285713
nearest_resistance_strength,5.8,0.6477142857142856
dist_from_bearish_ob,5.8,0.6559999999999999
dist_from_swing_low_50_12h,5.2,0.6634285714285714
dist_from_nearest_resistance_pivot,5.0,0.6705714285714285
mfi_14_4h,5.0,0.6777142857142856
dist_from_s1,4.8,0.6845714285714285
dist_from_swing_high_50_12h,4.8,0.6914285714285714
mfi_trend_adjusted,4.6,0.698
resistance_volume_interaction,4.6,0.7045714285714285
vpt_ma_20,4.6,0.7111428571428572
rvol_ratio_12h,4.4,0.7174285714285714
ad_line_ma_20,4.4,0.7237142857142856
rsi_14_1d,4.4,0.7299999999999999
sma_50_slope,4.2,0.7359999999999999
mfi_slope_12h,4.2,0.742
tr_percentile,4.0,0.7477142857142857
vwap_rsi_interaction,4.0,0.7534285714285714
cmf_20,4.0,0.7591428571428571
mfi_slope_4h,3.8,0.7645714285714285
choppiness_14,3.6,0.7697142857142857
roc_10_atr_norm_1h,3.6,0.7748571428571428
rsi_slope_1d,3.6,0.78
mfi_slope_1h,3.6,0.7851428571428571
dist_from_swing_high_50_4h,3.4,0.79
is_pivot_low,3.4,0.7948571428571428
net_buy_sell_pressure,3.2,0.7994285714285715
rsi_price_divergence_cont_12h,3.2,0.804
higher_lows_count_20,3.0,0.8082857142857144
rsi_price_divergence_cont_1h,3.0,0.8125714285714287
dist_from_swing_high_50_1h,3.0,0.816857142857143
resistance_strength,2.8,0.8208571428571428
sma_20_slope_4h,2.8,0.8248571428571428
money_flow_ratio,2.6,0.8285714285714286
vpt,2.6,0.8322857142857143
sma_20_slope_1h,2.6,0.8360000000000001
roc_5_atr_norm_1h,2.6,0.8397142857142859
ict_composite_score_ma_10,2.6,0.8434285714285715
volatility_clustering,2.4,0.846857142857143
mfi_14_2h,2.4,0.8502857142857143
resistance_touch_count,2.4,0.8537142857142858
dist_from_swing_low_50_1h,2.4,0.8571428571428571
rsi_price_divergence_cont_1d,2.4,0.8605714285714285
rsi_volatility,2.4,0.864
mfi_14_1d,2.2,0.8671428571428571
dist_from_swing_high_50_1d,2.2,0.8702857142857143
resistance_100,2.2,0.8734285714285716
ad_line,2.0,0.8762857142857144
buy_sell_imbalance_20,2.0,0.8791428571428572
sma_50_slope_4h,2.0,0.8820000000000001
support_strength,2.0,0.884857142857143
hl_spread,2.0,0.8877142857142858
atr_normalized_12h,2.0,0.8905714285714287
is_pivot_high,2.0,0.8934285714285716
above_sma_50,1.8,0.896
sr_strength,1.8,0.8985714285714286
bbw,1.8,0.901142857142857
sma_20_slope_2h,1.8,0.9037142857142856
double_top_strength,1.8,0.9062857142857141
bars_since_last_sweep,1.6,0.9085714285714284
rvol_ratio_4h,1.6,0.9108571428571427
dist_from_vwap,1.6,0.913142857142857
rvol_ratio_1h,1.6,0.9154285714285714
dist_from_swing_low_50_1d,1.6,0.9177142857142857
obv,1.6,0.92
buy_sell_ratio_ma20,1.6,0.9222857142857143
rvol_ratio_2h,1.4,0.9242857142857143
rsi_spread,1.4,0.9262857142857143
mfi_14_1h,1.4,0.9282857142857143
double_top_candles_between,1.4,0.9302857142857142
bars_since_last_fvg,1.4,0.9322857142857142
price_change_autocorr,1.4,0.9342857142857142
sma_50_slope_1d,1.4,0.936285714285714
mtf_trend_alignment_score,1.4,0.9382857142857141
sma_20_slope_12h,1.4,0.9402857142857141
resistance_bounce_ratio,1.4,0.942285714285714
dist_from_bullish_ob,1.4,0.944285714285714
mfi_14,1.2,0.9459999999999997
obv_ma_20,1.2,0.9477142857142855
support_touch_count,1.2,0.9494285714285713
pivot_volume_interaction,1.2,0.9511428571428571
volatility_regime,1.2,0.9528571428571428
nearest_support_strength,1.2,0.9545714285714286
mfi_14_12h,1.2,0.9562857142857144
rvol_ratio,1.2,0.9580000000000002
sma_20_slope_1d,1.2,0.959714285714286
multi_factor_sentiment,1.2,0.9614285714285717
mfi_slope_1d,1.0,0.9628571428571432
atr_normalized_1d,1.0,0.9642857142857146
avg_trade_size_norm,1.0,0.9657142857142861
dist_from_sma_20_1h,1.0,0.9671428571428574
double_bottom_strength,1.0,0.9685714285714289
momentum_alignment_score,1.0,0.9700000000000003
bars_since_last_ob,1.0,0.9714285714285718
above_sma_100,0.8,0.9725714285714289
mfi_slope_2h,0.8,0.9737142857142859
