feature,importance,cumulative_importance
rsi_slope_2h,57.8,0.08257142857142857
rsi_slope_4h,40.8,0.14085714285714285
atr_normalized_4h,33.8,0.1891428571428571
rsi_slope_1h,23.0,0.22199999999999998
rsi_price_divergence_cont_4h,21.8,0.2531428571428571
rsi_slope_12h,16.8,0.27714285714285714
hidden_divergence,16.2,0.30028571428571427
sma_20_slope,16.0,0.3231428571428571
rsi_14_2h,15.6,0.3454285714285714
dist_from_swing_low_50_2h,12.6,0.3634285714285714
dist_from_swing_low_50,12.6,0.38142857142857145
dist_from_swing_high_50,12.2,0.39885714285714285
dist_from_vwap,11.8,0.4157142857142857
dist_from_swing_low_50_4h,11.4,0.432
atr_normalized,11.4,0.44828571428571423
cumulative_delta,11.4,0.46457142857142847
buy_sell_ratio_ma20,11.2,0.4805714285714285
dist_from_swing_high_50_4h,10.0,0.4948571428571427
dist_from_r1,9.6,0.5085714285714285
dist_from_swing_high_50_2h,8.6,0.5208571428571428
dist_from_bearish_ob,8.4,0.5328571428571428
rsi_price_divergence_cont_12h,8.4,0.5448571428571427
sma_50_slope,8.2,0.5565714285714285
dist_from_sma_20,7.4,0.567142857142857
dist_from_bullish_ob,7.0,0.577142857142857
dist_from_s1,6.8,0.5868571428571427
support_strength,6.8,0.5965714285714284
vpt,6.4,0.6057142857142855
stoch_k,6.2,0.6145714285714284
support_volume_interaction,6.0,0.623142857142857
rsi_14_12h,6.0,0.6317142857142856
rsi_14,6.0,0.6402857142857141
roc_10_atr_norm_2h,6.0,0.6488571428571427
rsi_slope_1d,6.0,0.6574285714285713
roc_10_atr_norm_12h,5.2,0.6648571428571427
rvol_ratio,5.0,0.6719999999999998
roc_10_atr_norm_4h,5.0,0.6791428571428569
mfi_14_4h,4.8,0.6859999999999998
dist_from_swing_low_50_1h,4.6,0.6925714285714284
bbw,4.4,0.6988571428571427
tr_percentile,4.2,0.7048571428571426
dist_from_swing_low_50_12h,4.2,0.7108571428571426
atr_normalized_12h,4.2,0.7168571428571426
rvol_ratio_4h,4.2,0.7228571428571426
money_flow_ratio,4.0,0.7285714285714283
roc_10_atr_norm_1d,4.0,0.734285714285714
vwap_rsi_interaction,4.0,0.7399999999999997
support_touch_count,3.8,0.745428571428571
buy_sell_imbalance_20,3.8,0.7508571428571424
sr_strength,3.8,0.7562857142857138
rvol_ratio_1h,3.8,0.7617142857142851
is_pivot_high,3.8,0.7671428571428565
roc_10_atr_norm_1h,3.6,0.7722857142857137
roc_10_atr_adj,3.6,0.7774285714285708
tape_speed_20,3.4,0.7822857142857137
above_sma_50,3.4,0.7871428571428565
rvol_ratio_2h,3.4,0.7919999999999994
roc_5_atr_norm_12h,3.4,0.7968571428571422
atr_normalized_1d,3.4,0.8017142857142849
rsi_price_divergence_cont_2h,3.2,0.8062857142857136
adx_14,3.2,0.8108571428571423
vwap_distance_weighted,3.2,0.8154285714285708
rsi_volatility,3.2,0.8199999999999995
obv,3.0,0.8242857142857138
sma_20_slope_1h,3.0,0.8285714285714281
rsi_price_divergence_cont_1h,2.8,0.8325714285714281
bbw_squeeze,2.8,0.836571428571428
rsi_14_1d,2.8,0.8405714285714279
volume_volatility_interaction,2.6,0.8442857142857136
double_top_strength,2.4,0.8477142857142851
dist_from_swing_high_50_1h,2.4,0.8511428571428564
vpt_ma_20,2.4,0.8545714285714279
choppiness_14,2.4,0.8579999999999992
resistance_strength,2.4,0.8614285714285707
nearest_support_strength,2.4,0.864857142857142
dist_from_sma_20_1h,2.4,0.8682857142857134
dist_from_nearest_support_pivot,2.2,0.8714285714285707
double_bottom_recency,2.2,0.8745714285714278
mfi_slope_2h,2.2,0.877714285714285
double_bottom_candles_between,2.2,0.8808571428571422
roc_5_atr_norm_1h,2.0,0.8837142857142851
mfi_14_12h,2.0,0.8865714285714279
resistance_100,2.0,0.8894285714285708
obv_ma_20,2.0,0.8922857142857137
ad_line_ma_20,2.0,0.8951428571428566
obv_divergence,1.8,0.897714285714285
mtf_trend_alignment_score,1.8,0.9002857142857136
dist_from_swing_low_50_1d,1.8,0.902857142857142
momentum_strength_score,1.8,0.9054285714285706
ict_composite_score_ma_10,1.8,0.907999999999999
market_structure_direction,1.8,0.9105714285714276
hl_spread,1.8,0.913142857142856
sma_20_slope_2h,1.6,0.9154285714285704
rvol_ratio_1d,1.6,0.9177142857142847
mfi_14_2h,1.6,0.919999999999999
mfi_slope_1h,1.6,0.9222857142857134
price_range,1.6,0.9245714285714277
mfi_slope_1d,1.6,0.9268571428571419
volume_delta_positive,1.6,0.9291428571428563
double_bottom_strength,1.6,0.9314285714285706
volatility_clustering,1.4,0.9334285714285706
double_top_candles_between,1.4,0.9354285714285705
higher_lows_count_20,1.2,0.9371428571428563
is_pivot_low,1.2,0.9388571428571421
bullish_volume_count,1.2,0.9405714285714278
rvol_ratio_12h,1.2,0.9422857142857136
sma_50_slope_4h,1.2,0.9439999999999994
multi_factor_sentiment,1.2,0.9457142857142852
bars_since_last_sweep,1.2,0.947428571428571
buy_sell_ratio,1.2,0.9491428571428567
near_swing_low_alignment,1.2,0.9508571428571425
multi_tf_momentum_strength,1.0,0.952285714285714
volatility_regime,1.0,0.9537142857142854
double_top_recency,1.0,0.9551428571428568
volatility_momentum,1.0,0.9565714285714283
ad_line,1.0,0.9579999999999997
mfi_slope_4h,1.0,0.9594285714285712
dist_from_swing_high_50_12h,1.0,0.9608571428571425
mfi_slope_12h,1.0,0.962285714285714
sma_20_slope_4h,1.0,0.9637142857142854
momentum_quality_score,1.0,0.9651428571428569
mfi_14_1h,1.0,0.9665714285714283
net_buy_sell_pressure,1.0,0.9679999999999997
cmf_20,0.8,0.9691428571428568
dist_from_nearest_resistance_pivot,0.8,0.9702857142857139
rsi_spread,0.8,0.971428571428571
volume_per_price_unit,0.8,0.972571428571428
volume_delta_negative,0.8,0.9737142857142851
mfi_14_1d,0.8,0.9748571428571422
momentum_strength_ratio,0.8,0.9759999999999992
sma_50_slope_1d,0.8,0.9771428571428563
mfi_trend_adjusted,0.8,0.9782857142857134
liquidity_void_depth,0.8,0.9794285714285705
vol_weighted_roc_5,0.8,0.9805714285714275
volume_acceleration_ma,0.6,0.9814285714285704
pivot_volume_interaction,0.6,0.9822857142857133
momentum_alignment_score,0.6,0.9831428571428562
support_bounce_ratio,0.6,0.9839999999999991
market_state_indicator,0.6,0.984857142857142
price_change_autocorr,0.6,0.9857142857142849
sma_20_slope_1d,0.6,0.9865714285714278
rsi_volume_interaction,0.6,0.9874285714285707
rsi_price_divergence_cont_1d,0.6,0.9882857142857135
sma_20_slope_12h,0.6,0.9891428571428564
trend_consistency_20,0.6,0.9899999999999993
recent_fvg_bearish,0.6,0.9908571428571422
trend_alignment_score,0.4,0.9914285714285708
price_volume_trend,0.4,0.9919999999999993
nearest_resistance_strength,0.4,0.9925714285714279
dist_from_swing_high_50_1d,0.4,0.9931428571428564
resistance_momentum_interaction,0.4,0.9937142857142849
bars_since_last_ob,0.4,0.9942857142857134
bars_since_last_fvg,0.4,0.994857142857142
momentum_accel,0.4,0.9954285714285706
momentum_trend_strength,0.4,0.9959999999999991
rsi_price_divergence,0.4,0.9965714285714277
rsi_momentum,0.2,0.996857142857142
trend_consistency_10,0.2,0.9971428571428563
above_sma_100,0.2,0.9974285714285707
momentum_consensus,0.2,0.997714285714285
fvg_size,0.2,0.9979999999999993
above_sma_20_4h,0.2,0.9982857142857138
resistance_volume_interaction,0.2,0.9985714285714281
mfi_14,0.2,0.9988571428571424
resistance_bounce_ratio,0.2,0.9991428571428568
volume_regime_score,0.2,0.9994285714285711
tick_persistence,0.2,0.9997142857142854
range_to_body,0.2,0.9999999999999999
doji,0.0,0.9999999999999999
multi_tf_alignment,0.0,0.9999999999999999
large_sell_trade,0.0,0.9999999999999999
large_buy_trade,0.0,0.9999999999999999
volume_change_rate,0.0,0.9999999999999999
momentum_volume_divergence,0.0,0.9999999999999999
avg_trade_size_norm,0.0,0.9999999999999999
aggressive_sell_volume,0.0,0.9999999999999999
tick_direction,0.0,0.9999999999999999
body_to_wick_ratio,0.0,0.9999999999999999
volume_vs_ma_20,0.0,0.9999999999999999
lower_wick_size,0.0,0.9999999999999999
upper_wick_size,0.0,0.9999999999999999
volume_ma_ratio_short,0.0,0.9999999999999999
volume_delta,0.0,0.9999999999999999
three_white_soldiers,0.0,0.9999999999999999
higher_highs_count_20,0.0,0.9999999999999999
support_flip_signal,0.0,0.9999999999999999
above_sma_20_2h,0.0,0.9999999999999999
support_with_4h_uptrend,0.0,0.9999999999999999
near_swing_high_alignment,0.0,0.9999999999999999
above_sma_20_1h,0.0,0.9999999999999999
above_sma_50_1h,0.0,0.9999999999999999
above_sma_50_2h,0.0,0.9999999999999999
resistance_with_4h_downtrend,0.0,0.9999999999999999
hammer,0.0,0.9999999999999999
resistance_flip_signal,0.0,0.9999999999999999
engulfing,0.0,0.9999999999999999
rsi_acceleration,0.0,0.9999999999999999
bbw_volume_interaction,0.0,0.9999999999999999
above_sma_100_1d,0.0,0.9999999999999999
above_sma_20_12h,0.0,0.9999999999999999
roc_5_atr_adj,0.0,0.9999999999999999
testing_support_with_volume,0.0,0.9999999999999999
testing_resistance_with_volume,0.0,0.9999999999999999
closed_near_low,0.0,0.9999999999999999
closed_near_high,0.0,0.9999999999999999
gap_up,0.0,0.9999999999999999
gap_down,0.0,0.9999999999999999
morning_evening_star,0.0,0.9999999999999999
three_line_strike,0.0,0.9999999999999999
near_resistance_100,0.0,0.9999999999999999
support_break_momentum,0.0,0.9999999999999999
resistance_break_momentum,0.0,0.9999999999999999
resistance_touch_count,0.0,0.9999999999999999
near_support_100,0.0,0.9999999999999999
effective_spread_proxy,0.0,0.9999999999999999
testing_resistance,0.0,0.9999999999999999
testing_support,0.0,0.9999999999999999
hl_spread_normalized,0.0,0.9999999999999999
