feature,ks_statistic,p_value,has_drift,set
atr_normalized,0.24242752757002772,0.0,True,calibration
rvol_ratio_12h,0.2826061538040441,0.0,True,calibration
dist_from_swing_low_50_12h,0.2676988397613395,0.0,True,calibration
dist_from_swing_low_50_6h,0.24337511928651218,0.0,True,calibration
nearest_resistance_strength,0.23254943098207614,0.0,True,calibration
dist_from_swing_low_50_1d,0.19826491173583727,1.226587e-318,True,calibration
dist_from_bearish_ob,0.11493308386778656,9.673283685497651e-107,True,calibration
dist_from_s1,0.09477035417279389,1.2001112652488e-72,True,calibration
dist_from_r1,0.08989121023987628,2.1680417616120807e-65,True,calibration
dist_from_swing_low_50,0.07762208247488378,7.567702735278115e-49,True,calibration
sma_20_slope_1h,0.07727775663094719,2.032717694374171e-48,True,calibration
rsi_14_6h,0.07690332800558475,5.922828261149834e-48,True,calibration
sma_50_slope,0.0768764558036854,6.394034803674063e-48,True,calibration
sma_50_slope_1h,0.06868524475415266,2.487717898183689e-38,True,calibration
rsi_slope_12h,0.052566452515236006,1.2742593892097468e-22,True,calibration
rsi_slope_1d,0.0499946850388191,1.676559446085102e-20,True,calibration
rsi_slope_4h,0.035327210264050724,1.8895167112823935e-10,True,calibration
roc_5_atr_norm_6h,0.0333544244180628,2.3144094819962666e-09,True,calibration
rsi_slope_6h,0.0270884267290612,2.5453620175272433e-06,True,calibration
rsi_price_divergence_cont_4h,0.025757190917174433,9.34683882450026e-06,True,calibration
dist_from_swing_low_50_1d,0.2058670040731323,0.0,True,holdout
rvol_ratio_12h,0.20178924190555036,0.0,True,holdout
atr_normalized,0.14979501858786026,3.396644706171761e-191,True,holdout
dist_from_bearish_ob,0.11478569071779243,3.2235760444603846e-112,True,holdout
nearest_resistance_strength,0.11192134556371092,1.0782903370894877e-106,True,holdout
dist_from_swing_low_50_12h,0.1081374588140358,1.3010251880782702e-99,True,holdout
rsi_slope_1d,0.08018734420286888,6.60000759526088e-55,True,holdout
roc_5_atr_norm_6h,0.0790077415530892,2.5855063629752286e-53,True,holdout
sma_20_slope_1h,0.07355071926651968,2.9733317434120937e-46,True,holdout
dist_from_swing_low_50_6h,0.07044330941409382,1.849663178257713e-42,True,holdout
sma_50_slope,0.06640149461086631,9.031641850628512e-38,True,holdout
sma_50_slope_1h,0.06572398452541972,5.182031836155119e-37,True,holdout
rsi_14_6h,0.06353299927919442,1.3022543411187265e-34,True,holdout
dist_from_r1,0.06219291011273648,3.487450437102239e-33,True,holdout
rsi_slope_12h,0.060523352809966124,1.8995037036349213e-31,True,holdout
rsi_price_divergence_cont_4h,0.04542713768695694,6.718151841544781e-18,True,holdout
rsi_slope_4h,0.04537005403905342,7.43260161274254e-18,True,holdout
dist_from_s1,0.04329873617580482,2.66914357921723e-16,True,holdout
rsi_slope_6h,0.03401642273754446,3.1814349557769985e-10,True,holdout
dist_from_swing_low_50,0.03059787153944954,2.3582189324332416e-08,True,holdout
