feature,importance,cumulative_importance
rsi_slope_6h,53.2,0.076
rsi_slope_4h,42.0,0.136
atr_normalized,36.0,0.18742857142857142
dist_from_r1,29.6,0.22971428571428568
rsi_14_6h,23.6,0.2634285714285714
rsi_slope_1d,22.0,0.2948571428571428
sma_50_slope,21.6,0.3257142857142857
rsi_slope_12h,20.8,0.3554285714285714
dist_from_swing_low_50_6h,13.2,0.3742857142857143
sma_50_slope_1h,13.2,0.3931428571428571
dist_from_swing_low_50_12h,12.0,0.41028571428571425
dist_from_s1,12.0,0.42742857142857144
dist_from_bearish_ob,11.4,0.44371428571428567
dist_from_swing_low_50_1d,11.0,0.45942857142857135
rvol_ratio_12h,10.6,0.47457142857142853
dist_from_swing_low_50,10.2,0.4891428571428571
nearest_resistance_strength,10.0,0.5034285714285714
roc_5_atr_norm_6h,9.2,0.5165714285714286
rsi_price_divergence_cont_4h,9.0,0.5294285714285714
sma_20_slope_1h,8.8,0.5419999999999999
atr_normalized_1d,8.4,0.5539999999999999
roc_10_atr_norm_1d,8.2,0.5657142857142856
rvol_ratio,8.0,0.5771428571428571
resistance_strength,8.0,0.5885714285714285
dist_from_swing_high_50,7.8,0.5997142857142856
roc_10_atr_norm_12h,7.6,0.6105714285714285
rsi_price_divergence_cont_12h,7.4,0.6211428571428571
dist_from_swing_high_50_4h,7.4,0.6317142857142856
roc_10_atr_norm_6h,7.4,0.6422857142857141
dist_from_swing_low_50_4h,7.2,0.6525714285714285
mfi_14_6h,6.6,0.6619999999999999
above_sma_100,6.6,0.6714285714285714
roc_5_atr_norm_4h,6.6,0.6808571428571428
rvol_ratio_1d,6.4,0.69
vpt_ma_20,6.2,0.6988571428571427
hidden_divergence,5.8,0.7071428571428571
tr_percentile,5.8,0.7154285714285714
mfi_slope_6h,5.6,0.7234285714285714
resistance_100,5.6,0.7314285714285714
dist_from_bullish_ob,5.6,0.7394285714285714
rvol_ratio_4h,5.4,0.7471428571428571
dist_from_vwap,5.2,0.7545714285714287
roc_10_atr_norm_1h,5.2,0.7620000000000001
dist_from_sma_50_12h,5.0,0.7691428571428572
rsi_price_divergence_cont_6h,5.0,0.7762857142857145
adx_14,5.0,0.7834285714285716
dist_from_swing_high_50_1h,5.0,0.7905714285714287
ad_line_ma_20,4.8,0.7974285714285715
vwap_distance_weighted,4.6,0.804
resistance_touch_count,4.6,0.8105714285714287
mfi_14_12h,4.4,0.816857142857143
sr_proximity,4.0,0.8225714285714286
mfi_slope_4h,4.0,0.8282857142857144
sma_20_slope_4h,3.8,0.8337142857142857
mfi_slope_1d,3.8,0.8391428571428571
mfi_14_1h,3.8,0.8445714285714285
sma_50_slope_1d,3.6,0.8497142857142856
rsi_slope_1h,3.6,0.8548571428571429
dist_from_swing_high_50_12h,3.4,0.8597142857142857
double_top_strength,3.4,0.8645714285714284
support_touch_count,3.2,0.8691428571428571
dist_from_swing_high_50_1d,3.2,0.8737142857142858
double_top_candles_between,3.2,0.8782857142857143
price_range,3.2,0.882857142857143
rvol_ratio_6h,3.0,0.8871428571428573
mfi_14_1d,3.0,0.8914285714285716
rsi_price_divergence_cont_1h,3.0,0.8957142857142859
double_bottom_strength,2.8,0.8997142857142858
sma_20_slope_1d,2.8,0.9037142857142857
nearest_support_strength,2.8,0.9077142857142857
above_sma_50,2.8,0.9117142857142856
mfi_slope_12h,2.8,0.9157142857142856
obv_ma_20,2.6,0.9194285714285713
buy_sell_ratio_ma20,2.6,0.923142857142857
double_bottom_candles_between,2.6,0.9268571428571428
dist_from_swing_high_50_6h,2.4,0.9302857142857142
volatility_regime,2.2,0.9334285714285714
resistance_bounce_ratio,2.2,0.9365714285714286
support_strength,2.0,0.9394285714285715
hl_spread,1.8,0.942
roc_10_atr_norm_4h,1.8,0.9445714285714285
volume_per_price_unit,1.8,0.947142857142857
mfi_trend_adjusted,1.6,0.9494285714285713
obv,1.6,0.9517142857142856
rvol_ratio_1h,1.4,0.9537142857142856
vpt,1.4,0.9557142857142855
rsi_price_divergence_cont_1d,1.4,0.9577142857142855
rsi_volatility,1.2,0.9594285714285713
dist_from_swing_low_50_1h,1.2,0.9611428571428571
support_bounce_ratio,1.2,0.9628571428571429
sma_20_slope_12h,1.2,0.9645714285714286
above_sma_20_1d,1.2,0.9662857142857144
near_swing_high_alignment,1.2,0.9680000000000002
resistance_volume_interaction,1.0,0.9694285714285716
higher_lows_count_20,1.0,0.9708571428571431
volatility_clustering,1.0,0.9722857142857145
choppiness_14,1.0,0.9737142857142859
above_sma_100_1h,1.0,0.9751428571428573
is_pivot_low,1.0,0.9765714285714288
is_pivot_high,0.8,0.9777142857142859
dist_from_sma_20_1h,0.8,0.9788571428571429
ad_line,0.8,0.98
dist_from_sma_20,0.8,0.9811428571428571
above_sma_50_1h,0.8,0.9822857142857142
money_flow_ratio,0.8,0.9834285714285712
rsi_14,0.8,0.9845714285714283
buy_sell_imbalance_20,0.6,0.9854285714285712
mfi_14_4h,0.6,0.9862857142857141
effective_spread_proxy,0.6,0.987142857142857
bars_since_last_sweep,0.6,0.9879999999999999
cumulative_delta,0.6,0.9888571428571428
sr_strength,0.4,0.9894285714285713
double_bottom_recency,0.4,0.9899999999999999
momentum_strength_score,0.4,0.9905714285714283
mfi_14,0.4,0.9911428571428569
volume_delta_negative,0.4,0.9917142857142854
volume_delta_positive,0.4,0.992285714285714
tape_speed_20,0.4,0.9928571428571425
roc_10_atr_adj,0.4,0.9934285714285711
trend_alignment_score,0.4,0.9939999999999997
momentum_alignment_score,0.4,0.9945714285714281
bars_since_last_ob,0.4,0.9951428571428567
rsi_14_1h,0.4,0.9957142857142852
roc_5_atr_norm_1h,0.2,0.9959999999999996
above_sma_20_6h,0.2,0.9962857142857139
above_sma_50_6h,0.2,0.9965714285714283
double_top_recency,0.2,0.9968571428571427
testing_bullish_ob,0.2,0.997142857142857
momentum_strength_ratio,0.2,0.9974285714285713
higher_highs_count_20,0.2,0.9977142857142857
bbw,0.2,0.998
bbw_squeeze,0.2,0.9982857142857143
above_sma_20_12h,0.2,0.9985714285714288
price_change_autocorr,0.2,0.9988571428571431
cmf_20,0.2,0.9991428571428574
dist_from_nearest_resistance_pivot,0.2,0.9994285714285718
near_swing_low_alignment,0.2,0.9997142857142861
mtf_trend_alignment_score,0.2,1.0000000000000004
bars_since_last_fvg,0.0,1.0000000000000004
recent_ict_activity,0.0,1.0000000000000004
ict_composite_score_ma_10,0.0,1.0000000000000004
ict_composite_score,0.0,1.0000000000000004
market_structure_direction,0.0,1.0000000000000004
bars_since_mss,0.0,1.0000000000000004
market_structure_shift,0.0,1.0000000000000004
above_sma_100_6h,0.0,1.0000000000000004
above_sma_50_4h,0.0,1.0000000000000004
above_sma_100_4h,0.0,1.0000000000000004
mfi_slope_1h,0.0,1.0000000000000004
above_sma_20_4h,0.0,1.0000000000000004
resistance_with_4h_downtrend,0.0,1.0000000000000004
structure_aligned_ob,0.0,1.0000000000000004
fvg_sweep_confluence,0.0,1.0000000000000004
ob_with_fvg,0.0,1.0000000000000004
momentum_volume_divergence,0.0,1.0000000000000004
buy_sell_ratio,0.0,1.0000000000000004
net_buy_sell_pressure,0.0,1.0000000000000004
volume_change_rate,0.0,1.0000000000000004
volume_acceleration_ma,0.0,1.0000000000000004
volume_regime_score,0.0,1.0000000000000004
multi_tf_momentum_strength,0.0,1.0000000000000004
multi_tf_alignment,0.0,1.0000000000000004
bullish_volume_count,0.0,1.0000000000000004
dist_from_nearest_support_pivot,0.0,1.0000000000000004
resistance_flip_signal,0.0,1.0000000000000004
support_flip_signal,0.0,1.0000000000000004
volume_delta,0.0,1.0000000000000004
volume_z_score,0.0,1.0000000000000004
support_with_4h_uptrend,0.0,1.0000000000000004
high_conviction_sweep,0.0,1.0000000000000004
above_sma_20,0.0,1.0000000000000004
vwap_rsi_interaction,0.0,1.0000000000000004
stoch_momentum,0.0,1.0000000000000004
sma_20_slope,0.0,1.0000000000000004
roc_5_atr_adj,0.0,1.0000000000000004
momentum_accel,0.0,1.0000000000000004
rsi_price_divergence,0.0,1.0000000000000004
stoch_k,0.0,1.0000000000000004
is_trending,0.0,1.0000000000000004
trend_consistency_10,0.0,1.0000000000000004
trend_consistency_20,0.0,1.0000000000000004
volume_volatility_interaction,0.0,1.0000000000000004
momentum_trend_strength,0.0,1.0000000000000004
engulfing_volume,0.0,1.0000000000000004
hammer_volume,0.0,1.0000000000000004
obv_divergence,0.0,1.0000000000000004
hl_spread_normalized,0.0,1.0000000000000004
close_position,0.0,1.0000000000000004
testing_resistance,0.0,1.0000000000000004
testing_support,0.0,1.0000000000000004
near_resistance_100,0.0,1.0000000000000004
near_support_100,0.0,1.0000000000000004
resistance_break_momentum,0.0,1.0000000000000004
support_break_momentum,0.0,1.0000000000000004
three_line_strike,0.0,1.0000000000000004
range_to_body,0.0,1.0000000000000004
rsi_volume_interaction,0.0,1.0000000000000004
pivot_volume_interaction,0.0,1.0000000000000004
volatility_momentum,0.0,1.0000000000000004
bbw_volume_interaction,0.0,1.0000000000000004
large_buy_trade,0.0,1.0000000000000004
large_sell_trade,0.0,1.0000000000000004
testing_resistance_with_volume,0.0,1.0000000000000004
support_volume_interaction,0.0,1.0000000000000004
closed_near_low,0.0,1.0000000000000004
closed_near_high,0.0,1.0000000000000004
gap_down,0.0,1.0000000000000004
gap_up,0.0,1.0000000000000004
morning_evening_star,0.0,1.0000000000000004
price_accel_3,0.0,1.0000000000000004
breakout_signal,0.0,1.0000000000000004
vol_confirmed_momentum,0.0,1.0000000000000004
volume_vs_ma_20,0.0,1.0000000000000004
body_to_wick_ratio,0.0,1.0000000000000004
lower_wick_size,0.0,1.0000000000000004
momentum_consensus,0.0,1.0000000000000004
testing_support_with_volume,0.0,1.0000000000000004
resistance_momentum_interaction,0.0,1.0000000000000004
rsi_acceleration,0.0,1.0000000000000004
rsi_momentum,0.0,1.0000000000000004
hammer,0.0,1.0000000000000004
rsi_spread,0.0,1.0000000000000004
doji,0.0,1.0000000000000004
three_white_soldiers,0.0,1.0000000000000004
momentum_quality_score,0.0,1.0000000000000004
engulfing,0.0,1.0000000000000004
price_volume_trend,0.0,1.0000000000000004
tick_direction,0.0,1.0000000000000004
volume_ma_ratio_short,0.0,1.0000000000000004
tick_persistence,0.0,1.0000000000000004
avg_trade_size_norm,0.0,1.0000000000000004
upper_wick_size,0.0,1.0000000000000004
support_momentum_interaction,0.0,1.0000000000000004
sr_action,0.0,1.0000000000000004
above_sma_100_1d,0.0,1.0000000000000004
above_sma_50_1d,0.0,1.0000000000000004
aggressive_sell_volume,0.0,1.0000000000000004
trend_acceleration,0.0,1.0000000000000004
rsi_vol_concordance,0.0,1.0000000000000004
oversold_overbought_signal,0.0,1.0000000000000004
vol_weighted_roc_5,0.0,1.0000000000000004
vol_price_alignment,0.0,1.0000000000000004
volume_confirmation_score,0.0,1.0000000000000004
multi_factor_sentiment,0.0,1.0000000000000004
liquidity_void_depth,0.0,1.0000000000000004
in_liquidity_void,0.0,1.0000000000000004
liquidity_void_strength,0.0,1.0000000000000004
fvg_signal,0.0,1.0000000000000004
market_state_indicator,0.0,1.0000000000000004
momentum_regime,0.0,1.0000000000000004
recent_fvg_bullish,0.0,1.0000000000000004
fvg_size,0.0,1.0000000000000004
