feature,ks_statistic,p_value,has_drift,set
atr_normalized,0.24485681656724645,0.0,True,calibration
atr_normalized_1d,0.4116777399803091,0.0,True,calibration
dist_from_swing_low_50_6h,0.21824890125740504,0.0,True,calibration
dist_from_swing_high_50_6h,0.19197770029636685,9.07907137330916e-295,True,calibration
dist_from_swing_high_50_4h,0.1792375779634099,1.0059870371646078e-256,True,calibration
dist_from_s1,0.10417393260477231,1.3384018035197174e-86,True,calibration
rsi_14_6h,0.09650002334466679,2.3900027509475148e-74,True,calibration
dist_from_r1,0.09341683472754309,1.0835040820022082e-69,True,calibration
dist_from_swing_low_50_1h,0.08797822100788755,7.539127338752582e-62,True,calibration
sma_20_slope_4h,0.07947455387735575,1.553101414472935e-50,True,calibration
sma_20_slope_1h,0.07830705392637483,4.511333783150985e-49,True,calibration
sma_50_slope,0.07788044015310475,1.5258267890834487e-48,True,calibration
rsi_price_divergence_cont_12h,0.06632363864494942,2.5974824774721377e-35,True,calibration
rsi_slope_6h,0.06425388093081819,3.625522148914633e-33,True,calibration
rsi_slope_4h,0.040582320244638814,1.7496079684829195e-13,True,calibration
rsi_slope_1d,0.038839981936170775,2.1878302725229092e-12,True,calibration
rsi_slope_12h,0.032675009674285604,6.840300170649806e-09,True,calibration
rsi_price_divergence_cont_6h,0.025446681314340636,1.4631120504254793e-05,True,calibration
vpt,0.021872017877018868,0.00032069302340111377,True,calibration
vpt_ma_20,0.017460602683228243,0.007613873809889181,True,calibration
atr_normalized_1d,0.21722226726140795,0.0,True,holdout
atr_normalized,0.16453748420069705,1.8720304686557663e-226,True,holdout
dist_from_swing_high_50_4h,0.1242915506440907,4.4935864754189794e-129,True,holdout
dist_from_swing_high_50_6h,0.11730435432780137,5.6478051322048185e-115,True,holdout
dist_from_swing_low_50_6h,0.0814705228797431,1.342312306299679e-55,True,holdout
sma_20_slope_4h,0.07422238025609049,3.2953892811289143e-46,True,holdout
rsi_slope_1d,0.07027834076759937,1.8131348731538484e-41,True,holdout
dist_from_r1,0.0655144639494456,4.3442793607746806e-36,True,holdout
sma_50_slope,0.061254950868315894,1.3401014251273102e-31,True,holdout
rsi_slope_12h,0.05787679631091264,2.9670151564936334e-28,True,holdout
sma_20_slope_1h,0.056448984581056405,6.745323394876778e-27,True,holdout
rsi_14_6h,0.05045729662112297,1.4186882193057872e-21,True,holdout
dist_from_swing_low_50_1h,0.048229679964614636,9.514865028657891e-20,True,holdout
rsi_price_divergence_cont_12h,0.04718852007629881,6.364550818361823e-19,True,holdout
rsi_slope_4h,0.04368957462332654,2.7882606143331767e-16,True,holdout
rsi_price_divergence_cont_6h,0.03948110237444252,2.2530556740735742e-13,True,holdout
vpt,0.037994058747993664,2.040236321662444e-12,True,holdout
dist_from_s1,0.03638884116602109,2.001576588927505e-11,True,holdout
vpt_ma_20,0.0337484074680664,6.909455326070541e-10,True,holdout
rsi_slope_6h,0.030583270990232475,3.3921549453135836e-08,True,holdout
