feature,importance,cumulative_importance
rsi_slope_4h,47.6,0.068
rsi_slope_6h,47.4,0.1357142857142857
atr_normalized_1d,44.0,0.19857142857142857
atr_normalized,36.0,0.25
rsi_slope_12h,32.2,0.296
dist_from_r1,26.6,0.33399999999999996
sma_50_slope,25.0,0.36971428571428566
dist_from_swing_high_50_4h,19.4,0.39742857142857135
dist_from_s1,17.2,0.4219999999999999
rsi_14_6h,16.6,0.4457142857142856
rsi_slope_1d,15.0,0.4671428571428571
rsi_price_divergence_cont_12h,13.6,0.48657142857142854
vpt,13.0,0.5051428571428571
rsi_price_divergence_cont_6h,12.0,0.5222857142857142
sma_20_slope_1h,11.2,0.5382857142857143
vpt_ma_20,11.0,0.5539999999999999
sma_20_slope_4h,10.6,0.5691428571428571
dist_from_swing_low_50_1h,10.0,0.5834285714285714
dist_from_swing_low_50_6h,9.8,0.5974285714285714
dist_from_swing_high_50_6h,9.0,0.6102857142857143
dist_from_sma_50_12h,8.2,0.622
roc_5_atr_norm_4h,8.2,0.6337142857142857
sma_50_slope_1h,8.0,0.6451428571428571
dist_from_swing_high_50,8.0,0.6565714285714285
roc_10_atr_norm_1d,8.0,0.6679999999999999
adx_14,7.4,0.6785714285714285
dist_from_swing_low_50_4h,7.2,0.6888571428571427
roc_10_atr_norm_12h,6.6,0.6982857142857142
above_sma_50,6.4,0.7074285714285713
rsi_price_divergence_cont_4h,6.2,0.7162857142857142
rsi_price_divergence_cont_1d,5.8,0.7245714285714284
roc_5_atr_norm_6h,5.6,0.7325714285714285
tr_percentile,5.6,0.7405714285714285
above_sma_100,5.6,0.7485714285714286
rvol_ratio_1h,5.4,0.7562857142857142
price_range,5.4,0.7639999999999999
dist_from_bearish_ob,5.2,0.7714285714285715
obv_ma_20,5.0,0.7785714285714286
dist_from_swing_high_50_1h,4.8,0.7854285714285714
rvol_ratio,4.4,0.7917142857142856
roc_10_atr_norm_1h,4.0,0.7974285714285714
dist_from_bullish_ob,4.0,0.803142857142857
roc_10_atr_norm_6h,3.6,0.8082857142857143
cumulative_delta,3.6,0.8134285714285714
rsi_slope_1h,3.6,0.8185714285714286
dist_from_swing_low_50_1d,3.6,0.8237142857142857
dist_from_swing_low_50_12h,3.4,0.8285714285714286
dist_from_vwap,3.2,0.8331428571428572
mfi_14_12h,3.0,0.8374285714285715
rvol_ratio_12h,3.0,0.8417142857142857
vwap_distance_weighted,3.0,0.8460000000000001
support_touch_count,3.0,0.8502857142857143
rsi_14,3.0,0.8545714285714286
sma_20_slope_12h,3.0,0.8588571428571429
double_top_candles_between,2.6,0.8625714285714287
hidden_divergence,2.6,0.8662857142857144
nearest_support_strength,2.6,0.8700000000000002
sma_20_slope,2.6,0.8737142857142859
rvol_ratio_1d,2.6,0.8774285714285717
sma_20_slope_1d,2.6,0.8811428571428574
resistance_100,2.4,0.8845714285714288
double_top_strength,2.4,0.8880000000000002
sma_50_slope_1d,2.4,0.8914285714285716
rsi_price_divergence_cont_1h,2.4,0.894857142857143
mfi_slope_4h,2.4,0.8982857142857144
sr_proximity,2.4,0.9017142857142858
dist_from_swing_high_50_12h,2.2,0.904857142857143
volatility_clustering,2.2,0.9080000000000001
mfi_14_1h,2.0,0.910857142857143
resistance_touch_count,2.0,0.9137142857142859
support_bounce_ratio,2.0,0.9165714285714288
obv,2.0,0.9194285714285716
mfi_14_4h,2.0,0.9222857142857145
double_bottom_candles_between,1.8,0.9248571428571429
dist_from_swing_low_50,1.8,0.9274285714285715
rvol_ratio_4h,1.8,0.93
mfi_slope_12h,1.8,0.9325714285714285
dist_from_swing_high_50_1d,1.8,0.935142857142857
buy_sell_ratio_ma20,1.8,0.9377142857142855
mfi_14_6h,1.6,0.9399999999999998
market_structure_direction,1.6,0.9422857142857142
nearest_resistance_strength,1.4,0.9442857142857142
vol_weighted_roc_5,1.4,0.9462857142857141
above_sma_20_6h,1.4,0.9482857142857141
rsi_14_1h,1.4,0.9502857142857141
mfi_slope_1d,1.4,0.952285714285714
resistance_strength,1.4,0.954285714285714
dist_from_nearest_support_pivot,1.4,0.956285714285714
mfi_14_1d,1.2,0.9579999999999997
volume_delta_positive,1.2,0.9597142857142855
bars_since_last_sweep,1.2,0.9614285714285713
volume_per_price_unit,1.2,0.9631428571428571
roc_10_atr_adj,1.2,0.9648571428571429
pivot_volume_interaction,1.2,0.9665714285714286
mfi_slope_6h,1.0,0.9680000000000001
double_bottom_recency,1.0,0.9694285714285714
hl_spread,1.0,0.9708571428571429
volatility_regime,1.0,0.9722857142857143
dist_from_sma_20,1.0,0.9737142857142858
double_bottom_strength,1.0,0.9751428571428572
trend_alignment_score,1.0,0.9765714285714286
above_sma_100_1h,1.0,0.978
dist_from_sma_20_1h,0.8,0.9791428571428571
price_change_autocorr,0.8,0.9802857142857142
multi_tf_momentum_strength,0.8,0.9814285714285713
volatility_momentum,0.8,0.9825714285714283
sr_strength,0.8,0.9837142857142854
mtf_trend_alignment_score,0.6,0.9845714285714283
net_buy_sell_pressure,0.6,0.9854285714285712
resistance_bounce_ratio,0.6,0.9862857142857141
is_pivot_high,0.6,0.987142857142857
buy_sell_imbalance_20,0.6,0.9879999999999999
is_pivot_low,0.6,0.9888571428571428
roc_10_atr_norm_4h,0.6,0.9897142857142857
ad_line,0.4,0.9902857142857142
cmf_20,0.4,0.9908571428571428
institutional_candle_strength,0.4,0.9914285714285712
rvol_ratio_6h,0.4,0.9919999999999998
bars_since_last_ob,0.4,0.9925714285714283
double_top_recency,0.4,0.9931428571428569
bbw_squeeze,0.4,0.9937142857142854
momentum_trend_strength,0.4,0.994285714285714
tape_speed_20,0.4,0.9948571428571426
ad_line_ma_20,0.4,0.995428571428571
support_strength,0.4,0.9959999999999996
money_flow_ratio,0.4,0.9965714285714281
multi_factor_sentiment,0.4,0.9971428571428567
near_swing_low_alignment,0.2,0.997428571428571
above_sma_20_4h,0.2,0.9977142857142853
above_sma_100_1d,0.2,0.9979999999999997
liquidity_void_depth,0.2,0.9982857142857141
above_sma_50_1h,0.2,0.9985714285714284
buy_sell_ratio,0.2,0.9988571428571428
bbw,0.2,0.9991428571428571
price_volume_trend,0.2,0.9994285714285714
volume_acceleration_ma,0.2,0.9997142857142858
above_sma_50_1d,0.2,1.0000000000000002
roc_5_atr_norm_1h,0.0,1.0000000000000002
volume_delta_negative,0.0,1.0000000000000002
volume_delta,0.0,1.0000000000000002
support_flip_signal,0.0,1.0000000000000002
resistance_flip_signal,0.0,1.0000000000000002
dist_from_nearest_resistance_pivot,0.0,1.0000000000000002
momentum_alignment_score,0.0,1.0000000000000002
support_with_4h_uptrend,0.0,1.0000000000000002
resistance_with_4h_downtrend,0.0,1.0000000000000002
structure_aligned_ob,0.0,1.0000000000000002
fvg_sweep_confluence,0.0,1.0000000000000002
near_swing_high_alignment,0.0,1.0000000000000002
ict_composite_score,0.0,1.0000000000000002
recent_ict_activity,0.0,1.0000000000000002
bars_since_last_fvg,0.0,1.0000000000000002
ob_with_fvg,0.0,1.0000000000000002
high_conviction_sweep,0.0,1.0000000000000002
above_sma_100_4h,0.0,1.0000000000000002
above_sma_100_6h,0.0,1.0000000000000002
above_sma_50_6h,0.0,1.0000000000000002
above_sma_50_4h,0.0,1.0000000000000002
bars_since_mss,0.0,1.0000000000000002
ict_composite_score_ma_10,0.0,1.0000000000000002
market_structure_shift,0.0,1.0000000000000002
mfi_slope_1h,0.0,1.0000000000000002
rsi_volume_interaction,0.0,1.0000000000000002
range_to_body,0.0,1.0000000000000002
bullish_volume_count,0.0,1.0000000000000002
bbw_volume_interaction,0.0,1.0000000000000002
stoch_momentum,0.0,1.0000000000000002
vwap_rsi_interaction,0.0,1.0000000000000002
large_buy_trade,0.0,1.0000000000000002
volume_change_rate,0.0,1.0000000000000002
trend_consistency_10,0.0,1.0000000000000002
is_trending,0.0,1.0000000000000002
mfi_trend_adjusted,0.0,1.0000000000000002
obv_divergence,0.0,1.0000000000000002
mfi_14,0.0,1.0000000000000002
engulfing_volume,0.0,1.0000000000000002
choppiness_14,0.0,1.0000000000000002
trend_consistency_20,0.0,1.0000000000000002
close_position,0.0,1.0000000000000002
hl_spread_normalized,0.0,1.0000000000000002
hammer_volume,0.0,1.0000000000000002
volume_vs_ma_20,0.0,1.0000000000000002
upper_wick_size,0.0,1.0000000000000002
body_to_wick_ratio,0.0,1.0000000000000002
lower_wick_size,0.0,1.0000000000000002
volume_volatility_interaction,0.0,1.0000000000000002
rsi_momentum,0.0,1.0000000000000002
rsi_acceleration,0.0,1.0000000000000002
rsi_volatility,0.0,1.0000000000000002
rsi_spread,0.0,1.0000000000000002
hammer,0.0,1.0000000000000002
doji,0.0,1.0000000000000002
above_sma_20,0.0,1.0000000000000002
stoch_k,0.0,1.0000000000000002
rsi_price_divergence,0.0,1.0000000000000002
momentum_accel,0.0,1.0000000000000002
roc_5_atr_adj,0.0,1.0000000000000002
volume_regime_score,0.0,1.0000000000000002
multi_tf_alignment,0.0,1.0000000000000002
momentum_volume_divergence,0.0,1.0000000000000002
large_sell_trade,0.0,1.0000000000000002
volume_z_score,0.0,1.0000000000000002
aggressive_sell_volume,0.0,1.0000000000000002
avg_trade_size_norm,0.0,1.0000000000000002
volume_ma_ratio_short,0.0,1.0000000000000002
tick_persistence,0.0,1.0000000000000002
tick_direction,0.0,1.0000000000000002
higher_lows_count_20,0.0,1.0000000000000002
higher_highs_count_20,0.0,1.0000000000000002
momentum_quality_score,0.0,1.0000000000000002
engulfing,0.0,1.0000000000000002
three_white_soldiers,0.0,1.0000000000000002
morning_evening_star,0.0,1.0000000000000002
three_line_strike,0.0,1.0000000000000002
support_break_momentum,0.0,1.0000000000000002
near_resistance_100,0.0,1.0000000000000002
effective_spread_proxy,0.0,1.0000000000000002
testing_resistance,0.0,1.0000000000000002
resistance_volume_interaction,0.0,1.0000000000000002
