feature,ks_statistic,p_value,has_drift,set
atr_normalized_1d,0.46595507533590935,0.0,True,calibration
dist_from_swing_high_50_6h,0.22101645904436343,0.0,True,calibration
dist_from_swing_high_50_12h,0.34496668307155076,0.0,True,calibration
atr_normalized,0.18490691842238388,2.1451716248588755e-296,True,calibration
dist_from_swing_low_50_6h,0.17731168445064685,2.067968429137414e-272,True,calibration
nearest_resistance_strength,0.1497385154091152,5.248964406715512e-194,True,calibration
dist_from_swing_low_50_12h,0.1322446131019283,2.976014306797089e-151,True,calibration
dist_from_swing_low_50_4h,0.12298648340159679,8.307880706736202e-131,True,calibration
dist_from_swing_low_50_1d,0.11358655536172635,1.3842224664404997e-111,True,calibration
dist_from_r1,0.09130727351330359,3.463470322475588e-72,True,calibration
rsi_slope_12h,0.07901134804423016,3.8706694191478524e-54,True,calibration
rsi_slope_1d,0.07851373548089313,1.8323641783539453e-53,True,calibration
sma_20_slope_1h,0.07232094704954348,2.030251224576474e-45,True,calibration
dist_from_s1,0.06730273964650657,2.186128032965777e-39,True,calibration
dist_from_bearish_ob,0.06608541386716704,5.462055316168774e-38,True,calibration
sma_50_slope,0.06111797528140678,1.4976405391831826e-32,True,calibration
resistance_touch_count,0.05143325738570437,3.5738110561029517e-23,True,calibration
sma_20_slope_2h,0.04870686557432807,7.968232463554597e-21,True,calibration
rsi_slope_6h,0.048418727615202606,1.386914487332689e-20,True,calibration
rsi_slope_4h,0.02635479330458712,2.1241129543389545e-06,True,calibration
atr_normalized_1d,0.22578952133946203,0.0,True,holdout
dist_from_swing_low_50_1d,0.3381750110951895,0.0,True,holdout
dist_from_swing_low_50_12h,0.1860216868940946,0.0,True,holdout
dist_from_bearish_ob,0.23705208874230965,0.0,True,holdout
atr_normalized,0.14804985667141568,1.8646141620874126e-207,True,holdout
dist_from_swing_high_50_12h,0.1418501700119149,2.099723553487005e-190,True,holdout
dist_from_swing_low_50_6h,0.11307161833371182,6.041298962769308e-121,True,holdout
resistance_touch_count,0.09168342663353085,1.3671813804772847e-79,True,holdout
dist_from_swing_low_50_4h,0.0811529256660029,1.992462985263184e-62,True,holdout
dist_from_swing_high_50_6h,0.07727531641011112,1.2289800802548825e-56,True,holdout
rsi_slope_1d,0.07619112947314483,4.544808593632758e-55,True,holdout
sma_20_slope_2h,0.07253054006649573,6.1244422216224395e-50,True,holdout
dist_from_s1,0.06997714425255463,1.6404058796195334e-46,True,holdout
nearest_resistance_strength,0.06979417480256733,2.8565892900591715e-46,True,holdout
sma_20_slope_1h,0.056783111852543366,9.196984626472095e-31,True,holdout
sma_50_slope,0.05636770589893669,2.5473668326958077e-30,True,holdout
rsi_slope_12h,0.0559745314811855,6.635271424780142e-30,True,holdout
dist_from_r1,0.0458230401299457,3.5239344866253984e-20,True,holdout
rsi_slope_4h,0.02828637455850752,5.925512682578234e-08,True,holdout
rsi_slope_6h,0.014144284794136985,0.02611346932614056,True,holdout
