feature,importance,cumulative_importance
rsi_slope_6h,50.4,0.07200000000000001
rsi_slope_4h,40.8,0.13028571428571428
rsi_slope_12h,39.8,0.18714285714285717
atr_normalized,30.0,0.23000000000000004
rsi_slope_1d,26.0,0.2671428571428572
dist_from_swing_low_50_6h,22.8,0.29971428571428577
sma_50_slope,22.4,0.3317142857142858
atr_normalized_1d,21.4,0.3622857142857144
dist_from_swing_low_50_1d,19.6,0.3902857142857144
dist_from_swing_low_50_12h,17.0,0.4145714285714287
dist_from_r1,15.4,0.43657142857142867
dist_from_swing_high_50_6h,13.6,0.4560000000000001
dist_from_swing_high_50_12h,13.4,0.47514285714285726
sma_20_slope_2h,12.2,0.49257142857142866
nearest_resistance_strength,11.4,0.5088571428571429
sma_20_slope_1h,10.6,0.5240000000000001
dist_from_swing_low_50_4h,10.0,0.5382857142857144
dist_from_s1,9.4,0.5517142857142858
dist_from_bearish_ob,9.4,0.5651428571428572
resistance_touch_count,8.8,0.5777142857142857
obv_ma_20,8.2,0.5894285714285715
nearest_support_strength,8.0,0.6008571428571429
tr_percentile,8.0,0.6122857142857143
roc_10_atr_norm_1d,8.0,0.6237142857142858
r1,8.0,0.6351428571428572
roc_10_atr_norm_12h,7.8,0.6462857142857144
dist_from_bullish_ob,7.4,0.6568571428571429
vpt,6.8,0.6665714285714286
dist_from_swing_high_50,6.6,0.676
rsi_price_divergence_cont_12h,6.6,0.6854285714285716
rsi_slope_2h,6.0,0.6940000000000002
rsi_price_divergence_cont_1d,5.2,0.7014285714285715
rsi_14_1d,5.2,0.708857142857143
ad_line_ma_20,5.2,0.7162857142857144
dist_from_vwap,5.2,0.7237142857142858
mfi_14_1d,5.0,0.7308571428571429
mfi_14_2h,4.8,0.7377142857142858
rsi_price_divergence_cont_6h,4.8,0.7445714285714286
dist_from_swing_high_50_1h,4.8,0.7514285714285713
sma_20_slope_12h,4.8,0.7582857142857142
mfi_slope_12h,4.4,0.7645714285714285
rsi_14,4.4,0.7708571428571427
dist_from_swing_low_50,4.2,0.7768571428571428
mfi_14_4h,4.2,0.7828571428571428
dist_from_swing_high_50_1d,4.0,0.7885714285714286
vpt_ma_20,4.0,0.7942857142857143
above_sma_50,4.0,0.7999999999999999
hl_spread,4.0,0.8057142857142857
rvol_ratio_12h,3.8,0.811142857142857
