feature,ks_statistic,p_value,has_drift,set
atr_normalized_1d,0.4660799025443672,0.0,True,calibration
dist_from_swing_high_50_6h,0.22485017119337009,0.0,True,calibration
tr_percentile,0.24198007512205028,0.0,True,calibration
dist_from_swing_high_50_12h,0.3433711712210563,0.0,True,calibration
rsi_price_divergence_cont_1d,0.17801240344417063,1.200251784156808e-282,True,calibration
atr_normalized,0.1770815914061851,1.106087594050068e-279,True,calibration
dist_from_swing_low_50_6h,0.1552182600108899,1.2377254371300703e-214,True,calibration
cumulative_delta,0.15086030436427733,1.0282118785919113e-202,True,calibration
roc_10_atr_norm_12h,0.13314529748885628,8.044659820447754e-158,True,calibration
rsi_price_divergence_cont_12h,0.1153463551039619,1.9379258083485675e-118,True,calibration
dist_from_s1,0.09605549249240936,3.3929009822796154e-82,True,calibration
rsi_14_6h,0.09290498075804976,6.54448166323184e-77,True,calibration
dist_from_r1,0.08487481196415553,3.0520407534520036e-64,True,calibration
rsi_slope_1d,0.08103740413632715,1.3550787087953334e-58,True,calibration
rsi_slope_12h,0.07420240501305866,3.469733239243578e-49,True,calibration
vpt,0.060280231087977754,1.3531200850835173e-32,True,calibration
sma_50_slope,0.05625031147041723,1.9529368327218621e-28,True,calibration
rsi_slope_6h,0.044861753278514604,3.0656598414065116e-18,True,calibration
rsi_slope_4h,0.030915538451599778,6.920656268726419e-09,True,calibration
rsi_slope_2h,0.02736403739490756,4.696950476118624e-07,True,calibration
atr_normalized_1d,0.2139641264883647,0.0,True,holdout
tr_percentile,0.37294289173219614,0.0,True,holdout
cumulative_delta,0.1635475180430357,1.2345436415371462e-242,True,holdout
dist_from_swing_high_50_12h,0.15589919521789042,2.166221104422234e-220,True,holdout
atr_normalized,0.14759598943832897,1.7896807613035277e-197,True,holdout
rsi_price_divergence_cont_1d,0.11689384440366546,8.385474659869537e-124,True,holdout
dist_from_swing_low_50_6h,0.1095581811311841,9.14489033917946e-109,True,holdout
rsi_slope_1d,0.09420440445983663,1.7856535374664557e-80,True,holdout
rsi_14_6h,0.08710528454933336,7.582627665440436e-69,True,holdout
dist_from_swing_high_50_6h,0.07883170775739821,1.8851535437127808e-56,True,holdout
dist_from_s1,0.07484418341582783,6.392613733699469e-51,True,holdout
rsi_slope_12h,0.06812348674469207,2.980320528576664e-42,True,holdout
rsi_price_divergence_cont_12h,0.06579810608796988,1.919032851388334e-39,True,holdout
roc_10_atr_norm_12h,0.06529152729922183,7.620621674019571e-39,True,holdout
sma_50_slope,0.055337687452539974,5.106775977937669e-28,True,holdout
dist_from_r1,0.05129849196595293,3.894345365136719e-24,True,holdout
rsi_slope_4h,0.02911433437303179,4.6024624020751145e-08,True,holdout
vpt,0.027650968173536628,2.577723784770429e-07,True,holdout
rsi_slope_6h,0.020688552340782707,0.0002772330406291342,True,holdout
rsi_slope_2h,0.018307327149122754,0.001902519839352949,True,holdout
