feature,importance,cumulative_importance
atr_normalized_1d,62.6,0.08942857142857141
rsi_slope_6h,53.0,0.16514285714285712
rsi_slope_4h,31.4,0.20999999999999996
rsi_slope_12h,27.0,0.24857142857142853
dist_from_swing_high_50_6h,24.0,0.2828571428571428
dist_from_s1,19.2,0.3102857142857142
rsi_slope_1d,19.2,0.33771428571428563
sma_50_slope,16.4,0.36114285714285704
atr_normalized,15.6,0.38342857142857134
dist_from_r1,15.0,0.40485714285714275
rsi_slope_2h,13.6,0.4242857142857142
rsi_price_divergence_cont_1d,13.2,0.44314285714285706
vpt,12.6,0.4611428571428571
rsi_price_divergence_cont_12h,12.2,0.4785714285714285
rsi_14_6h,11.6,0.4951428571428571
dist_from_swing_low_50_6h,11.4,0.5114285714285713
dist_from_swing_high_50_12h,11.2,0.5274285714285714
roc_10_atr_norm_12h,9.6,0.541142857142857
cumulative_delta,8.8,0.5537142857142856
tr_percentile,8.4,0.5657142857142856
sma_20_slope_1h,7.8,0.5768571428571427
mfi_14_12h,7.6,0.5877142857142856
rsi_price_divergence_cont_6h,7.6,0.5985714285714285
rvol_ratio_1h,7.6,0.6094285714285714
vpt_ma_20,7.4,0.62
dist_from_swing_low_50_1h,7.4,0.6305714285714286
rsi_price_divergence_cont_4h,7.2,0.6408571428571428
rvol_ratio,7.0,0.6508571428571428
nearest_support_strength,7.0,0.6608571428571428
dist_from_swing_low_50_4h,7.0,0.6708571428571428
dist_from_swing_low_50_2h,6.8,0.6805714285714285
dist_from_bearish_ob,6.8,0.6902857142857143
sma_20_slope_2h,6.4,0.6994285714285714
mfi_14_1h,6.4,0.7085714285714284
sr_proximity,6.2,0.7174285714285713
r1,6.2,0.7262857142857141
dist_from_swing_high_50_1d,6.0,0.7348571428571427
dist_from_swing_high_50,5.8,0.7431428571428569
sma_50_slope_1d,5.4,0.7508571428571426
price_range,5.2,0.7582857142857141
liquidity_void_depth,5.2,0.7657142857142856
roc_10_atr_norm_1d,5.2,0.7731428571428571
roc_10_atr_norm_6h,5.0,0.7802857142857142
rvol_ratio_4h,5.0,0.7874285714285714
tape_speed_20,5.0,0.7945714285714285
dist_from_bullish_ob,5.0,0.8017142857142856
support_touch_count,4.6,0.8082857142857143
roc_5_atr_norm_6h,4.4,0.8145714285714285
dist_from_swing_low_50,4.2,0.8205714285714286
dist_from_swing_low_50_12h,4.2,0.8265714285714286
sma_20_slope_1d,4.0,0.8322857142857143
adx_14,3.6,0.8374285714285715
obv_ma_20,3.6,0.8425714285714287
rvol_ratio_2h,3.4,0.8474285714285715
mfi_14_2h,3.4,0.8522857142857143
mfi_14_6h,3.2,0.856857142857143
dist_from_swing_high_50_1h,3.0,0.8611428571428572
mfi_14_1d,3.0,0.8654285714285715
roc_10_atr_norm_4h,3.0,0.8697142857142859
obv,3.0,0.8740000000000001
mfi_slope_12h,3.0,0.8782857142857144
rsi_14_1d,2.8,0.8822857142857143
double_bottom_strength,2.6,0.8860000000000001
resistance_touch_count,2.6,0.8897142857142858
dist_from_vwap,2.6,0.8934285714285716
above_sma_50,2.6,0.8971428571428574
dist_from_swing_low_50_1d,2.4,0.9005714285714287
money_flow_ratio,2.4,0.9040000000000001
above_sma_100,2.4,0.9074285714285715
vwap_distance_weighted,2.4,0.9108571428571429
volatility_clustering,2.2,0.9140000000000001
mfi_slope_1d,2.2,0.9171428571428574
rvol_ratio_12h,2.2,0.9202857142857145
sma_20_slope_12h,2.2,0.9234285714285717
mfi_14_4h,2.2,0.9265714285714289
pivot_volume_interaction,2.0,0.9294285714285718
double_bottom_candles_between,2.0,0.9322857142857146
mfi_slope_6h,2.0,0.9351428571428575
sma_20_slope_4h,1.8,0.937714285714286
mfi_slope_2h,1.8,0.9402857142857145
bullish_volume_count,1.8,0.9428571428571431
resistance_bounce_ratio,1.8,0.9454285714285715
ad_line_ma_20,1.6,0.9477142857142858
rsi_14,1.6,0.9500000000000002
double_top_strength,1.6,0.9522857142857145
support_strength,1.6,0.9545714285714288
resistance_strength,1.6,0.9568571428571431
dist_from_sma_20_1h,1.6,0.9591428571428574
bbw,1.4,0.9611428571428574
nearest_resistance_strength,1.4,0.9631428571428574
rvol_ratio_6h,1.4,0.9651428571428573
dist_from_sma_20,1.2,0.9668571428571431
dist_from_swing_high_50_2h,1.2,0.9685714285714289
rsi_slope_1h,1.2,0.9702857142857146
rvol_ratio_1d,1.2,0.9720000000000004
sma_20_slope,1.0,0.9734285714285719
