feature,ks_statistic,p_value,has_drift,set
atr_normalized_1d,0.3369745041260189,0.0,True,calibration
dist_from_swing_low_50_1d,0.20317358942251967,4.300913006465157e-291,True,calibration
atr_normalized,0.20125249898818595,1.4281884906412907e-285,True,calibration
dist_from_swing_low_50_12h,0.15862381528815211,5.8779115235783865e-177,True,calibration
roc_10_atr_norm_12h,0.13949267837320478,9.008756528749065e-137,True,calibration
resistance_touch_count,0.13746125550232613,8.1884033456956e-133,True,calibration
dist_from_swing_low_50_6h,0.11299159949722448,9.304669128869672e-90,True,calibration
dist_from_r1,0.09183810926192248,2.179621378455697e-59,True,calibration
rsi_slope_1d,0.07456528717972677,2.836810045493395e-39,True,calibration
sma_20_slope_1h,0.07431274633486257,5.1973388327694854e-39,True,calibration
dist_from_swing_low_50_4h,0.06796474904292227,1.0743848515220308e-32,True,calibration
sma_50_slope,0.06574795301903297,1.2684918626135952e-30,True,calibration
vpt_ma_20,0.05808544743539623,5.4307937654525606e-24,True,calibration
avg_trade_size_momentum,0.05788461650029947,7.89960796384178e-24,True,calibration
rsi_slope_12h,0.052378223086447434,1.379021398768703e-19,True,calibration
roc_5_atr_norm_6h,0.04315258532274535,1.974569299383745e-13,True,calibration
rsi_slope_4h,0.03990861381249089,1.503642851501102e-11,True,calibration
rsi_slope_6h,0.0340157584635431,1.6558305248319057e-08,True,calibration
rsi_price_divergence_cont_4h,0.02814242560819242,5.862326526094965e-06,True,calibration
rsi_slope_2h,0.01929880843764288,0.004984110239017135,True,calibration
dist_from_swing_low_50_1d,0.26262913447116176,0.0,True,holdout
dist_from_swing_low_50_12h,0.18677055344083437,3.2698859798299174e-265,True,holdout
rsi_slope_12h,0.11192017281740041,4.868882957279094e-95,True,holdout
dist_from_swing_low_50_6h,0.10916969204711324,1.9594329571142238e-90,True,holdout
atr_normalized_1d,0.0964783638525133,1.0995175621340749e-70,True,holdout
rsi_slope_1d,0.0921165392522918,1.8244413761035078e-64,True,holdout
resistance_touch_count,0.08191825350232529,4.7149451886123993e-51,True,holdout
roc_5_atr_norm_6h,0.08003747122401617,9.425154128981053e-49,True,holdout
dist_from_swing_low_50_4h,0.0721159930718972,1.1895850401412236e-39,True,holdout
atr_normalized,0.07135219928543582,7.991116246851344e-39,True,holdout
vpt_ma_20,0.06557321163804208,7.496721472002238e-33,True,holdout
sma_20_slope_1h,0.056041321536572375,4.174041107008112e-24,True,holdout
sma_50_slope,0.04976202834068999,4.2764456074125007e-19,True,holdout
rsi_slope_6h,0.045334117321853884,6.398991401334171e-16,True,holdout
rsi_slope_4h,0.03614484288770525,2.822626260792258e-10,True,holdout
rsi_price_divergence_cont_4h,0.03512499862627383,9.96646357733573e-10,True,holdout
roc_10_atr_norm_12h,0.034912244041068075,1.2908051185713635e-09,True,holdout
avg_trade_size_momentum,0.034049915514788975,3.6234169384557922e-09,True,holdout
rsi_slope_2h,0.022675936784289363,0.00026443116181884736,True,holdout
dist_from_r1,0.021841697611405413,0.000503794047452561,True,holdout
