feature,importance,cumulative_importance
rsi_slope_6h,55.6,0.07942857142857145
rsi_slope_4h,48.8,0.1491428571428572
dist_from_r1,30.6,0.1928571428571429
atr_normalized,29.4,0.2348571428571429
rsi_slope_12h,27.2,0.27371428571428574
sma_50_slope,21.6,0.3045714285714286
atr_normalized_1d,20.2,0.33342857142857146
rsi_slope_2h,19.8,0.36171428571428577
dist_from_swing_low_50_6h,18.8,0.3885714285714286
avg_trade_size_momentum,17.8,0.4140000000000001
rsi_slope_1d,16.8,0.4380000000000001
sma_20_slope_1h,16.6,0.46171428571428585
dist_from_swing_low_50_12h,14.4,0.4822857142857144
roc_5_atr_norm_6h,13.6,0.5017142857142859
roc_10_atr_norm_12h,11.4,0.5180000000000001
dist_from_swing_low_50_4h,11.4,0.5342857142857144
resistance_touch_count,10.2,0.5488571428571429
rsi_price_divergence_cont_4h,9.8,0.562857142857143
vpt_ma_20,9.6,0.5765714285714287
dist_from_swing_low_50_1d,9.2,0.5897142857142859
rsi_price_divergence_cont_1d,8.8,0.6022857142857144
rsi_price_divergence_cont_12h,8.6,0.6145714285714288
tr_percentile,8.4,0.6265714285714287
sr_proximity,8.4,0.6385714285714287
rsi_14_1d,7.8,0.6497142857142858
sma_20_slope_2h,7.6,0.6605714285714287
dist_from_s1,7.0,0.6705714285714287
nearest_resistance_strength,7.0,0.6805714285714287
rsi_price_divergence_cont_6h,6.8,0.6902857142857145
roc_10_atr_norm_1d,6.8,0.7000000000000002
dist_from_swing_low_50,6.6,0.7094285714285716
adx_14,6.4,0.7185714285714287
rsi_14,6.2,0.7274285714285716
mfi_14_1h,5.4,0.7351428571428573
hidden_divergence,5.4,0.742857142857143
dist_from_swing_high_50,5.2,0.7502857142857144
dist_from_swing_high_50_4h,4.8,0.7571428571428572
dist_from_vwap,4.8,0.764
resistance_strength,4.8,0.7708571428571429
dist_from_swing_high_50_6h,4.8,0.7777142857142857
above_sma_100,4.6,0.7842857142857143
mfi_14_2h,4.4,0.7905714285714285
rvol_ratio_1d,4.2,0.7965714285714286
sma_50_slope_1d,4.2,0.8025714285714286
ad_line_ma_20,4.2,0.8085714285714287
dist_from_swing_high_50_1d,4.0,0.8142857142857144
dist_from_swing_low_50_2h,3.6,0.8194285714285716
sma_20_slope_12h,3.2,0.8240000000000002
mfi_slope_4h,3.2,0.8285714285714288
buy_sell_ratio_ma20,3.2,0.8331428571428575
bbw_squeeze,3.2,0.8377142857142862
vpt,3.2,0.8422857142857147
roc_10_atr_norm_6h,3.2,0.8468571428571434
rvol_ratio_2h,3.0,0.8511428571428578
roc_10_atr_norm_1h,3.0,0.855428571428572
dist_from_swing_low_50_1h,3.0,0.8597142857142863
dist_from_sma_20,2.8,0.8637142857142862
dist_from_sma_50_1d,2.8,0.8677142857142861
dist_from_swing_high_50_2h,2.6,0.8714285714285719
rsi_slope_1h,2.6,0.8751428571428577
dist_from_swing_high_50_12h,2.6,0.8788571428571433
above_sma_50,2.6,0.8825714285714291
mfi_slope_1d,2.6,0.8862857142857149
roc_10_atr_norm_4h,2.4,0.8897142857142862
sma_20_slope,2.4,0.8931428571428577
dist_from_sma_20_1h,2.4,0.8965714285714291
dist_from_bullish_ob,2.4,0.9000000000000005
cumulative_delta,2.4,0.9034285714285719
rvol_ratio,2.4,0.9068571428571433
dist_from_swing_high_50_1h,2.2,0.9100000000000005
momentum_strength_score,2.2,0.9131428571428577
resistance_100,2.2,0.9162857142857149
sma_20_slope_4h,2.2,0.9194285714285722
dist_from_bearish_ob,2.0,0.9222857142857149
support_strength,2.0,0.9251428571428578
near_resistance_100,2.0,0.9280000000000007
obv_ma_20,2.0,0.9308571428571435
support_touch_count,2.0,0.9337142857142864
ad_line,1.8,0.9362857142857149
vwap_rsi_interaction,1.8,0.9388571428571434
resistance_bounce_ratio,1.8,0.941428571428572
obv,1.8,0.9440000000000004
mfi_14_1d,1.6,0.9462857142857147
mfi_slope_12h,1.6,0.9485714285714291
mfi_14_6h,1.6,0.9508571428571434
mfi_14_12h,1.6,0.9531428571428577
volatility_clustering,1.6,0.955428571428572
rvol_ratio_6h,1.4,0.957428571428572
double_bottom_strength,1.4,0.959428571428572
hl_spread,1.4,0.9614285714285719
mfi_14_4h,1.4,0.9634285714285719
rvol_ratio_1h,1.4,0.9654285714285719
double_top_candles_between,1.4,0.9674285714285719
multi_factor_sentiment,1.2,0.9691428571428576
support_bounce_ratio,1.0,0.970571428571429
double_bottom_candles_between,1.0,0.9720000000000004
resistance_volume_interaction,1.0,0.9734285714285719
sr_strength,0.8,0.974571428571429
nearest_support_strength,0.8,0.9757142857142861
rsi_price_divergence_cont_1h,0.8,0.9768571428571431
above_sma_20_12h,0.8,0.9780000000000002
mfi_slope_6h,0.8,0.9791428571428573
money_flow_ratio,0.6,0.9800000000000002
double_top_strength,0.6,0.9808571428571431
vwap_distance_weighted,0.6,0.981714285714286
rvol_ratio_4h,0.6,0.9825714285714289
dist_from_nearest_support_pivot,0.6,0.9834285714285718
mfi_trend_adjusted,0.6,0.9842857142857147
rsi_price_divergence_cont_2h,0.6,0.9851428571428575
mfi_slope_2h,0.6,0.9860000000000004
mfi_slope_1h,0.6,0.9868571428571433
higher_lows_count_20,0.4,0.9874285714285718
higher_highs_count_20,0.4,0.9880000000000003
bbw,0.4,0.9885714285714289
mtf_trend_alignment_score,0.4,0.9891428571428574
net_buy_sell_pressure,0.4,0.989714285714286
ict_composite_score_ma_10,0.4,0.9902857142857145
tape_speed_20,0.4,0.9908571428571431
roc_10_atr_norm_2h,0.4,0.9914285714285715
price_change_autocorr,0.4,0.9920000000000001
price_range,0.4,0.9925714285714287
above_sma_20_6h,0.4,0.9931428571428572
double_top_recency,0.4,0.9937142857142858
roc_5_atr_norm_1h,0.2,0.9940000000000001
momentum_alignment_score,0.2,0.9942857142857144
is_pivot_low,0.2,0.9945714285714288
dist_from_nearest_resistance_pivot,0.2,0.9948571428571431
above_sma_50_1h,0.2,0.9951428571428576
testing_bearish_ob,0.2,0.9954285714285719
volume_per_price_unit,0.2,0.9957142857142862
near_swing_low_alignment,0.2,0.9960000000000006
volatility_regime,0.2,0.9962857142857149
