feature,ks_statistic,p_value,has_drift,set
atr_normalized_1d,0.3375399290105027,0.0,True,calibration
atr_normalized,0.20236963450116116,9.557589034308474e-297,True,calibration
dist_from_swing_high_50_6h,0.19172968259384898,3.746704893919459e-266,True,calibration
dist_from_swing_high_50_4h,0.16155160823882675,1.236307186640738e-188,True,calibration
dist_from_swing_low_50_6h,0.12029191880244217,1.646605092586477e-104,True,calibration
rsi_14_1d,0.11916144475057094,1.4777853023461168e-102,True,calibration
dist_from_bearish_ob,0.1063332424684203,1.0597071559151748e-81,True,calibration
dist_from_s1,0.08033891364507695,8.918242280644385e-47,True,calibration
rsi_slope_1d,0.07902224631959276,2.876293199504167e-45,True,calibration
dist_from_r1,0.07795444691304981,4.61155313021295e-44,True,calibration
rsi_price_divergence_cont_12h,0.0684027892711897,5.133106780102787e-34,True,calibration
avg_trade_size_momentum,0.06823738078039104,7.460352837408024e-34,True,calibration
sma_50_slope,0.06257691197995283,1.5552418895390174e-28,True,calibration
rsi_slope_4h,0.062239880962656424,3.118397768826274e-28,True,calibration
rsi_slope_6h,0.049089624303791934,1.0129790084971541e-17,True,calibration
rsi_slope_12h,0.04484687925742903,7.348546807171652e-15,True,calibration
dist_from_swing_low_50,0.03821406090295065,6.605404676246057e-11,True,calibration
rsi_slope_2h,0.030755260387617334,3.244521068891539e-07,True,calibration
rsi_price_divergence_cont_6h,0.029226766373540894,1.4756373000775875e-06,True,calibration
rsi_price_divergence_cont_4h,0.029076656200800355,1.7052006439915231e-06,True,calibration
dist_from_swing_low_50_6h,0.11589067304725487,2.8936305595113572e-102,True,holdout
dist_from_bearish_ob,0.11059342989041876,3.820854640639754e-93,True,holdout
atr_normalized_1d,0.1025292633144328,4.358571866767777e-80,True,holdout
rsi_slope_1d,0.08903777040987604,1.8038888442001904e-60,True,holdout
atr_normalized,0.08355731718036159,2.692607297668755e-53,True,holdout
rsi_14_1d,0.08101874250973795,3.961540302908858e-50,True,holdout
rsi_price_divergence_cont_12h,0.07830657225885618,7.4747734187045755e-47,True,holdout
rsi_slope_12h,0.06879362657248989,3.0026472934292385e-36,True,holdout
dist_from_swing_high_50_6h,0.06803068212208685,1.8547499954376417e-35,True,holdout
sma_50_slope,0.05093673908578178,4.643956215318819e-20,True,holdout
rsi_slope_4h,0.04698513456360326,3.939907131103727e-17,True,holdout
rsi_price_divergence_cont_6h,0.046192783296938766,1.4263140999262872e-16,True,holdout
rsi_price_divergence_cont_4h,0.04144082367083349,2.0203616846939508e-13,True,holdout
dist_from_s1,0.038855472347913145,7.519295205215218e-12,True,holdout
rsi_slope_6h,0.034177624976301946,2.8904384949824077e-09,True,holdout
dist_from_swing_high_50_4h,0.031205963608144427,8.529257730804746e-08,True,holdout
dist_from_swing_low_50,0.027000216436665614,6.065763145206486e-06,True,holdout
rsi_slope_2h,0.02635118355572602,1.1087789382015597e-05,True,holdout
avg_trade_size_momentum,0.025925771538947928,1.6333909343709217e-05,True,holdout
dist_from_r1,0.023402686739332976,0.00014278060575756679,True,holdout
