feature,importance,cumulative_importance
rsi_slope_6h,63.0,0.09000000000000001
rsi_slope_4h,48.0,0.15857142857142859
sma_50_slope,32.4,0.2048571428571429
atr_normalized_1d,31.8,0.25028571428571433
rsi_slope_12h,26.2,0.28771428571428576
dist_from_s1,23.8,0.3217142857142858
avg_trade_size_momentum,23.0,0.35457142857142865
atr_normalized,19.8,0.3828571428571429
rsi_slope_2h,19.8,0.4111428571428572
dist_from_swing_high_50_6h,17.8,0.43657142857142867
dist_from_swing_high_50_4h,16.2,0.4597142857142858
dist_from_r1,16.0,0.48257142857142865
rsi_price_divergence_cont_4h,14.8,0.5037142857142858
rsi_price_divergence_cont_6h,13.6,0.5231428571428572
rsi_14_1d,13.0,0.5417142857142858
dist_from_swing_low_50_6h,12.8,0.5600000000000002
rsi_slope_1d,12.2,0.5774285714285716
dist_from_bearish_ob,11.0,0.5931428571428573
rsi_price_divergence_cont_12h,10.2,0.6077142857142859
dist_from_swing_low_50,9.8,0.6217142857142859
vpt_ma_20,9.6,0.6354285714285717
tr_percentile,9.2,0.6485714285714288
roc_5_atr_norm_6h,9.0,0.6614285714285716
dist_from_swing_low_50_1h,8.0,0.672857142857143
rsi_14,7.6,0.6837142857142859
roc_10_atr_norm_12h,7.6,0.6945714285714288
dist_from_swing_high_50_12h,6.2,0.7034285714285716
mfi_14_2h,5.8,0.711714285714286
dist_from_swing_high_50_1d,5.6,0.719714285714286
support_touch_count,5.6,0.7277142857142861
rsi_price_divergence_cont_1d,5.0,0.7348571428571431
dist_from_sma_50_1d,5.0,0.7420000000000002
mfi_14_12h,5.0,0.7491428571428574
hidden_divergence,4.8,0.7560000000000002
sma_20_slope,4.8,0.762857142857143
sr_proximity,4.6,0.7694285714285716
roc_10_atr_norm_6h,4.6,0.7760000000000002
mfi_14_4h,4.6,0.7825714285714288
dist_from_swing_high_50,4.4,0.788857142857143
above_sma_100,4.4,0.7951428571428573
double_bottom_strength,4.4,0.8014285714285716
sma_20_slope_1h,4.2,0.8074285714285716
resistance_strength,3.8,0.812857142857143
resistance_100,3.6,0.8180000000000002
vpt,3.6,0.8231428571428573
roc_10_atr_norm_1h,3.6,0.8282857142857145
nearest_support_strength,3.4,0.8331428571428573
mfi_14_1h,3.4,0.8380000000000002
adx_14,3.4,0.842857142857143
dist_from_bullish_ob,3.4,0.8477142857142859
dist_from_swing_low_50_4h,3.2,0.8522857142857144
above_sma_50,3.0,0.8565714285714288
dist_from_swing_low_50_2h,3.0,0.860857142857143
cumulative_delta,3.0,0.8651428571428573
volatility_clustering,2.8,0.8691428571428572
sma_20_slope_4h,2.8,0.8731428571428572
price_range,2.8,0.8771428571428571
mfi_slope_6h,2.6,0.8808571428571429
sma_20_slope_2h,2.6,0.8845714285714286
double_top_candles_between,2.6,0.8882857142857143
roc_10_atr_norm_4h,2.6,0.8920000000000001
rvol_ratio_1d,2.4,0.8954285714285715
double_bottom_candles_between,2.4,0.8988571428571429
mfi_slope_12h,2.2,0.9020000000000001
double_top_strength,2.2,0.9051428571428574
dist_from_swing_high_50_2h,2.2,0.9082857142857146
resistance_touch_count,2.0,0.9111428571428574
dist_from_sma_20_1h,2.0,0.9140000000000003
mfi_14_6h,2.0,0.9168571428571431
mfi_slope_4h,2.0,0.9197142857142859
roc_10_atr_norm_2h,2.0,0.9225714285714288
support_bounce_ratio,1.8,0.9251428571428574
rvol_ratio_1h,1.8,0.9277142857142858
rsi_price_divergence_cont_1h,1.6,0.9300000000000002
mfi_slope_1d,1.6,0.9322857142857145
obv,1.6,0.9345714285714288
rsi_slope_1h,1.4,0.9365714285714287
support_strength,1.4,0.9385714285714287
roc_10_atr_norm_1d,1.4,0.9405714285714287
sma_50_slope_1d,1.4,0.9425714285714286
rvol_ratio_2h,1.4,0.9445714285714286
rvol_ratio_6h,1.4,0.9465714285714286
rvol_ratio,1.4,0.9485714285714285
dist_from_vwap,1.4,0.9505714285714285
pivot_volume_interaction,1.2,0.9522857142857143
obv_ma_20,1.2,0.9540000000000001
dist_from_nearest_support_pivot,1.2,0.9557142857142858
is_pivot_low,1.2,0.9574285714285716
rsi_price_divergence_cont_2h,1.2,0.9591428571428574
dist_from_swing_high_50_1h,1.2,0.9608571428571432
dist_from_swing_low_50_1d,1.2,0.962571428571429
rvol_ratio_12h,1.2,0.9642857142857147
vwap_distance_weighted,1.2,0.9660000000000005
sma_20_slope_12h,1.0,0.967428571428572
net_buy_sell_pressure,1.0,0.9688571428571434
bbw_squeeze,1.0,0.9702857142857149
resistance_bounce_ratio,0.8,0.9714285714285719
mfi_14_1d,0.8,0.972571428571429
double_top_recency,0.8,0.9737142857142861
support_volume_interaction,0.8,0.9748571428571432
buy_sell_ratio_ma20,0.8,0.9760000000000002
dist_from_sma_20,0.8,0.9771428571428573
ad_line_ma_20,0.8,0.9782857142857144
higher_highs_count_20,0.8,0.9794285714285714
dist_from_swing_low_50_12h,0.8,0.9805714285714285
momentum_alignment_score,0.8,0.9817142857142857
is_pivot_high,0.8,0.9828571428571427
near_swing_low_alignment,0.8,0.9839999999999998
rvol_ratio_4h,0.6,0.9848571428571427
money_flow_ratio,0.6,0.9857142857142855
multi_factor_sentiment,0.6,0.9865714285714284
rsi_volatility,0.6,0.9874285714285713
sr_strength,0.6,0.9882857142857142
near_swing_high_alignment,0.4,0.9888571428571428
ad_line,0.4,0.9894285714285713
above_sma_20_1d,0.4,0.9899999999999999
buy_sell_imbalance_20,0.4,0.9905714285714283
mfi_slope_2h,0.4,0.9911428571428569
price_change_autocorr,0.4,0.9917142857142854
above_sma_50_1h,0.4,0.992285714285714
cmf_20,0.4,0.9928571428571425
vwap_rsi_interaction,0.4,0.9934285714285711
bars_since_last_sweep,0.4,0.9939999999999997
nearest_resistance_strength,0.4,0.9945714285714281
mtf_trend_alignment_score,0.2,0.9948571428571426
ict_composite_score_ma_10,0.2,0.9951428571428569
above_sma_20_6h,0.2,0.9954285714285712
bars_since_last_ob,0.2,0.9957142857142856
volume_delta_positive,0.2,0.9959999999999999
bullish_volume_count,0.2,0.9962857142857142
tape_speed_20,0.2,0.9965714285714286
mfi_trend_adjusted,0.2,0.996857142857143
above_sma_20_12h,0.2,0.9971428571428573
hl_spread,0.2,0.9974285714285717
above_sma_20_4h,0.2,0.997714285714286
near_resistance_100,0.2,0.9980000000000003
market_structure_direction,0.2,0.9982857142857147
momentum_strength_score,0.2,0.9985714285714291
vol_weighted_roc_5,0.2,0.9988571428571434
effective_spread_proxy,0.2,0.9991428571428578
obv_divergence,0.2,0.9994285714285721
choppiness_14,0.2,0.9997142857142864
near_support_100,0.2,1.0000000000000009
mfi_slope_1h,0.0,1.0000000000000009
volume_delta,0.0,1.0000000000000009
aggressive_sell_volume,0.0,1.0000000000000009
support_flip_signal,0.0,1.0000000000000009
resistance_flip_signal,0.0,1.0000000000000009
resistance_with_4h_downtrend,0.0,1.0000000000000009
dist_from_nearest_resistance_pivot,0.0,1.0000000000000009
trend_alignment_score,0.0,1.0000000000000009
support_with_4h_uptrend,0.0,1.0000000000000009
high_conviction_sweep,0.0,1.0000000000000009
ob_with_fvg,0.0,1.0000000000000009
structure_aligned_ob,0.0,1.0000000000000009
fvg_sweep_confluence,0.0,1.0000000000000009
ict_composite_score,0.0,1.0000000000000009
testing_bearish_ob,0.0,1.0000000000000009
bars_since_last_fvg,0.0,1.0000000000000009
recent_ict_activity,0.0,1.0000000000000009
above_sma_50_4h,0.0,1.0000000000000009
above_sma_100_4h,0.0,1.0000000000000009
above_sma_100_6h,0.0,1.0000000000000009
order_block_strength,0.0,1.0000000000000009
testing_bullish_ob,0.0,1.0000000000000009
above_sma_50_6h,0.0,1.0000000000000009
above_sma_20_2h,0.0,1.0000000000000009
above_sma_50_2h,0.0,1.0000000000000009
range_to_body,0.0,1.0000000000000009
multi_tf_alignment,0.0,1.0000000000000009
