feature,importance,cumulative_importance
rsi_slope_4h,63.8,0.09114285714285714
atr_normalized_1d,44.0,0.154
rsi_price_divergence_cont_4h,36.0,0.20542857142857143
dist_from_sma_20_12h,28.0,0.24542857142857144
rsi_slope_2h,28.0,0.2854285714285714
atr_normalized,27.0,0.324
rsi_slope_12h,26.4,0.36171428571428577
dist_from_s1,21.4,0.3922857142857143
rsi_price_divergence_cont_12h,18.0,0.41800000000000004
dist_from_swing_high_50_4h,15.0,0.43942857142857145
dist_from_r1,14.2,0.45971428571428574
sma_50_slope,13.6,0.4791428571428572
rsi_14,13.0,0.4977142857142858
dist_from_swing_low_50,11.8,0.5145714285714287
adx_14,10.6,0.5297142857142858
dist_from_bullish_ob,10.2,0.5442857142857144
tr_percentile,10.0,0.5585714285714286
rsi_14_4h,9.2,0.5717142857142857
rsi_slope_1d,9.0,0.5845714285714286
rsi_14_12h,8.8,0.5971428571428572
cumulative_delta,8.2,0.6088571428571429
dist_from_swing_low_50_4h,7.6,0.6197142857142858
roc_10_atr_norm_1h,7.0,0.6297142857142858
vpt_ma_20,7.0,0.6397142857142858
hidden_divergence,6.8,0.6494285714285716
roc_5_atr_norm_12h,6.6,0.658857142857143
sma_20_slope_2h,6.6,0.6682857142857145
dist_from_swing_high_50,6.6,0.6777142857142859
ad_line,6.4,0.686857142857143
above_sma_50,6.4,0.6960000000000002
rsi_slope_1h,6.4,0.7051428571428573
rsi_price_divergence_cont_1d,6.0,0.7137142857142859
dist_from_sma_20,6.0,0.7222857142857144
ad_line_ma_20,6.0,0.730857142857143
support_strength,5.6,0.7388571428571429
double_top_strength,5.4,0.7465714285714286
resistance_strength,5.4,0.7542857142857143
sr_proximity,5.4,0.762
vpt,4.8,0.7688571428571428
nearest_support_strength,4.8,0.7757142857142856
obv,4.8,0.7825714285714284
dist_from_swing_high_50_2h,4.8,0.7894285714285711
sma_50_slope_4h,4.6,0.7959999999999997
rvol_ratio_1d,4.4,0.802285714285714
sma_20_slope,4.2,0.808285714285714
sma_20_slope_1h,4.2,0.8142857142857142
mfi_slope_1d,4.0,0.8199999999999998
support_touch_count,3.8,0.8254285714285712
obv_ma_20,3.8,0.8308571428571425
sma_20_slope_1d,3.6,0.8359999999999997
dist_from_bearish_ob,3.4,0.8408571428571425
r1,3.4,0.8457142857142854
dist_from_swing_low_50_1d,3.4,0.8505714285714282
dist_from_swing_low_50_12h,3.2,0.8551428571428569
mfi_14_4h,3.2,0.8597142857142855
dist_from_swing_low_50_1h,3.0,0.8639999999999998
roc_10_atr_norm_12h,3.0,0.8682857142857141
bbw_squeeze,3.0,0.8725714285714283
sma_20_slope_12h,2.8,0.8765714285714282
hl_spread,2.8,0.8805714285714282
mfi_14_2h,2.8,0.8845714285714281
rvol_ratio_2h,2.6,0.8882857142857139
roc_10_atr_norm_4h,2.4,0.8917142857142852
rvol_ratio_4h,2.4,0.8951428571428567
above_sma_100,2.4,0.8985714285714281
mfi_14,2.2,0.9017142857142852
is_pivot_low,2.2,0.9048571428571425
rvol_ratio_12h,2.2,0.9079999999999997
money_flow_ratio,2.2,0.9111428571428569
mfi_14_1d,2.2,0.9142857142857141
mfi_14_12h,2.0,0.9171428571428569
mfi_14_1h,2.0,0.9199999999999998
rvol_ratio_1h,2.0,0.9228571428571427
rsi_price_divergence_cont_2h,2.0,0.9257142857142856
vwap_rsi_interaction,1.8,0.928285714285714
dist_from_swing_high_50_1d,1.8,0.9308571428571426
dist_from_nearest_support_pivot,1.6,0.9331428571428568
nearest_resistance_strength,1.6,0.9354285714285712
bbw,1.6,0.9377142857142855
double_top_recency,1.6,0.9399999999999998
roc_10_atr_norm_1d,1.4,0.9419999999999998
is_pivot_high,1.4,0.9439999999999997
multi_factor_sentiment,1.4,0.9459999999999997
dist_from_sma_50_2h,1.4,0.9479999999999997
choppiness_14,1.4,0.9499999999999996
roc_10_atr_adj,1.4,0.9519999999999996
dist_from_swing_low_50_2h,1.4,0.9539999999999996
sma_20_slope_4h,1.4,0.9559999999999996
mfi_slope_4h,1.2,0.9577142857142854
resistance_touch_count,1.2,0.9594285714285712
rsi_spread,1.2,0.961142857142857
volatility_clustering,1.2,0.9628571428571427
trend_alignment_score,1.0,0.9642857142857141
mfi_slope_12h,1.0,0.9657142857142855
dist_from_sma_20_1h,1.0,0.967142857142857
support_volume_interaction,1.0,0.9685714285714284
rvol_ratio,1.0,0.9699999999999999
dist_from_vwap,1.0,0.9714285714285713
volatility_momentum,0.8,0.9725714285714283
buy_sell_ratio_ma20,0.8,0.9737142857142854
higher_highs_count_20,0.8,0.9748571428571425
dist_from_swing_high_50_12h,0.8,0.9759999999999995
double_top_candles_between,0.8,0.9771428571428566
tape_speed_20,0.8,0.9782857142857138
sma_50_slope_1d,0.8,0.9794285714285708
dist_from_swing_high_50_1h,0.8,0.9805714285714279
momentum_strength_score,0.8,0.981714285714285
double_bottom_strength,0.8,0.9828571428571421
stoch_k,0.6,0.983714285714285
vwap_distance_weighted,0.6,0.9845714285714279
price_range,0.6,0.9854285714285708
near_swing_low_alignment,0.6,0.9862857142857137
net_buy_sell_pressure,0.6,0.9871428571428565
near_resistance_100,0.6,0.9879999999999994
mfi_slope_2h,0.6,0.9888571428571423
dist_from_nearest_resistance_pivot,0.4,0.9894285714285708
rsi_price_divergence_cont_1h,0.4,0.9899999999999993
double_bottom_candles_between,0.4,0.9905714285714279
cmf_20,0.4,0.9911428571428564
pivot_volume_interaction,0.4,0.991714285714285
price_change_autocorr,0.4,0.9922857142857135
resistance_bounce_ratio,0.4,0.992857142857142
near_support_100,0.4,0.9934285714285706
support_bounce_ratio,0.4,0.9939999999999991
volume_delta_negative,0.2,0.9942857142857134
volume_acceleration_ma,0.2,0.9945714285714278
bullish_volume_count,0.2,0.9948571428571422
volume_delta_positive,0.2,0.9951428571428566
momentum_strength_ratio,0.2,0.9954285714285709
price_volume_trend,0.2,0.9957142857142852
rsi_momentum,0.2,0.9959999999999996
momentum_quality_score,0.2,0.9962857142857139
near_swing_high_alignment,0.2,0.9965714285714283
buy_sell_imbalance_20,0.2,0.9968571428571427
above_sma_50_1h,0.2,0.997142857142857
support_with_4h_uptrend,0.2,0.9974285714285713
above_sma_20_1d,0.2,0.9977142857142857
sr_strength,0.2,0.998
obv_divergence,0.2,0.9982857142857143
ict_composite_score_ma_10,0.2,0.9985714285714288
