feature,importance,cumulative_importance
rsi_slope_4h,46.8,0.06685714285714286
rsi_price_divergence_cont_4h,33.2,0.11428571428571431
rsi_slope_12h,31.4,0.15914285714285717
atr_normalized,29.6,0.20142857142857146
atr_normalized_4h,29.4,0.24342857142857147
rsi_slope_2h,28.4,0.2840000000000001
rsi_14_4h,19.2,0.3114285714285715
dist_from_swing_high_50_4h,18.8,0.33828571428571436
dist_from_bullish_ob,17.0,0.36257142857142866
rsi_slope_1d,16.4,0.38600000000000007
dist_from_r1,15.8,0.40857142857142864
dist_from_swing_high_50,13.4,0.42771428571428577
dist_from_swing_low_50_1d,11.4,0.444
rsi_14_12h,10.4,0.45885714285714285
dist_from_swing_low_50_4h,10.4,0.47371428571428564
roc_10_atr_norm_4h,10.2,0.4882857142857142
sma_50_slope,10.2,0.5028571428571428
resistance_touch_count,9.8,0.5168571428571428
roc_10_atr_norm_12h,9.2,0.5299999999999999
rsi_14,8.8,0.5425714285714285
sr_proximity,8.8,0.555142857142857
roc_5_atr_norm_12h,8.2,0.5668571428571428
sma_20_slope_4h,7.8,0.578
adx_14,7.6,0.5888571428571429
rsi_price_divergence_cont_1d,7.6,0.5997142857142858
mfi_slope_12h,7.4,0.6102857142857143
dist_from_s1,7.2,0.6205714285714286
dist_from_swing_low_50,7.0,0.6305714285714286
vpt,6.2,0.6394285714285715
rsi_slope_1h,6.0,0.648
dist_from_swing_high_50_1h,6.0,0.6565714285714286
rvol_ratio_1d,5.8,0.6648571428571428
atr_normalized_1d,5.8,0.6731428571428572
ad_line_ma_20,5.6,0.6811428571428572
rvol_ratio_1h,5.4,0.6888571428571428
vwap_rsi_interaction,5.4,0.6965714285714285
sma_20_slope,5.2,0.704
hidden_divergence,5.2,0.7114285714285714
sma_20_slope_2h,5.2,0.7188571428571428
mfi_14_12h,5.0,0.726
rsi_price_divergence_cont_12h,4.8,0.7328571428571428
rsi_price_divergence_cont_2h,4.8,0.7397142857142857
tr_percentile,4.8,0.7465714285714284
rsi_volatility,4.6,0.753142857142857
rvol_ratio_2h,4.6,0.7597142857142856
dist_from_vwap,4.6,0.7662857142857142
bbw_squeeze,4.4,0.7725714285714285
dist_from_bearish_ob,4.0,0.7782857142857141
mfi_trend_adjusted,4.0,0.7839999999999999
rvol_ratio_12h,3.8,0.7894285714285713
roc_10_atr_norm_1d,3.8,0.7948571428571426
dist_from_nearest_resistance_pivot,3.6,0.7999999999999998
dist_from_sma_20_1h,3.6,0.8051428571428569
momentum_strength_score,3.4,0.8099999999999998
r1,3.2,0.8145714285714284
rvol_ratio_4h,3.2,0.8191428571428571
volatility_clustering,3.2,0.8237142857142857
vpt_ma_20,3.2,0.8282857142857144
dist_from_swing_high_50_12h,3.2,0.832857142857143
sma_20_slope_1h,3.0,0.8371428571428573
