feature,importance,cumulative_importance
rsi_slope_4h,60.2,0.08600000000000002
atr_normalized_4h,39.8,0.14285714285714288
rsi_price_divergence_cont_4h,33.8,0.1911428571428572
rsi_14_4h,24.6,0.22628571428571434
rsi_slope_2h,23.0,0.2591428571428572
rsi_slope_12h,21.6,0.29000000000000004
dist_from_swing_low_50,20.2,0.3188571428571429
rsi_price_divergence_cont_1d,15.8,0.34142857142857147
dist_from_swing_high_50,15.2,0.3631428571428572
atr_normalized,15.0,0.3845714285714286
sma_20_slope,13.8,0.40428571428571436
sma_50_slope,11.2,0.4202857142857143
buy_sell_ratio_ma20,11.2,0.43628571428571433
sma_20_slope_1h,11.0,0.45200000000000007
dist_from_swing_high_50_4h,10.4,0.46685714285714286
dist_from_bearish_ob,10.0,0.48114285714285715
rsi_14,10.0,0.49542857142857144
rsi_price_divergence_cont_12h,9.4,0.5088571428571429
atr_normalized_1d,9.2,0.522
rsi_slope_1d,8.4,0.5339999999999999
dist_from_swing_high_50_12h,8.2,0.5457142857142856
dist_from_swing_high_50_1d,7.8,0.5568571428571428
roc_5_atr_norm_12h,7.8,0.568
mfi_14_4h,7.6,0.5788571428571428
dist_from_s1,7.6,0.5897142857142857
hidden_divergence,7.6,0.6005714285714286
sma_20_slope_2h,7.2,0.6108571428571429
rsi_slope_1h,7.0,0.6208571428571429
rsi_14_12h,6.6,0.6302857142857143
cumulative_delta,6.4,0.6394285714285715
dist_from_swing_high_50_2h,6.4,0.6485714285714286
tr_percentile,6.2,0.6574285714285715
dist_from_r1,5.8,0.6657142857142857
vpt_ma_20,5.4,0.6734285714285714
dist_from_swing_low_50_4h,5.2,0.6808571428571428
dist_from_swing_high_50_1h,5.0,0.688
mfi_14_12h,5.0,0.6951428571428572
sr_proximity,4.8,0.702
support_touch_count,4.8,0.7088571428571429
money_flow_ratio,4.8,0.7157142857142857
nearest_support_strength,4.6,0.7222857142857143
bbw,4.6,0.728857142857143
rsi_price_divergence_cont_2h,4.4,0.7351428571428573
roc_10_atr_norm_4h,4.4,0.7414285714285715
resistance_touch_count,4.2,0.7474285714285717
ad_line_ma_20,4.2,0.7534285714285717
dist_from_sma_20,4.2,0.7594285714285718
mfi_slope_12h,4.2,0.7654285714285718
above_sma_50,4.0,0.7711428571428576
rvol_ratio_2h,4.0,0.7768571428571432
dist_from_bullish_ob,4.0,0.7825714285714289
support_strength,3.8,0.7880000000000004
r1,3.6,0.7931428571428575
mfi_slope_2h,3.4,0.7980000000000004
rvol_ratio_1d,3.4,0.8028571428571432
dist_from_swing_low_50_1h,3.4,0.8077142857142859
hl_spread,3.4,0.8125714285714288
resistance_strength,3.2,0.8171428571428574
roc_10_atr_adj,3.2,0.8217142857142861
sma_50_slope_4h,3.2,0.8262857142857147
adx_14,3.2,0.8308571428571434
