feature,ks_statistic,p_value,has_drift,set
atr_normalized,0.2531153427333366,0.0,True,calibration
dist_from_swing_low_50_6h,0.2349243661074662,0.0,True,calibration
atr_normalized_1d,0.37563853643825207,0.0,True,calibration
dist_from_swing_low_50_4h,0.16227761073802438,3.424772704574184e-243,True,calibration
dist_from_swing_low_50_1d,0.13488224180458486,7.671720418464961e-168,True,calibration
dist_from_r1,0.1088737759859747,2.361496705041552e-109,True,calibration
dist_from_swing_high_50,0.10759565378668567,8.354661817806235e-107,True,calibration
rsi_14_6h,0.066778702919218,2.407921134724182e-41,True,calibration
rsi_slope_12h,0.06624443127590562,1.0821052120549364e-40,True,calibration
sma_20_slope_1h,0.06184468048813471,1.616787107586404e-35,True,calibration
sma_50_slope,0.05676399398457274,5.4989146710633384e-30,True,calibration
vpt_ma_20,0.04860917650098867,4.224830458154135e-22,True,calibration
vpt,0.04389794991295526,4.209508363797505e-18,True,calibration
roc_5_atr_norm_6h,0.04072718294147487,1.2180608485567584e-15,True,calibration
resistance_strength,0.036485620293949084,1.2292992799784045e-12,True,calibration
rsi_slope_1d,0.03429939365744006,3.228540794466135e-11,True,calibration
rsi_slope_4h,0.0250910014893595,3.3465369224427305e-06,True,calibration
rsi_slope_6h,0.02274852405315142,3.5671320754824256e-05,True,calibration
rsi_14,0.021449218807667036,0.00011994492990812982,True,calibration
rsi_slope_2h,0.020900954793672294,0.00019585249571446497,True,calibration
dist_from_swing_low_50_1d,0.3323664328150583,0.0,True,holdout
atr_normalized_1d,0.23173756332167905,0.0,True,holdout
dist_from_swing_low_50_4h,0.11703202207865049,4.0020182116155245e-141,True,holdout
dist_from_swing_low_50_6h,0.07793146633199927,1.0260999565901958e-62,True,holdout
atr_normalized,0.07294998170390243,5.343024747678663e-55,True,holdout
resistance_strength,0.06630207652735631,1.692846321405515e-45,True,holdout
rsi_slope_1d,0.06256165802672337,1.492663892991208e-40,True,holdout
vpt,0.06217264664229871,4.696251428094731e-40,True,holdout
vpt_ma_20,0.05917080229066274,2.5600468080192895e-36,True,holdout
dist_from_swing_high_50,0.048513987293537175,1.50106360408669e-24,True,holdout
rsi_slope_12h,0.04497823399893816,3.67530872334951e-21,True,holdout
rsi_14_6h,0.0438940309725131,3.5730138705380835e-20,True,holdout
roc_5_atr_norm_6h,0.0384174416201879,1.491408719861394e-15,True,holdout
sma_50_slope,0.03409655638123432,2.4253810240628622e-12,True,holdout
dist_from_r1,0.02848654114504101,9.60998571866755e-09,True,holdout
rsi_slope_6h,0.028037022794462185,1.7502296287410176e-08,True,holdout
sma_20_slope_1h,0.025060725350652402,7.286873212939359e-07,True,holdout
rsi_slope_4h,0.01935957741049732,0.00028687744006852876,True,holdout
rsi_14,0.01724804995249163,0.0017777060406621178,True,holdout
rsi_slope_2h,0.013214658821791181,0.03229766297663872,True,holdout
