feature,importance,cumulative_importance
rsi_slope_4h,69.2,0.09885714285714285
rsi_slope_6h,55.2,0.17771428571428569
atr_normalized,43.4,0.23971428571428569
sma_50_slope,31.4,0.28457142857142853
rsi_slope_2h,29.0,0.32599999999999996
dist_from_r1,26.8,0.36428571428571427
rsi_slope_12h,24.0,0.3985714285714285
dist_from_swing_low_50_4h,20.2,0.4274285714285713
dist_from_swing_low_50_6h,18.2,0.45342857142857135
roc_5_atr_norm_6h,17.8,0.47885714285714276
atr_normalized_1d,16.4,0.5022857142857141
rsi_14,13.8,0.5219999999999999
vpt_ma_20,11.6,0.5385714285714285
dist_from_swing_low_50_1d,10.6,0.5537142857142856
rsi_slope_1d,10.4,0.5685714285714285
sma_20_slope_1h,10.0,0.5828571428571427
dist_from_swing_high_50,9.4,0.5962857142857142
rsi_14_6h,9.4,0.6097142857142855
vpt,9.2,0.6228571428571427
resistance_strength,9.0,0.6357142857142856
hidden_divergence,8.4,0.6477142857142855
dist_from_swing_low_50_12h,7.6,0.6585714285714284
above_sma_50,7.4,0.6691428571428569
mfi_trend_adjusted,7.0,0.6791428571428569
dist_from_swing_low_50,6.8,0.6888571428571426
dist_from_swing_high_50_6h,6.6,0.6982857142857141
adx_14,6.6,0.7077142857142855
roc_10_atr_norm_12h,6.4,0.7168571428571426
resistance_volume_interaction,6.4,0.7259999999999998
tr_percentile,6.2,0.7348571428571427
buy_sell_ratio_ma20,6.0,0.7434285714285713
rsi_price_divergence_cont_4h,6.0,0.7519999999999999
dist_from_swing_high_50_2h,6.0,0.7605714285714285
dist_from_bearish_ob,5.6,0.7685714285714285
dist_from_vwap,5.4,0.7762857142857141
roc_10_atr_norm_4h,5.4,0.7839999999999998
sma_20_slope,5.4,0.7917142857142855
rsi_price_divergence_cont_6h,5.2,0.7991428571428569
dist_from_s1,5.0,0.8062857142857142
nearest_resistance_strength,4.8,0.813142857142857
dist_from_swing_low_50_2h,4.8,0.8199999999999997
resistance_touch_count,4.6,0.8265714285714283
rsi_price_divergence_cont_12h,4.6,0.833142857142857
hl_spread,4.2,0.839142857142857
above_sma_100,4.0,0.8448571428571426
support_strength,3.8,0.8502857142857141
dist_from_sma_20,3.8,0.8557142857142854
rvol_ratio,3.4,0.8605714285714282
dist_from_swing_high_50_12h,3.2,0.8651428571428569
roc_10_atr_norm_1h,3.2,0.8697142857142856
near_swing_high_alignment,3.2,0.8742857142857141
sma_20_slope_4h,3.2,0.8788571428571428
obv,2.8,0.8828571428571427
price_range,2.6,0.8865714285714285
cumulative_delta,2.6,0.8902857142857142
obv_ma_20,2.6,0.8939999999999999
