feature,ks_statistic,p_value,has_drift,set
atr_normalized,0.25174389083893534,0.0,True,calibration
atr_normalized_1d,0.38359639430747117,0.0,True,calibration
tr_percentile,0.41749535767460844,0.0,True,calibration
dist_from_swing_low_50_4h,0.1519607255351958,7.004495836776949e-212,True,calibration
dist_from_swing_high_50_6h,0.11155113172628389,4.153488781251131e-114,True,calibration
dist_from_swing_high_50,0.10379273839802661,8.252463459913152e-99,True,calibration
dist_from_r1,0.10097858704226609,1.5506940466379065e-93,True,calibration
dist_from_s1,0.08483621737203961,4.1728964321089093e-66,True,calibration
rsi_price_divergence_cont_1d,0.08210072814864,6.213238837454444e-62,True,calibration
rsi_price_divergence_cont_12h,0.07770534306656296,1.6228651547133112e-55,True,calibration
rsi_slope_12h,0.06510202066156945,4.4080205270421336e-39,True,calibration
rsi_14_6h,0.06323975387577213,6.6929055685432684e-37,True,calibration
sma_50_slope,0.051850107489257,6.103192434625724e-25,True,calibration
vpt_ma_20,0.04331780293859455,1.552822341256709e-17,True,calibration
rsi_slope_6h,0.04139354184851235,4.75886896097682e-16,True,calibration
vpt,0.0368991186427951,7.688935954869939e-13,True,calibration
roc_5_atr_norm_6h,0.036384129306852364,1.6980529932638574e-12,True,calibration
rsi_slope_2h,0.023402755755978055,2.0201669021474323e-05,True,calibration
rsi_slope_4h,0.02279560096053279,3.639940954772916e-05,True,calibration
rsi_14,0.017096613751242162,0.0043026946034378675,True,calibration
atr_normalized_1d,0.22622973127738422,0.0,True,holdout
tr_percentile,0.34116665737307533,0.0,True,holdout
dist_from_swing_low_50_4h,0.10410102178059388,5.780137363979455e-110,True,holdout
dist_from_swing_high_50_6h,0.08107904113987038,8.167140238990455e-67,True,holdout
rsi_price_divergence_cont_1d,0.07941970933134301,4.026833324372244e-64,True,holdout
rsi_price_divergence_cont_12h,0.07190116081394021,1.274760494137004e-52,True,holdout
atr_normalized,0.06430075435298166,3.6701478422865855e-42,True,holdout
dist_from_s1,0.05546042790318184,1.8074598728887147e-31,True,holdout
rsi_slope_12h,0.048933321945006325,1.3682849433202557e-24,True,holdout
vpt_ma_20,0.040029710986236866,1.3510380957618317e-16,True,holdout
vpt,0.039036311947243996,8.380734981348084e-16,True,holdout
dist_from_swing_high_50,0.03768781220573669,9.27524026726053e-15,True,holdout
rsi_14_6h,0.03480267345903443,1.1959540877524362e-12,True,holdout
dist_from_r1,0.0322083040504717,6.79010415101004e-11,True,holdout
rsi_slope_4h,0.030111638647662975,1.413293359379087e-09,True,holdout
roc_5_atr_norm_6h,0.029309854642274757,4.274917286497757e-09,True,holdout
rsi_slope_6h,0.02532946742430331,6.686662929242577e-07,True,holdout
sma_50_slope,0.02228675144260217,1.9362954115659084e-05,True,holdout
rsi_14,0.017575058484590733,0.0015205087960153847,True,holdout
rsi_slope_2h,0.0171743153363364,0.002101370719929181,True,holdout
