feature,importance,cumulative_importance
rsi_slope_4h,63.0,0.09
rsi_slope_6h,50.6,0.16228571428571428
atr_normalized_1d,45.2,0.22685714285714287
atr_normalized,36.2,0.2785714285714286
rsi_slope_2h,32.4,0.32485714285714284
dist_from_swing_high_50_6h,26.4,0.3625714285714286
sma_50_slope,22.4,0.3945714285714286
rsi_14_6h,19.0,0.4217142857142857
dist_from_s1,17.8,0.4471428571428571
roc_5_atr_norm_6h,14.6,0.468
tr_percentile,13.8,0.48771428571428577
dist_from_swing_high_50,13.8,0.5074285714285715
dist_from_swing_low_50_4h,13.6,0.5268571428571429
vpt_ma_20,11.4,0.5431428571428573
rsi_price_divergence_cont_1d,11.0,0.5588571428571429
rsi_14,11.0,0.5745714285714286
rsi_slope_12h,10.4,0.5894285714285714
dist_from_r1,10.0,0.6037142857142858
rsi_price_divergence_cont_12h,9.6,0.6174285714285715
vpt,9.0,0.6302857142857143
adx_14,9.0,0.6431428571428572
rsi_price_divergence_cont_4h,9.0,0.656
dist_from_swing_high_50_2h,8.8,0.6685714285714287
sma_20_slope,8.6,0.6808571428571429
roc_10_atr_norm_1h,8.4,0.692857142857143
rsi_price_divergence_cont_6h,8.0,0.7042857142857144
nearest_support_strength,7.6,0.7151428571428573
hidden_divergence,7.6,0.7260000000000002
dist_from_swing_low_50,7.4,0.7365714285714288
dist_from_swing_low_50_1h,7.4,0.7471428571428573
dist_from_swing_low_50_6h,7.2,0.7574285714285717
above_sma_50,7.0,0.7674285714285717
roc_10_atr_norm_6h,6.2,0.7762857142857146
price_range,6.2,0.7851428571428575
above_sma_100,6.0,0.793714285714286
dist_from_sma_20,5.4,0.8014285714285717
r1,5.2,0.8088571428571433
dist_from_vwap,5.2,0.8162857142857147
rsi_slope_1d,5.2,0.8237142857142863
cumulative_delta,4.8,0.8305714285714291
rsi_slope_1h,4.8,0.8374285714285719
support_strength,4.6,0.8440000000000004
support_touch_count,4.4,0.8502857142857146
dist_from_swing_low_50_1d,3.8,0.8557142857142861
sma_20_slope_1h,3.6,0.8608571428571432
mfi_14_2h,3.6,0.8660000000000004
dist_from_bearish_ob,3.4,0.8708571428571432
resistance_strength,3.2,0.8754285714285719
dist_from_swing_low_50_2h,3.2,0.8800000000000004
roc_10_atr_norm_12h,2.8,0.8840000000000005
sma_50_slope_4h,2.8,0.8880000000000003
sma_20_slope_2h,2.6,0.8917142857142861
support_volume_interaction,2.6,0.8954285714285718
is_pivot_low,2.4,0.8988571428571432
mfi_14_1h,2.2,0.9020000000000005
dist_from_swing_low_50_12h,2.0,0.9048571428571434
rvol_ratio_2h,2.0,0.9077142857142861
rsi_price_divergence_cont_2h,2.0,0.910571428571429
roc_10_atr_norm_4h,1.8,0.9131428571428575
sma_20_slope_6h,1.8,0.915714285714286
obv_ma_20,1.8,0.9182857142857146
ad_line,1.8,0.920857142857143
dist_from_swing_high_50_12h,1.8,0.9234285714285716
ad_line_ma_20,1.8,0.926
vwap_distance_weighted,1.6,0.9282857142857144
market_structure_direction,1.6,0.9305714285714287
vwap_rsi_interaction,1.6,0.932857142857143
dist_from_bullish_ob,1.6,0.9351428571428574
sr_strength,1.4,0.9371428571428573
dist_from_swing_high_50_1h,1.4,0.9391428571428573
rvol_ratio,1.4,0.9411428571428573
sma_20_slope_1d,1.4,0.9431428571428572
pivot_volume_interaction,1.4,0.9451428571428572
momentum_strength_score,1.4,0.9471428571428572
multi_factor_sentiment,1.4,0.9491428571428571
hl_spread,1.4,0.9511428571428571
sma_20_slope_12h,1.2,0.9528571428571428
sma_20_slope_4h,1.2,0.9545714285714286
tape_speed_20,1.2,0.9562857142857144
is_pivot_high,1.2,0.9580000000000002
mfi_14_12h,1.0,0.9594285714285716
rvol_ratio_1h,1.0,0.9608571428571431
price_change_autocorr,1.0,0.9622857142857145
obv,1.0,0.9637142857142859
sma_50_slope_1d,1.0,0.9651428571428573
mfi_14_4h,1.0,0.9665714285714287
rsi_14_2h,0.8,0.9677142857142859
trend_alignment_score,0.8,0.968857142857143
mfi_14_6h,0.8,0.97
resistance_bounce_ratio,0.8,0.9711428571428571
bbw_squeeze,0.8,0.9722857142857142
double_top_strength,0.8,0.9734285714285712
volatility_momentum,0.8,0.9745714285714283
ict_composite_score_ma_10,0.6,0.9754285714285712
volume_delta_positive,0.6,0.9762857142857141
rvol_ratio_4h,0.6,0.977142857142857
mfi_14_1d,0.6,0.9779999999999999
rsi_volatility,0.6,0.9788571428571428
mfi_slope_1d,0.6,0.9797142857142856
resistance_touch_count,0.6,0.9805714285714285
money_flow_ratio,0.6,0.9814285714285714
mfi_slope_12h,0.6,0.9822857142857143
rvol_ratio_1d,0.6,0.9831428571428572
mfi_slope_6h,0.6,0.9840000000000001
momentum_quality_score,0.6,0.984857142857143
higher_highs_count_20,0.6,0.9857142857142859
mfi_slope_2h,0.6,0.9865714285714288
dist_from_nearest_support_pivot,0.4,0.9871428571428573
near_swing_high_alignment,0.4,0.9877142857142859
near_swing_low_alignment,0.4,0.9882857142857144
dist_from_sma_20_1h,0.4,0.9888571428571429
buy_sell_imbalance_20,0.4,0.9894285714285714
roc_10_atr_adj,0.4,0.99
dist_from_swing_high_50_1d,0.4,0.9905714285714285
rvol_ratio_12h,0.4,0.9911428571428571
nearest_resistance_strength,0.4,0.9917142857142857
mfi_slope_4h,0.4,0.9922857142857141
liquidity_void_depth,0.4,0.9928571428571427
double_top_candles_between,0.4,0.9934285714285712
double_bottom_strength,0.4,0.9939999999999998
market_state_indicator,0.4,0.9945714285714283
mfi_14,0.2,0.9948571428571427
rsi_price_divergence,0.2,0.995142857142857
stoch_k,0.2,0.9954285714285713
volatility_clustering,0.2,0.9957142857142857
trend_consistency_20,0.2,0.9960000000000001
rsi_momentum,0.2,0.9962857142857144
bbw,0.2,0.9965714285714288
bullish_volume_count,0.2,0.9968571428571431
buy_sell_ratio_ma20,0.2,0.9971428571428574
rsi_volume_interaction,0.2,0.9974285714285718
above_sma_20_4h,0.2,0.9977142857142862
avg_trade_size_norm,0.2,0.9980000000000006
volume_delta_negative,0.2,0.9982857142857149
tick_persistence,0.2,0.9985714285714292
mtf_trend_alignment_score,0.2,0.9988571428571436
near_resistance_100,0.2,0.9991428571428579
close_position,0.2,0.9994285714285722
choppiness_14,0.2,0.9997142857142867
mfi_trend_adjusted,0.2,1.0000000000000009
roc_10_atr_norm_2h,0.0,1.0000000000000009
above_sma_20_2h,0.0,1.0000000000000009
roc_5_atr_norm_1h,0.0,1.0000000000000009
above_sma_50_4h,0.0,1.0000000000000009
momentum_volume_divergence,0.0,1.0000000000000009
large_sell_trade,0.0,1.0000000000000009
large_buy_trade,0.0,1.0000000000000009
volume_delta,0.0,1.0000000000000009
aggressive_sell_volume,0.0,1.0000000000000009
higher_lows_count_20,0.0,1.0000000000000009
tick_direction,0.0,1.0000000000000009
volume_ma_ratio_short,0.0,1.0000000000000009
price_volume_trend,0.0,1.0000000000000009
structure_aligned_ob,0.0,1.0000000000000009
high_conviction_sweep,0.0,1.0000000000000009
ob_with_fvg,0.0,1.0000000000000009
momentum_alignment_score,0.0,1.0000000000000009
support_with_4h_uptrend,0.0,1.0000000000000009
resistance_with_4h_downtrend,0.0,1.0000000000000009
dist_from_nearest_resistance_pivot,0.0,1.0000000000000009
bars_since_last_sweep,0.0,1.0000000000000009
bars_since_last_ob,0.0,1.0000000000000009
bars_since_last_fvg,0.0,1.0000000000000009
fvg_sweep_confluence,0.0,1.0000000000000009
testing_bullish_ob,0.0,1.0000000000000009
testing_bearish_ob,0.0,1.0000000000000009
breaker_block,0.0,1.0000000000000009
