feature,importance,cumulative_importance
rsi_slope_4h,57.6,0.08228571428571427
rsi_slope_6h,43.8,0.14485714285714285
atr_normalized,42.0,0.20485714285714282
sma_50_slope,31.0,0.2491428571428571
rsi_slope_2h,30.0,0.292
rsi_slope_12h,24.8,0.3274285714285714
dist_from_r1,23.2,0.36057142857142854
dist_from_swing_low_50_4h,20.6,0.38999999999999996
atr_normalized_1d,18.8,0.4168571428571428
dist_from_swing_low_50_6h,17.8,0.4422857142857142
rsi_14_6h,17.4,0.4671428571428571
sr_proximity,15.2,0.48885714285714277
rsi_slope_1d,15.2,0.5105714285714285
dist_from_swing_high_50_4h,12.0,0.5277142857142856
dist_from_swing_low_50_1d,10.8,0.543142857142857
dist_from_swing_low_50_12h,10.6,0.5582857142857142
tr_percentile,10.6,0.5734285714285714
rsi_14,10.6,0.5885714285714285
dist_from_bearish_ob,9.8,0.6025714285714285
hidden_divergence,9.0,0.6154285714285714
nearest_resistance_strength,8.8,0.628
rsi_price_divergence_cont_4h,8.8,0.6405714285714286
dist_from_swing_high_50,8.2,0.6522857142857142
roc_10_atr_norm_12h,8.2,0.664
dist_from_s1,7.6,0.6748571428571428
vpt_ma_20,7.4,0.6854285714285714
roc_5_atr_norm_6h,6.6,0.6948571428571428
roc_10_atr_norm_1h,6.6,0.7042857142857143
obv_ma_20,6.0,0.7128571428571429
rsi_price_divergence_cont_2h,5.6,0.720857142857143
rsi_price_divergence_cont_12h,5.4,0.7285714285714286
sma_50_slope_1d,5.2,0.7360000000000001
resistance_touch_count,5.2,0.7434285714285715
dist_from_bullish_ob,5.0,0.7505714285714288
roc_10_atr_norm_6h,4.8,0.7574285714285716
price_range,4.6,0.7640000000000001
resistance_strength,4.4,0.7702857142857144
sma_20_slope,4.4,0.7765714285714287
buy_sell_ratio_ma20,4.4,0.7828571428571429
obv,4.2,0.7888571428571429
roc_10_atr_norm_1d,4.0,0.7945714285714287
rsi_price_divergence_cont_6h,3.8,0.8
rsi_slope_1h,3.8,0.8054285714285714
dist_from_swing_high_50_6h,3.8,0.8108571428571427
dist_from_sma_20,3.6,0.816
dist_from_swing_low_50,3.4,0.8208571428571427
rvol_ratio_1d,3.4,0.8257142857142856
vwap_distance_weighted,3.2,0.8302857142857142
sma_20_slope_2h,3.2,0.8348571428571429
dist_from_vwap,3.2,0.8394285714285715
mfi_14_1h,3.2,0.8440000000000001
support_strength,3.0,0.8482857142857144
sma_20_slope_1h,3.0,0.8525714285714286
cumulative_delta,2.8,0.8565714285714287
dist_from_swing_high_50_1d,2.8,0.8605714285714285
vpt,2.8,0.8645714285714285
sma_20_slope_4h,2.8,0.8685714285714284
mfi_14_2h,2.6,0.8722857142857142
rvol_ratio_6h,2.6,0.8759999999999999
roc_10_atr_norm_4h,2.6,0.8797142857142857
resistance_100,2.6,0.8834285714285715
rvol_ratio,2.4,0.8868571428571428
dist_from_swing_high_50_2h,2.4,0.8902857142857142
near_swing_high_alignment,2.4,0.8937142857142856
mfi_trend_adjusted,2.2,0.8968571428571428
mfi_slope_4h,2.2,0.9
rvol_ratio_4h,2.2,0.9031428571428572
