feature,importance,cumulative_importance
rsi_slope_4h,53.2,0.07600000000000001
rsi_slope_6h,51.8,0.15000000000000002
atr_normalized,37.0,0.2028571428571429
atr_normalized_1d,36.8,0.2554285714285715
dist_from_swing_high_50_4h,29.2,0.2971428571428572
rsi_slope_2h,25.8,0.3340000000000001
sma_50_slope,22.2,0.36571428571428577
dist_from_s1,21.8,0.39685714285714296
dist_from_swing_low_50_4h,19.6,0.424857142857143
dist_from_swing_low_50_6h,15.6,0.4471428571428573
sr_proximity,14.8,0.46828571428571447
rsi_slope_12h,13.2,0.4871428571428573
rsi_14,13.0,0.5057142857142859
vpt,11.8,0.5225714285714288
roc_5_atr_norm_6h,10.8,0.5380000000000003
dist_from_swing_low_50,10.4,0.552857142857143
rsi_price_divergence_cont_4h,9.0,0.5657142857142858
sma_20_slope,8.8,0.5782857142857145
adx_14,8.6,0.5905714285714287
dist_from_swing_high_50,8.4,0.6025714285714288
rsi_price_divergence_cont_12h,8.4,0.6145714285714288
dist_from_swing_high_50_2h,7.8,0.6257142857142859
rsi_14_6h,7.2,0.6360000000000001
resistance_strength,7.2,0.6462857142857145
rsi_price_divergence_cont_6h,7.2,0.6565714285714287
dist_from_r1,7.0,0.6665714285714287
roc_10_atr_norm_12h,6.8,0.6762857142857145
dist_from_swing_high_50_6h,6.8,0.6860000000000002
tr_percentile,6.8,0.695714285714286
rsi_slope_1h,6.6,0.7051428571428574
dist_from_sma_20,6.2,0.7140000000000002
price_range,6.0,0.7225714285714288
above_sma_50,5.8,0.7308571428571431
above_sma_100,5.8,0.7391428571428574
dist_from_swing_high_50_1d,5.8,0.7474285714285717
obv_ma_20,5.2,0.7548571428571431
cumulative_delta,5.2,0.7622857142857146
mfi_14_1h,5.0,0.7694285714285718
roc_10_atr_norm_1h,4.8,0.7762857142857146
rsi_slope_1d,4.6,0.7828571428571431
dist_from_swing_low_50_1h,4.6,0.7894285714285717
sma_20_slope_1d,4.6,0.7960000000000004
dist_from_vwap,4.6,0.8025714285714289
roc_10_atr_norm_4h,4.4,0.8088571428571432
hidden_divergence,4.2,0.8148571428571433
dist_from_bearish_ob,3.8,0.8202857142857146
roc_10_atr_norm_6h,3.8,0.825714285714286
dist_from_swing_low_50_2h,3.8,0.8311428571428574
obv,3.6,0.8362857142857145
sma_20_slope_1h,3.4,0.8411428571428574
roc_10_atr_adj,3.4,0.8460000000000002
nearest_support_strength,3.2,0.8505714285714289
is_pivot_low,3.2,0.8551428571428574
sma_20_slope_12h,3.0,0.8594285714285718
vwap_distance_weighted,2.8,0.8634285714285717
support_strength,2.8,0.8674285714285717
support_touch_count,2.8,0.8714285714285716
ad_line_ma_20,2.8,0.8754285714285716
choppiness_14,2.6,0.8791428571428572
roc_10_atr_norm_1d,2.6,0.882857142857143
above_sma_20_4h,2.4,0.8862857142857143
vpt_ma_20,2.4,0.8897142857142858
mfi_14_6h,2.4,0.8931428571428572
dist_from_swing_high_50_1h,2.2,0.8962857142857144
mfi_slope_1d,2.2,0.8994285714285716
ad_line,2.0,0.9022857142857145
mfi_slope_6h,2.0,0.9051428571428574
rvol_ratio_4h,1.8,0.9077142857142858
resistance_touch_count,1.8,0.9102857142857144
