feature,importance,cumulative_importance
rsi_slope_4h,59.8,0.08542857142857142
rsi_slope_2h,49.0,0.15542857142857142
rsi_price_divergence_cont_4h,30.8,0.19942857142857143
atr_normalized,27.4,0.23857142857142857
rsi_slope_12h,23.0,0.2714285714285714
atr_normalized_4h,22.2,0.3031428571428571
dist_from_r1,19.8,0.3314285714285714
sma_20_slope,17.0,0.3557142857142857
dist_from_swing_low_50_4h,15.2,0.3774285714285714
roc_5_atr_norm_12h,14.6,0.3982857142857143
dist_from_swing_high_50_4h,13.4,0.4174285714285714
sma_50_slope,13.2,0.4362857142857143
dist_from_swing_low_50,11.0,0.45199999999999996
rsi_slope_1h,11.0,0.4677142857142857
hidden_divergence,10.8,0.48314285714285715
dist_from_swing_high_50,10.2,0.49771428571428566
rsi_14_1d,8.8,0.5102857142857142
hl_spread,8.6,0.5225714285714286
roc_10_atr_norm_4h,8.6,0.5348571428571429
dist_from_s1,8.4,0.5468571428571428
rsi_14_2h,7.8,0.558
roc_10_atr_norm_12h,7.4,0.5685714285714286
vpt,7.4,0.5791428571428571
dist_from_bullish_ob,7.2,0.5894285714285714
resistance_volume_interaction,7.2,0.5997142857142856
rsi_14,6.8,0.6094285714285714
rsi_slope_1d,6.8,0.6191428571428571
volatility_clustering,6.8,0.6288571428571429
resistance_strength,6.4,0.6379999999999999
rsi_price_divergence_cont_2h,6.0,0.6465714285714286
dist_from_swing_low_50_1d,6.0,0.6551428571428571
dist_from_swing_high_50_2h,6.0,0.6637142857142857
dist_from_swing_low_50_2h,6.0,0.6722857142857143
ad_line_ma_20,5.6,0.6802857142857143
dist_from_swing_high_50_12h,5.4,0.688
sma_20_slope_1h,5.4,0.6957142857142856
obv_ma_20,5.2,0.7031428571428571
dist_from_sma_20,5.2,0.7105714285714284
rsi_price_divergence_cont_12h,4.8,0.7174285714285713
rsi_volatility,4.0,0.7231428571428571
bbw_squeeze,3.8,0.7285714285714285
sma_20_slope_2h,3.8,0.734
resistance_touch_count,3.8,0.7394285714285713
above_sma_100,3.8,0.7448571428571427
cumulative_delta,3.8,0.750285714285714
dist_from_sma_50_2h,3.6,0.7554285714285712
dist_from_swing_high_50_1h,3.6,0.7605714285714283
mfi_slope_4h,3.4,0.7654285714285712
vpt_ma_20,3.4,0.770285714285714
mfi_slope_2h,3.4,0.7751428571428568
vwap_rsi_interaction,3.2,0.7797142857142855
mfi_trend_adjusted,3.2,0.7842857142857141
obv,3.2,0.7888571428571428
dist_from_swing_high_50_1d,3.2,0.7934285714285714
roc_10_atr_norm_2h,3.2,0.798
dist_from_vwap,3.0,0.8022857142857143
nearest_resistance_strength,3.0,0.8065714285714286
dist_from_swing_low_50_12h,3.0,0.8108571428571429
buy_sell_imbalance_20,3.0,0.8151428571428572
double_top_strength,3.0,0.8194285714285715
nearest_support_strength,2.8,0.8234285714285714
money_flow_ratio,2.8,0.8274285714285713
adx_14,2.8,0.8314285714285713
momentum_strength_score,2.8,0.8354285714285712
ict_composite_score_ma_10,2.6,0.839142857142857
cmf_20,2.4,0.8425714285714283
support_touch_count,2.4,0.8459999999999998
dist_from_bearish_ob,2.4,0.8494285714285711
dist_from_swing_low_50_1h,2.4,0.8528571428571425
rvol_ratio,2.4,0.856285714285714
