feature,importance,cumulative_importance
rsi_slope_4h,53.2,0.076
rsi_slope_2h,46.6,0.1425714285714286
atr_normalized_4h,37.0,0.19542857142857145
rsi_slope_12h,23.6,0.22914285714285715
rsi_price_divergence_cont_4h,23.6,0.26285714285714284
atr_normalized,21.6,0.2937142857142857
rsi_14,17.6,0.31885714285714284
dist_from_swing_high_50,15.4,0.34085714285714286
dist_from_swing_high_50_4h,14.6,0.3617142857142857
dist_from_swing_low_50,14.2,0.38199999999999995
cumulative_delta,11.2,0.39799999999999996
dist_from_swing_high_50_2h,11.0,0.41371428571428565
support_volume_interaction,10.0,0.42799999999999994
dist_from_bearish_ob,9.8,0.44199999999999995
adx_14,9.6,0.45571428571428574
sma_50_slope,9.6,0.4694285714285715
roc_10_atr_norm_4h,9.4,0.4828571428571429
dist_from_swing_low_50_4h,9.2,0.496
support_strength,8.6,0.5082857142857143
hidden_divergence,8.2,0.52
dist_from_vwap,7.6,0.5308571428571429
sma_20_slope,7.6,0.5417142857142858
rsi_slope_1h,7.4,0.5522857142857143
rsi_14_2h,7.0,0.5622857142857143
ad_line,6.6,0.5717142857142857
sma_20_slope_1h,6.4,0.5808571428571428
dist_from_r1,6.2,0.5897142857142857
dist_from_sma_50_2h,6.0,0.5982857142857143
dist_from_sma_20,6.0,0.6068571428571429
mfi_slope_2h,6.0,0.6154285714285714
atr_normalized_1d,5.4,0.6231428571428571
roc_10_atr_norm_1d,5.2,0.6305714285714286
sr_strength,5.2,0.6379999999999999
mfi_slope_12h,5.2,0.6454285714285714
obv,5.2,0.6528571428571428
roc_10_atr_adj,5.2,0.6602857142857141
rsi_slope_1d,5.2,0.6677142857142856
dist_from_s1,5.0,0.6748571428571427
roc_5_atr_norm_12h,5.0,0.6819999999999999
roc_10_atr_norm_1h,4.8,0.6888571428571427
dist_from_swing_low_50_1h,4.8,0.6957142857142856
rsi_price_divergence_cont_2h,4.8,0.7025714285714285
mfi_14_1h,4.8,0.7094285714285714
rvol_ratio_4h,4.8,0.7162857142857143
roc_10_atr_norm_12h,4.6,0.7228571428571429
vpt,4.6,0.7294285714285714
mfi_slope_4h,4.6,0.7360000000000001
rsi_price_divergence_cont_1d,4.6,0.7425714285714287
sma_20_slope_4h,4.6,0.7491428571428572
double_bottom_strength,4.6,0.7557142857142859
rsi_price_divergence_cont_12h,4.4,0.7620000000000001
dist_from_swing_low_50_12h,4.2,0.7680000000000002
mfi_trend_adjusted,4.0,0.7737142857142859
ad_line_ma_20,4.0,0.7794285714285716
double_top_strength,3.8,0.784857142857143
rvol_ratio_1d,3.8,0.7902857142857144
sma_50_slope_1d,3.8,0.7957142857142857
higher_highs_count_20,3.6,0.8008571428571429
dist_from_swing_low_50_2h,3.6,0.806
volume_delta_positive,3.4,0.8108571428571429
hl_spread,3.4,0.8157142857142857
bbw_squeeze,3.2,0.8202857142857144
is_pivot_high,3.0,0.8245714285714286
mfi_14_4h,2.8,0.8285714285714286
ict_composite_score_ma_10,2.8,0.8325714285714285
sma_20_slope_12h,2.8,0.8365714285714284
double_top_candles_between,2.8,0.8405714285714284
support_touch_count,2.8,0.8445714285714283
rvol_ratio_12h,2.8,0.8485714285714282
obv_ma_20,2.8,0.8525714285714282
pivot_volume_interaction,2.6,0.856285714285714
mfi_14_2h,2.6,0.8599999999999997
dist_from_swing_high_50_12h,2.6,0.8637142857142854
roc_10_atr_norm_2h,2.6,0.8674285714285712
sma_50_slope_4h,2.4,0.8708571428571426
sma_20_slope_1d,2.4,0.874285714285714
dist_from_bullish_ob,2.4,0.8777142857142853
price_range,2.4,0.8811428571428568
dist_from_swing_high_50_1h,2.2,0.884285714285714
obv_divergence,2.2,0.8874285714285711
momentum_strength_score,2.2,0.8905714285714283
above_sma_50,2.2,0.8937142857142856
rvol_ratio_2h,2.2,0.8968571428571428
resistance_strength,2.0,0.8997142857142857
choppiness_14,2.0,0.9025714285714285
multi_factor_sentiment,2.0,0.9054285714285714
mfi_14_1d,1.8,0.9079999999999999
mfi_slope_1h,1.8,0.9105714285714284
buy_sell_ratio_ma20,1.8,0.9131428571428569
double_bottom_recency,1.8,0.9157142857142854
vwap_rsi_interaction,1.8,0.9182857142857139
rvol_ratio_1h,1.8,0.9208571428571424
volatility_clustering,1.6,0.9231428571428567
tr_percentile,1.6,0.925428571428571
vpt_ma_20,1.6,0.9277142857142854
resistance_touch_count,1.6,0.9299999999999997
mfi_slope_1d,1.6,0.9322857142857139
bars_since_last_ob,1.4,0.9342857142857139
dist_from_swing_high_50_1d,1.4,0.9362857142857139
volume_volatility_interaction,1.4,0.938285714285714
market_state_indicator,1.4,0.9402857142857138
net_buy_sell_pressure,1.4,0.9422857142857138
nearest_resistance_strength,1.4,0.9442857142857138
buy_sell_ratio,1.2,0.9459999999999996
resistance_bounce_ratio,1.2,0.9477142857142854
rvol_ratio,1.2,0.9494285714285712
r1,1.2,0.951142857142857
volatility_regime,1.2,0.9528571428571427
mfi_14,1.2,0.9545714285714285
dist_from_swing_low_50_1d,1.2,0.9562857142857143
market_structure_direction,1.2,0.9580000000000001
sma_20_slope_2h,1.2,0.9597142857142859
money_flow_ratio,1.0,0.9611428571428572
rsi_volatility,1.0,0.9625714285714286
is_pivot_low,1.0,0.9640000000000001
dist_from_nearest_support_pivot,1.0,0.9654285714285715
vwap_distance_weighted,1.0,0.966857142857143
bbw,1.0,0.9682857142857144
nearest_support_strength,1.0,0.9697142857142859
support_bounce_ratio,0.8,0.9708571428571429
trend_consistency_20,0.8,0.972
double_bottom_candles_between,0.8,0.9731428571428571
above_sma_20_4h,0.8,0.9742857142857141
