feature,importance,cumulative_importance
rsi_slope_2h,72.8,0.104
rsi_slope_4h,43.0,0.16542857142857142
atr_normalized,27.6,0.20485714285714288
sma_20_slope,18.4,0.23114285714285715
rsi_14,16.4,0.2545714285714286
rsi_slope_1h,15.8,0.2771428571428572
rsi_price_divergence_cont_4h,15.6,0.2994285714285715
rsi_slope_12h,14.0,0.31942857142857145
hidden_divergence,13.6,0.33885714285714286
dist_from_sma_20,13.2,0.3577142857142857
dist_from_r1,13.0,0.3762857142857143
dist_from_bullish_ob,12.2,0.3937142857142857
atr_normalized_4h,12.0,0.4108571428571428
roc_10_atr_norm_2h,11.4,0.42714285714285705
rsi_14_2h,11.0,0.4428571428571428
dist_from_swing_low_50_1h,10.6,0.45799999999999996
dist_from_swing_high_50,10.0,0.47228571428571425
dist_from_swing_low_50,10.0,0.48657142857142854
roc_10_atr_norm_4h,9.8,0.5005714285714286
dist_from_swing_low_50_4h,8.4,0.5125714285714285
dist_from_swing_low_50_2h,8.4,0.5245714285714285
dist_from_swing_high_50_4h,8.0,0.5359999999999999
rsi_price_divergence_cont_2h,8.0,0.5474285714285714
roc_5_atr_norm_12h,7.8,0.5585714285714285
bbw_squeeze,7.6,0.5694285714285714
cumulative_delta,7.6,0.5802857142857143
dist_from_swing_high_50_12h,7.6,0.5911428571428572
nearest_resistance_strength,6.8,0.6008571428571429
higher_lows_count_20,6.6,0.6102857142857143
bbw,6.2,0.6191428571428572
sma_50_slope,6.2,0.628
dist_from_swing_low_50_12h,6.0,0.6365714285714286
mfi_trend_adjusted,5.8,0.6448571428571429
dist_from_swing_high_50_2h,5.6,0.6528571428571429
rsi_14_12h,5.6,0.6608571428571429
vwap_distance_weighted,5.6,0.668857142857143
dist_from_vwap,5.4,0.6765714285714287
higher_highs_count_20,5.4,0.6842857142857144
dist_from_s1,4.8,0.6911428571428573
dist_from_swing_low_50_1d,4.8,0.6980000000000001
roc_10_atr_adj,4.6,0.7045714285714287
dist_from_bearish_ob,4.4,0.710857142857143
sma_20_slope_1h,4.2,0.716857142857143
resistance_strength,4.0,0.7225714285714286
stoch_k,4.0,0.7282857142857144
adx_14,4.0,0.7340000000000001
buy_sell_imbalance_20,4.0,0.7397142857142858
rvol_ratio,4.0,0.7454285714285716
choppiness_14,3.8,0.7508571428571429
ict_composite_score_ma_10,3.8,0.7562857142857142
above_sma_50,3.8,0.7617142857142856
mfi_slope_2h,3.6,0.7668571428571428
double_bottom_strength,3.6,0.772
resistance_100,3.4,0.7768571428571428
rvol_ratio_4h,3.4,0.7817142857142856
obv_ma_20,3.4,0.7865714285714285
rsi_price_divergence_cont_1h,3.2,0.791142857142857
dist_from_sma_20_1h,3.2,0.7957142857142857
rsi_price_divergence_cont_12h,3.2,0.8002857142857144
vpt,3.2,0.8048571428571429
tr_percentile,3.0,0.8091428571428573
hl_spread,3.0,0.8134285714285716
obv,3.0,0.8177142857142858
mfi_slope_1d,3.0,0.8220000000000002
double_top_strength,2.8,0.8260000000000001
mfi_14_1d,2.8,0.83
dist_from_nearest_resistance_pivot,2.8,0.834
resistance_volume_interaction,2.8,0.8379999999999999
atr_normalized_1d,2.8,0.8419999999999999
mfi_slope_12h,2.6,0.8457142857142855
is_pivot_high,2.6,0.8494285714285713
buy_sell_ratio_ma20,2.6,0.8531428571428571
vpt_ma_20,2.6,0.8568571428571428
double_bottom_candles_between,2.6,0.8605714285714285
support_strength,2.4,0.864
roc_10_atr_norm_12h,2.4,0.8674285714285713
dist_from_swing_high_50_1h,2.4,0.8708571428571428
roc_5_atr_norm_1h,2.4,0.8742857142857141
mfi_14_12h,2.4,0.8777142857142856
double_bottom_recency,2.4,0.8811428571428569
mfi_14_2h,2.4,0.8845714285714283
mfi_14,2.4,0.8879999999999997
rsi_volatility,2.2,0.8911428571428569
vwap_rsi_interaction,2.2,0.8942857142857141
sma_50_slope_4h,2.2,0.8974285714285714
rvol_ratio_2h,2.0,0.9002857142857141
ad_line,2.0,0.903142857142857
rvol_ratio_12h,2.0,0.9059999999999999
is_pivot_low,2.0,0.9088571428571428
money_flow_ratio,1.8,0.9114285714285713
volume_delta_negative,1.8,0.9139999999999998
nearest_support_strength,1.8,0.9165714285714283
mfi_slope_4h,1.6,0.9188571428571426
obv_divergence,1.6,0.9211428571428569
support_bounce_ratio,1.6,0.9234285714285713
resistance_bounce_ratio,1.6,0.9257142857142856
volume_acceleration_ma,1.6,0.9279999999999998
rsi_price_divergence_cont_1d,1.6,0.9302857142857142
bars_since_last_ob,1.6,0.9325714285714285
above_sma_20_2h,1.6,0.9348571428571428
dist_from_swing_high_50_1d,1.6,0.9371428571428572
rsi_spread,1.6,0.9394285714285715
rsi_slope_1d,1.4,0.9414285714285714
atr_normalized_12h,1.4,0.9434285714285714
ad_line_ma_20,1.4,0.9454285714285714
double_top_recency,1.4,0.9474285714285713
momentum_strength_ratio,1.4,0.9494285714285713
double_top_candles_between,1.4,0.9514285714285713
momentum_strength_score,1.2,0.9531428571428571
dist_from_nearest_support_pivot,1.2,0.9548571428571428
rvol_ratio_1h,1.2,0.9565714285714286
sma_20_slope_12h,1.2,0.9582857142857144
above_sma_20_4h,1.2,0.9600000000000002
bars_since_last_sweep,1.2,0.961714285714286
price_change_autocorr,1.0,0.9631428571428574
rvol_ratio_1d,1.0,0.9645714285714287
net_buy_sell_pressure,1.0,0.9660000000000002
sma_50_slope_1d,1.0,0.9674285714285716
market_structure_direction,1.0,0.9688571428571431
cmf_20,1.0,0.9702857142857145
mfi_14_4h,1.0,0.971714285714286
roc_10_atr_norm_1d,0.8,0.972857142857143
trend_consistency_10,0.8,0.9740000000000001
sma_20_slope_2h,0.8,0.9751428571428572
support_touch_count,0.8,0.9762857142857142
mfi_slope_1h,0.8,0.9774285714285713
volume_delta_positive,0.8,0.9785714285714284
pivot_volume_interaction,0.8,0.9797142857142855
mfi_14_1h,0.8,0.9808571428571425
bullish_volume_count,0.8,0.9819999999999997
sma_20_slope_1d,0.8,0.9831428571428568
sma_20_slope_4h,0.6,0.9839999999999997
multi_factor_sentiment,0.6,0.9848571428571425
volume_vs_ma_20,0.6,0.9857142857142854
volume_per_price_unit,0.6,0.9865714285714283
momentum_alignment_score,0.6,0.9874285714285712
sr_strength,0.6,0.9882857142857141
trend_consistency_20,0.6,0.989142857142857
momentum_consensus,0.4,0.9897142857142854
support_volume_interaction,0.4,0.990285714285714
price_range,0.4,0.9908571428571425
roc_10_atr_norm_1h,0.4,0.9914285714285711
bbw_volume_interaction,0.4,0.9919999999999997
tape_speed_20,0.4,0.9925714285714282
