feature,importance,cumulative_importance
rsi_slope_2h,50.8,0.07257142857142856
rsi_slope_4h,31.4,0.11742857142857141
rsi_price_divergence_cont_4h,26.0,0.15457142857142855
atr_normalized_4h,24.2,0.1891428571428571
dist_from_swing_high_50,23.0,0.22199999999999998
rsi_slope_1h,22.4,0.25399999999999995
rsi_slope_12h,19.0,0.28114285714285714
sma_20_slope,18.8,0.308
atr_normalized,16.8,0.332
dist_from_swing_high_50_2h,16.4,0.3554285714285714
rsi_14_2h,14.2,0.3757142857142857
hidden_divergence,13.8,0.39542857142857146
dist_from_swing_low_50,13.0,0.41400000000000003
vpt,12.8,0.43228571428571433
rsi_14,11.8,0.4491428571428572
dist_from_swing_high_50_4h,10.8,0.46457142857142864
dist_from_swing_low_50_2h,10.8,0.4800000000000001
dist_from_s1,10.4,0.4948571428571429
roc_10_atr_norm_2h,9.8,0.5088571428571429
sma_50_slope,9.2,0.522
choppiness_14,8.0,0.5334285714285715
atr_normalized_12h,7.8,0.5445714285714286
ict_composite_score_ma_10,7.4,0.5551428571428572
dist_from_swing_low_50_4h,7.4,0.5657142857142857
dist_from_bearish_ob,6.6,0.5751428571428572
roc_5_atr_norm_12h,6.6,0.5845714285714286
dist_from_bullish_ob,6.4,0.5937142857142857
adx_14,6.2,0.6025714285714285
rsi_price_divergence_cont_2h,6.2,0.6114285714285714
ad_line,6.2,0.6202857142857142
cumulative_delta,6.0,0.6288571428571429
dist_from_vwap,6.0,0.6374285714285715
dist_from_sma_20,6.0,0.646
rsi_slope_1d,5.8,0.6542857142857142
vpt_ma_20,5.6,0.6622857142857144
roc_10_atr_norm_1d,5.4,0.67
support_strength,5.4,0.6777142857142857
roc_10_atr_adj,5.4,0.6854285714285714
support_volume_interaction,5.4,0.6931428571428571
sma_50_slope_4h,5.2,0.7005714285714285
dist_from_nearest_support_pivot,5.0,0.7077142857142856
rsi_14_12h,5.0,0.7148571428571427
mfi_14_2h,4.8,0.7217142857142856
buy_sell_ratio_ma20,4.8,0.7285714285714285
roc_10_atr_norm_4h,4.4,0.7348571428571429
hl_spread,4.4,0.7411428571428571
is_pivot_high,4.4,0.7474285714285713
sma_20_slope_12h,3.8,0.7528571428571427
mfi_slope_2h,3.8,0.758285714285714
market_structure_direction,3.8,0.7637142857142855
dist_from_r1,3.6,0.7688571428571426
dist_from_sma_20_1h,3.6,0.7739999999999998
nearest_support_strength,3.6,0.7791428571428569
money_flow_ratio,3.4,0.7839999999999998
dist_from_swing_high_50_1h,3.2,0.7885714285714284
rsi_price_divergence_cont_12h,3.2,0.793142857142857
is_pivot_low,3.2,0.7977142857142857
rsi_price_divergence_cont_1h,3.0,0.8019999999999999
bbw_squeeze,3.0,0.8062857142857143
mfi_14_1h,3.0,0.8105714285714285
