feature,ks_statistic,p_value,has_drift,set
atr_normalized_1d,0.45207054821652887,0.0,True,calibration
dist_from_swing_high_50_4h,0.22020416126033548,0.0,True,calibration
nearest_resistance_strength,0.19194608680778386,2.269959042915552e-265,True,calibration
dist_from_swing_low_50_4h,0.15492173601039713,1.6021033818944464e-172,True,calibration
dist_from_sma_20_12h,0.15162572292157556,3.065015628518035e-165,True,calibration
atr_normalized,0.14169002740164205,2.9567219839812283e-144,True,calibration
dist_from_r1,0.13183789035985408,7.08601400010883e-125,True,calibration
dist_from_sma_20_4h,0.12052251520308038,2.2919421314249363e-104,True,calibration
dist_from_swing_low_50_12h,0.11373305856963085,5.919538677609337e-93,True,calibration
sma_50_slope_1h,0.0978854179863844,6.447556927526287e-69,True,calibration
rsi_slope_1d,0.0915804234666493,2.3063182943601376e-60,True,calibration
rsi_slope_12h,0.06323781443854365,5.547144590995521e-29,True,calibration
sma_20_slope_1h,0.061268258707871684,3.1340574159732965e-27,True,calibration
roc_5_atr_norm_4h,0.06113491472191063,4.099348039237816e-27,True,calibration
sr_proximity,0.05404515150579914,2.7913185815469706e-21,True,calibration
sma_50_slope,0.051474337931514846,2.4161929718085845e-19,True,calibration
dist_from_swing_low_50,0.04562303348719621,2.7542918798018765e-15,True,calibration
rsi_price_divergence_cont_4h,0.03511781009940479,3.127755637572683e-09,True,calibration
rsi_slope_1h,0.021150373744065698,0.001273626856259596,True,calibration
rsi_slope_4h,0.018409428661494143,0.007569929155963647,True,calibration
atr_normalized_1d,0.13594480991218016,6.491708156109106e-128,True,holdout
dist_from_swing_low_50_12h,0.1120425758979976,6.484814186833812e-87,True,holdout
dist_from_swing_low_50_4h,0.09774108403093151,3.333776728873693e-66,True,holdout
atr_normalized,0.0961984851397476,3.8607127466571466e-64,True,holdout
dist_from_sma_20_12h,0.08989280155090107,4.77089026070862e-56,True,holdout
dist_from_swing_high_50_4h,0.07566946283702009,8.037569902324311e-40,True,holdout
sr_proximity,0.07299163516884316,4.432203601964582e-37,True,holdout
rsi_slope_1d,0.06570608191323768,4.012824133184235e-30,True,holdout
nearest_resistance_strength,0.06274785103692643,1.6551188296639885e-27,True,holdout
dist_from_swing_low_50,0.06230393809580709,3.989012420379166e-27,True,holdout
roc_5_atr_norm_4h,0.060704540588325306,9.010820295380835e-26,True,holdout
rsi_slope_12h,0.0582744236536471,8.7961465589267e-24,True,holdout
dist_from_sma_20_4h,0.05800662289010283,1.4406380267014005e-23,True,holdout
sma_20_slope_1h,0.05004461530599813,1.1938233039267258e-17,True,holdout
rsi_price_divergence_cont_4h,0.04701461537845858,1.2579671656526981e-15,True,holdout
sma_50_slope,0.04083841823739015,6.777924486418679e-12,True,holdout
sma_50_slope_1h,0.03378312362647673,2.825586113880063e-08,True,holdout
rsi_slope_4h,0.03223767841090419,1.4210924315431958e-07,True,holdout
dist_from_r1,0.021697947582260513,0.00115098657218525,True,holdout
rsi_slope_1h,0.014978656592667505,0.05698478989187716,False,holdout
