feature,ks_statistic,p_value,has_drift,set
atr_normalized_1d,0.45156375071546667,0.0,True,calibration
dist_from_swing_high_50_4h,0.22812150430234857,0.0,True,calibration
tr_percentile,0.5511605851323818,0.0,True,calibration
dist_from_bullish_ob,0.2938362624903771,0.0,True,calibration
dist_from_swing_low_50_4h,0.16514945844329948,1.0023861487060675e-189,True,calibration
dist_from_sma_20_12h,0.15566530248318505,1.7079545017865119e-168,True,calibration
atr_normalized,0.14595049466064125,4.477581697425571e-148,True,calibration
dist_from_sma_20_4h,0.12458383801095857,7.120673854694198e-108,True,calibration
roc_5_atr_norm_12h,0.12265521956021475,1.4591846572194945e-104,True,calibration
sma_50_slope_1h,0.09661067875334672,5.893492569760242e-65,True,calibration
dist_from_swing_high_50,0.09042802878189332,6.003356923696083e-57,True,calibration
roc_5_atr_norm_4h,0.07421174129229546,1.785483273102684e-38,True,calibration
rsi_slope_12h,0.059587609243225925,5.990427817777158e-25,True,calibration
roc_10_atr_norm_1h,0.05504790901768164,2.3604892049195974e-21,True,calibration
sma_50_slope,0.05425304738808048,9.401206981761349e-21,True,calibration
vpt_ma_20,0.032091788091067386,1.5403577003022145e-07,True,calibration
dist_from_s1,0.030535439764507122,7.25365468136401e-07,True,calibration
rsi_price_divergence_cont_4h,0.0234229871402466,0.0003237191864126037,True,calibration
rsi_slope_4h,0.023321837673335732,0.0003489902810365542,True,calibration
rsi_slope_1h,0.017656296476057487,0.013991061456817675,True,calibration
tr_percentile,0.5599507691195496,0.0,True,holdout
dist_from_bullish_ob,0.20979555293670593,7.247964945199754e-305,True,holdout
atr_normalized_1d,0.1346048280201036,5.038631135868282e-125,True,holdout
dist_from_swing_low_50_4h,0.08701572942776925,2.2146962771319268e-52,True,holdout
atr_normalized,0.08521090917668106,3.0281176149888887e-50,True,holdout
dist_from_sma_20_12h,0.07583450357263133,7.127720817976174e-40,True,holdout
dist_from_swing_high_50_4h,0.07155520391433823,1.5246811421784305e-35,True,holdout
roc_5_atr_norm_12h,0.06515952871294717,1.5288103655891463e-29,True,holdout
roc_10_atr_norm_1h,0.06269252250692064,2.2315072477276186e-27,True,holdout
vpt_ma_20,0.06126899120762319,3.6249788932702824e-26,True,holdout
rsi_slope_12h,0.0601102428214324,3.3436835952090384e-25,True,holdout
dist_from_sma_20_4h,0.057207981031147104,7.24322284091243e-23,True,holdout
sma_50_slope,0.04792820158295896,3.5564751475085793e-16,True,holdout
rsi_slope_4h,0.04662199370372422,2.4994638483153898e-15,True,holdout
roc_5_atr_norm_4h,0.045633108196228234,1.0552753608863193e-14,True,holdout
sma_50_slope_1h,0.03917380050320596,6.010974796227151e-11,True,holdout
dist_from_s1,0.03881934566311196,9.299475935338167e-11,True,holdout
rsi_price_divergence_cont_4h,0.03356647342386948,3.7577212961711356e-08,True,holdout
dist_from_swing_high_50,0.023969141309982622,0.00022903987169135636,True,holdout
rsi_slope_1h,0.020682612964312175,0.0023220070248684966,True,holdout
