feature,importance,cumulative_importance
rsi_slope_4h,62.0,0.08857142857142856
atr_normalized_1d,38.4,0.14342857142857143
rsi_slope_12h,33.0,0.19057142857142859
dist_from_sma_20_12h,31.2,0.23514285714285713
atr_normalized,29.6,0.2774285714285714
dist_from_sma_20_4h,24.6,0.31257142857142856
rsi_price_divergence_cont_4h,22.8,0.34514285714285714
roc_5_atr_norm_4h,22.6,0.3774285714285714
dist_from_swing_low_50_4h,16.8,0.4014285714285714
dist_from_s1,16.0,0.42428571428571427
sma_50_slope_1h,15.0,0.44571428571428573
dist_from_swing_high_50_4h,14.8,0.46685714285714286
sma_50_slope,14.8,0.48800000000000004
rsi_slope_1h,13.4,0.5071428571428571
tr_percentile,10.6,0.5222857142857144
dist_from_swing_high_50,10.4,0.5371428571428571
roc_5_atr_norm_12h,9.8,0.5511428571428572
roc_10_atr_norm_1h,9.2,0.5642857142857143
vpt_ma_20,8.6,0.5765714285714286
dist_from_bullish_ob,8.4,0.5885714285714285
rsi_slope_1d,8.2,0.6002857142857143
adx_14,8.0,0.6117142857142857
vpt,8.0,0.6231428571428571
sr_proximity,7.2,0.6334285714285713
sma_20_slope_1h,6.8,0.6431428571428571
resistance_100,6.6,0.6525714285714286
support_touch_count,6.2,0.6614285714285715
rsi_price_divergence_cont_12h,6.0,0.67
rvol_ratio_1h,6.0,0.6785714285714286
cumulative_delta,6.0,0.6871428571428572
resistance_touch_count,5.8,0.6954285714285714
above_sma_100,5.8,0.7037142857142857
dist_from_vwap,5.8,0.7120000000000001
rsi_price_divergence_cont_1h,5.6,0.7200000000000001
price_range,5.4,0.7277142857142858
hidden_divergence,5.4,0.7354285714285715
dist_from_swing_high_50_1h,5.4,0.7431428571428572
dist_from_r1,5.2,0.7505714285714287
dist_from_bearish_ob,5.2,0.7580000000000002
nearest_support_strength,5.0,0.7651428571428573
sma_50_slope_4h,4.8,0.7720000000000001
dist_from_sma_20,4.8,0.7788571428571429
dist_from_swing_high_50_1d,4.4,0.7851428571428571
mfi_slope_1d,4.4,0.7914285714285715
rvol_ratio,4.2,0.7974285714285715
pivot_volume_interaction,4.0,0.8031428571428572
liquidity_void_depth,4.0,0.8088571428571429
ad_line_ma_20,3.8,0.8142857142857143
mfi_14_4h,3.6,0.8194285714285715
sma_20_slope_4h,3.4,0.8242857142857143
money_flow_ratio,3.4,0.8291428571428571
rvol_ratio_1d,3.4,0.834
mfi_14_1d,3.4,0.8388571428571427
ict_composite_score_ma_10,3.4,0.8437142857142856
dist_from_swing_low_50,3.4,0.8485714285714284
dist_from_swing_high_50_12h,3.0,0.8528571428571426
dist_from_swing_low_50_12h,3.0,0.857142857142857
nearest_resistance_strength,3.0,0.8614285714285713
double_top_candles_between,3.0,0.8657142857142855
sma_20_slope,2.8,0.8697142857142854
resistance_strength,2.8,0.8737142857142854
dist_from_swing_low_50_1h,2.8,0.8777142857142853
dist_from_swing_low_50_1d,2.8,0.8817142857142853
sma_20_slope_1d,2.8,0.8857142857142852
above_sma_50,2.8,0.8897142857142851
mfi_slope_12h,2.6,0.8934285714285709
double_top_strength,2.6,0.8971428571428567
hl_spread,2.6,0.9008571428571424
mfi_slope_4h,2.4,0.9042857142857138
tape_speed_20,2.4,0.9077142857142851
mfi_14_12h,2.2,0.9108571428571424
vwap_distance_weighted,2.2,0.9139999999999996
roc_10_atr_norm_4h,2.2,0.9171428571428568
rsi_price_divergence_cont_1d,2.2,0.920285714285714
sma_50_slope_1d,2.0,0.9231428571428569
rsi_14_4h,2.0,0.9259999999999997
rsi_14_1d,2.0,0.9288571428571426
mfi_14_1h,2.0,0.9317142857142855
roc_10_atr_adj,2.0,0.9345714285714283
is_pivot_low,2.0,0.9374285714285712
buy_sell_ratio_ma20,1.8,0.9399999999999997
volume_delta_positive,1.8,0.9425714285714282
obv,1.8,0.9451428571428567
sr_strength,1.6,0.947428571428571
support_strength,1.6,0.9497142857142853
double_bottom_strength,1.6,0.9519999999999996
sma_20_slope_12h,1.6,0.954285714285714
rvol_ratio_4h,1.6,0.9565714285714283
ad_line,1.6,0.9588571428571426
rsi_14,1.4,0.9608571428571425
roc_10_atr_norm_12h,1.4,0.9628571428571425
rsi_14_1h,1.2,0.9645714285714283
buy_sell_imbalance_20,1.2,0.9662857142857141
mfi_14,1.2,0.9679999999999999
vwap_rsi_interaction,1.2,0.9697142857142856
rvol_ratio_12h,1.2,0.9714285714285714
choppiness_14,1.0,0.9728571428571429
obv_ma_20,1.0,0.9742857142857143
price_change_autocorr,1.0,0.9757142857142858
momentum_alignment_score,0.8,0.9768571428571428
support_volume_interaction,0.8,0.9779999999999999
bbw,0.8,0.979142857142857
double_bottom_candles_between,0.8,0.980285714285714
multi_factor_sentiment,0.8,0.9814285714285711
bullish_volume_count,0.8,0.9825714285714282
above_sma_50_1h,0.6,0.9834285714285711
volume_per_price_unit,0.6,0.984285714285714
volatility_regime,0.6,0.9851428571428569
bbw_squeeze,0.6,0.9859999999999998
volatility_clustering,0.6,0.9868571428571427
rsi_volatility,0.6,0.9877142857142855
resistance_bounce_ratio,0.6,0.9885714285714284
net_buy_sell_pressure,0.6,0.9894285714285713
dist_from_sma_20_1h,0.4,0.9899999999999999
volume_acceleration_ma,0.4,0.9905714285714283
is_pivot_high,0.4,0.9911428571428569
trend_alignment_score,0.4,0.9917142857142854
bars_since_last_ob,0.4,0.992285714285714
bars_since_last_sweep,0.4,0.9928571428571425
roc_10_atr_norm_1d,0.4,0.9934285714285711
double_top_recency,0.4,0.9939999999999997
momentum_strength_score,0.4,0.9945714285714281
mfi_trend_adjusted,0.4,0.9951428571428567
support_bounce_ratio,0.4,0.9957142857142852
recent_fvg_bullish,0.2,0.9959999999999996
above_sma_100_1h,0.2,0.9962857142857139
volatility_momentum,0.2,0.9965714285714283
trend_consistency_10,0.2,0.9968571428571427
multi_tf_momentum_strength,0.2,0.997142857142857
cmf_20,0.2,0.9974285714285713
mfi_slope_1h,0.2,0.9977142857142857
near_support_100,0.2,0.998
rsi_spread,0.2,0.9982857142857143
obv_divergence,0.2,0.9985714285714288
mtf_trend_alignment_score,0.2,0.9988571428571431
dist_from_nearest_resistance_pivot,0.2,0.9991428571428574
dist_from_nearest_support_pivot,0.2,0.9994285714285718
near_swing_high_alignment,0.2,0.9997142857142861
stoch_k,0.2,1.0000000000000004
oversold_overbought_signal,0.0,1.0000000000000004
rsi_vol_concordance,0.0,1.0000000000000004
vol_price_alignment,0.0,1.0000000000000004
liquidity_sweep,0.0,1.0000000000000004
recent_fvg_bearish,0.0,1.0000000000000004
fvg_size,0.0,1.0000000000000004
fvg_signal,0.0,1.0000000000000004
market_state_indicator,0.0,1.0000000000000004
liquidity_sweep_with_volume,0.0,1.0000000000000004
in_liquidity_void,0.0,1.0000000000000004
order_block_strength,0.0,1.0000000000000004
order_block,0.0,1.0000000000000004
institutional_candle_strength,0.0,1.0000000000000004
institutional_candle,0.0,1.0000000000000004
breaker_strength,0.0,1.0000000000000004
breaker_block,0.0,1.0000000000000004
bars_since_mss,0.0,1.0000000000000004
liquidity_sweep_strength,0.0,1.0000000000000004
ict_composite_score,0.0,1.0000000000000004
market_structure_direction,0.0,1.0000000000000004
testing_bearish_ob,0.0,1.0000000000000004
market_structure_shift,0.0,1.0000000000000004
testing_bullish_ob,0.0,1.0000000000000004
liquidity_void_strength,0.0,1.0000000000000004
roc_5_atr_norm_1h,0.0,1.0000000000000004
above_sma_100_4h,0.0,1.0000000000000004
above_sma_50_4h,0.0,1.0000000000000004
above_sma_20_4h,0.0,1.0000000000000004
structure_aligned_ob,0.0,1.0000000000000004
volume_confirmation_score,0.0,1.0000000000000004
momentum_regime,0.0,1.0000000000000004
effective_spread_proxy,0.0,1.0000000000000004
is_trending,0.0,1.0000000000000004
hammer_volume,0.0,1.0000000000000004
momentum_accel,0.0,1.0000000000000004
roc_5_atr_adj,0.0,1.0000000000000004
hl_spread_normalized,0.0,1.0000000000000004
close_position,0.0,1.0000000000000004
engulfing_volume,0.0,1.0000000000000004
momentum_trend_strength,0.0,1.0000000000000004
near_resistance_100,0.0,1.0000000000000004
testing_support,0.0,1.0000000000000004
testing_resistance,0.0,1.0000000000000004
volume_change_rate,0.0,1.0000000000000004
volume_regime_score,0.0,1.0000000000000004
large_sell_trade,0.0,1.0000000000000004
large_buy_trade,0.0,1.0000000000000004
multi_tf_alignment,0.0,1.0000000000000004
buy_sell_ratio,0.0,1.0000000000000004
momentum_volume_divergence,0.0,1.0000000000000004
above_sma_20,0.0,1.0000000000000004
bbw_volume_interaction,0.0,1.0000000000000004
range_to_body,0.0,1.0000000000000004
stoch_momentum,0.0,1.0000000000000004
rsi_volume_interaction,0.0,1.0000000000000004
above_sma_20_1h,0.0,1.0000000000000004
hammer,0.0,1.0000000000000004
engulfing,0.0,1.0000000000000004
rsi_momentum,0.0,1.0000000000000004
rsi_acceleration,0.0,1.0000000000000004
tick_persistence,0.0,1.0000000000000004
tick_direction,0.0,1.0000000000000004
higher_lows_count_20,0.0,1.0000000000000004
price_volume_trend,0.0,1.0000000000000004
three_white_soldiers,0.0,1.0000000000000004
volume_z_score,0.0,1.0000000000000004
higher_highs_count_20,0.0,1.0000000000000004
momentum_quality_score,0.0,1.0000000000000004
volume_delta_negative,0.0,1.0000000000000004
volume_delta,0.0,1.0000000000000004
avg_trade_size_norm,0.0,1.0000000000000004
aggressive_sell_volume,0.0,1.0000000000000004
volume_volatility_interaction,0.0,1.0000000000000004
trend_consistency_20,0.0,1.0000000000000004
volume_ma_ratio_short,0.0,1.0000000000000004
rsi_price_divergence,0.0,1.0000000000000004
testing_resistance_with_volume,0.0,1.0000000000000004
momentum_strength_ratio,0.0,1.0000000000000004
vol_weighted_roc_5,0.0,1.0000000000000004
trend_acceleration,0.0,1.0000000000000004
momentum_consensus,0.0,1.0000000000000004
price_accel_3,0.0,1.0000000000000004
breakout_signal,0.0,1.0000000000000004
vol_confirmed_momentum,0.0,1.0000000000000004
lower_wick_size,0.0,1.0000000000000004
upper_wick_size,0.0,1.0000000000000004
doji,0.0,1.0000000000000004
body_to_wick_ratio,0.0,1.0000000000000004
gap_down,0.0,1.0000000000000004
closed_near_high,0.0,1.0000000000000004
closed_near_low,0.0,1.0000000000000004
resistance_volume_interaction,0.0,1.0000000000000004
support_break_momentum,0.0,1.0000000000000004
three_line_strike,0.0,1.0000000000000004
morning_evening_star,0.0,1.0000000000000004
gap_up,0.0,1.0000000000000004
sr_action,0.0,1.0000000000000004
support_momentum_interaction,0.0,1.0000000000000004
resistance_momentum_interaction,0.0,1.0000000000000004
testing_support_with_volume,0.0,1.0000000000000004
resistance_break_momentum,0.0,1.0000000000000004
above_sma_100_12h,0.0,1.0000000000000004
above_sma_100_1d,0.0,1.0000000000000004
volume_vs_ma_20,0.0,1.0000000000000004
resistance_flip_signal,0.0,1.0000000000000004
double_bottom_at_support,0.0,1.0000000000000004
double_top_at_resistance,0.0,1.0000000000000004
above_sma_20_1d,0.0,1.0000000000000004
above_sma_20_12h,0.0,1.0000000000000004
above_sma_50_12h,0.0,1.0000000000000004
support_flip_signal,0.0,1.0000000000000004
fvg_sweep_confluence,0.0,1.0000000000000004
support_with_4h_uptrend,0.0,1.0000000000000004
near_swing_low_alignment,0.0,1.0000000000000004
recent_ict_activity,0.0,1.0000000000000004
resistance_with_4h_downtrend,0.0,1.0000000000000004
bars_since_last_fvg,0.0,1.0000000000000004
ob_with_fvg,0.0,1.0000000000000004
high_conviction_sweep,0.0,1.0000000000000004
double_bottom_recency,0.0,1.0000000000000004
