feature,ks_statistic,p_value,has_drift,set
atr_normalized_12h,0.485605962901016,0.0,True,calibration
atr_normalized,0.19361487200506156,4.07660998996339e-183,True,calibration
dist_from_swing_low_50_4h,0.1736061546689066,4.573508420349859e-147,True,calibration
dist_from_swing_high_50,0.14397379532288923,4.5248200489739963e-101,True,calibration
dist_from_swing_low_50_6h,0.13968704020440836,3.841965357407989e-95,True,calibration
rsi_14_1d,0.1299266960485686,2.5373456802352e-82,True,calibration
dist_from_bearish_ob,0.11101196726170987,3.7180348746787953e-60,True,calibration
dist_from_r1,0.10194367560975773,8.905379086510006e-51,True,calibration
dist_from_swing_high_50_4h,0.08064295587245274,6.536681648571172e-32,True,calibration
sma_20_slope,0.06849246804599998,3.93265760630044e-23,True,calibration
rsi_slope_6h,0.06294757376480203,1.330310980545733e-19,True,calibration
rsi_slope_4h,0.06266890260824592,1.9653527887187443e-19,True,calibration
rsi_price_divergence_cont_4h,0.05813737333359448,8.783700274133398e-17,True,calibration
sma_50_slope,0.055534630647615046,2.3755077422854928e-15,True,calibration
sr_proximity,0.04091047207987808,1.5880159937576135e-08,True,calibration
roc_5_atr_norm_6h,0.03391594084095621,5.405626546192789e-06,True,calibration
rsi_slope_2h,0.03270959251348948,1.3233177455270944e-05,True,calibration
vpt,0.018696525287364874,0.0404382432759286,True,calibration
rsi_slope_1h,0.017507159222043572,0.0653388232755785,False,calibration
hidden_divergence,0.009067143745564499,0.7467683057879199,False,calibration
atr_normalized,0.38450893535276714,0.0,True,holdout
atr_normalized_12h,0.5135548166821569,0.0,True,holdout
dist_from_swing_low_50_4h,0.2676429288609762,0.0,True,holdout
dist_from_swing_low_50_6h,0.308665645678484,0.0,True,holdout
rsi_14_1d,0.2509639226750874,0.0,True,holdout
dist_from_swing_high_50,0.21832583604746592,6.665899583353136e-246,True,holdout
dist_from_r1,0.16965550296247012,5.026545205284972e-148,True,holdout
dist_from_swing_high_50_4h,0.14047252516603825,2.0547256640331043e-101,True,holdout
sma_50_slope,0.07746081688676987,4.758830338432527e-31,True,holdout
sma_20_slope,0.07675046052242965,1.72633111647004e-30,True,holdout
dist_from_bearish_ob,0.07603825386604535,6.208755339505389e-30,True,holdout
roc_5_atr_norm_6h,0.07442922782353453,1.070747427873331e-28,True,holdout
rsi_price_divergence_cont_4h,0.06899690708742601,1.0202279473910836e-24,True,holdout
sr_proximity,0.06368346284635829,4.0547488300799385e-21,True,holdout
rsi_slope_6h,0.05647371405815649,1.0701588562809151e-16,True,holdout
rsi_slope_4h,0.0541805949890658,2.1098276459503157e-15,True,holdout
vpt,0.02907810565956004,9.667264099990149e-05,True,holdout
rsi_slope_2h,0.023903573206423223,0.0024186581124048725,True,holdout
rsi_slope_1h,0.02264963155980193,0.004800933526451615,True,holdout
hidden_divergence,0.007762893912710789,0.8687321262208906,False,holdout
