feature,importance,cumulative_importance
rsi_slope_4h,49.4,0.07057142857142856
rsi_slope_6h,43.4,0.13257142857142856
rsi_slope_2h,26.2,0.17
atr_normalized,24.2,0.20457142857142854
dist_from_r1,23.0,0.2374285714285714
sma_50_slope,20.2,0.26628571428571424
dist_from_swing_low_50_4h,19.6,0.29428571428571426
atr_normalized_12h,18.0,0.31999999999999995
dist_from_swing_low_50_6h,17.6,0.3451428571428571
rsi_price_divergence_cont_4h,16.8,0.3691428571428571
dist_from_bearish_ob,13.2,0.38799999999999996
rsi_slope_1h,12.4,0.40571428571428564
roc_5_atr_norm_6h,11.8,0.4225714285714285
dist_from_swing_high_50,11.8,0.4394285714285714
hidden_divergence,11.2,0.45542857142857135
rsi_14_1d,10.8,0.4708571428571428
vpt,10.6,0.486
sma_20_slope,10.4,0.5008571428571428
dist_from_swing_high_50_4h,10.0,0.5151428571428571
sr_proximity,9.8,0.5291428571428571
rsi_slope_1d,7.4,0.5397142857142857
dist_from_swing_high_50_1d,7.2,0.5499999999999999
roc_10_atr_norm_6h,7.0,0.5599999999999999
vpt_ma_20,6.8,0.5697142857142856
hl_spread,6.8,0.5794285714285714
rsi_slope_12h,6.6,0.5888571428571429
rsi_price_divergence_cont_6h,6.6,0.5982857142857143
resistance_volume_interaction,6.4,0.6074285714285714
roc_10_atr_norm_1h,6.4,0.6165714285714285
dist_from_sma_20,6.2,0.6254285714285713
dist_from_s1,6.2,0.6342857142857142
rvol_ratio_12h,5.8,0.6425714285714285
dist_from_swing_low_50_1d,5.8,0.6508571428571428
dist_from_swing_low_50_12h,5.6,0.6588571428571428
dist_from_swing_high_50_6h,5.6,0.6668571428571429
dist_from_bullish_ob,5.4,0.6745714285714286
dist_from_swing_low_50,5.4,0.6822857142857143
tr_percentile,5.4,0.69
cumulative_delta,5.4,0.6977142857142856
rsi_price_divergence_cont_1d,5.2,0.705142857142857
sma_20_slope_1h,4.8,0.7119999999999999
dist_from_swing_high_50_1h,4.8,0.7188571428571428
roc_10_atr_norm_4h,4.8,0.7257142857142856
mfi_14_12h,4.8,0.7325714285714285
dist_from_swing_high_50_2h,4.6,0.7391428571428571
nearest_resistance_strength,4.6,0.7457142857142857
sma_50_slope_1d,4.6,0.7522857142857143
roc_10_atr_norm_12h,4.6,0.7588571428571429
rvol_ratio,4.4,0.7651428571428571
dist_from_swing_low_50_1h,4.2,0.7711428571428572
bbw_squeeze,4.2,0.7771428571428574
mfi_slope_12h,4.0,0.782857142857143
adx_14,4.0,0.7885714285714287
double_bottom_strength,3.8,0.7940000000000002
rvol_ratio_4h,3.6,0.7991428571428573
atr_normalized_1d,3.6,0.8042857142857145
rsi_price_divergence_cont_12h,3.6,0.8094285714285716
resistance_touch_count,3.4,0.8142857142857145
above_sma_50,3.4,0.8191428571428573
dist_from_swing_low_50_2h,3.4,0.8240000000000001
double_top_candles_between,3.2,0.8285714285714287
rsi_14_2h,3.2,0.8331428571428574
mfi_slope_4h,3.0,0.8374285714285716
mfi_14_4h,3.0,0.841714285714286
rvol_ratio_1h,3.0,0.8460000000000002
dist_from_swing_high_50_12h,3.0,0.8502857142857145
mfi_slope_6h,2.8,0.8542857142857144
obv_ma_20,2.8,0.8582857142857144
sma_20_slope_1d,2.8,0.8622857142857143
r1,2.8,0.8662857142857142
momentum_strength_score,2.6,0.87
volatility_regime,2.6,0.8737142857142858
mfi_14_6h,2.6,0.8774285714285714
rsi_volatility,2.4,0.8808571428571429
rvol_ratio_6h,2.2,0.8840000000000001
mfi_trend_adjusted,2.2,0.8871428571428573
resistance_strength,2.2,0.8902857142857145
rsi_14,2.0,0.8931428571428573
rvol_ratio_2h,2.0,0.8960000000000002
ict_composite_score_ma_10,2.0,0.8988571428571431
mfi_14_1d,2.0,0.9017142857142859
mfi_slope_2h,2.0,0.9045714285714288
dist_from_vwap,2.0,0.9074285714285717
roc_10_atr_adj,2.0,0.9102857142857145
mfi_14_2h,2.0,0.9131428571428574
ad_line_ma_20,1.8,0.9157142857142859
rvol_ratio_1d,1.8,0.9182857142857144
rsi_price_divergence_cont_2h,1.8,0.9208571428571429
sma_20_slope_6h,1.8,0.9234285714285714
sma_20_slope_4h,1.8,0.9259999999999999
higher_lows_count_20,1.6,0.9282857142857143
sma_20_slope_2h,1.6,0.9305714285714285
support_touch_count,1.6,0.9328571428571428
choppiness_14,1.6,0.9351428571428572
buy_sell_ratio_ma20,1.6,0.9374285714285715
mfi_slope_1d,1.6,0.9397142857142858
momentum_alignment_score,1.6,0.9420000000000002
multi_factor_sentiment,1.4,0.9440000000000001
pivot_volume_interaction,1.2,0.9457142857142858
dist_from_sma_20_1h,1.2,0.9474285714285716
sma_20_slope_12h,1.2,0.9491428571428574
above_sma_100_1h,1.2,0.9508571428571432
near_swing_high_alignment,1.2,0.952571428571429
roc_10_atr_norm_2h,1.2,0.9542857142857147
nearest_support_strength,1.2,0.9560000000000005
volatility_clustering,1.2,0.9577142857142863
obv,1.2,0.9594285714285721
obv_divergence,1.0,0.9608571428571435
tape_speed_20,1.0,0.962285714285715
above_sma_100,1.0,0.9637142857142864
net_buy_sell_pressure,1.0,0.9651428571428579
price_range,1.0,0.9665714285714293
is_pivot_high,1.0,0.9680000000000006
double_top_recency,1.0,0.9694285714285721
momentum_regime,0.8,0.9705714285714292
buy_sell_imbalance_20,0.8,0.9717142857142863
roc_10_atr_norm_1d,0.8,0.9728571428571433
resistance_bounce_ratio,0.8,0.9740000000000004
mfi_14_1h,0.8,0.9751428571428575
market_structure_direction,0.8,0.9762857142857145
above_sma_20_6h,0.8,0.9774285714285716
bars_since_last_sweep,0.6,0.9782857142857145
support_bounce_ratio,0.6,0.9791428571428574
dist_from_nearest_resistance_pivot,0.6,0.9800000000000003
higher_highs_count_20,0.6,0.9808571428571432
bbw,0.6,0.9817142857142861
price_change_autocorr,0.6,0.982571428571429
support_strength,0.6,0.9834285714285719
mtf_trend_alignment_score,0.6,0.9842857142857148
vwap_rsi_interaction,0.6,0.9851428571428577
volume_delta_negative,0.6,0.9860000000000005
volatility_momentum,0.4,0.9865714285714291
money_flow_ratio,0.4,0.9871428571428577
double_top_strength,0.4,0.9877142857142862
roc_5_atr_norm_1h,0.4,0.9882857142857147
above_sma_50_12h,0.4,0.9888571428571432
rsi_price_divergence_cont_1h,0.4,0.9894285714285718
mfi_slope_1h,0.4,0.9900000000000003
stoch_k,0.4,0.9905714285714289
above_sma_20_4h,0.4,0.9911428571428574
structure_aligned_ob,0.4,0.991714285714286
trend_alignment_score,0.4,0.9922857142857144
double_bottom_candles_between,0.4,0.992857142857143
momentum_consensus,0.4,0.9934285714285715
momentum_trend_strength,0.4,0.9940000000000001
mfi_14,0.4,0.9945714285714287
ad_line,0.4,0.9951428571428572
is_pivot_low,0.2,0.9954285714285716
near_swing_low_alignment,0.2,0.9957142857142859
