feature,importance,cumulative_importance
rsi_slope_4h,54.8,0.07828571428571428
rsi_slope_2h,31.8,0.12371428571428571
rsi_slope_6h,31.6,0.16885714285714284
atr_normalized_12h,31.2,0.21342857142857138
atr_normalized,25.8,0.2502857142857143
rsi_slope_12h,22.2,0.282
rsi_price_divergence_cont_4h,18.6,0.30857142857142855
sma_50_slope,18.2,0.3345714285714285
dist_from_swing_low_50_4h,17.0,0.3588571428571428
dist_from_s1,16.2,0.38199999999999995
roc_5_atr_norm_6h,14.6,0.40285714285714286
cumulative_delta,13.8,0.4225714285714286
rsi_14,12.0,0.4397142857142857
vpt,11.6,0.45628571428571435
dist_from_swing_high_50_4h,11.2,0.4722857142857143
dist_from_swing_low_50,10.8,0.48771428571428577
adx_14,10.4,0.5025714285714286
dist_from_r1,10.4,0.5174285714285715
dist_from_swing_high_50_6h,10.2,0.5319999999999999
dist_from_bearish_ob,8.2,0.5437142857142857
roc_10_atr_norm_4h,7.8,0.5548571428571428
sma_20_slope,7.8,0.566
vpt_ma_20,7.2,0.5762857142857143
rsi_slope_1h,6.8,0.586
hidden_divergence,6.8,0.5957142857142858
sma_20_slope_1h,6.8,0.6054285714285714
dist_from_swing_high_50,6.6,0.6148571428571429
mfi_slope_1d,6.4,0.624
price_range,6.2,0.6328571428571429
above_sma_50,6.2,0.6417142857142857
obv,6.0,0.6502857142857142
rsi_slope_1d,6.0,0.6588571428571428
rsi_price_divergence_cont_12h,6.0,0.6674285714285714
rsi_price_divergence_cont_6h,5.8,0.6757142857142857
dist_from_vwap,5.6,0.6837142857142857
pivot_volume_interaction,5.6,0.6917142857142857
dist_from_swing_low_50_6h,5.4,0.6994285714285715
atr_normalized_1d,5.2,0.7068571428571429
support_volume_interaction,5.0,0.714
tr_percentile,4.8,0.7208571428571429
dist_from_bullish_ob,4.8,0.7277142857142858
dist_from_sma_20,4.8,0.7345714285714287
mfi_14_12h,4.4,0.7408571428571429
sma_50_slope_1d,4.0,0.7465714285714286
hl_spread,4.0,0.7522857142857143
obv_ma_20,4.0,0.758
nearest_support_strength,4.0,0.7637142857142858
roc_10_atr_norm_1h,3.8,0.7691428571428571
above_sma_100,3.8,0.7745714285714285
dist_from_swing_high_50_2h,3.8,0.7799999999999998
mfi_14_1h,3.6,0.785142857142857
roc_10_atr_norm_6h,3.6,0.7902857142857141
rsi_price_divergence_cont_1d,3.6,0.7954285714285714
mfi_14_2h,3.6,0.8005714285714285
vwap_rsi_interaction,3.4,0.8054285714285714
dist_from_swing_low_50_2h,3.4,0.8102857142857142
is_pivot_low,3.4,0.8151428571428571
support_touch_count,3.4,0.8199999999999998
sr_proximity,3.4,0.8248571428571426
mfi_14,3.2,0.8294285714285713
rsi_price_divergence_cont_2h,3.2,0.834
dist_from_swing_low_50_1h,3.0,0.8382857142857142
double_bottom_strength,3.0,0.8425714285714285
dist_from_swing_high_50_1h,2.8,0.8465714285714284
roc_10_atr_adj,2.8,0.8505714285714284
sma_20_slope_2h,2.8,0.8545714285714283
net_buy_sell_pressure,2.6,0.8582857142857141
rvol_ratio_12h,2.6,0.8619999999999998
