feature,importance,cumulative_importance
rsi_slope_12h,41.2,0.05885714285714286
atr_normalized_1d,36.8,0.11142857142857143
rsi_slope_1d,34.0,0.16
atr_normalized,27.0,0.19857142857142857
dist_from_sma_20_12h,23.2,0.2317142857142857
dist_from_r1,21.0,0.2617142857142857
sma_20_slope_4h,17.0,0.286
dist_from_swing_low_50_1d,15.8,0.30857142857142855
dist_from_bullish_ob,14.8,0.32971428571428574
mfi_slope_12h,14.6,0.3505714285714286
dist_from_sma_50_1d,14.0,0.37057142857142855
rsi_slope_4h,13.4,0.3897142857142856
nearest_resistance_strength,12.8,0.408
dist_from_swing_high_50_12h,12.6,0.426
tr_percentile,12.0,0.4431428571428571
dist_from_s1,11.6,0.45971428571428574
r1,11.2,0.4757142857142857
sma_20_slope_2h,11.2,0.4917142857142857
dist_from_bearish_ob,11.2,0.5077142857142857
dist_from_swing_high_50_1h,11.0,0.5234285714285714
dist_from_swing_high_50_1d,10.6,0.5385714285714286
sma_20_slope_1h,10.6,0.5537142857142857
rsi_price_divergence_cont_1d,10.4,0.5685714285714286
roc_10_atr_norm_1d,10.4,0.5834285714285714
dist_from_swing_low_50_12h,10.2,0.598
mfi_14_2h,9.8,0.612
rvol_ratio_12h,8.8,0.6245714285714286
dist_from_sma_50_2h,8.8,0.6371428571428571
dist_from_sma_50_12h,8.6,0.6494285714285715
mfi_14_12h,8.4,0.6614285714285715
mfi_slope_1d,7.8,0.6725714285714286
sma_50_slope_1d,7.6,0.6834285714285715
dist_from_swing_high_50_4h,7.6,0.6942857142857144
rvol_ratio_4h,7.4,0.704857142857143
sma_50_slope_4h,7.2,0.7151428571428572
rsi_price_divergence_cont_4h,7.0,0.7251428571428572
double_bottom_strength,7.0,0.7351428571428572
rsi_14_12h,7.0,0.7451428571428572
sma_20_slope_12h,6.8,0.7548571428571428
resistance_touch_count,6.4,0.7639999999999999
mfi_slope_4h,6.4,0.773142857142857
rvol_ratio_1h,6.2,0.7819999999999999
dist_from_swing_low_50_4h,6.2,0.7908571428571429
mfi_14_4h,6.0,0.7994285714285715
rsi_slope_2h,5.6,0.8074285714285715
rvol_ratio_1d,5.6,0.8154285714285715
dist_from_swing_high_50,4.8,0.8222857142857143
sr_proximity,4.6,0.828857142857143
rvol_ratio_2h,4.6,0.8354285714285715
roc_5_atr_norm_12h,4.6,0.8420000000000001
dist_from_swing_high_50_2h,4.6,0.8485714285714288
roc_10_atr_norm_12h,4.6,0.8551428571428573
rsi_14,4.2,0.8611428571428574
nearest_support_strength,4.2,0.8671428571428574
sma_50_slope,4.2,0.8731428571428576
rsi_price_divergence_cont_12h,4.0,0.8788571428571432
rsi_14_1h,4.0,0.884571428571429
dist_from_swing_low_50_2h,3.8,0.8900000000000003
support_touch_count,3.8,0.8954285714285717
double_top_strength,3.6,0.9005714285714289
mfi_14_1d,3.2,0.9051428571428575
resistance_bounce_ratio,3.0,0.9094285714285718
trend_alignment_score,2.8,0.9134285714285717
roc_10_atr_norm_4h,2.8,0.9174285714285717
vpt,2.6,0.9211428571428574
sma_20_slope_1d,2.4,0.9245714285714288
dist_from_swing_low_50_1h,2.2,0.927714285714286
ad_line_ma_20,2.0,0.9305714285714288
double_bottom_candles_between,2.0,0.9334285714285717
buy_sell_ratio_ma20,1.8,0.9360000000000003
support_bounce_ratio,1.8,0.9385714285714287
mfi_slope_2h,1.8,0.9411428571428573
dist_from_swing_low_50,1.8,0.9437142857142857
multi_factor_sentiment,1.6,0.9460000000000001
above_sma_50_1h,1.6,0.9482857142857144
net_buy_sell_pressure,1.6,0.9505714285714287
rsi_price_divergence_cont_2h,1.6,0.9528571428571431
double_top_recency,1.4,0.954857142857143
above_sma_100_2h,1.4,0.956857142857143
