feature,importance,cumulative_importance
rsi_slope_2h,62.4,0.08914285714285715
rsi_slope_4h,45.2,0.15371428571428572
atr_normalized,29.6,0.196
rsi_slope_1h,23.0,0.22885714285714287
sma_20_slope,18.4,0.25514285714285717
rsi_price_divergence_cont_4h,18.0,0.2808571428571429
hidden_divergence,15.0,0.3022857142857143
dist_from_swing_low_50,15.0,0.32371428571428573
dist_from_swing_low_50_4h,14.4,0.34428571428571436
rsi_14_2h,14.4,0.36485714285714294
atr_normalized_4h,13.8,0.3845714285714286
dist_from_sma_20,13.0,0.4031428571428572
roc_5_atr_norm_12h,12.2,0.4205714285714286
dist_from_swing_high_50_2h,12.0,0.4377142857142858
dist_from_r1,11.4,0.454
roc_10_atr_norm_4h,11.4,0.47028571428571425
dist_from_swing_low_50_12h,11.0,0.486
dist_from_s1,9.4,0.4994285714285714
hl_spread,9.2,0.5125714285714285
vpt_ma_20,9.2,0.5257142857142857
adx_14,9.2,0.5388571428571428
sma_50_slope,9.2,0.5519999999999999
dist_from_swing_high_50,9.2,0.5651428571428571
rsi_slope_12h,9.2,0.5782857142857142
dist_from_swing_low_50_2h,9.0,0.591142857142857
dist_from_vwap,8.8,0.6037142857142856
rsi_price_divergence_cont_12h,7.8,0.6148571428571428
mfi_trend_adjusted,7.8,0.6259999999999999
rsi_price_divergence_cont_2h,7.8,0.6371428571428571
dist_from_swing_high_50_4h,7.4,0.6477142857142856
roc_10_atr_adj,7.4,0.6582857142857141
dist_from_bearish_ob,7.4,0.6688571428571427
rsi_14,7.2,0.6791428571428569
resistance_volume_interaction,7.0,0.689142857142857
stoch_k,6.6,0.6985714285714284
cumulative_delta,6.2,0.7074285714285713
vwap_distance_weighted,6.2,0.7162857142857141
bbw_squeeze,6.2,0.725142857142857
vpt,5.8,0.7334285714285712
is_pivot_high,5.8,0.7417142857142854
nearest_support_strength,5.6,0.7497142857142854
rsi_14_12h,4.8,0.7565714285714282
nearest_resistance_strength,4.6,0.7631428571428568
